Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peter Chirico,Dave Fluri,Meg Purdy,Anthony Rota,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 29","Cobalt",78,70,1,97,1,247,364
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 30","Latchford",57,63,8,64,2,194,295
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 31","Bear Island",10,25,3,59,0,97,142
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 32","Temagami",116,73,10,118,0,317,617
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 33","Marten River",29,10,0,19,0,58,93
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 34","Tilden Lake",40,19,8,39,0,106,160
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 35","Thorne",62,53,5,94,2,216,372
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 36","Balsam Creek",51,44,5,55,0,155,265
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 37A","Songis",62,44,5,62,0,173,277
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 37B","Songis",64,44,11,60,1,180,291
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 38","Nipissing 10",27,41,11,109,1,189,296
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 39","North Bay ",37,26,4,76,0,143,266
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 40A","North Bay ",38,29,4,47,0,118,326
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 40B","North Bay ",34,20,2,33,0,89,269
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 41","North Bay ",Void/Supprimé,,,,,,
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 42A","North Bay ",32,48,1,51,3,135,311
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 42B","North Bay",136,201,38,233,4,612,458
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 42C","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,9
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 43","North Bay ",91,36,10,99,1,237,358
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 44","North Bay ",81,36,3,101,0,221,368
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 45","North Bay ",33,60,5,89,1,188,321
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 46","North Bay ",44,33,4,75,1,157,301
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 47","North Bay ",69,45,6,131,0,251,410
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 48","North Bay ",Merged with No. 42B/Fusionné avec le nº 42B,,,,,,393
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 49","North Bay ",59,26,8,102,0,195,391
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 50","North Bay ",45,22,12,69,0,148,330
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 51","North Bay ",24,14,3,42,1,84,250
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 52","North Bay ",37,30,8,68,1,144,317
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 53A","North Bay ",40,23,4,79,0,146,301
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 53B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,75
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 54","North Bay ",48,16,3,96,0,163,359
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 55","North Bay ",52,31,12,88,1,184,312
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 56","North Bay ",63,44,4,125,0,236,412
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 57","North Bay ",72,33,10,77,3,195,376
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 58","North Bay ",71,32,8,91,0,202,308
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 59","North Bay ",44,39,13,51,0,147,333
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 60","North Bay ",52,41,10,110,1,214,387
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 61","North Bay ",37,21,8,37,0,103,199
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 62","North Bay ",25,17,4,34,0,80,132
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 63","North Bay ",66,28,2,32,0,128,350
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 64","North Bay ",65,24,4,71,0,164,328
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 65","North Bay ",150,64,6,158,1,379,603
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 66","North Bay ",119,32,10,97,1,259,432
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 67","North Bay ",100,21,8,81,1,211,371
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 68","North Bay ",77,29,11,94,1,212,431
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 69A","North Bay ",76,32,13,155,0,276,442
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 69B","North Bay ",73,30,3,95,0,201,349
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 70","North Bay ",114,23,8,98,0,243,381
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 71","North Bay ",73,23,1,105,0,202,310
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 72","North Bay ",128,13,8,162,0,311,438
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 73","North Bay ",72,17,4,93,0,186,297
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 74","North Bay ",81,25,4,115,2,227,380
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 75","North Bay ",50,35,6,85,2,178,342
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 76","North Bay ",52,34,4,76,0,166,324
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 77","North Bay ",48,38,4,75,0,165,293
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 78","North Bay ",52,43,4,105,0,204,362
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 79","North Bay ",83,55,5,83,0,226,417
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 80","North Bay ",20,20,3,38,1,82,145
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 81A","North Bay ",25,4,1,29,0,59,238
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 81B","North Bay ",40,10,4,55,1,110,225
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 82","North Bay ",48,33,13,103,0,197,287
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 83","North Bay ",58,39,6,83,1,187,364
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 84","North Bay ",44,57,7,84,1,193,357
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 85","North Bay ",57,47,7,103,2,216,362
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 86","North Bay ",54,30,4,98,2,188,352
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 87","North Bay ",40,27,7,49,3,126,325
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 88","North Bay ",48,41,4,64,3,160,307
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 89","North Bay ",56,36,9,101,0,202,380
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 90","North Bay ",53,30,12,99,1,195,346
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 91","North Bay ",44,51,13,77,4,189,360
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 92","North Bay ",36,54,14,104,0,208,389
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 93","North Bay ",108,41,6,145,1,301,452
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 94","North Bay ",98,28,5,113,1,245,376
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 95","North Bay ",49,28,9,75,0,161,267
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 96","North Bay ",50,18,2,71,1,142,261
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 97","North Bay ",69,27,5,113,3,217,332
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 98","North Bay ",101,46,4,98,1,250,415
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 99","North Bay ",68,41,8,95,0,212,371
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 100","North Bay ",36,25,4,42,0,107,194
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 101A","North Bay ",66,30,2,91,0,189,291
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 101B","North Bay ",40,16,4,59,0,119,208
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 102","North Bay ",93,38,7,121,1,260,500
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 103","North Bay ",58,32,6,70,0,166,355
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 104","North Bay ",58,52,11,64,2,187,413
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 105","North Bay ",34,29,10,66,3,142,274
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 106","North Bay ",43,23,5,66,0,137,254
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 107","North Bay ",40,48,14,51,0,153,332
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 108","North Bay ",71,45,9,105,0,230,403
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 109","North Bay ",105,22,11,109,0,247,412
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 110","North Bay ",93,32,12,131,0,268,439
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 111","North Bay ",83,29,9,108,2,231,391
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 112","North Bay ",81,30,10,100,1,222,400
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 113","North Bay ",93,48,14,108,2,265,384
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 114","North Bay ",68,22,3,76,0,169,264
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 115","North Bay ",71,55,15,101,1,243,383
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 116","North Bay ",45,15,6,80,0,146,258
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 117","North Bay ",48,26,3,74,1,152,250
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 118","North Bay ",60,40,6,99,0,205,310
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 119","North Bay ",67,34,6,98,0,205,333
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 120","North Bay ",58,32,8,68,0,166,350
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 121A","North Bay ",50,14,1,66,0,131,308
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 121B","North Bay ",54,10,1,50,0,115,253
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 122","North Bay ",84,50,4,81,0,219,352
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 123","North Bay ",85,32,9,119,2,247,421
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 124","North Bay ",43,33,10,92,1,179,426
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 125","North Bay ",55,24,3,86,0,168,336
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 126","North Bay ",65,27,7,67,0,166,316
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 127","North Bay ",67,33,1,92,0,193,321
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 128","North Bay ",84,30,9,134,0,257,474
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 129","North Bay ",74,35,11,92,0,212,363
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 130","North Bay ",81,40,3,102,1,227,440
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 131","North Bay ",87,56,12,104,0,259,453
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 132","North Bay ",41,38,10,77,2,168,346
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 133","North Bay ",57,30,6,87,0,180,401
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 134","North Bay ",74,40,6,83,1,204,390
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 135","North Bay ",74,37,10,124,3,248,423
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 136","North Bay ",53,37,13,91,3,197,400
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 137","North Bay ",50,36,8,100,0,194,378
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 138","North Bay ",25,19,7,57,0,108,288
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 139","North Bay ",34,41,7,107,2,191,349
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 140","North Bay ",47,32,8,98,1,186,318
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 141","North Bay ",50,40,4,63,3,160,292
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 142","North Bay ",56,44,8,104,0,212,397
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 143","North Bay ",33,22,14,45,0,114,271
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 144","North Bay ",33,53,14,98,1,199,375
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 145","North Bay ",49,36,12,74,1,172,348
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 146","North Bay ",62,57,10,127,1,257,422
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 147","North Bay ",58,31,10,76,1,176,318
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 148","North Bay ",33,35,5,46,0,119,294
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 149A","North Bay ",48,37,3,53,0,141,334
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 149B","North Bay ",22,25,4,65,1,117,250
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 150","North Bay ",28,7,4,35,0,74,203
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 151","North Bay ",30,23,3,47,0,103,247
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 152","North Bay ",74,17,8,80,0,179,377
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 153","East Ferris",79,44,6,100,2,231,424
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 154","East Ferris",67,31,7,95,0,200,346
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 155","Bonfield",73,41,12,109,1,236,414
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 156","Bonfield",79,79,8,111,1,278,456
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 157","Bonfield",56,25,7,82,0,170,274
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 158","Bonfield",78,58,7,162,0,305,456
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 159","Nosbosing",58,37,13,84,2,194,416
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 160","Corbeil",50,44,6,73,0,173,335
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 161","Derland",66,42,3,67,0,178,278
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 162","Derland",49,27,4,60,0,140,223
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 163A","Callander",77,26,7,77,0,187,333
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 163B","Callander",61,14,7,73,1,156,281
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 164","Callander",73,35,8,89,0,205,373
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 165","Callander",78,15,9,66,1,169,325
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 166","North Himsworth",98,17,5,77,1,198,431
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 167","North Himsworth",89,40,10,95,0,234,429
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 168","Astorville",61,27,6,101,1,196,348
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 169","Astorville",101,48,12,163,3,327,473
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 170","Astorville",72,48,11,116,0,247,422
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 171","Nipissing ",80,34,10,30,0,154,265
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 172","Nipissing ",117,32,7,71,0,227,389
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 173","North Himsworth",68,20,5,43,1,137,253
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 174","North Himsworth",48,17,4,65,0,134,250
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 175","North Himsworth",58,17,1,52,0,128,256
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 176","South Himsworth",103,30,13,66,0,212,361
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 177","Nipissing ",110,39,14,61,0,224,369
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 178","Nipissing ",61,17,9,29,1,117,203
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 179","South Himsworth",56,23,3,51,2,135,242
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 180","South Himsworth",116,41,8,80,0,245,468
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 181","Powassan",95,27,8,66,3,199,346
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 182A","Powassan",21,6,1,12,0,40,109
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 182B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,130
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 183","South Himsworth",69,22,7,49,0,147,248
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 184","Trout Creek ",132,43,19,83,0,277,402
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 185A","South Himsworth",73,24,19,66,0,182,298
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 185B","South Himsworth",55,17,10,39,1,122,222
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 186","Alderdale",102,68,12,108,1,291,454
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 187","Chiswick",32,39,11,69,1,152,282
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 188","Mattawa",57,27,4,94,2,184,328
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 189","Calvin ",122,38,12,75,0,247,414
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 190","Mattawa",35,20,6,43,1,105,161
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 191","Papineau",56,40,9,72,0,177,388
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 192","Mattawa",36,30,7,77,4,154,366
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 193","Mattawa",70,28,5,88,1,192,379
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 194","Mattawa",30,29,9,95,1,164,326
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 195A","Mattawa",41,26,4,76,1,148,326
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 195B","Mattawa",36,21,7,41,0,105,215
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 196","Trout Creek ",Merged with No. 194/Fusionné avec le nº 194,,,,,,8
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 400","North Bay ",Void/Supprimé,,,,,,
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 500","Mobile poll/Bureau itinérant",40,20,1,46,4,111,150
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 501","Mobile poll/Bureau itinérant",67,16,2,87,8,180,334
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 502","Mobile poll/Bureau itinérant",31,12,3,96,1,143,106
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 503","Mobile poll/Bureau itinérant",47,17,5,67,2,138,182
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 600","New Liskeard",159,77,13,220,4,473,
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 601","Haileybury",159,74,7,220,2,462,
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 602","Temagami",32,21,1,51,0,105,
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 603","North Bay ",364,75,37,477,0,953,
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 604","North Bay ",264,57,9,247,4,581,
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 605","North Bay ",183,44,18,269,4,518,
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 606","North Bay ",183,59,16,238,0,496,
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 607","North Bay ",296,59,13,307,1,676,
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 608","North Bay ",349,105,20,467,4,945,
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 609","Corbeil",168,50,12,210,1,441,
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 610","Callander",237,46,9,144,0,436,
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 611","Powassan",232,42,18,110,0,402,
"Nipissing--Timiskaming/Nipissing--Timiskaming"," 612","Mattawa",125,42,7,134,2,310,
"Nipissing--Timiskaming/Nipissing--Timiskaming",,Group 1/Groupe 1,103,20,10,95,5,233,586
"Nipissing--Timiskaming/Nipissing--Timiskaming",,Group 2/Groupe 2,898,228,62,990,20,2198,
