Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rolf Bramann,Audrey Castonguay,Christine Dandenault,David-Roger Gagnon,Vicky Harvey,Blair T. Longley,Réal Ménard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Hochelaga/Hochelaga"," 146","Montréal",10,15,0,20,13,0,128,1,187,380
"Hochelaga/Hochelaga"," 147","Montréal",9,13,0,18,18,1,103,4,166,383
"Hochelaga/Hochelaga"," 148","Montréal",13,18,0,24,32,0,132,3,222,421
"Hochelaga/Hochelaga"," 149","Montréal",15,18,0,22,16,0,111,4,186,396
"Hochelaga/Hochelaga"," 150","Montréal",17,26,4,19,28,0,121,5,220,436
"Hochelaga/Hochelaga"," 151A","Montréal",9,21,0,11,21,1,78,5,146,267
"Hochelaga/Hochelaga"," 151B","Montréal",9,16,1,19,29,0,121,1,196,375
"Hochelaga/Hochelaga"," 152","Montréal",18,23,0,21,20,1,131,4,218,370
"Hochelaga/Hochelaga"," 153","Montréal",5,16,1,16,30,1,120,1,190,344
"Hochelaga/Hochelaga"," 154","Montréal",9,11,0,16,4,3,82,2,127,376
"Hochelaga/Hochelaga"," 155","Montréal",21,19,1,36,26,1,116,1,221,448
"Hochelaga/Hochelaga"," 156","Montréal",13,13,3,29,23,4,167,3,255,481
"Hochelaga/Hochelaga"," 157","Montréal",13,12,0,13,14,1,92,2,147,325
"Hochelaga/Hochelaga"," 158","Montréal",10,21,2,13,17,2,85,2,152,392
"Hochelaga/Hochelaga"," 159","Montréal",13,12,0,22,19,0,100,2,168,350
"Hochelaga/Hochelaga"," 160","Montréal",12,15,0,32,20,4,172,8,263,541
"Hochelaga/Hochelaga"," 161","Montréal",11,10,0,19,20,0,98,1,159,309
"Hochelaga/Hochelaga"," 162","Montréal",11,14,1,29,44,0,113,0,212,460
"Hochelaga/Hochelaga"," 163","Montréal",15,9,0,31,8,1,129,3,196,353
"Hochelaga/Hochelaga"," 164","Montréal",10,6,0,23,10,0,125,4,178,365
"Hochelaga/Hochelaga"," 165","Montréal",15,15,2,14,18,0,157,0,221,417
"Hochelaga/Hochelaga"," 166","Montréal",13,11,0,16,14,3,129,5,191,388
"Hochelaga/Hochelaga"," 167","Montréal",7,9,2,16,10,2,120,2,168,376
"Hochelaga/Hochelaga"," 168","Montréal",22,17,0,29,15,0,114,1,198,353
"Hochelaga/Hochelaga"," 169","Montréal",11,26,1,23,22,3,130,2,218,407
"Hochelaga/Hochelaga"," 170","Montréal",8,21,2,27,36,4,101,4,203,413
"Hochelaga/Hochelaga"," 171","Montréal",13,23,0,28,17,4,166,4,255,425
"Hochelaga/Hochelaga"," 172","Montréal",12,9,2,24,27,2,127,4,207,456
"Hochelaga/Hochelaga"," 173","Montréal",7,17,2,13,61,5,53,5,163,337
"Hochelaga/Hochelaga"," 174","Montréal",10,19,2,16,25,2,160,4,238,471
"Hochelaga/Hochelaga"," 175","Montréal",21,15,1,20,25,4,114,8,208,388
"Hochelaga/Hochelaga"," 176","Montréal",16,17,0,22,28,8,120,2,213,409
"Hochelaga/Hochelaga"," 177","Montréal",12,17,1,21,24,0,146,5,226,402
"Hochelaga/Hochelaga"," 178","Montréal",12,14,0,18,41,2,107,2,196,366
"Hochelaga/Hochelaga"," 179","Montréal",11,16,2,22,27,3,123,1,205,503
"Hochelaga/Hochelaga"," 180","Montréal",21,17,1,17,27,4,125,5,217,487
"Hochelaga/Hochelaga"," 181","Montréal",18,3,1,45,13,2,149,3,234,368
"Hochelaga/Hochelaga"," 182","Montréal",12,12,0,27,14,0,102,1,168,362
"Hochelaga/Hochelaga"," 183","Montréal",13,8,2,24,9,0,96,3,155,278
"Hochelaga/Hochelaga"," 184","Montréal",17,11,1,22,23,2,90,3,169,374
"Hochelaga/Hochelaga"," 185","Montréal",5,45,2,13,52,1,105,4,227,333
"Hochelaga/Hochelaga"," 186","Montréal",8,21,0,13,44,3,101,4,194,502
"Hochelaga/Hochelaga"," 187","Montréal",11,17,2,19,22,2,130,0,203,432
"Hochelaga/Hochelaga"," 188","Montréal",10,16,3,21,46,1,127,5,229,552
"Hochelaga/Hochelaga"," 189","Montréal",14,8,0,26,18,1,88,3,158,357
"Hochelaga/Hochelaga"," 190","Montréal",13,11,0,22,16,3,100,3,168,428
"Hochelaga/Hochelaga"," 400","Montréal",11,70,2,15,78,0,77,8,261,325
"Hochelaga/Hochelaga"," 401","Montréal",5,66,2,8,61,0,102,7,251,333
"Hochelaga/Hochelaga"," 402","Montréal",2,52,1,13,68,0,78,3,217,325
"Hochelaga/Hochelaga"," 403","Montréal",9,56,0,16,68,0,88,2,239,332
"Hochelaga/Hochelaga"," 404","Montréal",6,33,1,7,67,2,102,10,228,346
"Hochelaga/Hochelaga"," 405","Montréal",3,28,1,12,42,0,112,6,204,363
"Hochelaga/Hochelaga"," 500","Mobile poll/Bureau itinérant",2,8,1,1,41,0,4,1,58,154
"Hochelaga/Hochelaga"," 501A","Mobile poll/Bureau itinérant",0,22,1,4,23,0,25,1,76,139
"Hochelaga/Hochelaga"," 501B","Mobile poll/Bureau itinérant",2,7,0,1,11,0,7,1,29,58
"Hochelaga/Hochelaga"," 502","Mobile poll/Bureau itinérant",Merged with No. 501B/Fusionné avec le nº 501B,,,,,,,,,32
"Hochelaga/Hochelaga"," 503","Mobile poll/Bureau itinérant",1,18,5,12,48,0,18,0,102,159
"Hochelaga/Hochelaga"," 504","Mobile poll/Bureau itinérant",2,18,5,11,30,2,33,13,114,206
"Hochelaga/Hochelaga"," 600","Montréal",7,60,2,14,109,0,125,0,317,
"Hochelaga/Hochelaga"," 601","Montréal",21,185,4,38,204,0,285,12,749,
"Hochelaga/Hochelaga"," 602","Montréal",10,74,1,32,78,1,151,6,353,
"Hochelaga/Hochelaga"," 603","Montréal",8,59,0,16,88,0,170,3,344,
"Hochelaga/Hochelaga"," 604","Montréal",5,15,2,7,22,0,89,3,143,
"Hochelaga/Hochelaga"," 605","Montréal",23,61,3,32,93,2,282,17,513,
"Hochelaga/Hochelaga"," 606","Montréal",4,55,0,11,34,1,160,2,267,
"Hochelaga/Hochelaga"," 607","Montréal",10,33,0,20,34,2,202,10,311,
"Hochelaga/Hochelaga"," 608","Montréal",13,38,0,24,62,0,151,3,291,
"Hochelaga/Hochelaga"," 609","Montréal",21,37,0,34,86,2,254,1,435,
"Hochelaga/Hochelaga",,Group 1/Groupe 1,7,21,1,5,26,5,68,6,139,217
"Hochelaga/Hochelaga",,Group 2/Groupe 2,36,77,3,32,193,2,502,31,876,
