Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Colleen Beaumier,Bal Gosal,Jaipaul Massey-Singh,Jagtar Singh Shergill,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Brampton West/Brampton-Ouest"," 42","Brampton",72,49,2,17,0,140,314
"Brampton West/Brampton-Ouest"," 43A","Brampton",71,44,6,28,0,149,316
"Brampton West/Brampton-Ouest"," 43B","Brampton",91,38,5,18,1,153,295
"Brampton West/Brampton-Ouest"," 44","Brampton",86,48,4,22,1,161,358
"Brampton West/Brampton-Ouest"," 45","Brampton",99,81,8,22,1,211,342
"Brampton West/Brampton-Ouest"," 46A","Brampton",112,73,30,6,0,221,421
"Brampton West/Brampton-Ouest"," 46B","Brampton",127,71,4,15,2,219,359
"Brampton West/Brampton-Ouest"," 46C","Brampton",98,92,8,23,1,222,377
"Brampton West/Brampton-Ouest"," 47","Brampton",111,54,7,24,1,197,369
"Brampton West/Brampton-Ouest"," 48","Brampton",109,67,5,16,0,197,360
"Brampton West/Brampton-Ouest"," 49A","Brampton",58,46,6,18,2,130,282
"Brampton West/Brampton-Ouest"," 49B","Brampton",61,35,3,15,0,114,283
"Brampton West/Brampton-Ouest"," 50","Brampton",111,59,8,16,0,194,355
"Brampton West/Brampton-Ouest"," 51","Brampton",107,42,3,16,0,168,305
"Brampton West/Brampton-Ouest"," 52","Brampton",114,49,11,4,0,178,362
"Brampton West/Brampton-Ouest"," 53","Brampton",111,60,8,43,0,222,398
"Brampton West/Brampton-Ouest"," 54","Brampton",118,86,12,29,2,247,421
"Brampton West/Brampton-Ouest"," 55A","Brampton",75,31,2,13,1,122,256
"Brampton West/Brampton-Ouest"," 55B","Brampton",74,42,5,15,0,136,276
"Brampton West/Brampton-Ouest"," 56A","Brampton",69,48,2,9,0,128,269
"Brampton West/Brampton-Ouest"," 56B","Brampton",50,45,7,7,1,110,250
"Brampton West/Brampton-Ouest"," 57","Brampton",104,45,1,22,0,172,352
"Brampton West/Brampton-Ouest"," 58","Brampton",90,61,4,33,0,188,431
"Brampton West/Brampton-Ouest"," 59","Brampton",69,54,4,26,0,153,313
"Brampton West/Brampton-Ouest"," 60","Brampton",74,72,6,19,0,171,379
"Brampton West/Brampton-Ouest"," 61","Brampton",82,73,8,18,0,181,320
"Brampton West/Brampton-Ouest"," 62A","Brampton",47,48,6,16,0,117,230
"Brampton West/Brampton-Ouest"," 62B","Brampton",61,45,7,15,0,128,236
"Brampton West/Brampton-Ouest"," 63","Brampton",87,74,10,24,0,195,382
"Brampton West/Brampton-Ouest"," 64A","Brampton",110,78,5,23,2,218,387
"Brampton West/Brampton-Ouest"," 64B","Brampton",133,62,3,30,0,228,428
"Brampton West/Brampton-Ouest"," 65A","Brampton",75,38,0,13,0,126,214
"Brampton West/Brampton-Ouest"," 65B","Brampton",70,41,2,16,1,130,248
"Brampton West/Brampton-Ouest"," 66A","Brampton",50,26,2,12,2,92,213
"Brampton West/Brampton-Ouest"," 66B","Brampton",62,46,1,17,1,127,225
"Brampton West/Brampton-Ouest"," 67","Brampton",66,55,8,32,1,162,356
"Brampton West/Brampton-Ouest"," 68","Brampton",102,64,8,27,0,201,383
"Brampton West/Brampton-Ouest"," 69","Brampton",87,38,2,20,0,147,291
"Brampton West/Brampton-Ouest"," 70","Brampton",79,44,8,20,1,152,320
"Brampton West/Brampton-Ouest"," 71A","Brampton",57,40,8,10,2,117,207
"Brampton West/Brampton-Ouest"," 71B","Brampton",50,42,13,16,1,122,227
"Brampton West/Brampton-Ouest"," 72","Brampton",90,92,6,33,0,221,408
"Brampton West/Brampton-Ouest"," 73","Brampton",82,84,12,33,0,211,415
"Brampton West/Brampton-Ouest"," 74","Brampton",92,85,8,34,0,219,366
"Brampton West/Brampton-Ouest"," 75A","Brampton",42,61,1,20,0,124,236
"Brampton West/Brampton-Ouest"," 75B","Brampton",58,50,6,18,1,133,239
"Brampton West/Brampton-Ouest"," 76","Brampton",136,66,7,23,2,234,423
"Brampton West/Brampton-Ouest"," 77A","Brampton",129,65,2,25,0,221,440
"Brampton West/Brampton-Ouest"," 77B","Brampton",130,61,6,26,0,223,464
"Brampton West/Brampton-Ouest"," 78A","Brampton",78,39,6,18,0,141,247
"Brampton West/Brampton-Ouest"," 78B","Brampton",75,29,8,16,0,128,264
"Brampton West/Brampton-Ouest"," 79","Brampton",88,54,11,27,1,181,325
"Brampton West/Brampton-Ouest"," 80","Brampton",98,59,11,24,0,192,338
"Brampton West/Brampton-Ouest"," 81","Brampton",121,49,8,22,2,202,408
"Brampton West/Brampton-Ouest"," 82A","Brampton",81,43,1,14,0,139,278
"Brampton West/Brampton-Ouest"," 82B","Brampton",86,64,6,12,3,171,291
"Brampton West/Brampton-Ouest"," 83","Brampton",115,88,17,35,2,257,401
"Brampton West/Brampton-Ouest"," 84A","Brampton",67,52,3,17,2,141,256
"Brampton West/Brampton-Ouest"," 84B","Brampton",65,57,7,10,2,141,266
"Brampton West/Brampton-Ouest"," 85A","Brampton",107,45,2,38,1,193,464
"Brampton West/Brampton-Ouest"," 85B","Mobile poll/Bureau itinérant",73,56,2,20,2,153,190
"Brampton West/Brampton-Ouest"," 86","Brampton",79,53,4,23,4,163,247
"Brampton West/Brampton-Ouest"," 87","Brampton",70,74,18,25,2,189,418
"Brampton West/Brampton-Ouest"," 88A","Brampton",53,36,4,24,0,117,319
"Brampton West/Brampton-Ouest"," 88B","Brampton",101,44,4,21,1,171,281
"Brampton West/Brampton-Ouest"," 89","Brampton",50,50,9,26,0,135,304
"Brampton West/Brampton-Ouest"," 90A","Brampton",69,54,3,18,3,147,286
"Brampton West/Brampton-Ouest"," 90B","Brampton",67,62,6,20,0,155,310
"Brampton West/Brampton-Ouest"," 91","Brampton",93,77,9,27,0,206,389
"Brampton West/Brampton-Ouest"," 92A","Brampton",58,32,3,22,0,115,231
"Brampton West/Brampton-Ouest"," 92B","Brampton",58,43,4,14,0,119,216
"Brampton West/Brampton-Ouest"," 93","Brampton",84,57,17,28,0,186,378
"Brampton West/Brampton-Ouest"," 94A","Brampton",38,27,1,14,0,80,220
"Brampton West/Brampton-Ouest"," 94B","Brampton",34,46,3,12,1,96,235
"Brampton West/Brampton-Ouest"," 95","Brampton",72,90,7,23,0,192,420
"Brampton West/Brampton-Ouest"," 96","Brampton",80,55,6,24,0,165,359
"Brampton West/Brampton-Ouest"," 97","Brampton",71,71,3,18,2,165,339
"Brampton West/Brampton-Ouest"," 98","Brampton",142,87,7,60,2,298,508
"Brampton West/Brampton-Ouest"," 99","Brampton",84,47,11,18,0,160,348
"Brampton West/Brampton-Ouest"," 100A","Brampton",77,59,1,18,0,155,310
"Brampton West/Brampton-Ouest"," 100B","Brampton",94,61,9,22,0,186,342
"Brampton West/Brampton-Ouest"," 101","Brampton",101,94,7,20,4,226,394
"Brampton West/Brampton-Ouest"," 102","Brampton",114,66,11,21,0,212,426
"Brampton West/Brampton-Ouest"," 103","Brampton",80,78,20,29,1,208,381
"Brampton West/Brampton-Ouest"," 104","Brampton",71,60,15,29,1,176,339
"Brampton West/Brampton-Ouest"," 105","Brampton",65,63,29,25,0,182,337
"Brampton West/Brampton-Ouest"," 106","Brampton",81,70,20,31,2,204,396
"Brampton West/Brampton-Ouest"," 107","Brampton",73,79,15,36,1,204,358
"Brampton West/Brampton-Ouest"," 108","Brampton",41,38,4,15,2,100,208
"Brampton West/Brampton-Ouest"," 109","Brampton",39,28,7,14,1,89,287
"Brampton West/Brampton-Ouest"," 110","Brampton",101,77,10,25,0,213,425
"Brampton West/Brampton-Ouest"," 111","Brampton",103,76,15,34,0,228,456
"Brampton West/Brampton-Ouest"," 112","Brampton",88,101,19,42,0,250,422
"Brampton West/Brampton-Ouest"," 113","Brampton",68,48,13,17,0,146,334
"Brampton West/Brampton-Ouest"," 114","Brampton",36,46,8,19,1,110,346
"Brampton West/Brampton-Ouest"," 115","Brampton",73,63,12,14,1,163,310
"Brampton West/Brampton-Ouest"," 116","Brampton",98,73,11,27,1,210,370
"Brampton West/Brampton-Ouest"," 117","Brampton",86,75,7,25,1,194,351
"Brampton West/Brampton-Ouest"," 118","Brampton",53,63,13,17,1,147,260
"Brampton West/Brampton-Ouest"," 119","Brampton",111,91,6,27,3,238,463
"Brampton West/Brampton-Ouest"," 120","Brampton",42,54,4,16,0,116,317
"Brampton West/Brampton-Ouest"," 121","Brampton",38,18,2,7,1,66,196
"Brampton West/Brampton-Ouest"," 122A","Brampton",54,34,4,16,1,109,309
"Brampton West/Brampton-Ouest"," 122B","Brampton",36,34,6,21,0,97,310
"Brampton West/Brampton-Ouest"," 123A","Brampton",54,30,5,23,0,112,278
"Brampton West/Brampton-Ouest"," 123B","Brampton",55,48,6,17,0,126,274
"Brampton West/Brampton-Ouest"," 124","Brampton",98,71,14,22,0,205,376
"Brampton West/Brampton-Ouest"," 125A","Brampton",65,70,17,23,0,175,291
"Brampton West/Brampton-Ouest"," 125B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,110
"Brampton West/Brampton-Ouest"," 126A","Brampton",43,40,11,21,0,115,221
"Brampton West/Brampton-Ouest"," 126B","Brampton",56,55,10,18,1,140,252
"Brampton West/Brampton-Ouest"," 127","Brampton",86,92,11,42,1,232,456
"Brampton West/Brampton-Ouest"," 128","Brampton",133,101,11,24,3,272,440
"Brampton West/Brampton-Ouest"," 129","Brampton",105,84,12,36,0,237,383
"Brampton West/Brampton-Ouest"," 130","Brampton",59,55,4,25,1,144,352
"Brampton West/Brampton-Ouest"," 131A","Brampton",30,14,3,13,1,61,269
"Brampton West/Brampton-Ouest"," 131B","Brampton",25,32,2,7,1,67,226
"Brampton West/Brampton-Ouest"," 132","Brampton",99,84,8,34,2,227,392
"Brampton West/Brampton-Ouest"," 133","Brampton",131,98,15,33,1,278,407
"Brampton West/Brampton-Ouest"," 134","Brampton",82,82,14,23,0,201,381
"Brampton West/Brampton-Ouest"," 135","Brampton",Merged with No. 136/Fusionné avec le nº 136,,,,,,90
"Brampton West/Brampton-Ouest"," 136","Brampton",91,78,11,33,1,214,310
"Brampton West/Brampton-Ouest"," 137","Brampton",78,89,9,19,0,195,310
"Brampton West/Brampton-Ouest"," 138A","Brampton",75,60,5,23,1,164,285
"Brampton West/Brampton-Ouest"," 138B","Brampton",60,58,5,30,1,154,306
"Brampton West/Brampton-Ouest"," 139","Brampton",23,22,1,6,1,53,110
"Brampton West/Brampton-Ouest"," 140","Brampton",64,48,5,34,1,152,269
"Brampton West/Brampton-Ouest"," 141","Brampton",111,115,6,25,2,259,410
"Brampton West/Brampton-Ouest"," 142","Brampton",109,69,13,26,1,218,328
"Brampton West/Brampton-Ouest"," 143","Brampton",117,91,20,35,5,268,388
"Brampton West/Brampton-Ouest"," 144","Brampton",113,96,13,20,1,243,398
"Brampton West/Brampton-Ouest"," 145","Brampton",103,130,7,11,0,251,427
"Brampton West/Brampton-Ouest"," 146","Brampton",76,66,8,34,1,185,301
"Brampton West/Brampton-Ouest"," 147","Brampton",81,68,3,21,2,175,318
"Brampton West/Brampton-Ouest"," 148","Brampton",98,90,9,17,1,215,372
"Brampton West/Brampton-Ouest"," 149","Brampton",104,74,8,23,1,210,398
"Brampton West/Brampton-Ouest"," 150A","Brampton",61,46,0,13,0,120,233
"Brampton West/Brampton-Ouest"," 150B","Brampton",55,32,9,15,0,111,227
"Brampton West/Brampton-Ouest"," 151","Brampton",64,67,13,35,3,182,426
"Brampton West/Brampton-Ouest"," 152","Brampton",74,63,9,21,0,167,469
"Brampton West/Brampton-Ouest"," 153","Brampton",48,55,5,31,0,139,319
"Brampton West/Brampton-Ouest"," 154","Brampton",77,63,14,29,1,184,362
"Brampton West/Brampton-Ouest"," 155","Brampton",69,43,8,20,0,140,327
"Brampton West/Brampton-Ouest"," 156","Brampton",126,90,28,26,0,270,438
"Brampton West/Brampton-Ouest"," 157","Brampton",138,91,15,31,1,276,436
"Brampton West/Brampton-Ouest"," 158","Brampton",83,72,16,20,0,191,362
"Brampton West/Brampton-Ouest"," 159","Brampton",103,114,14,35,1,267,462
"Brampton West/Brampton-Ouest"," 160A","Brampton",59,55,6,10,0,130,252
"Brampton West/Brampton-Ouest"," 160B","Brampton",71,31,12,15,0,129,242
"Brampton West/Brampton-Ouest"," 161A","Brampton",61,42,4,24,0,131,284
"Brampton West/Brampton-Ouest"," 161B","Brampton",63,43,5,35,1,147,296
"Brampton West/Brampton-Ouest"," 162","Brampton",121,97,27,28,0,273,419
"Brampton West/Brampton-Ouest"," 163","Brampton",117,88,27,28,0,260,444
"Brampton West/Brampton-Ouest"," 164","Brampton",50,65,13,15,0,143,297
"Brampton West/Brampton-Ouest"," 165","Brampton",122,99,20,32,2,275,436
"Brampton West/Brampton-Ouest"," 166","Brampton",110,119,10,21,0,260,353
"Brampton West/Brampton-Ouest"," 167","Brampton",103,142,13,23,0,281,408
"Brampton West/Brampton-Ouest"," 168","Brampton",126,98,17,24,4,269,460
"Brampton West/Brampton-Ouest"," 169","Brampton",133,83,11,26,3,256,445
"Brampton West/Brampton-Ouest"," 170","Brampton",91,67,20,42,0,220,466
"Brampton West/Brampton-Ouest"," 171A","Brampton",99,31,3,14,2,149,279
"Brampton West/Brampton-Ouest"," 171B","Brampton",74,33,4,24,0,135,259
"Brampton West/Brampton-Ouest"," 172","Brampton",121,49,9,29,0,208,432
"Brampton West/Brampton-Ouest"," 173","Brampton",68,49,9,38,0,164,307
"Brampton West/Brampton-Ouest"," 174","Brampton",85,50,9,18,1,163,360
"Brampton West/Brampton-Ouest"," 175","Brampton",110,63,7,10,1,191,386
"Brampton West/Brampton-Ouest"," 176","Brampton",122,87,7,24,1,241,460
"Brampton West/Brampton-Ouest"," 177A","Brampton",89,38,4,15,1,147,286
"Brampton West/Brampton-Ouest"," 177B","Brampton",83,38,3,10,0,134,251
"Brampton West/Brampton-Ouest"," 178A","Brampton",185,112,6,17,0,320,548
"Brampton West/Brampton-Ouest"," 178B","Mobile poll/Bureau itinérant",Merged with No. 85B/Fusionné avec le nº 85B,,,,,,44
"Brampton West/Brampton-Ouest"," 179","Brampton",139,93,9,24,1,266,451
"Brampton West/Brampton-Ouest"," 180A","Brampton",76,50,7,14,1,148,270
"Brampton West/Brampton-Ouest"," 180B","Brampton",75,55,8,24,0,162,290
"Brampton West/Brampton-Ouest"," 181","Brampton",121,69,10,25,2,227,428
"Brampton West/Brampton-Ouest"," 182","Brampton",102,88,12,32,0,234,457
"Brampton West/Brampton-Ouest"," 183","Brampton",160,85,5,19,0,269,469
"Brampton West/Brampton-Ouest"," 184","Brampton",90,60,5,19,2,176,371
"Brampton West/Brampton-Ouest"," 185A","Brampton",79,41,0,8,0,128,250
"Brampton West/Brampton-Ouest"," 185B","Brampton",85,24,2,8,2,121,239
"Brampton West/Brampton-Ouest"," 186A","Brampton",92,31,1,11,0,135,286
"Brampton West/Brampton-Ouest"," 186B","Brampton",68,25,1,18,0,112,251
"Brampton West/Brampton-Ouest"," 187","Brampton",142,47,9,24,0,222,449
"Brampton West/Brampton-Ouest"," 188","Brampton",120,101,7,19,2,249,441
"Brampton West/Brampton-Ouest"," 189A","Brampton",68,58,3,12,0,141,234
"Brampton West/Brampton-Ouest"," 189B","Brampton",79,54,11,12,1,157,272
"Brampton West/Brampton-Ouest"," 190A","Brampton",65,40,4,18,2,129,259
"Brampton West/Brampton-Ouest"," 190B","Brampton",59,27,3,9,1,99,250
"Brampton West/Brampton-Ouest"," 191A","Brampton",72,21,3,17,0,113,241
"Brampton West/Brampton-Ouest"," 191B","Brampton",68,27,3,8,0,106,269
"Brampton West/Brampton-Ouest"," 192","Brampton",103,58,5,18,2,186,367
"Brampton West/Brampton-Ouest"," 193","Brampton",119,58,2,27,2,208,486
"Brampton West/Brampton-Ouest"," 194","Brampton",48,47,6,13,0,114,255
"Brampton West/Brampton-Ouest"," 195","Brampton",64,74,25,38,1,202,348
"Brampton West/Brampton-Ouest"," 196A","Brampton",66,71,5,9,0,151,268
"Brampton West/Brampton-Ouest"," 196B","Brampton",65,77,4,19,0,165,299
"Brampton West/Brampton-Ouest"," 197","Brampton",58,53,13,21,3,148,286
"Brampton West/Brampton-Ouest"," 198A","Brampton",62,27,1,15,0,105,231
"Brampton West/Brampton-Ouest"," 198B","Brampton",36,18,1,14,1,70,162
"Brampton West/Brampton-Ouest"," 198C","Mobile poll/Bureau itinérant",Merged with No. 85B/Fusionné avec le nº 85B,,,,,,155
"Brampton West/Brampton-Ouest"," 199A","Brampton",92,26,16,6,0,140,280
"Brampton West/Brampton-Ouest"," 199B","Brampton",111,14,4,10,0,139,265
"Brampton West/Brampton-Ouest"," 200","Brampton",139,65,4,20,0,228,489
"Brampton West/Brampton-Ouest"," 201A","Brampton",89,38,7,0,3,137,296
"Brampton West/Brampton-Ouest"," 201B","Brampton",91,32,2,12,2,139,270
"Brampton West/Brampton-Ouest"," 202","Brampton",158,65,1,19,0,243,433
"Brampton West/Brampton-Ouest"," 203A","Brampton",129,57,1,8,2,197,433
"Brampton West/Brampton-Ouest"," 203B","Brampton",141,75,2,17,4,239,482
"Brampton West/Brampton-Ouest"," 204","Brampton",141,71,6,16,0,234,454
"Brampton West/Brampton-Ouest"," 205","Brampton",121,76,3,30,1,231,468
"Brampton West/Brampton-Ouest"," 206","Brampton",131,62,5,19,5,222,441
"Brampton West/Brampton-Ouest"," 207","Brampton",89,64,6,9,0,168,389
"Brampton West/Brampton-Ouest"," 208","Brampton",175,58,3,23,0,259,485
"Brampton West/Brampton-Ouest"," 209A","Brampton",73,44,5,8,1,131,295
"Brampton West/Brampton-Ouest"," 209B","Brampton",107,24,3,12,0,146,309
"Brampton West/Brampton-Ouest"," 210A","Brampton",108,70,5,15,1,199,405
"Brampton West/Brampton-Ouest"," 210B","Brampton",94,67,7,17,0,185,412
"Brampton West/Brampton-Ouest"," 210C","Brampton",93,49,6,22,0,170,394
"Brampton West/Brampton-Ouest"," 210D","Brampton",71,55,6,12,1,145,341
"Brampton West/Brampton-Ouest"," 210E","Brampton",68,50,5,10,1,134,341
"Brampton West/Brampton-Ouest"," 210F","Brampton",76,49,9,10,0,144,331
"Brampton West/Brampton-Ouest"," 210G","Brampton",153,114,8,17,1,293,604
"Brampton West/Brampton-Ouest"," 400","Brampton",64,37,3,19,1,124,297
"Brampton West/Brampton-Ouest"," 401","Brampton",52,46,5,22,0,125,275
"Brampton West/Brampton-Ouest"," 402","Brampton",50,35,3,9,0,97,290
"Brampton West/Brampton-Ouest"," 403","Brampton",66,24,6,14,1,111,279
"Brampton West/Brampton-Ouest"," 404","Brampton",54,20,8,16,0,98,270
"Brampton West/Brampton-Ouest"," 405","Brampton",54,37,6,15,4,116,241
"Brampton West/Brampton-Ouest"," 406","Brampton",Merged with No. 408/Fusionné avec le nº 408,,,,,,123
"Brampton West/Brampton-Ouest"," 407","Brampton",92,194,11,37,0,334,488
"Brampton West/Brampton-Ouest"," 408","Brampton",96,236,2,21,0,355,168
"Brampton West/Brampton-Ouest"," 500","Mobile poll/Bureau itinérant",59,33,3,17,0,112,78
"Brampton West/Brampton-Ouest"," 600","Brampton",150,166,13,19,0,348,
"Brampton West/Brampton-Ouest"," 601","Brampton",369,298,61,22,5,755,
"Brampton West/Brampton-Ouest"," 602","Brampton",319,329,19,47,3,717,
"Brampton West/Brampton-Ouest"," 603","Brampton",346,262,10,46,5,669,
"Brampton West/Brampton-Ouest"," 604","Brampton",142,189,8,30,0,369,
"Brampton West/Brampton-Ouest"," 605","Brampton",230,242,25,40,0,537,
"Brampton West/Brampton-Ouest"," 606","Brampton",249,258,46,28,5,586,
"Brampton West/Brampton-Ouest"," 607","Brampton",308,383,22,51,3,767,
"Brampton West/Brampton-Ouest"," 608","Brampton",258,303,24,28,2,615,
"Brampton West/Brampton-Ouest"," 609","Brampton",453,364,12,48,3,880,
"Brampton West/Brampton-Ouest",,Group 1/Groupe 1,41,27,6,4,1,79,160
"Brampton West/Brampton-Ouest",,Group 2/Groupe 2,521,407,34,90,31,1083,
