Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Siobhan Coady,Barry Crozier,Loyola Hearn,Peg Norman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 23","St. John's",42,0,50,26,1,119,195
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 24","St. John's",65,2,69,21,0,157,331
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 25","St. John's",70,5,100,60,0,235,395
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 26","St. John's",69,2,81,51,1,204,394
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 27","St. John's",78,1,87,52,2,220,433
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 28","St. John's",42,1,61,30,0,134,278
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 29","St. John's",43,0,49,36,0,128,234
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 30","St. John's",47,0,69,15,0,131,334
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 31","St. John's",47,0,64,26,1,138,303
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 32","St. John's",57,1,59,28,0,145,291
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 33","St. John's",28,0,37,36,1,102,206
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 34A","St. John's",63,3,66,113,2,247,559
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 34B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,13
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 35","St. John's",31,1,28,26,0,86,313
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 36","St. John's",41,1,47,44,2,135,320
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 37","St. John's",42,2,52,35,0,131,307
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 38","St. John's",55,1,50,48,0,154,301
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 39","St. John's",45,0,68,56,3,172,297
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 40","St. John's",58,2,53,66,2,181,328
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 41","St. John's",75,2,33,50,2,162,407
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 42A","St. John's",79,1,61,42,1,184,377
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 42B","St. John's",36,2,50,15,1,104,148
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 43","St. John's",58,0,60,61,5,184,346
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 44","St. John's",93,0,68,43,0,204,433
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 45A","St. John's",70,1,40,26,0,137,299
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 45B","St. John's",36,1,28,29,0,94,298
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 46","St. John's",Void/Supprimé,,,,,,
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 47A","St. John's",46,1,63,44,2,156,284
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 47B","St. John's",50,3,55,34,0,142,299
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 48","St. John's",43,0,72,31,0,146,425
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 49","St. John's",54,1,66,42,0,163,432
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 50","St. John's",33,2,26,19,0,80,195
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 51","St. John's",31,1,52,37,0,121,232
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 52","St. John's",22,0,32,15,0,69,176
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 53","St. John's",29,0,28,14,0,71,191
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 54","St. John's",65,3,53,46,1,168,390
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 55","St. John's",53,0,51,37,0,141,433
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 56A","St. John's",64,0,34,28,0,126,264
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 56B","St. John's",50,0,47,24,0,121,269
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 57A","St. John's",30,0,62,18,2,112,247
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 57B","St. John's",28,0,41,24,0,93,250
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 58","St. John's",94,2,110,22,1,229,394
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 59","St. John's",87,0,104,41,0,232,450
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 60A","St. John's",45,0,82,31,0,158,263
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 60B","St. John's",45,1,64,25,0,135,248
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 61","St. John's",38,0,49,32,0,119,284
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 62","St. John's",44,0,48,47,0,139,390
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 63","St. John's",69,2,60,41,0,172,335
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 64","St. John's",70,2,71,41,1,185,407
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 65","St. John's",83,1,100,45,1,230,360
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 66","St. John's",77,1,120,52,2,252,403
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 67","St. John's",79,0,109,40,0,228,339
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 68","St. John's",71,0,81,43,0,195,389
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 69","St. John's",73,4,77,53,0,207,421
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 70","St. John's",78,3,89,39,1,210,309
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 71","St. John's",63,1,101,34,0,199,386
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 72","St. John's",98,0,110,37,0,245,423
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 73","St. John's",63,0,119,36,0,218,352
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 74","St. John's",113,1,98,36,0,248,403
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 75","St. John's",77,1,109,44,2,233,364
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 76","St. John's",98,0,78,52,2,230,384
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 77","St. John's",65,0,71,48,1,185,288
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 78","St. John's",109,1,113,42,0,265,409
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 79","St. John's",70,0,102,37,1,210,335
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 80","St. John's",59,2,87,31,1,180,283
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 81","St. John's",94,0,107,50,0,251,408
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 82","St. John's",66,1,44,37,0,148,243
