Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Françoise Boivin,Anne Levesque,Richard Nadeau,Patrick Robert,Gail Walker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Gatineau/Gatineau"," 51","Gatineau",60,22,65,31,5,0,183,399
"Gatineau/Gatineau"," 52","Gatineau",63,17,98,41,6,1,226,356
"Gatineau/Gatineau"," 53","Gatineau",46,25,79,41,7,2,200,346
"Gatineau/Gatineau"," 54","Gatineau",27,10,57,19,3,2,118,230
"Gatineau/Gatineau"," 55","Gatineau",59,26,91,38,5,2,221,382
"Gatineau/Gatineau"," 56","Gatineau",75,24,85,24,7,2,217,370
"Gatineau/Gatineau"," 57","Gatineau",67,15,81,45,6,4,218,377
"Gatineau/Gatineau"," 58","Gatineau",78,18,58,52,2,0,208,301
"Gatineau/Gatineau"," 59","Gatineau",55,26,37,31,10,3,162,335
"Gatineau/Gatineau"," 60","Gatineau",47,21,57,20,3,0,148,391
"Gatineau/Gatineau"," 61","Gatineau",101,22,56,55,6,4,244,381
"Gatineau/Gatineau"," 62","Gatineau",46,11,58,17,2,0,134,321
"Gatineau/Gatineau"," 63","Gatineau",44,4,50,19,1,0,118,295
"Gatineau/Gatineau"," 64","Gatineau",50,20,47,18,4,1,140,316
"Gatineau/Gatineau"," 65","Gatineau",70,23,67,31,3,1,195,398
"Gatineau/Gatineau"," 66","Gatineau",35,10,51,19,3,1,119,341
"Gatineau/Gatineau"," 67","Gatineau",46,16,59,27,2,0,150,341
"Gatineau/Gatineau"," 68","Gatineau",80,31,77,62,4,2,256,384
"Gatineau/Gatineau"," 69A","Gatineau",36,21,50,23,7,0,137,232
"Gatineau/Gatineau"," 69B","Gatineau",59,24,63,32,5,1,184,278
"Gatineau/Gatineau"," 70","Gatineau",44,16,36,14,3,0,113,268
"Gatineau/Gatineau"," 71","Gatineau",64,29,91,38,9,2,233,356
"Gatineau/Gatineau"," 72","Gatineau",38,15,63,30,3,0,149,249
"Gatineau/Gatineau"," 73","Gatineau",46,15,58,14,5,2,140,228
"Gatineau/Gatineau"," 74","Gatineau",57,24,102,29,12,3,227,448
"Gatineau/Gatineau"," 75","Gatineau",75,26,70,22,6,1,200,413
"Gatineau/Gatineau"," 76","Gatineau",49,19,70,28,8,3,177,398
"Gatineau/Gatineau"," 77","Gatineau",77,23,91,35,11,0,237,351
"Gatineau/Gatineau"," 78","Gatineau",65,22,110,19,3,0,219,364
"Gatineau/Gatineau"," 79","Gatineau",80,27,85,42,6,2,242,366
"Gatineau/Gatineau"," 80","Gatineau",68,20,91,44,5,4,232,332
"Gatineau/Gatineau"," 81","Gatineau",78,29,72,32,5,2,218,333
"Gatineau/Gatineau"," 82","Gatineau",43,19,102,20,5,1,190,437
"Gatineau/Gatineau"," 83A","Gatineau",88,19,65,27,2,4,205,376
"Gatineau/Gatineau"," 83B","Gatineau",87,11,62,36,4,2,202,361
"Gatineau/Gatineau"," 84","Gatineau",82,28,83,38,6,1,238,358
"Gatineau/Gatineau"," 85","Gatineau",90,24,106,38,12,0,270,385
"Gatineau/Gatineau"," 86A","Gatineau",117,11,47,31,0,0,206,320
"Gatineau/Gatineau"," 86B","Gatineau",109,14,58,35,3,1,220,361
"Gatineau/Gatineau"," 87","Gatineau",63,10,30,20,1,0,124,262
"Gatineau/Gatineau"," 88","Gatineau",63,14,50,29,7,4,167,351
"Gatineau/Gatineau"," 89","Gatineau",42,15,59,23,6,0,145,407
"Gatineau/Gatineau"," 90","Gatineau",64,25,70,33,2,1,195,330
"Gatineau/Gatineau"," 91A","Gatineau",43,10,52,25,4,1,135,255
"Gatineau/Gatineau"," 91B","Gatineau",63,14,42,34,5,3,161,292
"Gatineau/Gatineau"," 92","Gatineau",76,10,39,31,3,2,161,363
"Gatineau/Gatineau"," 93","Gatineau",40,9,39,14,1,1,104,326
"Gatineau/Gatineau"," 94","Gatineau",55,17,77,27,2,0,178,327
"Gatineau/Gatineau"," 95","Gatineau",78,14,92,32,6,1,223,367
"Gatineau/Gatineau"," 96","Gatineau",59,14,53,20,4,1,151,351
"Gatineau/Gatineau"," 97","Gatineau",43,18,34,24,1,0,120,242
"Gatineau/Gatineau"," 98","Gatineau",75,16,62,24,6,0,183,315
"Gatineau/Gatineau"," 99","Gatineau",27,19,24,10,3,0,83,322
"Gatineau/Gatineau"," 100","Gatineau",67,12,60,41,2,0,182,345
"Gatineau/Gatineau"," 101","Gatineau",72,18,64,36,6,0,196,365
"Gatineau/Gatineau"," 102","Gatineau",49,7,66,34,5,1,162,358
"Gatineau/Gatineau"," 103","Gatineau",56,18,82,35,6,2,199,359
"Gatineau/Gatineau"," 104A","Gatineau",36,16,42,17,2,0,113,263
"Gatineau/Gatineau"," 104B","Gatineau",Merged with No. 105B/Fusionné avec le nº 105B,,,,,,,48
"Gatineau/Gatineau"," 105A","Gatineau",46,11,50,18,1,1,127,390
"Gatineau/Gatineau"," 105B","Gatineau",85,4,31,17,0,2,139,203
"Gatineau/Gatineau"," 106","Gatineau",41,12,45,29,4,0,131,304
"Gatineau/Gatineau"," 107","Gatineau",53,12,63,20,4,0,152,445
"Gatineau/Gatineau"," 108","Gatineau",41,18,80,17,5,0,161,381
"Gatineau/Gatineau"," 109","Gatineau",52,16,108,32,12,4,224,398
"Gatineau/Gatineau"," 110","Gatineau",39,15,72,42,5,4,177,327
"Gatineau/Gatineau"," 111A","Gatineau",35,17,53,34,4,1,144,238
"Gatineau/Gatineau"," 111B","Gatineau",40,21,42,31,4,1,139,231
"Gatineau/Gatineau"," 112","Gatineau",44,18,82,20,4,3,171,293
"Gatineau/Gatineau"," 113","Gatineau",28,21,69,30,3,2,153,272
"Gatineau/Gatineau"," 114","Gatineau",50,18,99,29,1,1,198,326
"Gatineau/Gatineau"," 115","Gatineau",59,24,121,59,9,0,272,404
"Gatineau/Gatineau"," 116","Gatineau",80,29,110,41,3,2,265,435
"Gatineau/Gatineau"," 117A","Gatineau",61,18,59,43,6,0,187,287
"Gatineau/Gatineau"," 117B","Gatineau",52,13,65,45,4,1,180,297
"Gatineau/Gatineau"," 118","Gatineau",108,31,124,49,4,7,323,448
"Gatineau/Gatineau"," 119","Gatineau",59,32,95,30,4,2,222,326
"Gatineau/Gatineau"," 120","Gatineau",49,38,93,20,12,2,214,342
"Gatineau/Gatineau"," 121","Gatineau",68,30,134,43,6,4,285,466
"Gatineau/Gatineau"," 122","Gatineau",65,34,96,33,5,1,234,384
"Gatineau/Gatineau"," 123A","Gatineau",70,13,63,28,6,0,180,286
"Gatineau/Gatineau"," 123B","Gatineau",76,15,71,42,6,1,211,339
"Gatineau/Gatineau"," 124A","Gatineau",66,18,77,42,2,0,205,430
"Gatineau/Gatineau"," 124B","Gatineau",67,11,57,22,3,0,160,308
"Gatineau/Gatineau"," 125","Gatineau",46,26,107,37,9,5,230,391
"Gatineau/Gatineau"," 126","Gatineau",70,35,83,41,4,1,234,362
"Gatineau/Gatineau"," 127","Gatineau",84,52,155,48,9,1,349,421
"Gatineau/Gatineau"," 128","Gatineau",60,18,94,33,8,0,213,356
"Gatineau/Gatineau"," 129","Gatineau",48,25,91,28,5,3,200,325
"Gatineau/Gatineau"," 130","Gatineau",42,35,105,32,5,2,221,414
"Gatineau/Gatineau"," 131","Gatineau",39,22,76,18,8,0,163,333
"Gatineau/Gatineau"," 132","Gatineau",38,21,82,32,7,4,184,341
"Gatineau/Gatineau"," 133","Gatineau",60,27,94,35,10,1,227,346
"Gatineau/Gatineau"," 134","Gatineau",30,17,61,26,10,2,146,306
"Gatineau/Gatineau"," 135","Gatineau",45,24,80,27,12,0,188,391
"Gatineau/Gatineau"," 136","Gatineau",27,13,49,16,4,1,110,193
"Gatineau/Gatineau"," 137","Gatineau",39,19,77,15,7,0,157,339
"Gatineau/Gatineau"," 138","Gatineau",51,26,106,39,7,2,231,356
"Gatineau/Gatineau"," 139A","Gatineau",62,33,114,40,6,2,257,425
"Gatineau/Gatineau"," 139B","Gatineau",66,32,84,53,7,0,242,418
"Gatineau/Gatineau"," 140","Gatineau",49,13,58,26,5,1,152,317
"Gatineau/Gatineau"," 141","Gatineau",23,15,61,17,2,1,119,258
"Gatineau/Gatineau"," 142","Gatineau",72,24,115,33,5,3,252,377
"Gatineau/Gatineau"," 143","Gatineau",65,31,78,38,9,1,222,376
"Gatineau/Gatineau"," 144","Gatineau",68,7,84,28,7,5,199,343
"Gatineau/Gatineau"," 145","Gatineau",78,10,55,21,3,3,170,336
"Gatineau/Gatineau"," 146","Gatineau",59,25,77,34,10,1,206,331
"Gatineau/Gatineau"," 147","Gatineau",81,22,68,26,10,2,209,378
"Gatineau/Gatineau"," 148","Gatineau",47,12,74,32,9,0,174,356
"Gatineau/Gatineau"," 149","Gatineau",64,26,76,35,1,0,202,370
"Gatineau/Gatineau"," 150","Gatineau",59,22,70,22,10,1,184,313
"Gatineau/Gatineau"," 151","Gatineau",67,27,36,26,6,1,163,326
"Gatineau/Gatineau"," 152","Gatineau",63,15,84,30,5,1,198,392
"Gatineau/Gatineau"," 153","Gatineau",38,16,67,30,3,1,155,418
"Gatineau/Gatineau"," 154","Gatineau",45,21,96,29,3,1,195,407
"Gatineau/Gatineau"," 155","Gatineau",27,6,44,18,3,5,103,242
"Gatineau/Gatineau"," 156","Gatineau",56,28,84,28,5,2,203,344
"Gatineau/Gatineau"," 157","Gatineau",54,38,67,31,1,1,192,341
"Gatineau/Gatineau"," 158","Gatineau",51,6,55,23,6,0,141,301
"Gatineau/Gatineau"," 159","Gatineau",83,21,70,31,9,2,216,455
"Gatineau/Gatineau"," 160","Gatineau",70,25,58,36,4,1,194,343
"Gatineau/Gatineau"," 161","Gatineau",54,18,85,28,2,1,188,351
"Gatineau/Gatineau"," 162","Gatineau",59,11,65,36,5,0,176,312
"Gatineau/Gatineau"," 163","Gatineau",36,9,66,23,6,1,141,379
"Gatineau/Gatineau"," 164","Gatineau",53,18,60,24,1,0,156,344
"Gatineau/Gatineau"," 165","Gatineau",69,22,54,35,2,0,182,333
"Gatineau/Gatineau"," 166A","Gatineau",47,8,52,23,5,2,137,251
"Gatineau/Gatineau"," 166B","Gatineau",49,18,57,23,5,0,152,278
"Gatineau/Gatineau"," 167","Gatineau",49,11,39,12,1,0,112,311
"Gatineau/Gatineau"," 168","Gatineau",55,7,76,28,5,1,172,390
"Gatineau/Gatineau"," 169","Gatineau",51,12,56,21,5,1,146,273
"Gatineau/Gatineau"," 170","Gatineau",27,9,76,24,6,1,143,344
"Gatineau/Gatineau"," 171","Gatineau",71,22,70,45,5,0,213,369
"Gatineau/Gatineau"," 172","Gatineau",68,11,36,27,2,1,145,320
"Gatineau/Gatineau"," 173A","Gatineau",28,14,55,27,5,0,129,234
"Gatineau/Gatineau"," 173B","Gatineau",28,9,65,22,3,3,130,263
"Gatineau/Gatineau"," 174","Gatineau",39,5,71,30,6,2,153,296
"Gatineau/Gatineau"," 175","Gatineau",43,10,65,20,3,1,142,294
"Gatineau/Gatineau"," 176","Gatineau",44,15,64,26,6,1,156,356
"Gatineau/Gatineau"," 177","Gatineau",22,8,43,20,2,1,96,257
"Gatineau/Gatineau"," 178","Gatineau",45,13,74,28,0,3,163,419
"Gatineau/Gatineau"," 179","Gatineau",30,11,97,13,0,0,151,329
"Gatineau/Gatineau"," 180","Gatineau",46,13,41,30,1,0,131,302
"Gatineau/Gatineau"," 181","Gatineau",31,11,52,18,6,1,119,295
"Gatineau/Gatineau"," 182","Gatineau",62,19,69,36,7,3,196,389
"Gatineau/Gatineau"," 183","Gatineau",53,12,66,24,8,1,164,330
"Gatineau/Gatineau"," 184","Gatineau",22,9,91,38,3,0,163,320
"Gatineau/Gatineau"," 185A","Gatineau",39,9,102,46,7,1,204,345
"Gatineau/Gatineau"," 185B","Gatineau",38,10,54,24,4,3,133,263
"Gatineau/Gatineau"," 186A","Gatineau",29,15,74,17,5,1,141,274
"Gatineau/Gatineau"," 186B","Gatineau",30,22,81,22,2,4,161,279
"Gatineau/Gatineau"," 187A","Gatineau",44,19,69,36,4,0,172,301
"Gatineau/Gatineau"," 187B","Gatineau",39,11,86,27,1,0,164,291
"Gatineau/Gatineau"," 188","Gatineau",67,32,104,44,6,1,254,435
"Gatineau/Gatineau"," 189","Gatineau",53,34,128,32,9,3,259,426
"Gatineau/Gatineau"," 190","Gatineau",35,19,113,34,5,3,209,393
"Gatineau/Gatineau"," 191","Gatineau",66,32,65,37,5,2,207,340
"Gatineau/Gatineau"," 192A","Gatineau",30,6,60,21,2,5,124,242
"Gatineau/Gatineau"," 192B","Gatineau",23,4,59,18,1,0,105,241
"Gatineau/Gatineau"," 193","Gatineau",46,20,77,15,4,1,163,316
"Gatineau/Gatineau"," 194","Gatineau",26,10,55,27,3,4,125,262
"Gatineau/Gatineau"," 195","Gatineau",54,16,83,35,2,0,190,359
"Gatineau/Gatineau"," 196","Gatineau",46,26,134,34,5,1,246,357
"Gatineau/Gatineau"," 197","Gatineau",58,30,123,35,4,0,250,400
"Gatineau/Gatineau"," 198","Gatineau",70,26,103,33,1,2,235,341
"Gatineau/Gatineau"," 199","Gatineau",61,7,104,36,2,3,213,371
"Gatineau/Gatineau"," 200","Gatineau",56,22,92,22,5,0,197,354
"Gatineau/Gatineau"," 201","Gatineau",40,4,92,24,4,2,166,354
"Gatineau/Gatineau"," 202","Gatineau",52,8,69,42,6,2,179,389
"Gatineau/Gatineau"," 203","Gatineau",46,28,105,42,7,2,230,392
"Gatineau/Gatineau"," 204","Gatineau",42,13,85,30,5,0,175,313
"Gatineau/Gatineau"," 205A","Gatineau",60,39,113,57,3,1,273,427
"Gatineau/Gatineau"," 205B","Gatineau",76,28,139,41,2,3,289,453
"Gatineau/Gatineau"," 205C","Gatineau",78,27,92,38,7,0,242,398
"Gatineau/Gatineau"," 206A","Gatineau",43,17,89,34,3,0,186,294
"Gatineau/Gatineau"," 206B","Gatineau",48,15,74,27,5,0,169,285
"Gatineau/Gatineau"," 207","Gatineau",42,15,68,62,16,0,203,411
"Gatineau/Gatineau"," 208","Gatineau",33,28,80,18,7,1,167,289
"Gatineau/Gatineau"," 209","Gatineau",73,40,100,36,7,3,259,462
"Gatineau/Gatineau"," 210","Gatineau",51,33,93,43,6,2,228,384
"Gatineau/Gatineau"," 211","Gatineau",70,36,118,29,7,0,260,463
"Gatineau/Gatineau"," 212A","Gatineau",35,16,61,26,4,1,143,260
"Gatineau/Gatineau"," 212B","Gatineau",26,25,71,22,4,6,154,293
"Gatineau/Gatineau"," 213","Gatineau",48,48,95,32,7,1,231,311
"Gatineau/Gatineau"," 214","Gatineau",59,20,89,36,4,1,209,376
"Gatineau/Gatineau"," 215","Gatineau",48,18,84,37,5,0,192,318
"Gatineau/Gatineau"," 216","Gatineau",49,25,56,27,10,3,170,341
"Gatineau/Gatineau"," 217","Gatineau",38,18,84,24,2,3,169,351
"Gatineau/Gatineau"," 218","Gatineau",36,12,57,30,7,1,143,290
"Gatineau/Gatineau"," 500","Mobile poll/Bureau itinérant",11,3,6,4,0,4,28,55
"Gatineau/Gatineau"," 501","Mobile poll/Bureau itinérant",46,8,9,14,2,3,82,126
"Gatineau/Gatineau"," 502","Mobile poll/Bureau itinérant",58,3,22,13,1,4,101,138
"Gatineau/Gatineau"," 600","Gatineau",158,42,209,111,17,5,542,
"Gatineau/Gatineau"," 601","Gatineau",296,40,227,120,18,2,703,
"Gatineau/Gatineau"," 602","Gatineau",191,28,136,82,15,1,453,
"Gatineau/Gatineau"," 603","Gatineau",88,20,80,44,2,2,236,
"Gatineau/Gatineau"," 604","Gatineau",300,39,213,116,7,3,678,
"Gatineau/Gatineau"," 605","Gatineau",313,41,185,136,12,3,690,
"Gatineau/Gatineau"," 606","Gatineau",174,40,194,128,17,3,556,
"Gatineau/Gatineau"," 607","Gatineau",120,40,172,86,11,0,429,
"Gatineau/Gatineau"," 608","Gatineau",279,50,234,149,13,11,736,
"Gatineau/Gatineau"," 609","Gatineau",192,41,134,61,6,4,438,
"Gatineau/Gatineau"," 610","Gatineau",208,52,266,136,14,1,677,
"Gatineau/Gatineau"," 611","Gatineau",126,32,189,91,10,1,449,
"Gatineau/Gatineau",,Group 1/Groupe 1,73,20,69,65,5,5,237,508
"Gatineau/Gatineau",,Group 2/Groupe 2,644,91,549,225,24,22,1555,
