Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Russ Aegard,Ken Boshcoff,David Leskowski,Doug MacKay,John Rafferty,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 27","Mine Centre",2,5,23,1,6,1,38,98
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 28","Seine River 23B",0,22,1,9,58,1,91,158
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 29","Neguaguan Lake 25D",0,18,1,2,40,1,62,90
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 30","Fort Frances",4,43,33,3,75,0,158,329
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 31A","Fort Frances",2,32,41,3,57,1,136,320
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 31B","Fort Frances",4,34,36,3,56,1,134,311
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 32","Fort Frances",4,37,41,2,92,0,176,366
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 33","Fort Frances",3,51,54,3,99,1,211,383
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 34","Fort Frances",3,60,64,3,82,0,212,403
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 35","Fort Frances",4,60,79,1,94,1,239,434
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 36","Fort Frances",7,50,39,2,108,1,207,382
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 37","Fort Frances",2,51,37,2,85,0,177,378
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 38","Fort Frances",0,34,52,0,79,1,166,372
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 39","Fort Frances",5,27,26,2,59,0,119,283
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 40","Fort Frances",2,53,23,0,45,0,123,268
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 41","Fort Frances",5,92,109,0,89,1,296,463
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 42","Fort Frances",2,64,51,3,80,0,200,377
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 43","Fort Frances",2,24,34,1,79,1,141,290
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 44","Fort Frances",0,34,38,3,67,0,142,302
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 45","Atikokan",7,54,35,1,89,1,187,367
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 46","Atikokan",1,32,31,1,70,3,138,273
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 47","Atikokan",11,33,32,2,80,1,159,360
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 48","Atikokan",2,24,25,3,75,0,129,300
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 49","Atikokan",4,36,35,3,60,0,138,250
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 50","Atikokan",3,26,30,6,81,0,146,321
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 51","Atikokan",6,46,42,1,94,0,189,360
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 52","Atikokan",10,30,35,5,74,0,154,311
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 53","Sapawe",0,29,38,2,27,0,96,211
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 54","Upsala",3,33,49,4,20,1,110,220
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 55","Shebandowan",0,25,28,0,29,0,82,156
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 56A","Raith",11,31,33,0,69,1,145,308
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 56B","Raith",1,6,5,1,1,0,14,23
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 57","Mokomon",15,61,74,6,92,1,249,489
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 58","Millar",12,90,107,4,96,0,309,492
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 59A","Oliver",10,66,61,1,78,0,216,382
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 59B","Oliver",8,59,88,1,60,1,217,402
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 60","O'Connor",2,27,68,1,64,1,163,295
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 61","O'Connor",7,58,51,1,37,0,154,271
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 62","Paipoonge",12,64,91,0,61,0,228,381
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 63","Kakabeka Falls",5,45,74,1,41,0,166,264
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 64","Murillo",5,46,63,2,51,1,168,311
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 65","Murillo",Void/Supprimé,,,,,,,
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 66","Paipoonge",10,80,101,1,66,0,258,437
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 67","Paipoonge",6,88,109,1,54,0,258,400
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 68","Paipoonge",6,57,123,4,60,0,250,400
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 69","Paipoonge",7,49,77,0,54,0,187,280
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 70","Paipoonge",2,47,63,3,25,0,140,247
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 71A","Nolalu",13,35,47,1,55,2,153,286
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 71B","Nolalu",13,31,41,1,49,0,135,266
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 72","Hymers",9,21,47,4,35,0,116,169
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 73","South Gillies",19,35,46,0,50,2,152,247
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 74","Scoble West",11,60,68,3,62,1,205,386
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 75","Pardee",7,17,45,3,37,0,109,199
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 76","Crooks",5,20,32,1,32,0,90,154
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 77","Moose Hill",15,78,115,1,79,1,289,504
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 78","Thunder Bay",2,95,71,2,63,1,234,395
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 79","Thunder Bay",11,102,89,1,73,0,276,474
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 80","Thunder Bay",13,94,86,2,72,0,267,436
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 81","Thunder Bay",3,61,47,2,38,1,152,323
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 82","Thunder Bay",3,77,41,1,39,0,161,280
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 83","Thunder Bay",9,39,23,5,55,1,132,356
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 84","Thunder Bay",3,79,30,0,69,2,183,298
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 85","Thunder Bay",7,84,52,5,91,0,239,387
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 86","Thunder Bay",5,91,51,3,82,0,232,421
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 87","Thunder Bay",2,56,28,2,58,1,147,279
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 88","Thunder Bay",3,61,40,4,72,1,181,383
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 89","Thunder Bay",9,141,111,3,87,1,352,557
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 90","Thunder Bay",5,107,81,2,92,0,287,466
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 91","Thunder Bay",2,87,38,3,86,0,216,411
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 92","Thunder Bay",7,85,78,3,84,2,259,421
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 93","Thunder Bay",5,59,53,3,70,2,192,344
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 94","Thunder Bay",10,90,61,2,61,0,224,385
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 95","Thunder Bay",2,44,21,3,55,2,127,274
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 96","Thunder Bay",6,113,80,4,78,1,282,463
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 97A","Thunder Bay",4,54,45,0,51,0,154,314
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 97B","Thunder Bay",7,56,50,2,44,0,159,297
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 98","Thunder Bay",9,123,114,2,51,2,301,485
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 99","Thunder Bay",7,84,75,2,40,1,209,329
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 100","Thunder Bay",3,119,89,2,61,0,274,436
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 101","Thunder Bay",14,106,43,0,59,0,222,388
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 102","Thunder Bay",3,34,18,1,36,0,92,293
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 103","Thunder Bay",12,54,43,3,83,2,197,347
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 104","Thunder Bay",11,63,25,1,52,0,152,273
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 105","Thunder Bay",8,112,58,3,51,4,236,401
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 106","Thunder Bay",4,74,50,1,73,0,202,347
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 107","Thunder Bay",14,95,35,4,76,2,226,423
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 108","Thunder Bay",4,86,49,6,78,1,224,380
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 109","Thunder Bay",4,91,28,0,58,0,181,321
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 110","Thunder Bay",7,71,43,0,38,1,160,291
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 111","Thunder Bay",3,55,68,0,38,0,164,286
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 112","Thunder Bay",7,94,37,0,41,0,179,266
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 113","Thunder Bay",6,61,45,1,61,0,174,287
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 114","Thunder Bay",4,67,39,2,54,0,166,314
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 115","Thunder Bay",3,105,51,0,58,0,217,378
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 116","Thunder Bay",6,63,55,3,55,0,182,385
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 117","Thunder Bay",5,117,61,1,71,0,255,379
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 118","Thunder Bay",8,135,70,1,77,1,292,517
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 119","Thunder Bay",10,100,66,2,89,0,267,493
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 120","Thunder Bay",8,142,65,1,86,2,304,501
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 121","Thunder Bay",2,68,40,0,49,0,159,303
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 122","Thunder Bay",2,84,55,4,59,1,205,373
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 123","Thunder Bay",8,76,32,1,42,0,159,296
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 124","Thunder Bay",3,81,54,1,86,0,225,409
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 125","Thunder Bay",3,79,32,2,74,1,191,359
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 126","Thunder Bay",5,118,101,2,76,1,303,533
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 127","Thunder Bay",5,72,40,0,36,0,153,283
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 128A","Thunder Bay",6,94,54,3,84,0,241,531
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 128B","Mobile poll/Bureau itinérant",1,31,15,1,11,0,59,92
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 129","Thunder Bay",6,68,41,2,40,0,157,274
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 130","Thunder Bay",9,67,31,1,46,0,154,285
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 131","Thunder Bay",8,66,49,1,66,0,190,380
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 132","Thunder Bay",1,41,32,3,47,0,124,296
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 133","Thunder Bay",3,73,29,2,30,1,138,288
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 134","Thunder Bay",7,73,43,4,65,0,192,398
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 135","Thunder Bay",5,40,32,2,68,0,147,320
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 136","Thunder Bay",7,58,30,1,56,0,152,338
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 137","Thunder Bay",8,49,32,3,48,0,140,280
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 138","Thunder Bay",8,38,35,3,57,0,141,343
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 139","Thunder Bay",9,48,11,3,56,0,127,308
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 140","Thunder Bay",4,48,12,0,45,1,110,225
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 141","Thunder Bay",2,79,16,2,65,0,164,335
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 142","Thunder Bay",10,49,21,3,55,0,138,336
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 143","Thunder Bay",4,60,19,2,59,0,144,329
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 144","Thunder Bay",7,58,25,2,54,0,146,317
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 145","Thunder Bay",6,87,32,3,77,1,206,406
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 146","Thunder Bay",6,106,25,5,60,1,203,364
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 147","Thunder Bay",6,46,28,3,31,0,114,280
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 148","Thunder Bay",12,49,29,1,26,1,118,409
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 149","Thunder Bay",0,44,13,1,34,0,92,206
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 150","Thunder Bay",13,79,30,1,76,1,200,385
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 151","Thunder Bay",5,75,23,4,77,0,184,357
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 152","Thunder Bay",9,62,21,3,65,0,160,347
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 153","Thunder Bay",5,61,27,3,63,0,159,340
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 154","Thunder Bay",2,105,41,5,71,0,224,400
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 155","Thunder Bay",2,57,24,6,42,2,133,399
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 156","Thunder Bay",11,73,43,2,81,1,211,415
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 157","Thunder Bay",16,95,57,2,61,1,232,363
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 158","Thunder Bay",13,110,55,0,69,1,248,429
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 159","Thunder Bay",8,83,55,1,92,2,241,400
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 160","Thunder Bay",9,54,34,3,42,1,143,252
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 161","Thunder Bay",11,55,28,4,74,2,174,321
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 162","Thunder Bay",4,96,40,4,83,2,229,412
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 163","Thunder Bay",11,43,34,4,61,0,153,305
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 164","Thunder Bay",1,70,29,2,86,2,190,363
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 165","Thunder Bay",8,51,24,0,53,0,136,273
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 166","Thunder Bay",4,54,39,3,60,0,160,319
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 167","Thunder Bay",2,67,26,8,106,1,210,400
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 168","Thunder Bay",11,55,40,4,56,0,166,366
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 169A","Thunder Bay",13,64,60,8,52,2,199,396
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 169B","Mobile poll/Bureau itinérant",Merged with No. 128B/Fusionné avec le nº 128B,,,,,,,57
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 170","Thunder Bay",2,76,50,0,51,0,179,342
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 171","Thunder Bay",5,64,28,0,55,0,152,357
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 172","Thunder Bay",5,51,29,2,71,0,158,329
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 173","Thunder Bay",5,91,37,1,62,2,198,327
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 174","Thunder Bay",7,79,33,1,69,0,189,347
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 175","Thunder Bay",8,60,49,0,66,1,184,340
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 176","Thunder Bay",2,102,61,1,76,0,242,476
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 177","Thunder Bay",4,93,38,1,60,0,196,385
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 178","Thunder Bay",9,78,33,2,66,3,191,438
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 179","Thunder Bay",1,58,38,3,63,0,163,361
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 180","Thunder Bay",5,61,34,0,64,0,164,371
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 181","Thunder Bay",5,48,35,4,53,1,146,298
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 182","Thunder Bay",6,67,32,1,71,1,178,290
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 183","Thunder Bay",9,58,42,2,83,0,194,431
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 184","Thunder Bay",6,51,25,2,83,0,167,380
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 185","Fort William 52",8,128,9,3,51,0,199,568
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 600","Lake of the Woods",3,37,61,0,40,0,141,
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 601","Rainy River",3,36,68,3,35,0,145,
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 602","Fort Frances",9,123,115,3,126,1,377,
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 603","Atikokan",8,95,87,3,163,2,358,
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 604","Kakabeka",11,64,124,0,72,1,272,
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 605","Thunder Bay",7,154,81,1,99,0,342,
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 606","Thunder Bay",15,289,156,1,121,3,585,
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 607","Thunder Bay",18,229,192,1,97,1,538,
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 608","Thunder Bay",5,89,53,3,83,1,234,
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 609","Thunder Bay",7,137,66,1,71,0,282,
"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 610","Thunder Bay",11,213,129,4,138,2,497,
"Thunder Bay--Rainy River/Thunder Bay--Rainy River",,Group 1/Groupe 1,5,35,36,12,24,2,114,216
"Thunder Bay--Rainy River/Thunder Bay--Rainy River",,Group 2/Groupe 2,38,547,449,8,367,17,1426,
