Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sandy Agnew,Karen Graham,Jen Hill,Adrian Peter Kooger,Bruce Stanton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Simcoe North/Simcoe-Nord"," 27","Penetanguishene",7,107,39,0,37,1,191,305
"Simcoe North/Simcoe-Nord"," 28","Penetanguishene",13,120,42,1,48,2,226,388
"Simcoe North/Simcoe-Nord"," 29A","Penetanguishene",6,75,25,1,26,0,133,267
"Simcoe North/Simcoe-Nord"," 29B","Penetanguishene",5,75,20,2,24,1,127,279
"Simcoe North/Simcoe-Nord"," 30","Penetanguishene",17,129,34,4,45,4,233,489
"Simcoe North/Simcoe-Nord"," 31","Penetanguishene",7,49,19,2,18,0,95,184
"Simcoe North/Simcoe-Nord"," 32","Penetanguishene",9,111,34,5,43,0,202,404
"Simcoe North/Simcoe-Nord"," 33","Penetanguishene",7,61,41,1,25,0,135,296
"Simcoe North/Simcoe-Nord"," 34","Penetanguishene",9,80,41,3,46,3,182,348
"Simcoe North/Simcoe-Nord"," 35A","Midland",9,63,29,3,33,0,137,288
"Simcoe North/Simcoe-Nord"," 35B","Midland",5,56,15,0,52,0,128,283
"Simcoe North/Simcoe-Nord"," 36","Midland",10,57,20,1,35,0,123,235
"Simcoe North/Simcoe-Nord"," 37","Midland",7,58,17,6,39,2,129,294
"Simcoe North/Simcoe-Nord"," 38","Midland",9,79,32,2,45,1,168,373
"Simcoe North/Simcoe-Nord"," 39","Midland",10,54,44,0,41,1,150,328
"Simcoe North/Simcoe-Nord"," 40A","Midland",8,68,24,0,54,0,154,276
"Simcoe North/Simcoe-Nord"," 40B","Midland",13,64,21,3,52,0,153,267
"Simcoe North/Simcoe-Nord"," 41","Midland",11,88,27,2,43,0,171,345
"Simcoe North/Simcoe-Nord"," 42","Midland",5,103,23,1,65,1,198,403
"Simcoe North/Simcoe-Nord"," 43A","Midland",10,56,19,2,39,1,127,258
"Simcoe North/Simcoe-Nord"," 43B","Midland",10,63,14,3,34,2,126,260
"Simcoe North/Simcoe-Nord"," 44","Midland",15,87,31,0,56,1,190,397
"Simcoe North/Simcoe-Nord"," 45","Midland",13,98,28,1,64,1,205,405
"Simcoe North/Simcoe-Nord"," 46","Midland",18,57,21,1,37,0,134,254
"Simcoe North/Simcoe-Nord"," 47","Midland",15,76,20,3,63,4,181,347
"Simcoe North/Simcoe-Nord"," 48","Midland",3,57,14,0,54,1,129,280
"Simcoe North/Simcoe-Nord"," 49","Midland",4,45,33,0,43,0,125,252
"Simcoe North/Simcoe-Nord"," 50","Midland",13,41,17,1,45,0,117,262
"Simcoe North/Simcoe-Nord"," 51","Midland",22,60,36,1,35,1,155,345
"Simcoe North/Simcoe-Nord"," 52","Midland",11,42,30,0,40,1,124,311
"Simcoe North/Simcoe-Nord"," 53","Midland",10,64,25,2,38,3,142,289
"Simcoe North/Simcoe-Nord"," 54","Midland",14,70,38,6,48,3,179,384
"Simcoe North/Simcoe-Nord"," 55","Midland",10,59,36,4,36,0,145,404
"Simcoe North/Simcoe-Nord"," 56","Midland",10,70,21,1,57,2,161,326
"Simcoe North/Simcoe-Nord"," 57","Midland",23,118,33,3,69,0,246,426
"Simcoe North/Simcoe-Nord"," 58A","Midland",9,48,9,0,50,0,116,246
"Simcoe North/Simcoe-Nord"," 58B","Midland",16,43,21,0,54,0,134,246
"Simcoe North/Simcoe-Nord"," 59","Midland",9,80,38,2,41,1,171,338
"Simcoe North/Simcoe-Nord"," 60","Midland",6,99,33,1,71,0,210,391
"Simcoe North/Simcoe-Nord"," 61A","Midland",1,54,23,1,25,3,107,296
"Simcoe North/Simcoe-Nord"," 61B","Midland",10,56,35,4,47,0,152,304
"Simcoe North/Simcoe-Nord"," 62","Midland",12,70,35,2,55,0,174,318
"Simcoe North/Simcoe-Nord"," 63","Midland",17,87,42,1,59,0,206,416
"Simcoe North/Simcoe-Nord"," 64","Midland",13,96,44,1,63,0,217,448
"Simcoe North/Simcoe-Nord"," 65","Midland",9,98,20,4,71,0,202,413
"Simcoe North/Simcoe-Nord"," 66A","Penetanguishene",7,65,19,0,71,0,162,272
"Simcoe North/Simcoe-Nord"," 66B","Penetanguishene",10,56,14,0,42,1,123,242
"Simcoe North/Simcoe-Nord"," 67A","Midland",10,71,10,1,44,1,137,249
"Simcoe North/Simcoe-Nord"," 67B","Midland",4,63,10,1,50,0,128,259
"Simcoe North/Simcoe-Nord"," 68","Tay",12,60,14,0,48,3,137,247
"Simcoe North/Simcoe-Nord"," 69","Tay",13,65,34,0,70,0,182,338
"Simcoe North/Simcoe-Nord"," 70","Tay",11,35,47,1,46,0,140,262
"Simcoe North/Simcoe-Nord"," 71","Tay",8,64,42,1,51,1,167,306
"Simcoe North/Simcoe-Nord"," 72","Tay",16,69,74,0,79,1,239,421
"Simcoe North/Simcoe-Nord"," 73","Tay",8,89,43,0,39,0,179,367
"Simcoe North/Simcoe-Nord"," 74","Tay",20,76,27,0,76,0,199,377
"Simcoe North/Simcoe-Nord"," 75","Tay",9,68,25,0,61,1,164,308
"Simcoe North/Simcoe-Nord"," 76","Tay",7,53,23,0,52,1,136,276
"Simcoe North/Simcoe-Nord"," 77","Tay",16,89,45,4,77,0,231,446
"Simcoe North/Simcoe-Nord"," 78","Tay",16,68,42,0,54,1,181,290
"Simcoe North/Simcoe-Nord"," 79","Tay",11,51,40,0,71,0,173,364
"Simcoe North/Simcoe-Nord"," 80","Tay",16,95,45,0,75,0,231,392
"Simcoe North/Simcoe-Nord"," 81","Tay",18,109,52,1,90,0,270,499
"Simcoe North/Simcoe-Nord"," 82","Tay",12,63,24,0,35,0,134,271
"Simcoe North/Simcoe-Nord"," 83","Tay",16,74,45,1,74,0,210,420
"Simcoe North/Simcoe-Nord"," 84","Tay",15,61,30,6,100,0,212,335
"Simcoe North/Simcoe-Nord"," 85","Tay",27,113,44,2,81,0,267,482
"Simcoe North/Simcoe-Nord"," 86","Tay",15,68,37,1,64,0,185,367
"Simcoe North/Simcoe-Nord"," 87","Tay",12,37,17,1,58,0,125,229
"Simcoe North/Simcoe-Nord"," 88","Severn",9,48,9,1,66,0,133,290
"Simcoe North/Simcoe-Nord"," 89","Severn",0,38,15,4,46,0,103,208
"Simcoe North/Simcoe-Nord"," 90","Severn",16,59,36,2,108,0,221,306
"Simcoe North/Simcoe-Nord"," 91","Severn",9,37,30,2,51,1,130,242
"Simcoe North/Simcoe-Nord"," 92A","Severn",10,40,17,0,74,1,142,253
"Simcoe North/Simcoe-Nord"," 92B","Severn",9,48,18,1,72,0,148,259
"Simcoe North/Simcoe-Nord"," 93","Severn",23,100,46,4,169,2,344,507
"Simcoe North/Simcoe-Nord"," 94","Severn",23,74,41,2,159,3,302,477
"Simcoe North/Simcoe-Nord"," 95","Severn",10,43,25,5,112,0,195,374
"Simcoe North/Simcoe-Nord"," 96","Severn",8,50,26,1,95,0,180,363
"Simcoe North/Simcoe-Nord"," 97","Severn",18,113,28,2,131,1,293,473
"Simcoe North/Simcoe-Nord"," 98","Severn",23,64,35,0,116,0,238,399
"Simcoe North/Simcoe-Nord"," 99A","Severn",7,49,15,2,64,1,138,266
"Simcoe North/Simcoe-Nord"," 99B","Severn",3,59,18,2,50,1,133,262
"Simcoe North/Simcoe-Nord"," 100","Severn",20,71,42,4,102,0,239,444
"Simcoe North/Simcoe-Nord"," 101","Severn",14,43,40,2,74,0,173,281
"Simcoe North/Simcoe-Nord"," 102A","Severn",12,38,20,5,62,0,137,255
"Simcoe North/Simcoe-Nord"," 102B","Severn",11,48,29,4,70,1,163,258
"Simcoe North/Simcoe-Nord"," 103","Severn",5,54,27,4,117,0,207,318
"Simcoe North/Simcoe-Nord"," 104","Severn",17,86,19,2,91,0,215,387
"Simcoe North/Simcoe-Nord"," 105","Severn",5,59,30,5,99,0,198,468
"Simcoe North/Simcoe-Nord"," 106","Severn",9,60,28,0,91,1,189,319
"Simcoe North/Simcoe-Nord"," 107A","Severn",8,80,24,7,121,0,240,347
"Simcoe North/Simcoe-Nord"," 107B","Severn",12,70,26,0,104,0,212,322
"Simcoe North/Simcoe-Nord"," 108","Severn",4,40,12,2,77,3,138,302
"Simcoe North/Simcoe-Nord"," 109","Severn",13,110,30,3,150,0,306,475
"Simcoe North/Simcoe-Nord"," 110A","Oro-Medonte",24,76,23,0,82,0,205,281
"Simcoe North/Simcoe-Nord"," 110B","Oro-Medonte",20,67,20,0,70,1,178,292
"Simcoe North/Simcoe-Nord"," 111","Oro-Medonte",12,48,20,0,42,0,122,167
"Simcoe North/Simcoe-Nord"," 112A","Oro-Medonte",21,93,26,2,81,0,223,314
"Simcoe North/Simcoe-Nord"," 112B","Oro-Medonte",22,87,23,2,81,2,217,310
"Simcoe North/Simcoe-Nord"," 113","Oro-Medonte",14,54,28,0,93,1,190,322
"Simcoe North/Simcoe-Nord"," 114","Oro-Medonte",25,85,42,2,160,2,316,485
"Simcoe North/Simcoe-Nord"," 115","Oro-Medonte",9,79,43,1,148,0,280,425
"Simcoe North/Simcoe-Nord"," 116A","Oro-Medonte",12,78,18,2,92,0,202,325
"Simcoe North/Simcoe-Nord"," 116B","Oro-Medonte",9,51,27,6,97,0,190,301
"Simcoe North/Simcoe-Nord"," 117","Oro-Medonte",19,92,28,2,129,0,270,418
"Simcoe North/Simcoe-Nord"," 118","Oro-Medonte",8,61,34,0,107,0,210,368
"Simcoe North/Simcoe-Nord"," 119","Oro-Medonte",15,81,24,1,150,0,271,427
"Simcoe North/Simcoe-Nord"," 120","Oro-Medonte",8,57,9,3,109,0,186,254
"Simcoe North/Simcoe-Nord"," 121","Oro-Medonte",23,144,27,2,123,1,320,489
"Simcoe North/Simcoe-Nord"," 122A","Oro-Medonte",23,82,27,0,90,1,223,345
"Simcoe North/Simcoe-Nord"," 122B","Oro-Medonte",15,81,22,4,94,0,216,345
"Simcoe North/Simcoe-Nord"," 123A","Oro-Medonte",18,70,21,1,121,0,231,387
"Simcoe North/Simcoe-Nord"," 123B","Oro-Medonte",12,101,10,1,115,0,239,386
"Simcoe North/Simcoe-Nord"," 124","Oro-Medonte",Void/Supprimé,,,,,,,
"Simcoe North/Simcoe-Nord"," 125A","Oro-Medonte",16,70,26,3,103,0,218,353
"Simcoe North/Simcoe-Nord"," 125B","Oro-Medonte",13,76,24,4,141,1,259,379
"Simcoe North/Simcoe-Nord"," 126","Oro-Medonte",16,84,35,2,124,1,262,457
"Simcoe North/Simcoe-Nord"," 127","Oro-Medonte",22,101,21,4,146,0,294,478
"Simcoe North/Simcoe-Nord"," 128","Oro-Medonte",18,69,13,1,140,0,241,351
"Simcoe North/Simcoe-Nord"," 129","Oro-Medonte",3,45,18,6,62,1,135,266
"Simcoe North/Simcoe-Nord"," 130","Oro-Medonte",8,58,23,0,67,1,157,264
"Simcoe North/Simcoe-Nord"," 131","Oro-Medonte",18,77,20,2,113,0,230,411
"Simcoe North/Simcoe-Nord"," 132A","Oro-Medonte",8,72,25,0,70,0,175,316
"Simcoe North/Simcoe-Nord"," 132B","Oro-Medonte",15,51,23,1,100,0,190,341
"Simcoe North/Simcoe-Nord"," 133","Oro-Medonte",18,94,39,0,115,0,266,417
"Simcoe North/Simcoe-Nord"," 134","Oro-Medonte",16,107,31,3,121,0,278,410
"Simcoe North/Simcoe-Nord"," 135","Oro-Medonte",19,63,17,4,79,0,182,333
"Simcoe North/Simcoe-Nord"," 136","Oro-Medonte",33,73,39,1,127,0,273,466
"Simcoe North/Simcoe-Nord"," 137","Oro-Medonte",15,101,32,2,129,1,280,489
"Simcoe North/Simcoe-Nord"," 138","Oro-Medonte",18,71,30,1,95,1,216,365
"Simcoe North/Simcoe-Nord"," 139","Oro-Medonte",27,94,23,3,113,0,260,408
"Simcoe North/Simcoe-Nord"," 140A","Oro-Medonte",17,60,11,0,88,2,178,299
"Simcoe North/Simcoe-Nord"," 140B","Oro-Medonte",22,74,15,2,101,0,214,304
"Simcoe North/Simcoe-Nord"," 141","Oro-Medonte",Void/Supprimé,,,,,,,
"Simcoe North/Simcoe-Nord"," 142","Oro-Medonte",16,53,20,0,106,0,195,350
"Simcoe North/Simcoe-Nord"," 143A","Orillia",6,71,25,2,66,2,172,338
"Simcoe North/Simcoe-Nord"," 143B","Orillia",7,80,14,2,80,0,183,351
"Simcoe North/Simcoe-Nord"," 144","Orillia",3,58,26,4,73,1,165,273
"Simcoe North/Simcoe-Nord"," 145","Orillia",8,84,30,3,49,3,177,324
"Simcoe North/Simcoe-Nord"," 146","Orillia",10,114,45,4,127,4,304,549
"Simcoe North/Simcoe-Nord"," 147A","Orillia",5,42,20,1,62,0,130,271
"Simcoe North/Simcoe-Nord"," 147B","Orillia",5,58,18,1,60,0,142,272
"Simcoe North/Simcoe-Nord"," 148","Orillia",12,83,27,3,77,0,202,347
"Simcoe North/Simcoe-Nord"," 149A","Orillia",7,65,22,1,71,1,167,270
"Simcoe North/Simcoe-Nord"," 149B","Orillia",6,72,15,5,84,2,184,308
"Simcoe North/Simcoe-Nord"," 150","Orillia",6,95,13,2,69,2,187,287
"Simcoe North/Simcoe-Nord"," 151","Orillia",16,82,35,4,98,0,235,419
"Simcoe North/Simcoe-Nord"," 152","Orillia",8,71,22,1,57,1,160,317
"Simcoe North/Simcoe-Nord"," 153","Orillia",9,61,28,2,58,0,158,354
"Simcoe North/Simcoe-Nord"," 154","Orillia",15,79,34,5,51,1,185,342
"Simcoe North/Simcoe-Nord"," 155","Orillia",9,40,38,2,52,1,142,285
"Simcoe North/Simcoe-Nord"," 156","Orillia",14,49,44,4,52,2,165,362
"Simcoe North/Simcoe-Nord"," 157","Orillia",9,57,52,3,46,1,168,377
"Simcoe North/Simcoe-Nord"," 158","Orillia",10,83,36,4,82,1,216,412
"Simcoe North/Simcoe-Nord"," 159A","Orillia",7,54,24,3,40,0,128,259
"Simcoe North/Simcoe-Nord"," 159B","Orillia",6,42,19,2,57,1,127,247
"Simcoe North/Simcoe-Nord"," 160","Orillia",10,55,39,3,79,3,189,369
"Simcoe North/Simcoe-Nord"," 161","Orillia",6,73,42,4,46,0,171,427
"Simcoe North/Simcoe-Nord"," 162","Orillia",7,31,18,1,50,0,107,233
"Simcoe North/Simcoe-Nord"," 163A","Orillia",7,43,25,5,38,1,119,252
"Simcoe North/Simcoe-Nord"," 163B","Orillia",3,32,22,3,65,1,126,251
"Simcoe North/Simcoe-Nord"," 164","Orillia",13,86,36,3,88,0,226,411
"Simcoe North/Simcoe-Nord"," 165","Orillia",4,72,30,5,101,2,214,409
"Simcoe North/Simcoe-Nord"," 166","Orillia",5,62,29,2,69,0,167,327
"Simcoe North/Simcoe-Nord"," 167","Orillia",7,81,29,2,85,0,204,394
"Simcoe North/Simcoe-Nord"," 168","Orillia",9,53,50,1,62,0,175,358
"Simcoe North/Simcoe-Nord"," 169A","Orillia",8,42,22,1,59,0,132,246
"Simcoe North/Simcoe-Nord"," 169B","Orillia",6,53,15,3,46,0,123,236
"Simcoe North/Simcoe-Nord"," 170A","Orillia",8,47,19,0,64,0,138,249
"Simcoe North/Simcoe-Nord"," 170B","Orillia",7,61,13,5,52,0,138,249
"Simcoe North/Simcoe-Nord"," 171","Orillia",18,115,55,1,138,1,328,546
"Simcoe North/Simcoe-Nord"," 172","Orillia",15,86,29,2,84,0,216,378
"Simcoe North/Simcoe-Nord"," 173","Orillia",7,77,25,4,111,6,230,514
"Simcoe North/Simcoe-Nord"," 174","Orillia",11,63,40,5,53,0,172,336
"Simcoe North/Simcoe-Nord"," 175","Orillia",10,48,36,5,77,0,176,345
"Simcoe North/Simcoe-Nord"," 176","Orillia",6,93,22,1,109,1,232,429
"Simcoe North/Simcoe-Nord"," 177","Orillia",16,62,27,6,69,0,180,384
"Simcoe North/Simcoe-Nord"," 178","Orillia",20,88,41,4,89,0,242,426
"Simcoe North/Simcoe-Nord"," 179","Orillia",15,86,31,1,97,4,234,412
"Simcoe North/Simcoe-Nord"," 180","Orillia",13,86,25,1,30,0,155,298
"Simcoe North/Simcoe-Nord"," 181","Orillia",10,79,26,1,54,2,172,367
"Simcoe North/Simcoe-Nord"," 182","Orillia",9,45,34,3,61,1,153,453
"Simcoe North/Simcoe-Nord"," 183","Orillia",15,56,41,4,61,0,177,452
"Simcoe North/Simcoe-Nord"," 184","Orillia",11,62,17,4,66,0,160,320
"Simcoe North/Simcoe-Nord"," 185","Orillia",9,85,7,0,88,0,189,402
"Simcoe North/Simcoe-Nord"," 186","Orillia",10,52,23,4,51,0,140,259
"Simcoe North/Simcoe-Nord"," 187","Orillia",8,95,19,1,118,1,242,427
"Simcoe North/Simcoe-Nord"," 188","Orillia",13,102,31,1,91,1,239,435
"Simcoe North/Simcoe-Nord"," 189","Orillia",9,71,37,1,71,0,189,377
"Simcoe North/Simcoe-Nord"," 190","Orillia",6,63,36,3,68,1,177,351
"Simcoe North/Simcoe-Nord"," 191","Orillia",4,35,26,2,44,2,113,208
"Simcoe North/Simcoe-Nord"," 192","Orillia",4,77,39,2,68,0,190,371
"Simcoe North/Simcoe-Nord"," 193","Orillia",13,51,35,1,65,0,165,352
"Simcoe North/Simcoe-Nord"," 194A","Orillia",9,34,28,1,54,0,126,273
"Simcoe North/Simcoe-Nord"," 194B","Orillia",4,36,16,1,45,0,102,265
"Simcoe North/Simcoe-Nord"," 195","Orillia",8,59,59,5,82,0,213,378
"Simcoe North/Simcoe-Nord"," 196","Orillia",11,68,35,1,67,1,183,355
"Simcoe North/Simcoe-Nord"," 197","Orillia",4,66,38,2,95,0,205,362
"Simcoe North/Simcoe-Nord"," 198","Orillia",7,72,22,2,82,1,186,340
"Simcoe North/Simcoe-Nord"," 199","Ramara",18,91,28,3,145,1,286,423
"Simcoe North/Simcoe-Nord"," 200","Ramara",21,100,58,1,79,0,259,411
"Simcoe North/Simcoe-Nord"," 201","Ramara",16,79,97,6,30,0,228,425
"Simcoe North/Simcoe-Nord"," 202","Ramara",16,67,31,3,100,0,217,385
"Simcoe North/Simcoe-Nord"," 203","Ramara",17,71,41,0,77,0,206,367
"Simcoe North/Simcoe-Nord"," 204","Ramara",6,39,24,1,80,1,151,284
"Simcoe North/Simcoe-Nord"," 205","Ramara",8,71,27,8,100,0,214,331
"Simcoe North/Simcoe-Nord"," 206","Ramara",4,45,11,5,69,0,134,260
"Simcoe North/Simcoe-Nord"," 207","Ramara",17,77,39,17,108,0,258,437
"Simcoe North/Simcoe-Nord"," 208","Ramara",4,75,22,6,105,1,213,357
"Simcoe North/Simcoe-Nord"," 209","Ramara",17,86,39,4,101,0,247,399
"Simcoe North/Simcoe-Nord"," 210","Ramara",10,97,46,4,86,0,243,381
"Simcoe North/Simcoe-Nord"," 211A","Ramara",5,55,7,0,87,0,154,247
"Simcoe North/Simcoe-Nord"," 211B","Ramara",7,44,8,1,71,0,131,263
"Simcoe North/Simcoe-Nord"," 212","Ramara",20,93,34,5,72,0,224,364
"Simcoe North/Simcoe-Nord"," 213A","Ramara",4,59,9,1,72,0,145,241
"Simcoe North/Simcoe-Nord"," 213B","Ramara",4,68,13,2,58,0,145,242
"Simcoe North/Simcoe-Nord"," 214","Ramara",7,78,23,0,103,0,211,427
"Simcoe North/Simcoe-Nord"," 215","Ramara",8,68,19,4,88,1,188,311
"Simcoe North/Simcoe-Nord"," 216","Ramara",Void/Supprimé,,,,,,,
"Simcoe North/Simcoe-Nord"," 217A","Ramara",3,49,25,2,66,1,146,251
"Simcoe North/Simcoe-Nord"," 217B","Ramara",10,46,11,4,101,0,172,263
"Simcoe North/Simcoe-Nord"," 500","Mobile poll/Bureau itinérant",5,4,0,0,4,2,15,139
"Simcoe North/Simcoe-Nord"," 501","Mobile poll/Bureau itinérant",0,35,12,0,9,0,56,95
"Simcoe North/Simcoe-Nord"," 600","Tiny",36,278,75,3,255,1,648,
"Simcoe North/Simcoe-Nord"," 601","Penetanguishene",24,366,80,11,236,4,721,
"Simcoe North/Simcoe-Nord"," 602","Midland",35,337,64,6,240,4,686,
"Simcoe North/Simcoe-Nord"," 603","Midland",27,270,76,7,261,2,643,
"Simcoe North/Simcoe-Nord"," 604","Tay",23,186,83,6,259,1,558,
"Simcoe North/Simcoe-Nord"," 605","Severn",24,156,52,2,393,2,629,
"Simcoe North/Simcoe-Nord"," 606","Oro-Medonte",18,106,33,0,193,0,350,
"Simcoe North/Simcoe-Nord"," 607","Oro-Medonte",44,171,53,4,407,1,680,
"Simcoe North/Simcoe-Nord"," 608","Orillia",42,297,102,15,476,1,933,
"Simcoe North/Simcoe-Nord"," 609","Orillia",32,279,85,9,439,0,844,
"Simcoe North/Simcoe-Nord"," 610","Ramara",19,145,29,4,192,0,389,
"Simcoe North/Simcoe-Nord",,Group 1/Groupe 1,12,42,8,0,42,4,108,206
"Simcoe North/Simcoe-Nord",,Group 2/Groupe 2,136,1242,289,15,1593,34,3309,
