Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dan Aubut,Francis Bedard,Frédérik Boisvert,Yonnel Bonaventure,Caroline Drolet,Christiane Gagnon,Michaël Lessard,Alexandre Raymond-Labrie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Québec/Québec"," 82","Québec",2,0,25,12,10,128,43,3,0,223,430
"Québec/Québec"," 83","Québec",10,1,40,16,21,131,37,2,2,260,515
"Québec/Québec"," 84","Québec",2,0,74,10,8,85,9,4,4,196,366
"Québec/Québec"," 85","Québec",2,0,57,11,19,66,10,0,2,167,335
"Québec/Québec"," 86","Québec",7,1,62,8,8,52,15,1,2,156,330
"Québec/Québec"," 87","Québec",3,0,51,4,6,71,19,2,2,158,299
"Québec/Québec"," 88","Québec",4,2,34,11,8,91,26,3,9,188,328
"Québec/Québec"," 89","Québec",4,1,32,12,9,73,23,1,4,159,326
"Québec/Québec"," 90","Québec",3,2,50,17,10,90,6,6,2,186,381
"Québec/Québec"," 91","Québec",3,1,76,1,29,45,15,1,4,175,373
"Québec/Québec"," 92","Québec",2,2,51,15,12,86,17,2,0,187,424
"Québec/Québec"," 93","Québec",2,0,61,13,11,74,19,0,2,182,394
"Québec/Québec"," 94","Québec",2,0,51,6,17,92,12,1,4,185,341
"Québec/Québec"," 95","Québec",4,1,42,12,13,75,20,2,11,180,378
"Québec/Québec"," 96","Québec",5,2,47,5,12,83,15,3,4,176,368
"Québec/Québec"," 97","Québec",4,1,42,15,23,56,9,4,1,155,391
"Québec/Québec"," 98","Québec",3,3,34,5,24,48,9,5,4,135,277
"Québec/Québec"," 99","Québec",4,3,53,11,19,110,24,1,4,229,442
"Québec/Québec"," 100","Québec",6,0,50,12,18,114,24,0,6,230,410
"Québec/Québec"," 101","Québec",8,2,57,16,15,128,22,0,3,251,427
"Québec/Québec"," 102","Québec",3,2,39,9,8,54,16,1,0,132,368
"Québec/Québec"," 103","Québec",5,1,57,11,10,61,17,1,3,166,375
"Québec/Québec"," 104","Québec",3,0,48,6,12,62,11,1,5,148,371
"Québec/Québec"," 105","Québec",9,1,40,15,14,85,10,1,2,177,405
"Québec/Québec"," 106","Québec",7,0,46,7,12,84,19,3,1,179,344
"Québec/Québec"," 107","Québec",3,2,67,14,18,61,19,4,5,193,427
"Québec/Québec"," 108","Québec",5,0,38,7,10,53,9,3,2,127,352
"Québec/Québec"," 109","Québec",5,3,56,4,17,83,10,1,3,182,400
"Québec/Québec"," 110","Québec",8,2,76,7,33,91,9,5,2,233,443
"Québec/Québec"," 111","Québec",5,2,52,8,15,63,6,1,8,160,348
"Québec/Québec"," 112","Québec",2,7,70,16,21,73,23,2,5,219,464
"Québec/Québec"," 113","Québec",10,0,74,5,21,64,28,3,1,206,386
"Québec/Québec"," 114","Québec",5,1,47,1,12,60,9,0,3,138,331
"Québec/Québec"," 115","Québec",0,1,14,4,28,19,7,0,4,77,260
"Québec/Québec"," 116","Québec",5,0,60,5,16,63,9,2,7,167,312
"Québec/Québec"," 117","Québec",4,1,55,12,13,80,9,1,4,179,388
"Québec/Québec"," 118","Québec",3,2,96,12,19,80,19,7,1,239,462
"Québec/Québec"," 119","Québec",0,2,36,14,8,91,29,1,2,183,343
"Québec/Québec"," 120","Québec",1,0,45,19,13,117,39,1,4,239,367
"Québec/Québec"," 121","Québec",3,0,27,9,28,38,4,2,2,113,255
"Québec/Québec"," 122","Québec",5,0,47,13,14,137,34,2,1,253,408
"Québec/Québec"," 123","Québec",1,1,50,12,33,81,30,2,0,210,362
"Québec/Québec"," 124","Québec",0,1,39,9,16,120,29,1,2,217,347
"Québec/Québec"," 125","Québec",1,4,92,3,109,63,10,2,4,288,386
"Québec/Québec"," 126","Québec",5,1,48,2,43,26,4,1,2,132,185
"Québec/Québec"," 127","Québec",3,1,47,15,30,52,22,0,1,171,273
"Québec/Québec"," 128","Québec",1,2,63,3,64,33,8,0,2,176,280
"Québec/Québec"," 129","Québec",3,3,53,10,18,95,33,1,5,221,343
"Québec/Québec"," 130","Québec",5,3,62,7,44,101,14,4,4,244,447
"Québec/Québec"," 131","Québec",3,0,71,11,26,90,25,1,3,230,388
"Québec/Québec"," 132","Québec",2,2,56,11,25,129,48,1,0,274,438
"Québec/Québec"," 133","Québec",2,0,53,10,23,74,19,1,2,184,334
"Québec/Québec"," 134","Québec",4,2,45,17,23,119,35,4,0,249,384
"Québec/Québec"," 135","Québec",1,0,48,19,20,121,33,0,1,243,388
"Québec/Québec"," 136","Québec",3,2,54,26,14,123,40,2,1,265,419
"Québec/Québec"," 137","Québec",4,1,77,15,46,162,48,3,3,359,468
"Québec/Québec"," 138","Québec",4,8,99,6,121,76,9,5,7,335,435
"Québec/Québec"," 139","Québec",3,1,66,9,41,90,20,0,2,232,324
"Québec/Québec"," 140","Québec",2,3,32,25,15,163,28,0,4,272,427
"Québec/Québec"," 141","Québec",0,1,54,12,21,79,18,0,0,185,371
"Québec/Québec"," 142","Québec",1,3,67,6,61,47,8,0,1,194,362
"Québec/Québec"," 143","Québec",1,1,54,11,20,121,41,4,2,255,471
"Québec/Québec"," 144","Québec",1,0,33,18,14,138,30,0,0,234,372
"Québec/Québec"," 145","Québec",0,1,127,17,59,129,25,4,2,364,578
"Québec/Québec"," 146","Québec",4,1,43,12,21,151,39,1,3,275,390
"Québec/Québec"," 147","Québec",4,0,35,14,12,156,36,0,1,258,364
"Québec/Québec"," 148","Québec",4,0,70,13,31,107,19,1,0,245,380
"Québec/Québec"," 149","Québec",0,0,77,11,19,119,32,3,3,264,426
"Québec/Québec"," 150","Québec",3,0,42,18,14,128,29,1,1,236,344
"Québec/Québec"," 151","Québec",2,1,46,17,31,130,48,1,2,278,400
"Québec/Québec"," 152","Québec",4,5,64,3,40,39,9,1,1,166,252
"Québec/Québec"," 153","Québec",1,0,25,7,10,72,34,1,1,151,256
"Québec/Québec"," 154","Québec",0,1,44,18,24,123,28,3,2,243,382
"Québec/Québec"," 155","Québec",1,1,42,18,16,100,33,0,0,211,304
"Québec/Québec"," 156","Québec",1,0,41,10,10,84,14,2,0,162,239
"Québec/Québec"," 157","Québec",3,0,66,5,37,97,17,2,1,228,382
"Québec/Québec"," 158","Québec",Void/Supprimé,,,,,,,,,,
"Québec/Québec"," 159A","Québec",1,0,90,9,47,105,15,4,2,273,516
"Québec/Québec"," 159B","Québec",1,1,94,9,51,103,16,3,1,279,529
"Québec/Québec"," 159C","Québec",6,2,98,18,57,94,21,3,3,302,550
"Québec/Québec"," 160","Québec",Void/Supprimé,,,,,,,,,,
"Québec/Québec"," 161","Québec",3,0,24,20,9,140,41,3,1,241,393
"Québec/Québec"," 162","Québec",1,1,17,21,4,136,40,0,1,221,376
"Québec/Québec"," 163","Québec",1,0,48,13,18,125,44,3,1,253,455
"Québec/Québec"," 164A","Québec",4,0,47,12,14,84,18,1,4,184,357
"Québec/Québec"," 164B","Québec",0,1,15,1,7,5,0,0,2,31,62
"Québec/Québec"," 165","Québec",4,0,50,20,16,110,30,1,0,231,390
"Québec/Québec"," 166","Québec",0,0,17,8,9,67,8,0,0,109,233
"Québec/Québec"," 167","Québec",2,1,67,9,48,53,12,6,4,202,420
"Québec/Québec"," 168","Québec",2,0,41,21,10,154,55,4,0,287,495
"Québec/Québec"," 169","Québec",1,2,35,21,15,134,32,0,1,241,517
"Québec/Québec"," 170","Québec",3,3,21,30,3,162,41,0,1,264,431
"Québec/Québec"," 171","Québec",1,2,37,28,20,156,32,0,3,279,438
"Québec/Québec"," 172","Québec",1,2,42,22,15,104,37,0,4,227,390
"Québec/Québec"," 173","Québec",1,0,38,26,17,103,31,0,2,218,445
"Québec/Québec"," 174","Québec",4,1,40,19,18,113,34,1,6,236,382
"Québec/Québec"," 175","Québec",4,6,86,10,121,95,18,1,4,345,505
"Québec/Québec"," 176","Québec",0,1,38,5,15,68,8,5,1,141,229
"Québec/Québec"," 177","Québec",1,1,59,9,43,81,12,2,2,210,353
"Québec/Québec"," 178","Québec",0,0,37,6,26,41,17,3,0,130,240
"Québec/Québec"," 179","Québec",0,0,36,8,32,41,7,3,0,127,207
"Québec/Québec"," 180","Québec",2,0,45,14,18,116,25,2,3,225,365
"Québec/Québec"," 181","Québec",1,1,39,18,17,130,30,3,3,242,384
"Québec/Québec"," 182","Québec",0,0,36,14,19,144,32,2,3,250,419
"Québec/Québec"," 183","Québec",3,4,62,13,38,74,18,0,3,215,354
"Québec/Québec"," 184","Québec",1,0,72,9,32,82,15,3,3,217,371
"Québec/Québec"," 185","Québec",2,1,38,15,21,123,30,2,2,234,343
"Québec/Québec"," 186","Québec",2,1,105,13,18,167,41,3,3,353,594
"Québec/Québec"," 187","Québec",4,0,55,13,12,143,28,2,2,259,511
"Québec/Québec"," 188","Québec",1,0,28,11,18,69,18,0,7,152,340
"Québec/Québec"," 189","Québec",1,0,29,12,20,104,45,1,1,213,383
"Québec/Québec"," 190","Québec",0,1,63,7,28,99,18,2,0,218,365
"Québec/Québec"," 191","Québec",1,0,33,16,15,79,27,0,1,172,312
"Québec/Québec"," 192","Québec",3,0,21,11,12,86,26,2,2,163,332
"Québec/Québec"," 193","Québec",0,1,37,13,60,43,16,2,2,174,318
"Québec/Québec"," 194","Québec",3,0,31,27,23,145,41,0,4,274,423
"Québec/Québec"," 195","Québec",0,1,41,27,6,153,31,2,3,264,410
"Québec/Québec"," 196","Québec",2,0,25,25,6,161,48,2,3,272,406
"Québec/Québec"," 197","Québec",0,0,17,27,11,166,45,2,2,270,430
"Québec/Québec"," 198","Québec",3,0,29,29,11,166,46,3,1,288,502
"Québec/Québec"," 199","Québec",2,0,17,20,12,146,57,1,2,257,443
"Québec/Québec"," 200","Québec",1,1,22,25,7,121,42,0,0,219,385
"Québec/Québec"," 201","Québec",2,0,50,18,23,92,25,0,5,215,445
"Québec/Québec"," 202","Québec",2,1,50,15,33,107,32,1,3,244,445
"Québec/Québec"," 203","Québec",2,0,41,4,14,72,23,3,1,160,311
"Québec/Québec"," 204","Québec",6,1,72,18,23,78,19,4,2,223,390
"Québec/Québec"," 400","Québec",2,4,30,0,56,16,0,1,3,112,271
"Québec/Québec"," 500","Mobile poll/Bureau itinérant",0,3,14,0,4,4,0,2,0,27,70
"Québec/Québec"," 501","Mobile poll/Bureau itinérant",3,3,27,0,28,8,3,1,3,76,123
"Québec/Québec"," 502","Mobile poll/Bureau itinérant",1,2,10,2,14,9,1,1,3,43,128
"Québec/Québec"," 503","Mobile poll/Bureau itinérant",2,3,18,1,18,22,4,1,7,76,114
"Québec/Québec"," 504","Mobile poll/Bureau itinérant",3,3,40,2,81,29,3,1,11,173,223
"Québec/Québec"," 600","Québec",5,2,128,4,28,96,8,3,2,276,
"Québec/Québec"," 601","Québec",9,1,115,4,30,94,13,2,3,271,
"Québec/Québec"," 602","Québec",15,4,181,12,69,145,13,8,4,451,
"Québec/Québec"," 603","Québec",9,3,144,9,37,85,19,8,3,317,
"Québec/Québec"," 604","Québec",10,2,155,8,39,137,25,1,7,384,
"Québec/Québec"," 605","Québec",11,3,97,6,34,55,5,4,3,218,
"Québec/Québec"," 606","Québec",8,1,119,3,39,60,8,0,0,238,
"Québec/Québec"," 607","Québec",4,1,75,10,33,124,21,2,2,272,
"Québec/Québec"," 608","Québec",0,1,39,8,34,81,21,2,0,186,
"Québec/Québec"," 609","Québec",2,4,54,6,19,77,14,2,3,181,
"Québec/Québec"," 610","Québec",2,2,25,3,21,69,8,3,9,142,
"Québec/Québec"," 611","Québec",5,1,58,5,39,74,9,4,3,198,
"Québec/Québec"," 612","Québec",10,3,58,0,24,57,5,1,5,163,
"Québec/Québec"," 613","Québec",3,1,61,7,46,96,17,1,0,232,
"Québec/Québec"," 614","Québec",8,2,93,10,49,98,14,2,6,282,
"Québec/Québec"," 615","Québec",3,1,72,5,62,136,25,2,0,306,
"Québec/Québec"," 616","Québec",1,2,155,12,134,164,20,8,2,498,
"Québec/Québec"," 617","Québec",7,5,93,12,66,218,44,6,4,455,
"Québec/Québec"," 618","Québec",2,1,84,11,82,155,29,8,2,374,
"Québec/Québec"," 619","Québec",1,0,44,8,35,126,20,4,1,239,
"Québec/Québec"," 620","Québec",1,1,40,8,30,106,27,3,0,216,
"Québec/Québec",,Group 1/Groupe 1,3,4,106,11,43,98,15,4,9,293,508
"Québec/Québec",,Group 2/Groupe 2,17,6,232,43,372,609,108,5,21,1413,
