Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sven Biggs,Dawn Black,Dick Estey,Paul Forseth,Joyce Murray,Joseph Theriault,Paul Warnett,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 173","New Westminster",1,88,0,48,31,0,3,3,174,301
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 174A","New Westminster",2,71,0,72,37,0,2,1,185,262
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 174B","New Westminster",4,85,0,52,59,0,1,0,201,273
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 175","New Westminster",0,47,0,48,30,2,1,1,129,178
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 176","New Westminster",7,127,0,71,65,0,1,1,272,456
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 177","New Westminster",1,89,0,26,15,0,0,3,134,244
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 178","New Westminster",9,105,1,46,39,1,1,3,205,453
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 179","New Westminster",6,72,0,33,44,0,2,0,157,310
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 180","New Westminster",10,96,0,85,60,0,2,0,253,403
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 181","New Westminster",17,99,2,76,77,0,2,0,273,446
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 182A","New Westminster",6,64,0,25,26,0,2,0,123,263
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 182B","New Westminster",3,70,1,16,26,2,0,0,118,243
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 183","New Westminster",12,90,0,37,44,0,4,1,188,327
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 184","New Westminster",8,77,1,41,44,2,0,1,174,369
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 185","New Westminster",7,115,0,101,52,0,4,0,279,434
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 186","New Westminster",6,96,0,89,89,0,5,0,285,426
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 187A","New Westminster",3,50,0,38,20,0,3,0,114,261
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 187B","New Westminster",3,75,0,32,36,0,1,0,147,262
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 188","New Westminster",7,106,0,30,43,0,0,1,187,345
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 189","New Westminster",12,79,2,48,39,0,1,1,182,336
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 190A","New Westminster",9,51,0,28,42,0,1,0,131,249
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 190B","New Westminster",12,68,1,46,52,0,2,1,182,279
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 191","New Westminster",10,99,0,44,36,0,1,0,190,291
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 192","New Westminster",2,71,0,31,32,0,4,0,140,281
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 193","New Westminster",17,76,0,48,29,1,5,2,178,373
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 194","New Westminster",6,83,0,40,49,1,0,3,182,321
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 195","New Westminster",11,90,1,43,38,0,4,0,187,322
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 500","Mobile poll/Bureau itinérant",2,31,0,35,20,0,1,4,93,242
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 501","Mobile poll/Bureau itinérant",10,53,1,26,38,4,3,4,139,275
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 502","Mobile poll/Bureau itinérant",1,41,1,29,13,1,2,3,91,212
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 600","Port Moody",20,175,2,180,135,1,7,1,521,
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 601","Coquitlam",10,178,0,271,144,0,31,0,634,
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 602","Coquitlam",5,144,1,263,116,2,8,1,540,
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 603","Coquitlam",8,143,1,218,110,0,6,0,486,
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 604","Coquitlam",11,143,1,153,73,0,4,2,387,
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 605","Coquitlam",19,169,1,233,157,0,7,4,590,
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 606","New Westminster",7,160,0,143,83,0,5,1,399,
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 607","New Westminster",6,231,2,148,115,0,3,1,506,
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 608","New Westminster",13,143,2,122,69,1,2,1,353,
"New Westminster--Coquitlam/New Westminster--Coquitlam",,Group 1/Groupe 1,4,26,0,34,38,0,0,4,106,173
"New Westminster--Coquitlam/New Westminster--Coquitlam",,Group 2/Groupe 2,12,201,0,237,134,0,9,14,607,
