Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charlie Howatt,Garry McLean,Brian Pallister,David Reimer,Daren Van Den Bussche,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Portage--Lisgar/Portage--Lisgar"," 165","Altona",15,31,209,14,15,0,284,465
"Portage--Lisgar/Portage--Lisgar"," 166","Altona",14,29,221,14,13,1,292,405
"Portage--Lisgar/Portage--Lisgar"," 167","Gretna",1,3,89,6,1,0,100,175
"Portage--Lisgar/Portage--Lisgar"," 168","Gretna",25,18,155,4,17,0,219,397
"Portage--Lisgar/Portage--Lisgar"," 169","Halbstadt",2,7,69,2,7,0,87,175
"Portage--Lisgar/Portage--Lisgar"," 500","Mobile poll/Bureau itinérant",3,5,49,6,5,2,70,106
"Portage--Lisgar/Portage--Lisgar"," 501","Mobile poll/Bureau itinérant",2,15,49,3,9,0,78,102
"Portage--Lisgar/Portage--Lisgar"," 502","Mobile poll/Bureau itinérant",3,20,25,5,2,1,56,88
"Portage--Lisgar/Portage--Lisgar"," 503","Mobile poll/Bureau itinérant",3,6,31,2,3,1,46,78
"Portage--Lisgar/Portage--Lisgar"," 600","North Norfolk--Victoria",2,3,106,2,8,0,121,
"Portage--Lisgar/Portage--Lisgar"," 601","Portage la Prairie--Long Plain",11,33,200,4,45,1,294,
"Portage--Lisgar/Portage--Lisgar"," 602","Portage la Prairie",13,60,302,10,61,2,448,
"Portage--Lisgar/Portage--Lisgar"," 603","Cartier--Macdonald",7,16,141,1,18,1,184,
"Portage--Lisgar/Portage--Lisgar"," 604","Treherne",3,26,94,0,11,1,135,
"Portage--Lisgar/Portage--Lisgar"," 605","Carman",14,29,228,20,33,1,325,
"Portage--Lisgar/Portage--Lisgar"," 606","Manitou",24,13,96,1,15,1,150,
"Portage--Lisgar/Portage--Lisgar"," 607","Morden",12,50,421,3,17,3,506,
"Portage--Lisgar/Portage--Lisgar"," 608","Winkler",4,6,464,12,4,0,490,
"Portage--Lisgar/Portage--Lisgar"," 609","Rhineland",8,23,177,2,10,0,220,
"Portage--Lisgar/Portage--Lisgar",,Group 1/Groupe 1,7,21,39,0,5,1,73,140
"Portage--Lisgar/Portage--Lisgar",,Group 2/Groupe 2,28,102,589,6,52,19,796,
