Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nathan Bauder,Malcolm James Crockett,Hilary Crowley,Jay Hill,Donna Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Prince George--Peace River/Prince George--Peace River"," 116","Prince George",45,35,17,129,1,0,227,366
"Prince George--Peace River/Prince George--Peace River"," 117","Prince George",63,36,18,108,1,0,226,420
"Prince George--Peace River/Prince George--Peace River"," 118","Prince George",59,54,8,123,2,2,248,485
"Prince George--Peace River/Prince George--Peace River"," 118-1","Prince George",Void/Supprimé,,,,,,,
"Prince George--Peace River/Prince George--Peace River"," 119A","Prince George",49,36,14,83,0,0,182,328
"Prince George--Peace River/Prince George--Peace River"," 119B","Prince George",43,50,9,106,2,0,210,337
"Prince George--Peace River/Prince George--Peace River"," 120","Prince George",39,65,12,98,3,0,217,442
"Prince George--Peace River/Prince George--Peace River"," 121A","Prince George",24,26,2,64,3,0,119,296
"Prince George--Peace River/Prince George--Peace River"," 121B","Prince George",31,34,8,63,0,0,136,264
"Prince George--Peace River/Prince George--Peace River"," 122A","Prince George",43,26,9,57,2,0,137,280
"Prince George--Peace River/Prince George--Peace River"," 122B","Prince George",28,24,6,68,1,0,127,263
"Prince George--Peace River/Prince George--Peace River"," 123","Prince George",38,53,14,112,1,0,218,476
"Prince George--Peace River/Prince George--Peace River"," 124","Prince George",48,47,13,84,2,0,194,315
"Prince George--Peace River/Prince George--Peace River"," 125","Prince George",34,42,21,102,0,0,199,349
"Prince George--Peace River/Prince George--Peace River"," 126","Prince George",74,43,31,165,1,0,314,512
"Prince George--Peace River/Prince George--Peace River"," 127A","Prince George",52,43,3,75,1,0,174,400
"Prince George--Peace River/Prince George--Peace River"," 127B","Prince George",40,32,14,80,2,1,169,395
"Prince George--Peace River/Prince George--Peace River"," 128","Prince George",52,63,28,108,2,0,253,474
"Prince George--Peace River/Prince George--Peace River"," 129","Prince George",36,23,8,42,0,0,109,256
"Prince George--Peace River/Prince George--Peace River"," 130","Prince George",32,42,19,98,1,1,193,408
"Prince George--Peace River/Prince George--Peace River"," 131","Prince George",31,48,3,60,3,0,145,318
"Prince George--Peace River/Prince George--Peace River"," 132","Prince George",12,35,14,38,0,0,99,250
"Prince George--Peace River/Prince George--Peace River"," 133","Prince George",38,60,24,89,4,0,215,428
"Prince George--Peace River/Prince George--Peace River"," 134","Prince George",32,51,21,46,2,0,152,348
"Prince George--Peace River/Prince George--Peace River"," 135","Prince George",51,51,32,64,2,0,200,489
"Prince George--Peace River/Prince George--Peace River"," 136","Prince George",48,51,23,83,2,1,208,467
"Prince George--Peace River/Prince George--Peace River"," 137","Prince George",27,40,19,43,1,2,132,358
"Prince George--Peace River/Prince George--Peace River"," 138","Prince George",45,55,11,55,0,0,166,433
"Prince George--Peace River/Prince George--Peace River"," 139","Prince George",46,46,12,56,1,2,163,387
"Prince George--Peace River/Prince George--Peace River"," 140","Prince George",52,52,20,63,2,0,189,354
"Prince George--Peace River/Prince George--Peace River"," 141","Prince George",36,37,20,75,1,2,171,358
"Prince George--Peace River/Prince George--Peace River"," 142","Prince George",59,25,16,71,1,0,172,376
"Prince George--Peace River/Prince George--Peace River"," 143","Prince George",41,52,18,44,3,3,161,339
"Prince George--Peace River/Prince George--Peace River"," 144","Prince George",30,47,16,50,3,1,147,278
"Prince George--Peace River/Prince George--Peace River"," 145","Prince George",31,33,14,33,4,1,116,297
"Prince George--Peace River/Prince George--Peace River"," 146A","Prince George",20,35,20,47,0,1,123,287
"Prince George--Peace River/Prince George--Peace River"," 146B","Prince George",28,33,10,21,1,0,93,282
"Prince George--Peace River/Prince George--Peace River"," 147","Prince George",Void/Supprimé,,,,,,,
"Prince George--Peace River/Prince George--Peace River"," 148","Willow Valley",8,15,1,62,0,0,86,155
"Prince George--Peace River/Prince George--Peace River"," 149","South Taylor",5,9,5,48,1,0,68,197
"Prince George--Peace River/Prince George--Peace River"," 150","Doe River",5,13,7,74,0,0,99,304
"Prince George--Peace River/Prince George--Peace River"," 151","Rolla",7,18,14,92,1,0,132,188
"Prince George--Peace River/Prince George--Peace River"," 152","Farmington",12,11,8,108,0,0,139,248
"Prince George--Peace River/Prince George--Peace River"," 153A","Bessborough",7,12,10,77,0,0,106,268
"Prince George--Peace River/Prince George--Peace River"," 153B","Bessborough",13,20,7,73,0,0,113,270
"Prince George--Peace River/Prince George--Peace River"," 154","Groundbirch",2,19,3,55,0,0,79,144
"Prince George--Peace River/Prince George--Peace River"," 155","Progress",3,8,5,63,0,0,79,148
"Prince George--Peace River/Prince George--Peace River"," 156","Arras",16,19,4,91,0,0,130,302
"Prince George--Peace River/Prince George--Peace River"," 157","South Dawson",20,48,17,142,2,1,230,454
"Prince George--Peace River/Prince George--Peace River"," 158","Kilkerran",3,2,2,56,1,0,64,99
"Prince George--Peace River/Prince George--Peace River"," 159","Briar Ridge",9,13,5,78,3,0,108,213
"Prince George--Peace River/Prince George--Peace River"," 160","Pouce Coupe",16,30,11,133,1,0,191,397
"Prince George--Peace River/Prince George--Peace River"," 161","Pouce Coupe",13,24,19,118,4,1,179,339
"Prince George--Peace River/Prince George--Peace River"," 162","Pouce Coupe",12,14,7,106,1,0,140,264
"Prince George--Peace River/Prince George--Peace River"," 163","Tomslake",3,29,10,79,0,0,121,214
"Prince George--Peace River/Prince George--Peace River"," 164","Tupper",6,9,0,64,1,0,80,117
"Prince George--Peace River/Prince George--Peace River"," 165","Fellers Heights",8,11,2,81,1,0,103,127
"Prince George--Peace River/Prince George--Peace River"," 166","Tumbler Ridge",38,31,8,142,2,0,221,486
"Prince George--Peace River/Prince George--Peace River"," 167","Tumbler Ridge",17,16,13,49,2,0,97,230
"Prince George--Peace River/Prince George--Peace River"," 168","Tumbler Ridge",17,26,6,54,0,2,105,225
"Prince George--Peace River/Prince George--Peace River"," 169","Tumbler Ridge",14,16,6,57,2,0,95,177
"Prince George--Peace River/Prince George--Peace River"," 170","Tumbler Ridge",17,18,4,71,1,0,111,227
"Prince George--Peace River/Prince George--Peace River"," 171","Tumbler Ridge",9,13,9,56,2,0,89,185
"Prince George--Peace River/Prince George--Peace River"," 172","Kelly Lake",20,6,1,8,4,0,39,73
"Prince George--Peace River/Prince George--Peace River"," 173","Dawson Creek",38,33,16,115,0,2,204,441
"Prince George--Peace River/Prince George--Peace River"," 174","Dawson Creek",19,27,18,107,3,1,175,436
"Prince George--Peace River/Prince George--Peace River"," 175","Dawson Creek",12,31,16,98,0,0,157,376
"Prince George--Peace River/Prince George--Peace River"," 176A","Dawson Creek",19,26,13,75,1,2,136,266
"Prince George--Peace River/Prince George--Peace River"," 176B","Dawson Creek",24,18,16,74,0,2,134,264
"Prince George--Peace River/Prince George--Peace River"," 177","Dawson Creek",18,19,8,143,2,0,190,362
"Prince George--Peace River/Prince George--Peace River"," 178","Dawson Creek",8,22,8,120,2,0,160,423
"Prince George--Peace River/Prince George--Peace River"," 179","Dawson Creek",15,38,13,129,6,0,201,471
"Prince George--Peace River/Prince George--Peace River"," 180","Dawson Creek",24,27,5,73,2,0,131,371
"Prince George--Peace River/Prince George--Peace River"," 181","Dawson Creek",25,21,11,93,4,0,154,372
"Prince George--Peace River/Prince George--Peace River"," 182A","Dawson Creek",17,16,4,68,1,0,106,262
"Prince George--Peace River/Prince George--Peace River"," 182B","Dawson Creek",6,20,3,69,3,1,102,280
"Prince George--Peace River/Prince George--Peace River"," 183","Dawson Creek",26,33,13,142,2,0,216,499
"Prince George--Peace River/Prince George--Peace River"," 184","Dawson Creek",12,26,5,98,0,0,141,284
"Prince George--Peace River/Prince George--Peace River"," 185","Dawson Creek",20,35,8,113,1,2,179,354
"Prince George--Peace River/Prince George--Peace River"," 186","Dawson Creek",16,25,12,90,0,0,143,406
"Prince George--Peace River/Prince George--Peace River"," 187","Dawson Creek",29,32,17,111,0,2,191,380
"Prince George--Peace River/Prince George--Peace River"," 188","Dawson Creek",25,37,11,110,4,0,187,499
"Prince George--Peace River/Prince George--Peace River"," 189","Dawson Creek",22,26,8,55,2,0,113,379
"Prince George--Peace River/Prince George--Peace River"," 190","Dawson Creek",18,27,10,74,1,1,131,348
"Prince George--Peace River/Prince George--Peace River"," 191","Dome Creek",5,9,3,9,0,0,26,38
"Prince George--Peace River/Prince George--Peace River"," 192","Crescent Spur",2,2,3,12,0,0,19,36
"Prince George--Peace River/Prince George--Peace River"," 193","Lamming Mills",47,46,15,133,1,0,242,443
"Prince George--Peace River/Prince George--Peace River"," 194","McBride",33,43,11,83,1,0,171,334
"Prince George--Peace River/Prince George--Peace River"," 195","McBride",27,16,2,50,0,0,95,160
"Prince George--Peace River/Prince George--Peace River"," 196","Dunster",8,29,28,54,0,2,121,178
"Prince George--Peace River/Prince George--Peace River"," 197","Mount Robson",Void/Supprimé,,,,,,,
"Prince George--Peace River/Prince George--Peace River"," 500","Mobile poll/Bureau itinérant",12,13,1,109,1,0,136,205
"Prince George--Peace River/Prince George--Peace River"," 501","Mobile poll/Bureau itinérant",7,13,2,67,1,3,93,148
"Prince George--Peace River/Prince George--Peace River"," 502","Mobile poll/Bureau itinérant",40,36,7,61,3,0,147,179
"Prince George--Peace River/Prince George--Peace River"," 503","Mobile poll/Bureau itinérant",12,12,1,27,2,1,55,141
"Prince George--Peace River/Prince George--Peace River"," 600","Fort Nelson",32,36,8,113,3,1,193,
"Prince George--Peace River/Prince George--Peace River"," 601","Mackenzie",49,36,4,149,0,1,239,
"Prince George--Peace River/Prince George--Peace River"," 602","Charlie Lake--Taylor",17,9,6,238,2,0,272,
"Prince George--Peace River/Prince George--Peace River"," 603","Fort St. John",7,7,4,90,0,1,109,
"Prince George--Peace River/Prince George--Peace River"," 604","Chetwynd",83,60,17,442,8,3,613,
"Prince George--Peace River/Prince George--Peace River"," 605","Prince George",10,37,12,113,0,0,172,
"Prince George--Peace River/Prince George--Peace River"," 606","Prince George",80,51,29,201,2,0,363,
"Prince George--Peace River/Prince George--Peace River"," 607","Prince George",143,140,29,460,2,0,774,
"Prince George--Peace River/Prince George--Peace River"," 608","Dawson Creek--Tumbler Ridge",96,97,27,141,4,0,365,
"Prince George--Peace River/Prince George--Peace River"," 609","Dawson Creek",13,25,16,194,4,0,252,
"Prince George--Peace River/Prince George--Peace River"," 610","Prince George",11,19,4,85,0,0,119,
"Prince George--Peace River/Prince George--Peace River"," 611","Tumbler Ridge",22,24,5,101,2,0,154,
"Prince George--Peace River/Prince George--Peace River"," 612","Dawson Creek",83,89,34,381,7,0,594,
"Prince George--Peace River/Prince George--Peace River"," 613","Prince George",16,19,9,63,1,0,108,
"Prince George--Peace River/Prince George--Peace River",,Group 1/Groupe 1,27,17,7,31,3,8,93,165
"Prince George--Peace River/Prince George--Peace River",,Group 2/Groupe 2,103,121,32,420,8,9,693,
