Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mark Brennan,Cynthia Downey,Bill Matthews,Amanda Will,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Random--Burin--St. George's/Random--Burin--St. George's"," 26A","Stephenville",4,58,41,17,0,120,268
"Random--Burin--St. George's/Random--Burin--St. George's"," 26B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,33
"Random--Burin--St. George's/Random--Burin--St. George's"," 26-1","Stephenville",3,23,33,9,0,68,176
"Random--Burin--St. George's/Random--Burin--St. George's"," 27","Stephenville",5,60,42,14,0,121,260
"Random--Burin--St. George's/Random--Burin--St. George's"," 28","Stephenville",6,81,64,28,1,180,410
"Random--Burin--St. George's/Random--Burin--St. George's"," 29","Stephenville",3,85,102,27,0,217,445
"Random--Burin--St. George's/Random--Burin--St. George's"," 30","Stephenville",0,41,27,14,2,84,209
"Random--Burin--St. George's/Random--Burin--St. George's"," 31","Stephenville",1,84,76,25,0,186,416
"Random--Burin--St. George's/Random--Burin--St. George's"," 32","Stephenville",3,72,48,17,1,141,385
"Random--Burin--St. George's/Random--Burin--St. George's"," 33","Stephenville",1,93,89,30,1,214,396
"Random--Burin--St. George's/Random--Burin--St. George's"," 34","Stephenville",1,81,77,20,0,179,419
"Random--Burin--St. George's/Random--Burin--St. George's"," 35","Stephenville",1,49,72,21,0,143,306
"Random--Burin--St. George's/Random--Burin--St. George's"," 36","Stephenville",6,63,71,18,2,160,352
"Random--Burin--St. George's/Random--Burin--St. George's"," 37","Stephenville",2,54,51,18,0,125,292
"Random--Burin--St. George's/Random--Burin--St. George's"," 38","Gallants--Georges Lake",0,14,15,14,0,43,71
"Random--Burin--St. George's/Random--Burin--St. George's"," 39","Black Duck Siding",0,21,12,5,0,38,63
"Random--Burin--St. George's/Random--Burin--St. George's"," 40A","Stephenville Crossing",1,77,23,19,0,120,215
"Random--Burin--St. George's/Random--Burin--St. George's"," 40B","Stephenville Crossing",4,106,38,9,0,157,366
"Random--Burin--St. George's/Random--Burin--St. George's"," 41","Stephenville Crossing",3,130,79,34,0,246,454
"Random--Burin--St. George's/Random--Burin--St. George's"," 42","Stephenville Crossing",1,21,4,3,0,29,137
"Random--Burin--St. George's/Random--Burin--St. George's"," 43","Stephenville Crossing",2,75,41,23,3,144,317
"Random--Burin--St. George's/Random--Burin--St. George's"," 44","Mattis Point",0,12,4,4,0,20,80
"Random--Burin--St. George's/Random--Burin--St. George's"," 45","St. Teresa",2,31,64,10,0,107,183
"Random--Burin--St. George's/Random--Burin--St. George's"," 46","Flat Bay",1,8,14,5,0,28,156
"Random--Burin--St. George's/Random--Burin--St. George's"," 47","St. George's",0,55,39,13,1,108,265
"Random--Burin--St. George's/Random--Burin--St. George's"," 48","Barachois Brook",1,45,17,2,0,65,111
"Random--Burin--St. George's/Random--Burin--St. George's"," 49","St. George's",0,41,44,12,0,97,190
"Random--Burin--St. George's/Random--Burin--St. George's"," 50","St. George's",2,52,50,18,1,123,251
"Random--Burin--St. George's/Random--Burin--St. George's"," 51","St. George's",5,78,59,24,2,168,404
"Random--Burin--St. George's/Random--Burin--St. George's"," 52","Heatherton",2,71,26,13,0,112,178
"Random--Burin--St. George's/Random--Burin--St. George's"," 53","Highlands",0,22,17,11,0,50,77
"Random--Burin--St. George's/Random--Burin--St. George's"," 54","St. David's",2,83,50,21,0,156,306
"Random--Burin--St. George's/Random--Burin--St. George's"," 55","McKay's--Jeffreys--Cartyville",2,68,63,20,0,153,307
"Random--Burin--St. George's/Random--Burin--St. George's"," 56","Robinsons",3,65,53,15,1,137,222
"Random--Burin--St. George's/Random--Burin--St. George's"," 57","Codroy",3,69,83,18,0,173,315
"Random--Burin--St. George's/Random--Burin--St. George's"," 58","O'Regan's--Millville--Great Codroy",1,80,32,31,1,145,240
"Random--Burin--St. George's/Random--Burin--St. George's"," 59","Coal Brook--South Branch",1,67,58,12,0,138,213
"Random--Burin--St. George's/Random--Burin--St. George's"," 60","Doyles--Upper Ferry",6,76,64,38,0,184,326
"Random--Burin--St. George's/Random--Burin--St. George's"," 61","St. Andrew's",2,48,57,23,0,130,203
"Random--Burin--St. George's/Random--Burin--St. George's"," 62","Cape Ray",1,52,93,18,0,164,284
"Random--Burin--St. George's/Random--Burin--St. George's"," 63","Fox Roost-Margaree",1,31,105,20,0,157,275
"Random--Burin--St. George's/Random--Burin--St. George's"," 64","Isle aux Morts",2,37,67,10,0,116,233
"Random--Burin--St. George's/Random--Burin--St. George's"," 65","Isle aux Morts",1,49,95,9,0,154,359
"Random--Burin--St. George's/Random--Burin--St. George's"," 66","Burnt Islands",0,13,93,7,0,113,248
"Random--Burin--St. George's/Random--Burin--St. George's"," 67","Burnt Islands",0,10,43,1,0,54,127
"Random--Burin--St. George's/Random--Burin--St. George's"," 68","Burnt Islands",3,18,74,3,0,98,210
"Random--Burin--St. George's/Random--Burin--St. George's"," 69","Harbour Le Cou",0,11,17,4,0,32,103
"Random--Burin--St. George's/Random--Burin--St. George's"," 70","Rose Blanche",3,27,55,3,0,88,276
"Random--Burin--St. George's/Random--Burin--St. George's"," 71","Rose Blanche",2,12,47,8,0,69,187
"Random--Burin--St. George's/Random--Burin--St. George's"," 72","Petites",Void/Supprimé,,,,,,
"Random--Burin--St. George's/Random--Burin--St. George's"," 73","La Poile",1,5,48,0,1,55,89
"Random--Burin--St. George's/Random--Burin--St. George's"," 74","Grand Bruit",0,19,4,5,0,28,36
"Random--Burin--St. George's/Random--Burin--St. George's"," 75","Channel-Port aux Basques",2,62,94,21,0,179,411
"Random--Burin--St. George's/Random--Burin--St. George's"," 76","Channel-Port aux Basques",1,41,62,15,0,119,357
"Random--Burin--St. George's/Random--Burin--St. George's"," 76-1","Channel-Port aux Basques",0,28,62,12,0,102,250
"Random--Burin--St. George's/Random--Burin--St. George's"," 77","Channel-Port aux Basques",2,25,31,11,2,71,139
"Random--Burin--St. George's/Random--Burin--St. George's"," 78","Channel-Port aux Basques",1,29,62,25,2,119,225
"Random--Burin--St. George's/Random--Burin--St. George's"," 79A","Channel-Port aux Basques",1,52,62,10,0,125,279
"Random--Burin--St. George's/Random--Burin--St. George's"," 79B","Channel-Port aux Basques",1,34,82,23,0,140,290
"Random--Burin--St. George's/Random--Burin--St. George's"," 80","Channel-Port aux Basques",1,47,66,8,0,122,283
"Random--Burin--St. George's/Random--Burin--St. George's"," 81","Channel-Port aux Basques",3,44,101,15,1,164,364
"Random--Burin--St. George's/Random--Burin--St. George's"," 82","Channel-Port aux Basques",0,18,49,10,1,78,165
"Random--Burin--St. George's/Random--Burin--St. George's"," 83","Channel-Port aux Basques",0,36,39,14,1,90,239
"Random--Burin--St. George's/Random--Burin--St. George's"," 84","Channel-Port aux Basques",1,43,57,9,0,110,304
"Random--Burin--St. George's/Random--Burin--St. George's"," 85","Channel-Port aux Basques",4,48,65,27,0,144,353
"Random--Burin--St. George's/Random--Burin--St. George's"," 86","Burgeo",1,53,96,20,5,175,370
"Random--Burin--St. George's/Random--Burin--St. George's"," 87","Burgeo",3,48,67,8,0,126,223
"Random--Burin--St. George's/Random--Burin--St. George's"," 88","Burgeo",3,62,62,18,0,145,336
"Random--Burin--St. George's/Random--Burin--St. George's"," 89","Burgeo",1,28,65,11,0,105,211
"Random--Burin--St. George's/Random--Burin--St. George's"," 90","Burgeo",2,41,48,5,0,96,195
"Random--Burin--St. George's/Random--Burin--St. George's"," 91","Ramea",0,12,61,2,0,75,174
"Random--Burin--St. George's/Random--Burin--St. George's"," 92","Ramea",1,35,46,5,0,87,178
"Random--Burin--St. George's/Random--Burin--St. George's"," 93","Ramea",1,29,43,4,0,77,197
"Random--Burin--St. George's/Random--Burin--St. George's"," 94","Grey River",0,12,33,9,0,54,102
"Random--Burin--St. George's/Random--Burin--St. George's"," 95","François",1,36,41,7,0,85,106
"Random--Burin--St. George's/Random--Burin--St. George's"," 96","McCallum",0,5,30,6,0,41,87
"Random--Burin--St. George's/Random--Burin--St. George's"," 97","Gaultois",0,25,59,8,1,93,201
"Random--Burin--St. George's/Random--Burin--St. George's"," 98","Hermitage",4,50,92,13,2,161,328
"Random--Burin--St. George's/Random--Burin--St. George's"," 99","Seal Cove",0,26,85,7,0,118,270
"Random--Burin--St. George's/Random--Burin--St. George's"," 100","Sandyville",0,10,31,0,1,42,86
"Random--Burin--St. George's/Random--Burin--St. George's"," 101","Harbour Breton",1,80,57,19,0,157,397
"Random--Burin--St. George's/Random--Burin--St. George's"," 102","Harbour Breton",2,28,20,3,3,56,171
"Random--Burin--St. George's/Random--Burin--St. George's"," 103","Harbour Breton",0,60,64,12,3,139,300
"Random--Burin--St. George's/Random--Burin--St. George's"," 104","Harbour Breton",0,24,19,7,0,50,154
"Random--Burin--St. George's/Random--Burin--St. George's"," 105","Harbour Breton",5,49,21,5,0,80,233
"Random--Burin--St. George's/Random--Burin--St. George's"," 106","Harbour Breton",1,61,60,8,0,130,317
"Random--Burin--St. George's/Random--Burin--St. George's"," 107","St. Joseph's Cove",Void/Supprimé,,,,,,
"Random--Burin--St. George's/Random--Burin--St. George's"," 108","Head of Bay D'Espoir--St. Veronica's",2,81,77,13,0,173,326
"Random--Burin--St. George's/Random--Burin--St. George's"," 109","Milltown",0,62,51,11,0,124,229
"Random--Burin--St. George's/Random--Burin--St. George's"," 110A","Conne River",3,19,101,4,1,128,250
"Random--Burin--St. George's/Random--Burin--St. George's"," 110B","Conne River",5,17,103,5,1,131,274
"Random--Burin--St. George's/Random--Burin--St. George's"," 111","St. Alban's",5,123,70,13,3,214,373
"Random--Burin--St. George's/Random--Burin--St. George's"," 112","St. Alban's",Void/Supprimé,,,,,,
"Random--Burin--St. George's/Random--Burin--St. George's"," 113","Morrisville",1,16,53,3,0,73,106
"Random--Burin--St. George's/Random--Burin--St. George's"," 114","Milltown",2,36,39,10,0,87,202
"Random--Burin--St. George's/Random--Burin--St. George's"," 115","St. Alban's",2,49,34,8,3,96,155
"Random--Burin--St. George's/Random--Burin--St. George's"," 116A","St. Alban's",4,63,64,14,0,145,306
"Random--Burin--St. George's/Random--Burin--St. George's"," 116B","St. Alban's",6,68,61,8,2,145,313
"Random--Burin--St. George's/Random--Burin--St. George's"," 117","Swift Current",6,34,64,21,0,125,205
"Random--Burin--St. George's/Random--Burin--St. George's"," 117-1","Garden Cove",0,18,37,6,0,61,88
"Random--Burin--St. George's/Random--Burin--St. George's"," 117-2","North Harbour",1,47,72,28,0,148,221
"Random--Burin--St. George's/Random--Burin--St. George's"," 117-3","Goobies",0,26,19,8,0,53,83
"Random--Burin--St. George's/Random--Burin--St. George's"," 118A","Shoal Harbour",1,46,44,23,1,115,287
"Random--Burin--St. George's/Random--Burin--St. George's"," 118B","Shoal Harbour",1,53,62,30,1,147,286
"Random--Burin--St. George's/Random--Burin--St. George's"," 119A","Shoal Harbour",0,69,58,24,2,153,305
"Random--Burin--St. George's/Random--Burin--St. George's"," 119B","Shoal Harbour",1,61,60,18,0,140,327
"Random--Burin--St. George's/Random--Burin--St. George's"," 120","Milton--Georges Brook",7,91,98,35,0,231,431
"Random--Burin--St. George's/Random--Burin--St. George's"," 121","Harcourt--Barton--Monroe--Waterville--Gin Cove",2,58,47,22,1,130,276
"Random--Burin--St. George's/Random--Burin--St. George's"," 122","Burgoynes Cove--New Burnt Cove--Clifton",0,12,23,8,0,43,101
"Random--Burin--St. George's/Random--Burin--St. George's"," 123","Shoal Harbour",0,38,42,14,0,94,184
"Random--Burin--St. George's/Random--Burin--St. George's"," 124","Elliott's Cove--Aspen Brook--Random Heights",0,51,27,18,0,96,213
"Random--Burin--St. George's/Random--Burin--St. George's"," 125","Petley",0,19,15,12,0,46,111
"Random--Burin--St. George's/Random--Burin--St. George's"," 126","Clarenville",1,26,25,10,0,62,175
"Random--Burin--St. George's/Random--Burin--St. George's"," 127A","Clarenville",2,67,73,29,1,172,331
"Random--Burin--St. George's/Random--Burin--St. George's"," 127B","Mobile poll/Bureau itinérant",1,13,38,9,1,62,46
"Random--Burin--St. George's/Random--Burin--St. George's"," 127C","Mobile poll/Bureau itinérant",Merged with No. 127B/Fusionné avec le nº 127B,,,,,,22
"Random--Burin--St. George's/Random--Burin--St. George's"," 128A","Clarenville",1,40,51,12,0,104,247
"Random--Burin--St. George's/Random--Burin--St. George's"," 128B","Clarenville",4,51,59,13,0,127,239
"Random--Burin--St. George's/Random--Burin--St. George's"," 129","Clarenville",4,35,44,20,0,103,206
"Random--Burin--St. George's/Random--Burin--St. George's"," 130","Clarenville",3,35,59,18,0,115,318
"Random--Burin--St. George's/Random--Burin--St. George's"," 131","Clarenville",Void/Supprimé,,,,,,
"Random--Burin--St. George's/Random--Burin--St. George's"," 132","Clarenville",4,99,117,24,0,244,469
"Random--Burin--St. George's/Random--Burin--St. George's"," 133","Clarenville",2,126,102,42,2,274,444
"Random--Burin--St. George's/Random--Burin--St. George's"," 134","Adeytown--Deep Bight",2,44,50,30,0,126,189
"Random--Burin--St. George's/Random--Burin--St. George's"," 135","Weybridge--Lady Cove--Robinson Bight",3,35,53,19,0,110,188
"Random--Burin--St. George's/Random--Burin--St. George's"," 136A","Hickman's Harbour",1,59,49,12,0,121,272
"Random--Burin--St. George's/Random--Burin--St. George's"," 136B","Mobile poll/Bureau itinérant",Merged with No. 127B/Fusionné avec le nº 127B,,,,,,22
"Random--Burin--St. George's/Random--Burin--St. George's"," 137","Britannia--Lower Lance Cove",0,29,30,15,0,74,155
"Random--Burin--St. George's/Random--Burin--St. George's"," 138","Butter Cove--Southport--Gooseberry Cove",0,33,61,18,1,113,227
"Random--Burin--St. George's/Random--Burin--St. George's"," 139","Hatchet Cove--St. Jones Within",0,44,31,12,0,87,121
"Random--Burin--St. George's/Random--Burin--St. George's"," 140","Little Heart's Ease",2,46,51,13,1,113,247
"Random--Burin--St. George's/Random--Burin--St. George's"," 141","Hillview",1,59,59,17,1,137,216
"Random--Burin--St. George's/Random--Burin--St. George's"," 142","Northwest Brook--Ivany's Cove",2,45,76,23,0,146,234
"Random--Burin--St. George's/Random--Burin--St. George's"," 143","Queen's Cove--Long Beach",0,49,33,11,0,93,174
"Random--Burin--St. George's/Random--Burin--St. George's"," 144","Hodge's Cove--Caplin Cove",2,110,55,26,0,193,307
"Random--Burin--St. George's/Random--Burin--St. George's"," 145","Sunnyside",Void/Supprimé,,,,,,
"Random--Burin--St. George's/Random--Burin--St. George's"," 146","Pool's Cove",1,46,44,4,0,95,171
"Random--Burin--St. George's/Random--Burin--St. George's"," 147","Wreck Cove",2,19,75,5,0,101,180
"Random--Burin--St. George's/Random--Burin--St. George's"," 148","Rencontre East",1,11,64,9,0,85,127
"Random--Burin--St. George's/Random--Burin--St. George's"," 149","English Harbour East",1,24,63,5,1,94,168
"Random--Burin--St. George's/Random--Burin--St. George's"," 150","Grand Le Pierre",1,48,47,4,0,100,216
"Random--Burin--St. George's/Random--Burin--St. George's"," 151","Terrenceville",3,51,30,20,0,104,296
"Random--Burin--St. George's/Random--Burin--St. George's"," 152","Terrenceville",0,31,22,4,0,57,171
"Random--Burin--St. George's/Random--Burin--St. George's"," 153","Harbour Mille--Little Harbour East",1,28,55,10,3,97,149
"Random--Burin--St. George's/Random--Burin--St. George's"," 154","Belleoram",0,31,107,7,1,146,337
"Random--Burin--St. George's/Random--Burin--St. George's"," 155","Mose Ambrose",2,55,87,6,0,150,240
"Random--Burin--St. George's/Random--Burin--St. George's"," 156","St. Jacques",1,18,47,7,1,74,117
"Random--Burin--St. George's/Random--Burin--St. George's"," 157","St. Bernard's",4,69,104,12,0,189,354
"Random--Burin--St. George's/Random--Burin--St. George's"," 158","Bay L'Argent",2,38,82,13,0,135,247
"Random--Burin--St. George's/Random--Burin--St. George's"," 159","Little Bay East",0,28,38,5,0,71,108
"Random--Burin--St. George's/Random--Burin--St. George's"," 160","Jacques Fontaine",1,15,32,14,1,63,107
"Random--Burin--St. George's/Random--Burin--St. George's"," 161","Brookside--Boat Harbour",2,39,36,43,2,122,224
"Random--Burin--St. George's/Random--Burin--St. George's"," 162","Monkstown",0,14,8,4,0,26,29
"Random--Burin--St. George's/Random--Burin--St. George's"," 163","Parkers Cove",2,61,38,23,0,124,254
"Random--Burin--St. George's/Random--Burin--St. George's"," 164","Rushoon",2,49,54,28,1,134,262
"Random--Burin--St. George's/Random--Burin--St. George's"," 165","Baine Harbour",0,31,23,11,0,65,110
"Random--Burin--St. George's/Random--Burin--St. George's"," 166","Petite Forte",2,19,24,7,0,52,71
"Random--Burin--St. George's/Random--Burin--St. George's"," 167","South East Bight",1,29,6,12,0,48,84
"Random--Burin--St. George's/Random--Burin--St. George's"," 168","Red Harbour",1,36,36,26,0,99,159
"Random--Burin--St. George's/Random--Burin--St. George's"," 169A","Jean de Baie",2,93,44,20,0,159,250
"Random--Burin--St. George's/Random--Burin--St. George's"," 169B","Rock Harbour",1,10,12,7,0,30,62
"Random--Burin--St. George's/Random--Burin--St. George's"," 170","Frenchman's Cove",1,37,47,6,1,92,152
"Random--Burin--St. George's/Random--Burin--St. George's"," 171","Garnish",0,41,51,18,0,110,171
"Random--Burin--St. George's/Random--Burin--St. George's"," 172","Garnish",1,49,80,10,0,140,321
"Random--Burin--St. George's/Random--Burin--St. George's"," 173","Winterland",0,90,63,21,0,174,248
"Random--Burin--St. George's/Random--Burin--St. George's"," 174","Creston North",5,120,63,23,1,212,396
"Random--Burin--St. George's/Random--Burin--St. George's"," 175","Marystown",1,116,31,33,2,183,366
"Random--Burin--St. George's/Random--Burin--St. George's"," 176A","Marystown",1,65,40,25,1,132,273
"Random--Burin--St. George's/Random--Burin--St. George's"," 176B","Mobile poll/Bureau itinérant",Merged with No. 181B/Fusionné avec le nº 181B,,,,,,15
"Random--Burin--St. George's/Random--Burin--St. George's"," 177A","Marystown",0,42,27,7,0,76,335
"Random--Burin--St. George's/Random--Burin--St. George's"," 177B","Marystown",0,39,23,12,0,74,186
"Random--Burin--St. George's/Random--Burin--St. George's"," 178","Marystown",2,86,29,26,0,143,267
"Random--Burin--St. George's/Random--Burin--St. George's"," 179","Marystown",3,109,49,18,1,180,328
"Random--Burin--St. George's/Random--Burin--St. George's"," 180","Little Bay",5,99,53,43,0,200,344
"Random--Burin--St. George's/Random--Burin--St. George's"," 181A","Marystown",2,65,52,28,1,148,343
"Random--Burin--St. George's/Random--Burin--St. George's"," 181B","Mobile poll/Bureau itinérant",1,7,27,2,1,38,37
"Random--Burin--St. George's/Random--Burin--St. George's"," 182","Marystown",2,94,24,20,2,142,302
"Random--Burin--St. George's/Random--Burin--St. George's"," 183","Marystown",3,148,45,28,1,225,405
"Random--Burin--St. George's/Random--Burin--St. George's"," 184","Creston South",2,110,43,37,0,192,371
"Random--Burin--St. George's/Random--Burin--St. George's"," 185A","Creston South",1,39,18,21,0,79,175
"Random--Burin--St. George's/Random--Burin--St. George's"," 185B","Creston South",1,93,33,31,0,158,303
"Random--Burin--St. George's/Random--Burin--St. George's"," 186","Lewin's Cove",0,94,65,17,0,176,308
"Random--Burin--St. George's/Random--Burin--St. George's"," 187","Burin",1,79,58,20,0,158,357
"Random--Burin--St. George's/Random--Burin--St. George's"," 188","Fox Cove-Mortier",2,47,76,31,2,158,251
"Random--Burin--St. George's/Random--Burin--St. George's"," 189","Burin",1,65,79,26,0,171,314
"Random--Burin--St. George's/Random--Burin--St. George's"," 190","Burin",0,51,44,7,0,102,175
"Random--Burin--St. George's/Random--Burin--St. George's"," 191","Burin",4,35,57,19,0,115,300
"Random--Burin--St. George's/Random--Burin--St. George's"," 192","Burin",3,66,57,34,0,160,279
"Random--Burin--St. George's/Random--Burin--St. George's"," 193","Lewin's Cove--Big Salmonier",4,83,73,47,0,207,352
"Random--Burin--St. George's/Random--Burin--St. George's"," 194","Corbin--Epworth",0,31,37,7,0,75,130
"Random--Burin--St. George's/Random--Burin--St. George's"," 195","Burin",0,41,52,26,1,120,223
"Random--Burin--St. George's/Random--Burin--St. George's"," 196","Port au Bras",2,32,36,20,2,92,173
"Random--Burin--St. George's/Random--Burin--St. George's"," 197","Fortune",0,38,87,11,1,137,250
"Random--Burin--St. George's/Random--Burin--St. George's"," 198","Fortune",3,45,130,17,0,195,347
"Random--Burin--St. George's/Random--Burin--St. George's"," 199","Fortune",1,42,130,11,2,186,376
"Random--Burin--St. George's/Random--Burin--St. George's"," 200","Fortune",1,44,98,14,0,157,307
"Random--Burin--St. George's/Random--Burin--St. George's"," 201","Grand Bank",2,68,106,13,0,189,358
"Random--Burin--St. George's/Random--Burin--St. George's"," 202","Grand Bank",2,59,117,17,1,196,374
"Random--Burin--St. George's/Random--Burin--St. George's"," 203","Grand Bank",1,37,54,6,0,98,202
"Random--Burin--St. George's/Random--Burin--St. George's"," 204","Grand Bank",0,33,78,8,0,119,261
"Random--Burin--St. George's/Random--Burin--St. George's"," 205","Grand Bank",0,33,81,8,0,122,234
"Random--Burin--St. George's/Random--Burin--St. George's"," 206","Grand Bank",0,22,69,5,1,97,211
"Random--Burin--St. George's/Random--Burin--St. George's"," 207","Grand Bank",1,29,98,7,1,136,265
"Random--Burin--St. George's/Random--Burin--St. George's"," 208","Grand Bank",1,53,90,11,3,158,331
"Random--Burin--St. George's/Random--Burin--St. George's"," 209","Grand Beach",0,7,11,1,0,19,58
"Random--Burin--St. George's/Random--Burin--St. George's"," 210","Point May",0,26,65,17,0,108,276
"Random--Burin--St. George's/Random--Burin--St. George's"," 211","Lamaline",1,45,70,33,1,150,210
"Random--Burin--St. George's/Random--Burin--St. George's"," 212","Point au Gaul",0,20,17,5,0,42,74
"Random--Burin--St. George's/Random--Burin--St. George's"," 213","Lord's Cove",1,36,44,4,1,86,141
"Random--Burin--St. George's/Random--Burin--St. George's"," 214","Lawn",2,54,62,16,0,134,249
"Random--Burin--St. George's/Random--Burin--St. George's"," 215","Lawn",3,73,74,17,4,171,310
"Random--Burin--St. George's/Random--Burin--St. George's"," 216","St. Lawrence",4,59,70,12,0,145,262
"Random--Burin--St. George's/Random--Burin--St. George's"," 217","St. Lawrence",2,80,116,20,1,219,465
"Random--Burin--St. George's/Random--Burin--St. George's"," 218","St. Lawrence",2,40,85,16,0,143,258
"Random--Burin--St. George's/Random--Burin--St. George's"," 219","St. Lawrence",3,35,54,7,1,100,181
"Random--Burin--St. George's/Random--Burin--St. George's"," 500","Mobile poll/Bureau itinérant",6,24,37,0,0,67,164
"Random--Burin--St. George's/Random--Burin--St. George's"," 501","Mobile poll/Bureau itinérant",2,4,45,5,0,56,92
"Random--Burin--St. George's/Random--Burin--St. George's"," 600","Kippens",0,41,18,7,0,66,
"Random--Burin--St. George's/Random--Burin--St. George's"," 601","Stephenville",1,85,68,15,2,171,
"Random--Burin--St. George's/Random--Burin--St. George's"," 602","Stephenville Crossing--Gallants",0,11,15,1,0,27,
"Random--Burin--St. George's/Random--Burin--St. George's"," 603","St. George's",2,13,13,4,0,32,
"Random--Burin--St. George's/Random--Burin--St. George's"," 604","Heatherton",0,13,15,5,0,33,
"Random--Burin--St. George's/Random--Burin--St. George's"," 605","Codroy",0,8,14,4,0,26,
"Random--Burin--St. George's/Random--Burin--St. George's"," 606","Burnt Islands",Combined with No. 607/Jumelé avec le nº 607,,,,,,
"Random--Burin--St. George's/Random--Burin--St. George's"," 607","Channel-Port aux Basques",1,26,52,6,1,86,
"Random--Burin--St. George's/Random--Burin--St. George's"," 608","Burgeo",0,8,5,2,0,15,
"Random--Burin--St. George's/Random--Burin--St. George's"," 609","Ramea",0,2,7,0,0,9,
"Random--Burin--St. George's/Random--Burin--St. George's"," 610","Harbour Breton",0,11,10,2,1,24,
"Random--Burin--St. George's/Random--Burin--St. George's"," 611","St. Alban's",1,12,12,3,0,28,
"Random--Burin--St. George's/Random--Burin--St. George's"," 612","Terrenceville",0,4,5,1,0,10,
"Random--Burin--St. George's/Random--Burin--St. George's"," 613","Clarenville",1,81,66,11,0,159,
"Random--Burin--St. George's/Random--Burin--St. George's"," 614","Abrahams Cove",0,10,13,3,0,26,
"Random--Burin--St. George's/Random--Burin--St. George's"," 615","Belleoram",0,2,21,0,0,23,
"Random--Burin--St. George's/Random--Burin--St. George's"," 616","Bay L'Argent",1,3,2,1,0,7,
"Random--Burin--St. George's/Random--Burin--St. George's"," 617","Marystown",1,64,25,13,0,103,
"Random--Burin--St. George's/Random--Burin--St. George's"," 618","Grand Bank",1,26,55,6,0,88,
