Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ulric DeGrâce,Yvon Godin,Eric Landry,Marcelle Mersereau,Philippe Rousselle,Serge Savoie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Acadie--Bathurst/Acadie--Bathurst"," 179","Saint-Pons",3,117,1,56,3,45,2,227,278
"Acadie--Bathurst/Acadie--Bathurst"," 180","Upper Sheila",0,157,0,71,12,29,2,271,372
"Acadie--Bathurst/Acadie--Bathurst"," 181","Val-Comeau",1,172,1,114,5,44,4,341,438
"Acadie--Bathurst/Acadie--Bathurst"," 182A","Tracadie Beach",0,96,0,69,4,29,3,201,334
"Acadie--Bathurst/Acadie--Bathurst"," 182B","Mobile poll/Bureau itinérant",Merged with No. 191C/Fusionné avec le nº 191C,,,,,,,,7
"Acadie--Bathurst/Acadie--Bathurst"," 183","Leech",1,232,1,93,3,28,2,360,480
"Acadie--Bathurst/Acadie--Bathurst"," 184","Pont-Lafrance",2,160,1,71,6,16,4,260,340
"Acadie--Bathurst/Acadie--Bathurst"," 185","Pont-Lafrance",0,147,2,59,2,24,2,236,318
"Acadie--Bathurst/Acadie--Bathurst"," 186","Tracadie-Sheila",0,87,0,57,3,40,2,189,327
"Acadie--Bathurst/Acadie--Bathurst"," 187","Tracadie-Sheila",1,77,1,52,7,51,3,192,360
"Acadie--Bathurst/Acadie--Bathurst"," 188","Tracadie-Sheila",1,77,1,49,2,40,5,175,348
"Acadie--Bathurst/Acadie--Bathurst"," 189","Tracadie-Sheila",0,80,0,44,9,50,0,183,331
"Acadie--Bathurst/Acadie--Bathurst"," 190","Tracadie-Sheila",1,79,0,56,0,35,1,172,351
"Acadie--Bathurst/Acadie--Bathurst"," 191A","Tracadie-Sheila",0,94,2,51,4,59,4,214,438
"Acadie--Bathurst/Acadie--Bathurst"," 191B","Mobile poll/Bureau itinérant",Merged with No. 191C/Fusionné avec le nº 191C,,,,,,,,11
"Acadie--Bathurst/Acadie--Bathurst"," 191C","Mobile poll/Bureau itinérant",1,12,1,20,1,18,1,54,21
"Acadie--Bathurst/Acadie--Bathurst"," 192A","Tracadie-Sheila",1,50,0,52,5,31,6,145,237
"Acadie--Bathurst/Acadie--Bathurst"," 192B","Tracadie-Sheila",0,56,0,26,2,33,2,119,237
"Acadie--Bathurst/Acadie--Bathurst"," 192C","Mobile poll/Bureau itinérant",Merged with No. 191C/Fusionné avec le nº 191C,,,,,,,,10
"Acadie--Bathurst/Acadie--Bathurst"," 193","Tracadie-Sheila",0,108,1,71,9,75,2,266,440
"Acadie--Bathurst/Acadie--Bathurst"," 194A","Tracadie-Sheila",0,68,1,34,3,30,0,136,215
"Acadie--Bathurst/Acadie--Bathurst"," 194B","Tracadie-Sheila",0,75,2,54,3,21,0,155,246
"Acadie--Bathurst/Acadie--Bathurst"," 194C","Mobile poll/Bureau itinérant",Merged with No. 191C/Fusionné avec le nº 191C,,,,,,,,14
"Acadie--Bathurst/Acadie--Bathurst"," 195","Tracadie-Sheila",0,102,1,98,8,42,2,253,383
"Acadie--Bathurst/Acadie--Bathurst"," 500","Mobile poll/Bureau itinérant",0,11,2,12,0,10,0,35,52
"Acadie--Bathurst/Acadie--Bathurst"," 501","Mobile poll/Bureau itinérant",0,46,2,55,1,16,2,122,170
"Acadie--Bathurst/Acadie--Bathurst"," 502A","Mobile poll/Bureau itinérant",0,21,1,35,1,6,0,64,53
"Acadie--Bathurst/Acadie--Bathurst"," 502B","Mobile poll/Bureau itinérant",0,22,2,45,0,14,1,84,79
"Acadie--Bathurst/Acadie--Bathurst"," 503A","Mobile poll/Bureau itinérant",1,22,3,19,2,8,4,59,90
"Acadie--Bathurst/Acadie--Bathurst"," 503B","Mobile poll/Bureau itinérant",0,24,3,18,1,16,1,63,77
"Acadie--Bathurst/Acadie--Bathurst"," 504","Mobile poll/Bureau itinérant",1,8,3,22,2,13,6,55,99
"Acadie--Bathurst/Acadie--Bathurst"," 505A","Mobile poll/Bureau itinérant",2,31,3,9,0,6,1,52,107
"Acadie--Bathurst/Acadie--Bathurst"," 505B","Mobile poll/Bureau itinérant",Merged with No. 502B/Fusionné avec le nº 502B,,,,,,,,25
"Acadie--Bathurst/Acadie--Bathurst"," 506A","Mobile poll/Bureau itinérant",1,10,1,46,1,12,1,72,137
"Acadie--Bathurst/Acadie--Bathurst"," 506B","Mobile poll/Bureau itinérant",2,18,1,19,0,5,3,48,21
"Acadie--Bathurst/Acadie--Bathurst"," 507","Mobile poll/Bureau itinérant",2,25,1,33,1,12,1,75,141
"Acadie--Bathurst/Acadie--Bathurst"," 508","Mobile poll/Bureau itinérant",2,22,2,29,0,9,2,66,42
"Acadie--Bathurst/Acadie--Bathurst"," 600","Petit-Rocher",1,105,0,144,3,49,1,303,
"Acadie--Bathurst/Acadie--Bathurst"," 601","Beresford",3,161,0,190,3,68,7,432,
"Acadie--Bathurst/Acadie--Bathurst"," 602","Bathurst",0,219,3,304,14,73,0,613,
"Acadie--Bathurst/Acadie--Bathurst"," 603","Bathurst",1,280,4,318,6,118,4,731,
"Acadie--Bathurst/Acadie--Bathurst"," 604","Bathurst",0,117,2,69,3,36,1,228,
"Acadie--Bathurst/Acadie--Bathurst"," 605","Allardville",0,84,1,25,0,15,1,126,
"Acadie--Bathurst/Acadie--Bathurst"," 606","New Bandon",0,124,19,67,0,12,1,223,
"Acadie--Bathurst/Acadie--Bathurst"," 607","Bertrand",3,306,3,131,8,78,4,533,
"Acadie--Bathurst/Acadie--Bathurst"," 608","Caraquet",0,352,8,307,12,86,10,775,
"Acadie--Bathurst/Acadie--Bathurst"," 609","Lamèque",3,204,5,178,7,191,5,593,
"Acadie--Bathurst/Acadie--Bathurst"," 610","Shippagan",2,275,3,173,7,189,13,662,
"Acadie--Bathurst/Acadie--Bathurst"," 611","Saint-Isidore",0,108,0,66,1,44,1,220,
"Acadie--Bathurst/Acadie--Bathurst"," 612","Tracadie",2,166,3,122,4,90,2,389,
"Acadie--Bathurst/Acadie--Bathurst"," 613","Sheila",0,78,0,51,1,38,2,170,
"Acadie--Bathurst/Acadie--Bathurst",,Group 1/Groupe 1,0,32,2,36,4,57,0,131,397
"Acadie--Bathurst/Acadie--Bathurst",,Group 2/Groupe 2,10,1141,7,1374,47,284,21,2884,
