Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nick Capra,Axcel Cocon,Parm Gill,Sandra Romano Anthony,Judy Sgro,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"York West/York-Ouest"," 124","North York",8,0,62,22,84,4,180,369
"York West/York-Ouest"," 125","North York",4,0,48,24,109,3,188,320
"York West/York-Ouest"," 126","North York",10,2,33,30,120,0,195,293
"York West/York-Ouest"," 127","North York",8,2,60,53,136,2,261,429
"York West/York-Ouest"," 128","North York",10,1,43,30,136,0,220,399
"York West/York-Ouest"," 129A","North York",1,0,29,10,89,0,129,308
"York West/York-Ouest"," 129B","North York",0,1,31,19,68,0,119,301
"York West/York-Ouest"," 130","North York",5,1,46,26,96,2,176,297
"York West/York-Ouest"," 131","North York",8,0,32,26,80,0,146,253
"York West/York-Ouest"," 132","North York",2,0,31,19,102,1,155,249
"York West/York-Ouest"," 133","North York",8,1,40,20,126,0,195,354
"York West/York-Ouest"," 134","North York",9,1,48,21,152,2,233,349
"York West/York-Ouest"," 135","North York",7,1,26,18,81,0,133,230
"York West/York-Ouest"," 136","North York",12,3,53,36,159,0,263,394
"York West/York-Ouest"," 137","North York",2,2,31,25,121,1,182,320
"York West/York-Ouest"," 138","North York",4,2,31,22,143,4,206,321
"York West/York-Ouest"," 139","North York",4,0,29,27,140,1,201,302
"York West/York-Ouest"," 140","North York",2,1,21,8,95,2,129,267
"York West/York-Ouest"," 141A","North York",1,0,26,21,108,2,158,356
"York West/York-Ouest"," 141B","North York",0,0,16,16,94,0,126,327
"York West/York-Ouest"," 142","North York",8,0,31,17,78,1,135,315
"York West/York-Ouest"," 143","North York",4,1,51,17,90,4,167,346
"York West/York-Ouest"," 144","North York",4,0,33,26,73,0,136,247
"York West/York-Ouest"," 145","North York",5,2,28,15,74,0,124,226
"York West/York-Ouest"," 400","North York",18,2,62,74,134,0,290,477
"York West/York-Ouest"," 401","North York",8,1,28,62,94,0,193,340
"York West/York-Ouest"," 402","North York",6,0,27,42,63,0,138,335
"York West/York-Ouest"," 403","North York",1,2,37,36,93,0,169,323
"York West/York-Ouest"," 404","North York",1,1,18,38,221,6,285,494
"York West/York-Ouest"," 405","North York",0,0,27,5,69,0,101,275
"York West/York-Ouest"," 406","North York",1,1,50,9,66,1,128,351
"York West/York-Ouest"," 407","North York",0,1,24,29,92,2,148,333
"York West/York-Ouest"," 600","Toronto",3,3,188,41,238,3,476,
"York West/York-Ouest"," 601","Toronto",18,2,93,35,286,8,442,
"York West/York-Ouest"," 602","Toronto",15,1,56,55,118,2,247,
"York West/York-Ouest"," 603","Toronto",14,3,77,35,223,2,354,
"York West/York-Ouest"," 604","Toronto",6,1,64,33,132,1,237,
"York West/York-Ouest"," 605","Toronto",8,1,70,21,203,6,309,
"York West/York-Ouest"," 606","Toronto",18,2,154,48,290,8,520,
"York West/York-Ouest"," 607","Toronto",3,0,53,23,112,0,191,
"York West/York-Ouest",,Group 1/Groupe 1,2,2,8,10,29,7,58,92
"York West/York-Ouest",,Group 2/Groupe 2,8,1,112,46,412,11,590,
