Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alain Charette,Christian Doyle,Gabriel Girard-Bernier,Pierre Laliberté,Gilles Poirier,Marcel Proulx,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Hull--Aylmer/Hull--Aylmer"," 41","Aylmer",45,15,0,53,60,93,1,267,388
"Hull--Aylmer/Hull--Aylmer"," 42","Aylmer",68,22,1,57,50,100,1,299,485
"Hull--Aylmer/Hull--Aylmer"," 43","Aylmer",80,8,0,43,55,71,1,258,435
"Hull--Aylmer/Hull--Aylmer"," 44","Aylmer",49,6,0,38,40,74,2,209,388
"Hull--Aylmer/Hull--Aylmer"," 45","Aylmer",43,12,1,29,37,79,1,202,418
"Hull--Aylmer/Hull--Aylmer"," 46","Aylmer",35,12,0,30,38,49,1,165,335
"Hull--Aylmer/Hull--Aylmer"," 47","Aylmer",45,13,0,42,44,73,1,218,474
"Hull--Aylmer/Hull--Aylmer"," 48","Aylmer",43,5,0,23,46,63,1,181,313
"Hull--Aylmer/Hull--Aylmer"," 49","Aylmer",58,14,1,46,48,77,0,244,420
"Hull--Aylmer/Hull--Aylmer"," 50","Aylmer",56,24,1,54,44,97,1,277,483
"Hull--Aylmer/Hull--Aylmer"," 51","Aylmer",53,27,0,76,60,86,1,303,442
"Hull--Aylmer/Hull--Aylmer"," 52","Aylmer",50,18,2,73,49,94,0,286,446
"Hull--Aylmer/Hull--Aylmer"," 53","Aylmer",50,27,2,84,57,92,0,312,502
"Hull--Aylmer/Hull--Aylmer"," 54","Aylmer",39,20,2,65,43,64,2,235,425
"Hull--Aylmer/Hull--Aylmer"," 55","Aylmer",55,26,2,39,70,92,0,284,489
"Hull--Aylmer/Hull--Aylmer"," 56A","Aylmer",40,14,0,52,58,95,1,260,442
"Hull--Aylmer/Hull--Aylmer"," 56B","Aylmer",30,2,3,45,68,62,1,211,371
"Hull--Aylmer/Hull--Aylmer"," 57","Aylmer",64,17,0,63,75,92,0,311,533
"Hull--Aylmer/Hull--Aylmer"," 58","Aylmer",44,11,0,56,50,79,0,240,413
"Hull--Aylmer/Hull--Aylmer"," 59","Aylmer",46,20,0,52,54,90,2,264,431
"Hull--Aylmer/Hull--Aylmer"," 60","Aylmer",34,13,0,50,57,97,0,251,492
"Hull--Aylmer/Hull--Aylmer"," 61","Aylmer",56,18,1,65,60,62,2,264,491
"Hull--Aylmer/Hull--Aylmer"," 62","Aylmer",66,19,2,49,77,105,1,319,549
"Hull--Aylmer/Hull--Aylmer"," 63A","Aylmer",38,15,0,41,66,97,0,257,433
"Hull--Aylmer/Hull--Aylmer"," 63B","Aylmer",63,13,0,50,61,94,2,283,460
"Hull--Aylmer/Hull--Aylmer"," 64","Aylmer",54,14,0,41,49,99,2,259,567
"Hull--Aylmer/Hull--Aylmer"," 65","Aylmer",47,24,0,38,61,86,2,258,497
"Hull--Aylmer/Hull--Aylmer"," 66","Hull",92,19,0,38,37,82,2,270,365
"Hull--Aylmer/Hull--Aylmer"," 67","Hull",126,20,1,47,40,73,3,310,437
"Hull--Aylmer/Hull--Aylmer"," 68","Hull",118,4,1,41,20,73,0,257,369
"Hull--Aylmer/Hull--Aylmer"," 69","Hull",108,12,0,15,21,46,1,203,321
"Hull--Aylmer/Hull--Aylmer"," 70","Hull",92,16,0,37,27,41,3,216,319
"Hull--Aylmer/Hull--Aylmer"," 71","Hull",98,17,0,60,69,124,1,369,522
"Hull--Aylmer/Hull--Aylmer"," 72","Hull",140,13,0,71,42,61,2,329,479
"Hull--Aylmer/Hull--Aylmer"," 73","Hull",94,8,0,42,38,74,2,258,481
"Hull--Aylmer/Hull--Aylmer"," 74","Hull",98,7,0,41,21,62,2,231,354
"Hull--Aylmer/Hull--Aylmer"," 75","Hull",91,4,0,25,19,63,1,203,392
"Hull--Aylmer/Hull--Aylmer"," 76","Hull",123,20,0,48,39,85,1,316,604
"Hull--Aylmer/Hull--Aylmer"," 77","Hull",135,17,1,48,46,57,0,304,422
"Hull--Aylmer/Hull--Aylmer"," 78","Hull",59,12,0,20,31,46,0,168,347
"Hull--Aylmer/Hull--Aylmer"," 79","Hull",104,13,4,54,51,82,3,311,482
"Hull--Aylmer/Hull--Aylmer"," 80","Hull",102,15,1,33,29,56,4,240,380
"Hull--Aylmer/Hull--Aylmer"," 81","Hull",64,29,0,43,32,52,1,221,333
"Hull--Aylmer/Hull--Aylmer"," 82","Hull",83,17,0,19,19,51,0,189,307
"Hull--Aylmer/Hull--Aylmer"," 83","Hull",79,5,0,20,32,53,1,190,404
"Hull--Aylmer/Hull--Aylmer"," 84","Hull",27,4,0,26,23,42,3,125,329
"Hull--Aylmer/Hull--Aylmer"," 85","Hull",58,5,0,14,21,42,2,142,369
"Hull--Aylmer/Hull--Aylmer"," 86","Hull",47,3,1,17,11,24,0,103,218
"Hull--Aylmer/Hull--Aylmer"," 87","Hull",Merged with No. 88A/Fusionné avec le nº 88A,,,,,,,,61
"Hull--Aylmer/Hull--Aylmer"," 88A","Hull",57,4,2,26,38,48,2,177,364
"Hull--Aylmer/Hull--Aylmer"," 88B","Hull",66,8,1,36,42,93,4,250,543
"Hull--Aylmer/Hull--Aylmer"," 89","Hull",72,8,1,18,22,61,1,183,459
"Hull--Aylmer/Hull--Aylmer"," 90","Hull",89,9,0,26,17,40,1,182,301
"Hull--Aylmer/Hull--Aylmer"," 91","Hull",58,11,0,19,26,38,0,152,346
"Hull--Aylmer/Hull--Aylmer"," 92","Hull",93,14,0,57,35,68,4,271,398
"Hull--Aylmer/Hull--Aylmer"," 93","Hull",85,10,0,17,40,75,6,233,383
"Hull--Aylmer/Hull--Aylmer"," 94","Hull",40,5,0,28,29,55,0,157,333
"Hull--Aylmer/Hull--Aylmer"," 95","Hull",53,5,3,26,26,88,1,202,384
"Hull--Aylmer/Hull--Aylmer"," 96","Hull",80,5,0,28,31,86,5,235,414
"Hull--Aylmer/Hull--Aylmer"," 97","Hull",45,12,0,18,14,43,0,132,331
"Hull--Aylmer/Hull--Aylmer"," 98","Hull",97,11,4,33,26,44,1,216,336
"Hull--Aylmer/Hull--Aylmer"," 99","Hull",112,10,1,25,33,67,0,248,390
"Hull--Aylmer/Hull--Aylmer"," 100","Hull",92,12,2,39,31,69,0,245,370
"Hull--Aylmer/Hull--Aylmer"," 101","Hull",69,10,0,23,21,77,0,200,331
"Hull--Aylmer/Hull--Aylmer"," 102","Hull",69,14,0,17,29,45,1,175,321
"Hull--Aylmer/Hull--Aylmer"," 103","Hull",61,8,3,19,25,68,1,185,376
"Hull--Aylmer/Hull--Aylmer"," 104","Hull",59,6,0,19,29,79,0,192,353
"Hull--Aylmer/Hull--Aylmer"," 105","Hull",53,5,0,18,20,61,0,157,297
"Hull--Aylmer/Hull--Aylmer"," 106","Hull",40,4,0,22,25,53,2,146,282
"Hull--Aylmer/Hull--Aylmer"," 107","Hull",27,5,1,20,13,43,0,109,243
"Hull--Aylmer/Hull--Aylmer"," 108","Hull",67,4,1,37,43,73,0,225,354
"Hull--Aylmer/Hull--Aylmer"," 109","Hull",88,14,0,24,20,59,4,209,362
"Hull--Aylmer/Hull--Aylmer"," 110","Hull",28,5,0,13,12,54,0,112,378
"Hull--Aylmer/Hull--Aylmer"," 111","Hull",25,4,0,15,14,49,0,107,322
"Hull--Aylmer/Hull--Aylmer"," 112","Hull",87,7,0,27,36,71,1,229,385
"Hull--Aylmer/Hull--Aylmer"," 113","Hull",53,7,0,23,21,42,0,146,279
"Hull--Aylmer/Hull--Aylmer"," 114","Hull",81,12,0,27,41,70,1,232,361
"Hull--Aylmer/Hull--Aylmer"," 115","Hull",38,8,0,19,11,54,0,130,322
"Hull--Aylmer/Hull--Aylmer"," 116","Hull",56,4,0,21,24,49,0,154,312
"Hull--Aylmer/Hull--Aylmer"," 117","Hull",65,8,0,16,26,51,0,166,344
"Hull--Aylmer/Hull--Aylmer"," 118","Hull",69,2,0,22,25,79,0,197,404
"Hull--Aylmer/Hull--Aylmer"," 119","Hull",51,1,0,21,27,68,0,168,379
"Hull--Aylmer/Hull--Aylmer"," 120","Hull",33,6,0,15,14,22,0,90,223
"Hull--Aylmer/Hull--Aylmer"," 121","Hull",49,3,0,18,15,41,0,126,302
"Hull--Aylmer/Hull--Aylmer"," 122","Hull",44,4,0,18,24,50,3,143,329
"Hull--Aylmer/Hull--Aylmer"," 123A","Hull",36,7,0,16,23,57,3,142,417
"Hull--Aylmer/Hull--Aylmer"," 123B","Mobile poll/Bureau itinérant",Merged with No. 501A/Fusionné avec le nº 501A,,,,,,,,111
"Hull--Aylmer/Hull--Aylmer"," 124","Hull",25,1,0,4,9,28,0,67,166
"Hull--Aylmer/Hull--Aylmer"," 125","Hull",39,5,0,15,32,51,0,142,339
"Hull--Aylmer/Hull--Aylmer"," 126","Hull",49,7,0,19,20,44,1,140,365
"Hull--Aylmer/Hull--Aylmer"," 127","Hull",108,13,1,67,60,79,1,329,513
"Hull--Aylmer/Hull--Aylmer"," 128A","Hull",108,17,1,62,50,125,5,368,587
"Hull--Aylmer/Hull--Aylmer"," 128B","Hull",125,19,0,53,45,93,0,335,579
"Hull--Aylmer/Hull--Aylmer"," 129","Hull",113,14,0,42,28,63,1,261,525
"Hull--Aylmer/Hull--Aylmer"," 130A","Hull",100,11,0,41,36,53,0,241,353
"Hull--Aylmer/Hull--Aylmer"," 130B","Hull",63,17,0,28,23,51,2,184,296
"Hull--Aylmer/Hull--Aylmer"," 131","Hull",90,12,0,53,47,51,1,254,402
"Hull--Aylmer/Hull--Aylmer"," 132","Hull",132,21,0,47,42,43,0,285,422
"Hull--Aylmer/Hull--Aylmer"," 133","Hull",97,12,0,25,18,46,3,201,325
"Hull--Aylmer/Hull--Aylmer"," 134A","Hull",67,13,0,23,28,59,0,190,315
"Hull--Aylmer/Hull--Aylmer"," 134B","Hull",49,6,0,14,19,30,0,118,314
"Hull--Aylmer/Hull--Aylmer"," 135","Hull",62,7,0,26,44,69,0,208,327
"Hull--Aylmer/Hull--Aylmer"," 136","Hull",122,18,0,58,49,91,3,341,548
"Hull--Aylmer/Hull--Aylmer"," 137","Hull",71,3,0,22,18,71,0,185,403
"Hull--Aylmer/Hull--Aylmer"," 138","Hull",77,4,0,32,28,32,0,173,330
"Hull--Aylmer/Hull--Aylmer"," 139","Hull",59,11,2,29,18,41,2,162,335
"Hull--Aylmer/Hull--Aylmer"," 140","Hull",45,8,0,21,20,47,1,142,322
"Hull--Aylmer/Hull--Aylmer"," 141","Hull",87,11,1,23,27,80,3,232,414
"Hull--Aylmer/Hull--Aylmer"," 142","Hull",74,8,0,29,25,55,3,194,335
"Hull--Aylmer/Hull--Aylmer"," 143","Hull",77,11,1,38,19,51,2,199,347
"Hull--Aylmer/Hull--Aylmer"," 144","Hull",84,18,1,32,27,74,4,240,373
"Hull--Aylmer/Hull--Aylmer"," 145","Hull",78,15,0,38,30,51,0,212,355
"Hull--Aylmer/Hull--Aylmer"," 146","Hull",112,15,0,59,43,100,0,329,528
"Hull--Aylmer/Hull--Aylmer"," 147","Hull",97,13,0,74,52,88,4,328,508
"Hull--Aylmer/Hull--Aylmer"," 148","Hull",134,18,1,62,58,117,0,390,570
"Hull--Aylmer/Hull--Aylmer"," 149","Hull",85,19,0,46,47,40,1,238,363
"Hull--Aylmer/Hull--Aylmer"," 150","Hull",83,7,0,50,36,57,0,233,378
"Hull--Aylmer/Hull--Aylmer"," 151","Hull",109,23,0,66,47,86,0,331,465
"Hull--Aylmer/Hull--Aylmer"," 152","Hull",29,7,0,13,9,21,0,79,144
"Hull--Aylmer/Hull--Aylmer"," 153","Hull",43,4,0,20,16,39,0,122,312
"Hull--Aylmer/Hull--Aylmer"," 154","Hull",92,12,1,26,23,63,1,218,408
"Hull--Aylmer/Hull--Aylmer"," 155","Hull",71,13,1,21,24,43,0,173,331
"Hull--Aylmer/Hull--Aylmer"," 156","Hull",84,16,1,28,21,43,2,195,434
"Hull--Aylmer/Hull--Aylmer"," 157","Hull",76,13,0,18,27,49,2,185,355
"Hull--Aylmer/Hull--Aylmer"," 158","Hull",85,15,3,28,29,67,0,227,411
"Hull--Aylmer/Hull--Aylmer"," 159","Hull",57,16,1,29,31,54,3,191,360
"Hull--Aylmer/Hull--Aylmer"," 160","Hull",69,10,1,27,22,56,0,185,378
"Hull--Aylmer/Hull--Aylmer"," 161","Hull",77,15,1,18,28,44,2,185,416
"Hull--Aylmer/Hull--Aylmer"," 162","Hull",77,4,1,19,17,61,3,182,434
"Hull--Aylmer/Hull--Aylmer"," 163","Hull",69,11,0,23,15,38,1,157,367
"Hull--Aylmer/Hull--Aylmer"," 164","Hull",74,5,0,20,30,40,0,169,303
"Hull--Aylmer/Hull--Aylmer"," 165","Hull",55,7,0,46,34,82,2,226,443
"Hull--Aylmer/Hull--Aylmer"," 166","Hull",64,6,0,13,39,80,1,203,404
"Hull--Aylmer/Hull--Aylmer"," 167","Hull",47,7,0,20,23,47,0,144,304
"Hull--Aylmer/Hull--Aylmer"," 168","Hull",74,12,1,25,35,88,1,236,440
"Hull--Aylmer/Hull--Aylmer"," 169","Hull",93,13,0,61,53,89,0,309,566
"Hull--Aylmer/Hull--Aylmer"," 170","Hull",34,3,0,16,22,43,7,125,289
"Hull--Aylmer/Hull--Aylmer"," 171","Hull",62,9,1,28,19,50,2,171,479
"Hull--Aylmer/Hull--Aylmer"," 172","Hull",67,6,2,24,19,73,0,191,496
"Hull--Aylmer/Hull--Aylmer"," 173","Hull",38,2,1,13,15,82,1,152,313
"Hull--Aylmer/Hull--Aylmer"," 174","Hull",67,11,2,26,22,48,1,177,365
"Hull--Aylmer/Hull--Aylmer"," 175","Hull",55,11,0,31,14,59,0,170,341
"Hull--Aylmer/Hull--Aylmer"," 176","Hull",30,3,1,22,5,40,1,102,283
"Hull--Aylmer/Hull--Aylmer"," 177","Hull",71,10,3,18,12,43,1,158,373
"Hull--Aylmer/Hull--Aylmer"," 178","Hull",29,10,1,23,14,50,1,128,404
"Hull--Aylmer/Hull--Aylmer"," 179","Hull",50,9,0,11,22,47,1,140,348
"Hull--Aylmer/Hull--Aylmer"," 180","Hull",29,3,0,15,17,43,2,109,337
"Hull--Aylmer/Hull--Aylmer"," 181","Hull",48,7,2,17,20,46,1,141,444
"Hull--Aylmer/Hull--Aylmer"," 182","Hull",42,7,0,19,19,62,0,149,382
"Hull--Aylmer/Hull--Aylmer"," 183","Hull",54,8,0,32,14,44,4,156,494
"Hull--Aylmer/Hull--Aylmer"," 184","Hull",36,6,1,18,9,27,0,97,260
"Hull--Aylmer/Hull--Aylmer"," 185","Hull",51,15,1,36,10,39,0,152,324
"Hull--Aylmer/Hull--Aylmer"," 186","Hull",73,13,2,56,40,86,3,273,572
"Hull--Aylmer/Hull--Aylmer"," 187","Hull",60,13,0,41,40,93,0,247,358
"Hull--Aylmer/Hull--Aylmer"," 188A","Hull",79,12,0,54,52,81,0,278,438
"Hull--Aylmer/Hull--Aylmer"," 188B","Hull",54,4,0,26,33,94,3,214,309
"Hull--Aylmer/Hull--Aylmer"," 189","Hull",98,16,0,58,29,94,0,295,412
"Hull--Aylmer/Hull--Aylmer"," 190","Hull",119,19,3,51,39,50,3,284,402
"Hull--Aylmer/Hull--Aylmer"," 191","Hull",99,8,1,41,26,27,1,203,313
"Hull--Aylmer/Hull--Aylmer"," 192","Hull",75,15,1,38,14,36,0,179,323
"Hull--Aylmer/Hull--Aylmer"," 193","Hull",45,8,0,20,13,49,3,138,321
"Hull--Aylmer/Hull--Aylmer"," 194","Hull",36,4,0,16,22,53,2,133,422
"Hull--Aylmer/Hull--Aylmer"," 195","Hull",77,16,0,40,22,71,3,229,349
"Hull--Aylmer/Hull--Aylmer"," 196","Hull",106,21,2,43,27,55,5,259,457
"Hull--Aylmer/Hull--Aylmer"," 197","Hull",124,28,1,49,44,78,1,325,533
"Hull--Aylmer/Hull--Aylmer"," 400","Aylmer",15,4,1,2,22,63,0,107,171
"Hull--Aylmer/Hull--Aylmer"," 401","Hull",17,1,0,6,3,33,2,62,181
"Hull--Aylmer/Hull--Aylmer"," 402","Hull",39,1,0,18,27,34,1,120,350
"Hull--Aylmer/Hull--Aylmer"," 403","Hull",21,5,1,11,19,92,6,155,191
"Hull--Aylmer/Hull--Aylmer"," 500","Mobile poll/Bureau itinérant",6,5,0,5,19,59,3,97,152
"Hull--Aylmer/Hull--Aylmer"," 501A","Mobile poll/Bureau itinérant",32,3,0,10,24,128,1,198,164
"Hull--Aylmer/Hull--Aylmer"," 501B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,,,19
"Hull--Aylmer/Hull--Aylmer"," 502","Mobile poll/Bureau itinérant",16,2,0,15,34,91,2,160,217
"Hull--Aylmer/Hull--Aylmer"," 503","Mobile poll/Bureau itinérant",13,2,0,7,6,25,3,56,94
"Hull--Aylmer/Hull--Aylmer"," 600","Gatineau",169,25,1,103,191,265,6,760,
"Hull--Aylmer/Hull--Aylmer"," 601","Gatineau",91,28,1,79,140,215,1,555,
"Hull--Aylmer/Hull--Aylmer"," 602","Gatineau",170,40,0,90,211,332,4,847,
"Hull--Aylmer/Hull--Aylmer"," 603","Gatineau",96,33,2,77,197,274,1,680,
"Hull--Aylmer/Hull--Aylmer"," 604","Gatineau",246,29,0,66,97,207,6,651,
"Hull--Aylmer/Hull--Aylmer"," 605","Gatineau",125,10,0,31,61,214,3,444,
"Hull--Aylmer/Hull--Aylmer"," 606","Gatineau",190,10,3,55,109,280,3,650,
"Hull--Aylmer/Hull--Aylmer"," 607","Gatineau",212,24,0,65,119,185,2,607,
"Hull--Aylmer/Hull--Aylmer"," 608","Gatineau",127,17,0,58,71,99,4,376,
"Hull--Aylmer/Hull--Aylmer"," 609","Gatineau",145,9,1,67,77,197,5,501,
"Hull--Aylmer/Hull--Aylmer"," 610","Gatineau",89,8,1,44,35,114,4,295,
"Hull--Aylmer/Hull--Aylmer",,Group 1/Groupe 1,72,24,2,36,82,92,7,315,575
"Hull--Aylmer/Hull--Aylmer",,Group 2/Groupe 2,540,44,4,166,221,560,19,1554,
