Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tim Hickey,Daryl Kramp,Michael McMahon,Joseph Sahadat,Bob Vaughan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Prince Edward--Hastings/Prince Edward--Hastings"," 44","Madoc",2,97,11,7,28,1,146,271
"Prince Edward--Hastings/Prince Edward--Hastings"," 45","Huntingdon",0,143,31,5,49,0,228,482
"Prince Edward--Hastings/Prince Edward--Hastings"," 46","Rawdon",2,70,40,11,27,0,150,196
"Prince Edward--Hastings/Prince Edward--Hastings"," 47","Rawdon",1,171,25,7,35,0,239,350
"Prince Edward--Hastings/Prince Edward--Hastings"," 48","Rawdon",4,137,36,12,40,1,230,382
"Prince Edward--Hastings/Prince Edward--Hastings"," 49","Rawdon",2,133,41,18,43,1,238,459
"Prince Edward--Hastings/Prince Edward--Hastings"," 50","Rawdon",1,127,9,7,27,0,171,286
"Prince Edward--Hastings/Prince Edward--Hastings"," 51","Rawdon",2,104,20,12,52,0,190,321
"Prince Edward--Hastings/Prince Edward--Hastings"," 52A","Stirling",1,91,30,7,50,0,179,356
"Prince Edward--Hastings/Prince Edward--Hastings"," 52B","Stirling",0,72,18,5,41,1,137,310
"Prince Edward--Hastings/Prince Edward--Hastings"," 53","Stirling",3,101,28,8,52,2,194,330
"Prince Edward--Hastings/Prince Edward--Hastings"," 54","Stirling",1,90,15,13,40,0,159,305
"Prince Edward--Hastings/Prince Edward--Hastings"," 55","Stirling",2,116,37,6,71,0,232,410
"Prince Edward--Hastings/Prince Edward--Hastings"," 56","Elzevir and Grimsthorpe",4,115,42,19,56,0,236,468
"Prince Edward--Hastings/Prince Edward--Hastings"," 57","Hungerford",1,74,20,22,48,0,165,323
"Prince Edward--Hastings/Prince Edward--Hastings"," 58","Hungerford",4,128,25,4,60,2,223,408
"Prince Edward--Hastings/Prince Edward--Hastings"," 59","Tweed",1,106,59,13,55,1,235,451
"Prince Edward--Hastings/Prince Edward--Hastings"," 60","Tweed",1,67,21,7,40,5,141,308
"Prince Edward--Hastings/Prince Edward--Hastings"," 61","Tweed",1,79,27,7,37,0,151,358
"Prince Edward--Hastings/Prince Edward--Hastings"," 62","Hungerford",0,118,44,10,83,0,255,504
"Prince Edward--Hastings/Prince Edward--Hastings"," 63","Hungerford",0,152,54,16,55,2,279,538
"Prince Edward--Hastings/Prince Edward--Hastings"," 64","Hungerford",2,117,54,13,50,1,237,416
"Prince Edward--Hastings/Prince Edward--Hastings"," 65","Hungerford",0,170,60,10,66,1,307,472
"Prince Edward--Hastings/Prince Edward--Hastings"," 66","Huntingdon",1,129,28,8,21,1,188,333
"Prince Edward--Hastings/Prince Edward--Hastings"," 67","Huntingdon",1,110,22,18,31,1,183,274
"Prince Edward--Hastings/Prince Edward--Hastings"," 68","Huntingdon",1,182,65,13,77,0,338,550
"Prince Edward--Hastings/Prince Edward--Hastings"," 69","Huntingdon",2,127,27,11,48,1,216,302
"Prince Edward--Hastings/Prince Edward--Hastings"," 70","Belleville",1,128,27,2,67,0,225,378
"Prince Edward--Hastings/Prince Edward--Hastings"," 71","Belleville",2,154,38,10,69,0,273,502
"Prince Edward--Hastings/Prince Edward--Hastings"," 72","Belleville",0,60,22,6,57,1,146,302
"Prince Edward--Hastings/Prince Edward--Hastings"," 73","Belleville",1,130,19,8,58,0,216,391
"Prince Edward--Hastings/Prince Edward--Hastings"," 74","Belleville",0,115,38,7,70,1,231,434
"Prince Edward--Hastings/Prince Edward--Hastings"," 75","Belleville",1,78,23,8,71,0,181,330
"Prince Edward--Hastings/Prince Edward--Hastings"," 76","Belleville",0,88,48,12,43,0,191,383
"Prince Edward--Hastings/Prince Edward--Hastings"," 77","Belleville",0,64,14,4,56,0,138,318
"Prince Edward--Hastings/Prince Edward--Hastings"," 78","Belleville",2,128,23,5,57,1,216,429
"Prince Edward--Hastings/Prince Edward--Hastings"," 79","Belleville",0,150,32,11,110,0,303,589
"Prince Edward--Hastings/Prince Edward--Hastings"," 80","Belleville",0,57,23,3,32,0,115,341
"Prince Edward--Hastings/Prince Edward--Hastings"," 81","Belleville",4,111,32,3,64,1,215,510
"Prince Edward--Hastings/Prince Edward--Hastings"," 82","Belleville",1,110,21,6,68,1,207,472
"Prince Edward--Hastings/Prince Edward--Hastings"," 83","Belleville",3,98,44,7,60,0,212,375
"Prince Edward--Hastings/Prince Edward--Hastings"," 84","Belleville",1,83,19,5,85,2,195,351
"Prince Edward--Hastings/Prince Edward--Hastings"," 85","Belleville",2,74,28,4,61,0,169,251
"Prince Edward--Hastings/Prince Edward--Hastings"," 86","Tyendinaga (Read)",4,170,51,13,72,0,310,529
"Prince Edward--Hastings/Prince Edward--Hastings"," 87","Tyendinaga (Read)",3,55,15,2,35,0,110,231
"Prince Edward--Hastings/Prince Edward--Hastings"," 88","Tyendinaga (Read)",2,88,46,14,88,0,238,411
"Prince Edward--Hastings/Prince Edward--Hastings"," 89","Tyendinaga (Read)",2,114,32,10,65,0,223,379
"Prince Edward--Hastings/Prince Edward--Hastings"," 90","Tyendinaga (Shannonville)",2,130,54,11,55,1,253,421
"Prince Edward--Hastings/Prince Edward--Hastings"," 91","Tyendinaga (Shannonville)",2,59,26,3,36,0,126,294
"Prince Edward--Hastings/Prince Edward--Hastings"," 92","Tyendinaga",3,84,24,7,76,1,195,345
"Prince Edward--Hastings/Prince Edward--Hastings"," 93","Tyendinaga (Shannonville)",0,13,9,4,19,0,45,244
"Prince Edward--Hastings/Prince Edward--Hastings"," 94","Tyendinaga Mohawk Territory",1,44,37,0,71,1,154,416
"Prince Edward--Hastings/Prince Edward--Hastings"," 95","Tyendinaga Mohawk Territory",2,28,14,3,36,0,83,199
"Prince Edward--Hastings/Prince Edward--Hastings"," 96","Tyendinaga Mohawk Territory",2,18,28,3,51,1,103,315
"Prince Edward--Hastings/Prince Edward--Hastings"," 97","Deseronto",1,88,43,4,37,0,173,373
"Prince Edward--Hastings/Prince Edward--Hastings"," 98","Deseronto",1,96,52,3,57,0,209,356
"Prince Edward--Hastings/Prince Edward--Hastings"," 99","Deseronto",2,76,51,8,65,0,202,334
"Prince Edward--Hastings/Prince Edward--Hastings"," 100","Deseronto",1,67,42,8,72,0,190,339
"Prince Edward--Hastings/Prince Edward--Hastings"," 101","Belleville",1,71,22,14,94,1,203,405
"Prince Edward--Hastings/Prince Edward--Hastings"," 102","Belleville",0,60,21,4,39,0,124,283
"Prince Edward--Hastings/Prince Edward--Hastings"," 103","Belleville",1,39,28,9,54,1,132,404
"Prince Edward--Hastings/Prince Edward--Hastings"," 104","Belleville",3,100,25,7,85,1,221,365
"Prince Edward--Hastings/Prince Edward--Hastings"," 105","Belleville",2,93,23,6,89,0,213,464
"Prince Edward--Hastings/Prince Edward--Hastings"," 106A","Belleville",1,81,22,2,84,0,190,383
"Prince Edward--Hastings/Prince Edward--Hastings"," 106B","Belleville",1,93,32,7,75,0,208,408
"Prince Edward--Hastings/Prince Edward--Hastings"," 107","Belleville",2,97,31,4,85,2,221,420
"Prince Edward--Hastings/Prince Edward--Hastings"," 108","Belleville",0,77,33,5,78,1,194,357
"Prince Edward--Hastings/Prince Edward--Hastings"," 109","Belleville",1,116,40,7,116,0,280,398
"Prince Edward--Hastings/Prince Edward--Hastings"," 110","Belleville",2,96,26,5,126,1,256,452
"Prince Edward--Hastings/Prince Edward--Hastings"," 111","Belleville",1,81,20,4,74,0,180,358
"Prince Edward--Hastings/Prince Edward--Hastings"," 112","Belleville",2,82,30,5,107,0,226,440
"Prince Edward--Hastings/Prince Edward--Hastings"," 113","Belleville",3,100,37,12,94,0,246,604
"Prince Edward--Hastings/Prince Edward--Hastings"," 114","Belleville",3,34,28,9,32,0,106,294
"Prince Edward--Hastings/Prince Edward--Hastings"," 115","Belleville",1,42,21,7,42,1,114,188
"Prince Edward--Hastings/Prince Edward--Hastings"," 116","Belleville",5,83,50,10,85,0,233,402
"Prince Edward--Hastings/Prince Edward--Hastings"," 117","Belleville",4,60,36,8,45,0,153,399
"Prince Edward--Hastings/Prince Edward--Hastings"," 118","Belleville",0,69,38,13,54,0,174,469
"Prince Edward--Hastings/Prince Edward--Hastings"," 119","Belleville",3,52,27,4,68,2,156,341
"Prince Edward--Hastings/Prince Edward--Hastings"," 120","Belleville",0,61,31,5,42,0,139,370
"Prince Edward--Hastings/Prince Edward--Hastings"," 121","Belleville",1,33,30,5,57,0,126,367
"Prince Edward--Hastings/Prince Edward--Hastings"," 122","Belleville",3,60,15,6,68,2,154,284
"Prince Edward--Hastings/Prince Edward--Hastings"," 123","Belleville",3,170,60,13,126,0,372,664
"Prince Edward--Hastings/Prince Edward--Hastings"," 124","Belleville",1,96,57,7,80,3,244,527
"Prince Edward--Hastings/Prince Edward--Hastings"," 125","Belleville",0,57,46,11,45,0,159,386
"Prince Edward--Hastings/Prince Edward--Hastings"," 126","Belleville",4,46,35,4,45,0,134,410
"Prince Edward--Hastings/Prince Edward--Hastings"," 127","Belleville",4,68,25,12,50,1,160,432
"Prince Edward--Hastings/Prince Edward--Hastings"," 128","Belleville",4,80,25,8,64,1,182,402
"Prince Edward--Hastings/Prince Edward--Hastings"," 129","Belleville",4,72,36,9,85,3,209,417
"Prince Edward--Hastings/Prince Edward--Hastings"," 130","Belleville",1,76,35,4,89,0,205,433
"Prince Edward--Hastings/Prince Edward--Hastings"," 131","Belleville",1,63,29,15,93,0,201,386
"Prince Edward--Hastings/Prince Edward--Hastings"," 132","Belleville",3,52,43,13,94,1,206,450
"Prince Edward--Hastings/Prince Edward--Hastings"," 133","Belleville",1,67,31,10,95,0,204,418
"Prince Edward--Hastings/Prince Edward--Hastings"," 134","Belleville",3,49,34,17,91,0,194,408
"Prince Edward--Hastings/Prince Edward--Hastings"," 135","Belleville",5,93,42,11,105,2,258,458
"Prince Edward--Hastings/Prince Edward--Hastings"," 136","Belleville",0,43,34,7,79,1,164,360
"Prince Edward--Hastings/Prince Edward--Hastings"," 137","Belleville",2,66,23,12,75,0,178,360
"Prince Edward--Hastings/Prince Edward--Hastings"," 138","Belleville",4,64,45,5,87,2,207,402
"Prince Edward--Hastings/Prince Edward--Hastings"," 139","Belleville",0,45,21,4,98,3,171,310
"Prince Edward--Hastings/Prince Edward--Hastings"," 140A","Belleville",0,77,22,0,68,0,167,351
"Prince Edward--Hastings/Prince Edward--Hastings"," 140B","Belleville",0,89,16,7,87,1,200,357
"Prince Edward--Hastings/Prince Edward--Hastings"," 141","Belleville",3,68,31,5,97,0,204,376
"Prince Edward--Hastings/Prince Edward--Hastings"," 142","Belleville",6,92,19,5,113,0,235,402
"Prince Edward--Hastings/Prince Edward--Hastings"," 143","Belleville",1,67,23,7,89,2,189,351
"Prince Edward--Hastings/Prince Edward--Hastings"," 144","Belleville",0,86,29,8,120,1,244,461
"Prince Edward--Hastings/Prince Edward--Hastings"," 145","Belleville",1,77,30,9,86,2,205,384
"Prince Edward--Hastings/Prince Edward--Hastings"," 146","Belleville",4,58,29,4,87,0,182,434
"Prince Edward--Hastings/Prince Edward--Hastings"," 147","Belleville",0,64,31,7,89,0,191,463
"Prince Edward--Hastings/Prince Edward--Hastings"," 148","Belleville",4,54,41,8,70,1,178,392
"Prince Edward--Hastings/Prince Edward--Hastings"," 149","Belleville",0,39,13,0,38,0,90,340
"Prince Edward--Hastings/Prince Edward--Hastings"," 150","Belleville",2,78,35,5,77,4,201,387
"Prince Edward--Hastings/Prince Edward--Hastings"," 151","Belleville",2,69,21,6,107,0,205,453
"Prince Edward--Hastings/Prince Edward--Hastings"," 152","Belleville",2,75,37,3,64,1,182,545
"Prince Edward--Hastings/Prince Edward--Hastings"," 153","Belleville",2,96,47,5,76,0,226,640
"Prince Edward--Hastings/Prince Edward--Hastings"," 154","Belleville",1,42,24,2,52,0,121,228
"Prince Edward--Hastings/Prince Edward--Hastings"," 155","Belleville",3,85,38,15,89,3,233,534
"Prince Edward--Hastings/Prince Edward--Hastings"," 156","Belleville",0,107,52,5,59,1,224,423
"Prince Edward--Hastings/Prince Edward--Hastings"," 157","Belleville",0,60,20,12,49,0,141,357
"Prince Edward--Hastings/Prince Edward--Hastings"," 158","Belleville",0,79,31,9,57,0,176,425
"Prince Edward--Hastings/Prince Edward--Hastings"," 159","Belleville",0,45,33,3,52,0,133,338
"Prince Edward--Hastings/Prince Edward--Hastings"," 160","Belleville",1,61,19,5,66,0,152,444
"Prince Edward--Hastings/Prince Edward--Hastings"," 161","Belleville",2,65,38,8,75,0,188,418
"Prince Edward--Hastings/Prince Edward--Hastings"," 162","Belleville",3,109,55,11,128,0,306,622
"Prince Edward--Hastings/Prince Edward--Hastings"," 163","Belleville",1,28,11,2,37,0,79,179
"Prince Edward--Hastings/Prince Edward--Hastings"," 164","Belleville",3,99,42,7,121,2,274,627
"Prince Edward--Hastings/Prince Edward--Hastings"," 165","Belleville",2,85,28,9,98,0,222,395
"Prince Edward--Hastings/Prince Edward--Hastings"," 166","Belleville",1,60,15,6,53,0,135,247
"Prince Edward--Hastings/Prince Edward--Hastings"," 167","Belleville",0,51,20,6,61,3,141,375
"Prince Edward--Hastings/Prince Edward--Hastings"," 168","Belleville",1,64,15,7,90,1,178,314
"Prince Edward--Hastings/Prince Edward--Hastings"," 169","Belleville",1,84,56,18,79,1,239,459
"Prince Edward--Hastings/Prince Edward--Hastings"," 170","Belleville",5,167,37,10,161,1,381,671
"Prince Edward--Hastings/Prince Edward--Hastings"," 170-1","Belleville",0,31,75,16,43,0,165,200
"Prince Edward--Hastings/Prince Edward--Hastings"," 171","Belleville",0,78,26,5,72,1,182,316
"Prince Edward--Hastings/Prince Edward--Hastings"," 172","Prince Edward",4,124,56,11,73,2,270,457
"Prince Edward--Hastings/Prince Edward--Hastings"," 173A","Prince Edward",1,113,23,13,85,1,236,393
"Prince Edward--Hastings/Prince Edward--Hastings"," 173B","Prince Edward",3,109,21,3,87,0,223,394
"Prince Edward--Hastings/Prince Edward--Hastings"," 174","Prince Edward",1,110,36,24,98,1,270,543
"Prince Edward--Hastings/Prince Edward--Hastings"," 175A","Prince Edward",1,136,37,11,99,3,287,488
"Prince Edward--Hastings/Prince Edward--Hastings"," 175B","Prince Edward",0,142,31,8,113,0,294,502
"Prince Edward--Hastings/Prince Edward--Hastings"," 176","Prince Edward",0,150,30,10,112,2,304,602
"Prince Edward--Hastings/Prince Edward--Hastings"," 177A","Prince Edward",3,104,51,16,57,0,231,353
"Prince Edward--Hastings/Prince Edward--Hastings"," 177B","Prince Edward",1,121,42,15,72,0,251,380
"Prince Edward--Hastings/Prince Edward--Hastings"," 178","Prince Edward",3,123,45,11,76,0,258,403
"Prince Edward--Hastings/Prince Edward--Hastings"," 179","Prince Edward",0,149,55,26,95,0,325,577
"Prince Edward--Hastings/Prince Edward--Hastings"," 180","Prince Edward",3,128,65,14,128,2,340,574
"Prince Edward--Hastings/Prince Edward--Hastings"," 181","Prince Edward",2,163,57,22,83,0,327,544
"Prince Edward--Hastings/Prince Edward--Hastings"," 182","Prince Edward",3,132,44,28,88,0,295,604
"Prince Edward--Hastings/Prince Edward--Hastings"," 183","Prince Edward",1,116,39,17,60,1,234,460
"Prince Edward--Hastings/Prince Edward--Hastings"," 184","Prince Edward",1,69,22,8,39,0,139,215
"Prince Edward--Hastings/Prince Edward--Hastings"," 185","Prince Edward",1,134,42,18,109,0,304,479
"Prince Edward--Hastings/Prince Edward--Hastings"," 186","Prince Edward",0,101,21,6,84,2,214,379
"Prince Edward--Hastings/Prince Edward--Hastings"," 187","Prince Edward",2,127,45,11,89,2,276,433
"Prince Edward--Hastings/Prince Edward--Hastings"," 188","Prince Edward",0,97,33,7,82,1,220,375
"Prince Edward--Hastings/Prince Edward--Hastings"," 189A","Prince Edward",0,148,36,26,60,1,271,481
"Prince Edward--Hastings/Prince Edward--Hastings"," 189B","Prince Edward",4,144,42,15,102,1,308,487
"Prince Edward--Hastings/Prince Edward--Hastings"," 190A","Prince Edward",2,127,35,16,83,0,263,507
"Prince Edward--Hastings/Prince Edward--Hastings"," 190B","Mobile poll/Bureau itinérant",Merged with No. 504B/Fusionné avec le nº 504B,,,,,,,89
"Prince Edward--Hastings/Prince Edward--Hastings"," 191","Prince Edward",1,46,16,10,58,0,131,297
"Prince Edward--Hastings/Prince Edward--Hastings"," 192","Prince Edward",1,94,48,6,74,1,224,447
"Prince Edward--Hastings/Prince Edward--Hastings"," 193","Prince Edward",0,69,28,12,72,0,181,405
"Prince Edward--Hastings/Prince Edward--Hastings"," 194","Prince Edward",1,62,29,18,90,1,201,450
"Prince Edward--Hastings/Prince Edward--Hastings"," 195","Prince Edward",2,79,36,13,47,2,179,465
"Prince Edward--Hastings/Prince Edward--Hastings"," 196","Prince Edward",1,50,29,13,46,0,139,313
"Prince Edward--Hastings/Prince Edward--Hastings"," 197","Prince Edward",0,59,18,11,62,0,150,361
"Prince Edward--Hastings/Prince Edward--Hastings"," 198","Prince Edward",3,45,33,13,49,0,143,323
"Prince Edward--Hastings/Prince Edward--Hastings"," 199","Prince Edward",1,67,35,10,46,1,160,377
"Prince Edward--Hastings/Prince Edward--Hastings"," 200","Prince Edward",2,55,30,9,60,0,156,447
"Prince Edward--Hastings/Prince Edward--Hastings"," 201A","Prince Edward",0,46,32,8,49,2,137,375
"Prince Edward--Hastings/Prince Edward--Hastings"," 201B","Prince Edward",2,69,25,13,35,0,144,399
"Prince Edward--Hastings/Prince Edward--Hastings"," 202","Prince Edward",0,77,35,20,73,3,208,459
"Prince Edward--Hastings/Prince Edward--Hastings"," 203","Prince Edward",0,77,35,13,86,0,211,347
"Prince Edward--Hastings/Prince Edward--Hastings"," 204","Prince Edward",2,97,30,17,58,0,204,392
"Prince Edward--Hastings/Prince Edward--Hastings"," 205","Prince Edward",0,64,26,9,58,0,157,291
"Prince Edward--Hastings/Prince Edward--Hastings"," 206","Prince Edward",2,101,58,16,85,0,262,597
"Prince Edward--Hastings/Prince Edward--Hastings"," 207","Prince Edward",0,81,38,25,61,0,205,361
"Prince Edward--Hastings/Prince Edward--Hastings"," 208","Prince Edward",0,95,50,18,64,0,227,415
"Prince Edward--Hastings/Prince Edward--Hastings"," 209","Prince Edward",1,125,39,19,69,0,253,409
"Prince Edward--Hastings/Prince Edward--Hastings"," 210","Prince Edward",1,131,51,19,97,0,299,579
"Prince Edward--Hastings/Prince Edward--Hastings"," 400","Belleville",2,49,10,1,32,2,96,268
"Prince Edward--Hastings/Prince Edward--Hastings"," 500","Mobile poll/Bureau itinérant",0,34,6,3,13,0,56,97
"Prince Edward--Hastings/Prince Edward--Hastings"," 501","Mobile poll/Bureau itinérant",3,36,5,2,39,2,87,153
"Prince Edward--Hastings/Prince Edward--Hastings"," 502","Mobile poll/Bureau itinérant",1,23,8,2,24,1,59,90
"Prince Edward--Hastings/Prince Edward--Hastings"," 503","Mobile poll/Bureau itinérant",2,55,10,1,40,2,110,179
"Prince Edward--Hastings/Prince Edward--Hastings"," 504A","Mobile poll/Bureau itinérant",1,47,5,0,25,3,81,115
"Prince Edward--Hastings/Prince Edward--Hastings"," 504B","Mobile poll/Bureau itinérant",3,20,4,3,21,3,54,46
"Prince Edward--Hastings/Prince Edward--Hastings"," 505","Mobile poll/Bureau itinérant",5,32,12,4,28,3,84,176
"Prince Edward--Hastings/Prince Edward--Hastings"," 600","Bancroft",9,808,134,36,221,2,1210,
"Prince Edward--Hastings/Prince Edward--Hastings"," 601","Madoc",8,710,55,31,130,2,936,
"Prince Edward--Hastings/Prince Edward--Hastings"," 602","Stirling",0,240,33,21,74,3,371,
"Prince Edward--Hastings/Prince Edward--Hastings"," 603","Huntingdon--Tweed",5,458,73,19,213,2,770,
"Prince Edward--Hastings/Prince Edward--Hastings"," 604","Belleville",1,596,50,17,237,2,903,
"Prince Edward--Hastings/Prince Edward--Hastings"," 605","Tyendinaga",3,182,38,8,83,2,316,
"Prince Edward--Hastings/Prince Edward--Hastings"," 606","Belleville",7,447,59,14,292,4,823,
"Prince Edward--Hastings/Prince Edward--Hastings"," 607","Belleville",7,239,54,22,204,0,526,
"Prince Edward--Hastings/Prince Edward--Hastings"," 608","Belleville",4,289,58,15,246,0,612,
"Prince Edward--Hastings/Prince Edward--Hastings"," 609","Belleville",2,384,88,17,333,7,831,
"Prince Edward--Hastings/Prince Edward--Hastings"," 610","Belleville",3,390,54,22,253,4,726,
"Prince Edward--Hastings/Prince Edward--Hastings"," 611","Prince Edward County",3,434,76,34,242,1,790,
"Prince Edward--Hastings/Prince Edward--Hastings"," 612","Prince Edward County",8,405,81,37,303,6,840,
"Prince Edward--Hastings/Prince Edward--Hastings"," 613","Prince Edward County",2,320,94,36,243,0,695,
"Prince Edward--Hastings/Prince Edward--Hastings",,Group 1/Groupe 1,1,77,16,9,53,2,158,407
"Prince Edward--Hastings/Prince Edward--Hastings",,Group 2/Groupe 2,4,1174,184,73,920,25,2380,
