Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,J. Frank Comeau,Neil Gardner,Anna Girouard,Dominic LeBlanc,Omer Leger,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Beauséjour/Beauséjour"," 51","Notre-Dame",2,37,0,78,129,2,248,346
"Beauséjour/Beauséjour"," 52","Saint-Antoine",3,15,2,78,146,2,246,320
"Beauséjour/Beauséjour"," 53","Notre-Dame",2,47,6,132,126,5,318,470
"Beauséjour/Beauséjour"," 54","Cap-de-Cocagne",0,41,9,190,56,0,296,475
"Beauséjour/Beauséjour"," 55A","Grande-Digue",1,32,2,121,32,0,188,311
"Beauséjour/Beauséjour"," 55B","Grande-Digue",1,38,1,153,49,5,247,383
"Beauséjour/Beauséjour"," 56A","Grande-Digue",1,24,4,97,84,0,210,344
"Beauséjour/Beauséjour"," 56B","Grande-Digue",1,22,5,97,49,4,178,306
"Beauséjour/Beauséjour"," 57","Cocagne-Sud",1,28,6,119,63,1,218,372
"Beauséjour/Beauséjour"," 58A","Notre-Dame",1,32,8,64,71,0,176,247
"Beauséjour/Beauséjour"," 58B","Notre-Dame",1,31,9,81,54,3,179,262
"Beauséjour/Beauséjour"," 59","Irishtown",0,28,9,53,69,2,161,255
"Beauséjour/Beauséjour"," 60A","Irishtown",0,46,7,45,64,2,164,257
"Beauséjour/Beauséjour"," 60B","Irishtown",1,35,9,54,54,2,155,256
"Beauséjour/Beauséjour"," 61","Irishtown",2,49,2,46,54,3,156,301
"Beauséjour/Beauséjour"," 62A","Gallagher Ridge",0,24,8,51,45,1,129,238
"Beauséjour/Beauséjour"," 62B","Gallagher Ridge",2,30,6,43,67,1,149,241
"Beauséjour/Beauséjour"," 63","Lakeville",5,87,7,108,78,1,286,457
"Beauséjour/Beauséjour"," 64A","Lakeville",1,49,4,57,44,2,157,284
"Beauséjour/Beauséjour"," 64B","Lakeville",0,38,6,60,68,2,174,265
"Beauséjour/Beauséjour"," 65A","Lakeville",3,39,4,61,52,1,160,285
"Beauséjour/Beauséjour"," 65B","Lakeville",0,47,5,58,70,2,182,288
"Beauséjour/Beauséjour"," 66A","Moncton",0,52,0,43,42,0,137,247
"Beauséjour/Beauséjour"," 66B","Moncton",0,33,2,51,42,0,128,256
"Beauséjour/Beauséjour"," 67A","Irishtown",2,41,5,39,46,0,133,242
"Beauséjour/Beauséjour"," 67B","Irishtown",3,28,8,44,57,3,143,232
"Beauséjour/Beauséjour"," 68","Irishtown",0,35,2,26,52,1,116,197
"Beauséjour/Beauséjour"," 69A","Indian Mountain",3,51,11,62,109,1,237,369
"Beauséjour/Beauséjour"," 69B","Indian Mountain",0,67,9,52,110,0,238,366
"Beauséjour/Beauséjour"," 70","Steeves Mountain",0,69,6,64,162,2,303,466
"Beauséjour/Beauséjour"," 71","Moncton",2,46,7,58,91,1,205,366
"Beauséjour/Beauséjour"," 72","Moncton",1,49,7,56,124,1,238,405
"Beauséjour/Beauséjour"," 73","Moncton",2,49,12,83,115,1,262,385
"Beauséjour/Beauséjour"," 74","Moncton",3,22,6,11,46,0,88,143
"Beauséjour/Beauséjour"," 75","Salisbury",Void/Supprimé,,,,,,,
"Beauséjour/Beauséjour"," 76","Grand-Barachois",1,33,5,129,62,1,231,392
"Beauséjour/Beauséjour"," 77","Robichaud",3,33,8,151,59,0,254,367
"Beauséjour/Beauséjour"," 78","Grand-Barachois",0,38,3,123,50,2,216,344
"Beauséjour/Beauséjour"," 79","Grand-Barachois",2,34,7,136,56,4,239,413
"Beauséjour/Beauséjour"," 80A","Cap-Brûlé",1,30,10,142,38,3,224,396
"Beauséjour/Beauséjour"," 80B","Cap-Brûlé",2,29,12,106,60,0,209,415
"Beauséjour/Beauséjour"," 81","Haute-Aboujagane",4,34,6,161,70,8,283,386
"Beauséjour/Beauséjour"," 82","Pointe-du-Chêne",1,15,6,58,14,3,97,164
"Beauséjour/Beauséjour"," 83","Shediac",1,38,10,104,50,4,207,382
"Beauséjour/Beauséjour"," 84","Shediac",1,26,7,143,49,7,233,433
"Beauséjour/Beauséjour"," 85","Shediac",4,34,8,162,45,2,255,413
"Beauséjour/Beauséjour"," 86","Shediac",1,45,13,146,60,2,267,459
"Beauséjour/Beauséjour"," 87","Shediac",3,17,4,182,57,2,265,422
"Beauséjour/Beauséjour"," 88","Shediac",1,35,6,121,48,1,212,373
"Beauséjour/Beauséjour"," 89","Shediac",1,31,5,129,48,3,217,403
"Beauséjour/Beauséjour"," 90","Shediac",2,22,1,70,26,2,123,253
"Beauséjour/Beauséjour"," 91A","Shediac",1,33,7,109,30,4,184,345
"Beauséjour/Beauséjour"," 91B","Shediac",0,36,4,99,40,1,180,320
"Beauséjour/Beauséjour"," 92A","Shediac",0,27,6,82,42,1,158,309
"Beauséjour/Beauséjour"," 92B","Shediac",0,28,4,88,38,0,158,277
"Beauséjour/Beauséjour"," 93","Shediac Bridge",1,38,4,136,73,0,252,454
"Beauséjour/Beauséjour"," 94A","Shediac River",1,31,7,89,61,2,191,300
"Beauséjour/Beauséjour"," 94B","Shediac River",0,42,11,83,42,3,181,275
"Beauséjour/Beauséjour"," 95","Saint-Philippe",2,39,6,51,62,1,161,256
"Beauséjour/Beauséjour"," 96A","Shediac Cape",4,34,22,76,95,0,231,354
"Beauséjour/Beauséjour"," 96B","Shediac Cape",0,40,9,90,105,1,245,358
"Beauséjour/Beauséjour"," 97","Scoudouc",0,34,7,99,42,3,185,272
"Beauséjour/Beauséjour"," 98","Scoudouc",1,41,7,196,61,5,311,419
"Beauséjour/Beauséjour"," 99","Barachois",Void/Supprimé,,,,,,,
"Beauséjour/Beauséjour"," 100","Scoudouc",2,18,4,68,29,1,122,202
"Beauséjour/Beauséjour"," 101","Scoudouc",4,66,8,175,66,3,322,486
"Beauséjour/Beauséjour"," 102","Memramcook",0,26,1,61,63,0,151,302
"Beauséjour/Beauséjour"," 103A","Memramcook",1,23,4,78,39,2,147,253
"Beauséjour/Beauséjour"," 103B","Memramcook",2,23,8,64,33,5,135,240
"Beauséjour/Beauséjour"," 104","Memramcook",0,25,4,75,32,0,136,229
"Beauséjour/Beauséjour"," 105A","College Bridge",2,19,4,59,27,2,113,207
"Beauséjour/Beauséjour"," 105B","College Bridge",3,30,2,103,32,1,171,297
"Beauséjour/Beauséjour"," 106","Memramcook West",1,34,5,87,43,1,171,301
"Beauséjour/Beauséjour"," 107","Dieppe",3,30,8,141,59,5,246,426
"Beauséjour/Beauséjour"," 108","Dieppe",1,56,8,156,88,5,314,467
"Beauséjour/Beauséjour"," 109A","Dieppe",3,40,12,130,54,2,241,378
"Beauséjour/Beauséjour"," 109B","Dieppe",0,49,3,145,65,1,263,380
"Beauséjour/Beauséjour"," 110","Dieppe",0,29,1,83,38,3,154,242
"Beauséjour/Beauséjour"," 111A","Dieppe",2,36,2,75,32,3,150,266
"Beauséjour/Beauséjour"," 111B","Dieppe",2,37,1,83,29,2,154,271
"Beauséjour/Beauséjour"," 112A","Gautreau Village",2,27,6,181,53,2,271,377
"Beauséjour/Beauséjour"," 112B","Gautreau Village",1,30,9,110,49,4,203,337
"Beauséjour/Beauséjour"," 113A","McGinleys Corner",3,41,7,132,41,5,229,374
"Beauséjour/Beauséjour"," 113B","McGinleys Corner",0,47,7,131,41,0,226,373
"Beauséjour/Beauséjour"," 114","Memramcook",1,20,2,86,23,0,132,227
"Beauséjour/Beauséjour"," 115","Cormier Cove",4,38,6,137,56,6,247,400
"Beauséjour/Beauséjour"," 116","Upper Dorchester",5,44,14,77,62,2,204,375
"Beauséjour/Beauséjour"," 117","Dorchester",6,74,8,79,71,0,238,409
"Beauséjour/Beauséjour"," 118","Barachois",3,38,12,141,69,2,265,425
"Beauséjour/Beauséjour"," 119A","Cap-Pele",1,30,3,59,39,1,133,241
"Beauséjour/Beauséjour"," 119B","Cap-Pele",0,33,5,87,69,2,196,300
"Beauséjour/Beauséjour"," 120A","Cap-Pele",0,22,3,96,59,4,184,271
"Beauséjour/Beauséjour"," 120B","Cap-Pele",0,12,6,87,44,3,152,265
"Beauséjour/Beauséjour"," 121","Cap-Pele",0,30,5,102,59,1,197,316
"Beauséjour/Beauséjour"," 122","Cap-Pele",0,26,3,131,79,5,244,347
"Beauséjour/Beauséjour"," 123","Cap-Pele",3,33,2,96,49,2,185,254
"Beauséjour/Beauséjour"," 124","Trois-Ruisseaux",4,39,9,143,65,7,267,464
"Beauséjour/Beauséjour"," 125","Trois-Ruisseaux",2,46,6,134,108,2,298,414
"Beauséjour/Beauséjour"," 126","Haute-Aboujagane",0,32,11,181,85,2,311,418
"Beauséjour/Beauséjour"," 127","Cormier-Village",2,33,6,131,67,3,242,400
"Beauséjour/Beauséjour"," 128","Saint-André--LeBlanc",2,49,14,175,82,3,325,431
"Beauséjour/Beauséjour"," 129","Shemogue",2,45,7,100,83,1,238,357
"Beauséjour/Beauséjour"," 130","Murray Corner",1,21,2,35,25,0,84,149
"Beauséjour/Beauséjour"," 131","Cape Tormentine",2,33,5,92,64,1,197,306
"Beauséjour/Beauséjour"," 132","Bayside",3,43,1,59,61,1,168,312
"Beauséjour/Beauséjour"," 133","Cape Tormentine",3,26,7,49,51,1,137,236
"Beauséjour/Beauséjour"," 134","Port Elgin",Void/Supprimé,,,,,,,
"Beauséjour/Beauséjour"," 135","Port Elgin",0,33,4,31,35,2,105,239
"Beauséjour/Beauséjour"," 136","Midgic",0,57,6,74,90,2,229,382
"Beauséjour/Beauséjour"," 137A","Sackville",0,41,4,59,40,0,144,253
"Beauséjour/Beauséjour"," 137B","Sackville",2,27,7,63,62,0,161,259
"Beauséjour/Beauséjour"," 138A","Sackville",0,22,4,40,20,0,86,136
"Beauséjour/Beauséjour"," 138B","Sackville",0,16,5,25,32,1,79,134
"Beauséjour/Beauséjour"," 139","Sackville",1,71,11,100,73,1,257,425
"Beauséjour/Beauséjour"," 140","Sackville",2,52,4,82,42,3,185,329
"Beauséjour/Beauséjour"," 141","Sackville",1,117,21,134,59,1,333,367
"Beauséjour/Beauséjour"," 142","Sackville",1,51,6,71,65,0,194,344
"Beauséjour/Beauséjour"," 143","Sackville",1,58,11,72,42,0,184,292
"Beauséjour/Beauséjour"," 144","Sackville",0,147,23,140,70,1,381,631
"Beauséjour/Beauséjour"," 145A","Sackville",1,60,11,79,33,0,184,190
"Beauséjour/Beauséjour"," 145B","Sackville",0,60,10,82,29,1,182,195
"Beauséjour/Beauséjour"," 146","Sackville",0,64,12,59,51,1,187,331
"Beauséjour/Beauséjour"," 147","Sackville",2,61,17,87,70,1,238,410
"Beauséjour/Beauséjour"," 148","Sackville",0,52,15,66,49,0,182,321
"Beauséjour/Beauséjour"," 149","Sackville",0,62,4,59,86,3,214,385
"Beauséjour/Beauséjour"," 150","British Settlement",7,79,10,78,127,4,305,481
"Beauséjour/Beauséjour"," 151","Baie Verte",4,55,2,63,49,1,174,247
"Beauséjour/Beauséjour"," 152A","Point de Bute",0,34,4,60,50,0,148,243
"Beauséjour/Beauséjour"," 152B","Point de Bute",2,42,3,49,45,0,141,244
"Beauséjour/Beauséjour"," 500","Mobile poll/Bureau itinérant",3,9,7,82,37,5,143,177
"Beauséjour/Beauséjour"," 501","Mobile poll/Bureau itinérant",3,4,3,37,35,4,86,106
"Beauséjour/Beauséjour"," 502","Mobile poll/Bureau itinérant",2,7,4,44,41,4,102,118
"Beauséjour/Beauséjour"," 503","Mobile poll/Bureau itinérant",2,3,2,80,22,1,110,205
"Beauséjour/Beauséjour"," 504","Mobile poll/Bureau itinérant",0,6,5,50,35,4,100,205
"Beauséjour/Beauséjour"," 505","Mobile poll/Bureau itinérant",0,6,2,75,28,5,116,179
"Beauséjour/Beauséjour"," 506","Mobile poll/Bureau itinérant",1,5,1,31,60,4,102,122
"Beauséjour/Beauséjour"," 600","Saint-Louis--Saint-Charles",1,54,14,218,156,10,453,
"Beauséjour/Beauséjour"," 601","Richibucto--Rexton",3,58,15,244,124,4,448,
"Beauséjour/Beauséjour"," 602","Bouctouche--Saint-Antoine",3,64,12,395,407,10,891,
"Beauséjour/Beauséjour"," 603","Saint-Paul--Sainte-Marie",1,26,3,68,83,0,181,
"Beauséjour/Beauséjour"," 604","Cocagne",4,42,4,279,206,3,538,
"Beauséjour/Beauséjour"," 605","Moncton--Irishtown",4,52,12,151,204,6,429,
"Beauséjour/Beauséjour"," 606","Shediac",7,96,25,676,223,16,1043,
"Beauséjour/Beauséjour"," 607","Dieppe",2,34,6,164,69,0,275,
"Beauséjour/Beauséjour"," 608","Memramcook",4,66,14,540,167,7,798,
"Beauséjour/Beauséjour"," 609","Grand-Barachois",1,31,3,167,73,0,275,
"Beauséjour/Beauséjour"," 610","Sackville",2,118,13,301,219,1,654,
"Beauséjour/Beauséjour"," 611","Cap-Pele",3,38,6,266,142,7,462,
"Beauséjour/Beauséjour"," 612","Port Elgin",2,39,6,71,67,1,186,
"Beauséjour/Beauséjour",,Group 1/Groupe 1,1,12,5,49,33,6,106,249
"Beauséjour/Beauséjour",,Group 2/Groupe 2,1,96,15,622,283,20,1037,
