Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brad Farquhar,Ralph Goodale,Nigel Taylor,Helen Yum,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Wascana/Wascana"," 35","Regina",64,87,10,31,0,192,339
"Wascana/Wascana"," 36","Regina",88,114,8,37,0,247,390
"Wascana/Wascana"," 37","Regina",108,131,9,43,0,291,460
"Wascana/Wascana"," 38","Regina",95,179,6,38,0,318,464
"Wascana/Wascana"," 39","Regina",110,143,12,58,0,323,516
"Wascana/Wascana"," 40","Regina",28,38,4,13,0,83,147
"Wascana/Wascana"," 40-1","Regina",58,52,6,16,0,132,226
"Wascana/Wascana"," 41","Regina",61,118,10,41,0,230,399
"Wascana/Wascana"," 42","Regina",73,114,11,42,1,241,407
"Wascana/Wascana"," 43","Regina",94,130,5,40,1,270,440
"Wascana/Wascana"," 44","Regina",76,77,1,12,0,166,281
"Wascana/Wascana"," 44-1","Regina",112,96,6,21,0,235,410
"Wascana/Wascana"," 45","Regina",43,70,9,34,1,157,306
"Wascana/Wascana"," 46","Regina",44,75,3,30,0,152,297
"Wascana/Wascana"," 47A","Regina",63,70,3,24,1,161,279
"Wascana/Wascana"," 47B","Regina",49,78,6,24,0,157,268
"Wascana/Wascana"," 48","Regina",79,104,10,54,0,247,502
"Wascana/Wascana"," 49","Regina",31,38,5,14,0,88,208
"Wascana/Wascana"," 50","Regina",28,62,3,31,0,124,286
"Wascana/Wascana"," 51","Regina",49,92,10,54,3,208,370
"Wascana/Wascana"," 52","Regina",40,92,6,46,1,185,385
"Wascana/Wascana"," 53","Regina",20,61,11,39,0,131,231
"Wascana/Wascana"," 54","Regina",64,120,18,58,0,260,447
"Wascana/Wascana"," 55","Regina",44,71,12,64,0,191,351
"Wascana/Wascana"," 56","Regina",23,80,5,38,1,147,304
"Wascana/Wascana"," 57","Regina",39,91,2,35,0,167,306
"Wascana/Wascana"," 58","Regina",57,116,12,45,0,230,422
"Wascana/Wascana"," 59","Regina",47,99,12,62,0,220,397
"Wascana/Wascana"," 60","Regina",40,75,7,41,0,163,310
"Wascana/Wascana"," 61","Regina",51,85,6,33,0,175,345
"Wascana/Wascana"," 62","Regina",44,48,10,11,0,113,229
"Wascana/Wascana"," 63","Regina",26,82,6,48,0,162,381
"Wascana/Wascana"," 64","Regina",33,62,1,30,0,126,218
"Wascana/Wascana"," 65","Regina",32,75,8,38,1,154,299
"Wascana/Wascana"," 66","Regina",46,80,7,32,0,165,298
"Wascana/Wascana"," 67","Regina",51,93,10,31,0,185,285
"Wascana/Wascana"," 68","Regina",31,130,15,33,1,210,330
"Wascana/Wascana"," 69","Regina",64,108,4,35,0,211,318
"Wascana/Wascana"," 70","Regina",65,137,16,42,0,260,392
"Wascana/Wascana"," 71","Regina",41,93,5,34,0,173,270
"Wascana/Wascana"," 72","Regina",55,106,11,36,1,209,311
"Wascana/Wascana"," 73","Regina",64,149,8,21,0,242,371
"Wascana/Wascana"," 74A","Regina",81,151,5,31,1,269,412
"Wascana/Wascana"," 74B","Regina",84,123,6,28,0,241,408
"Wascana/Wascana"," 75","Regina",119,179,11,33,1,343,491
"Wascana/Wascana"," 75-1","Regina",67,65,3,17,0,152,222
"Wascana/Wascana"," 76","Regina",82,200,7,30,0,319,436
"Wascana/Wascana"," 77","Regina",89,169,7,30,1,296,466
"Wascana/Wascana"," 78","Regina",97,132,8,37,1,275,369
"Wascana/Wascana"," 79","Regina",48,83,4,19,0,154,223
"Wascana/Wascana"," 80","Regina",103,144,8,34,0,289,438
"Wascana/Wascana"," 81","Regina",104,142,1,17,0,264,392
"Wascana/Wascana"," 81-1","Regina",91,125,7,13,0,236,410
"Wascana/Wascana"," 82","Regina",117,161,7,30,2,317,417
"Wascana/Wascana"," 82-1","Regina",18,35,1,5,0,59,102
"Wascana/Wascana"," 83","Regina",69,153,2,24,0,248,380
"Wascana/Wascana"," 84","Regina",96,171,5,24,0,296,436
"Wascana/Wascana"," 85","Regina",91,128,6,41,1,267,420
"Wascana/Wascana"," 86","Regina",87,210,16,25,1,339,475
"Wascana/Wascana"," 87","Regina",101,168,3,25,0,297,422
"Wascana/Wascana"," 88","Regina",67,85,0,16,1,169,281
"Wascana/Wascana"," 89","Regina",75,152,6,20,1,254,374
"Wascana/Wascana"," 90","Regina",106,199,5,24,0,334,459
"Wascana/Wascana"," 91A","Regina",49,119,3,13,0,184,299
"Wascana/Wascana"," 91B","Regina",17,66,3,14,2,102,108
"Wascana/Wascana"," 92A","Regina",56,136,9,32,1,234,307
"Wascana/Wascana"," 92B","Regina",49,151,10,26,0,236,330
"Wascana/Wascana"," 93","Regina",58,163,3,37,0,261,374
"Wascana/Wascana"," 94","Regina",42,130,4,21,0,197,306
"Wascana/Wascana"," 95","Regina",49,127,10,32,1,219,309
"Wascana/Wascana"," 96","Regina",53,110,10,30,0,203,329
"Wascana/Wascana"," 97","Regina",53,94,15,20,2,184,309
"Wascana/Wascana"," 98","Regina",64,116,7,30,1,218,342
"Wascana/Wascana"," 99","Regina",65,116,15,30,1,227,314
"Wascana/Wascana"," 100","Regina",49,49,9,36,1,144,289
"Wascana/Wascana"," 101","Regina",54,87,13,33,0,187,330
"Wascana/Wascana"," 101-1","Regina",40,41,9,27,1,118,212
"Wascana/Wascana"," 102","Regina",68,60,15,35,1,179,348
"Wascana/Wascana"," 103","Regina",64,137,10,40,1,252,400
"Wascana/Wascana"," 104A","Regina",63,55,15,52,0,185,197
"Wascana/Wascana"," 104B","Regina",61,54,8,62,0,185,201
"Wascana/Wascana"," 105","Regina",56,128,4,19,1,208,298
"Wascana/Wascana"," 106","Regina",78,152,3,16,0,249,358
"Wascana/Wascana"," 107","Regina",88,111,9,23,0,231,414
"Wascana/Wascana"," 108","Regina",59,134,6,17,0,216,300
"Wascana/Wascana"," 109","Regina",77,144,6,23,0,250,380
"Wascana/Wascana"," 110","Regina",66,102,3,18,1,190,333
"Wascana/Wascana"," 111","Regina",59,145,10,7,0,221,341
"Wascana/Wascana"," 112","Regina",65,132,3,20,0,220,334
"Wascana/Wascana"," 113","Regina",Void/Supprimé,,,,,,
"Wascana/Wascana"," 114","Regina",77,166,12,26,0,281,393
"Wascana/Wascana"," 115","Regina",69,175,3,18,0,265,405
"Wascana/Wascana"," 116","Regina",100,119,2,35,1,257,364
"Wascana/Wascana"," 117","Regina",107,209,7,16,1,340,487
"Wascana/Wascana"," 118","Regina",66,164,4,17,0,251,376
"Wascana/Wascana"," 119","Regina",94,138,2,21,0,255,371
"Wascana/Wascana"," 119-1","Regina",98,161,3,10,0,272,438
"Wascana/Wascana"," 120","Regina",71,118,3,7,0,199,316
"Wascana/Wascana"," 121","Regina",74,95,3,6,1,179,279
"Wascana/Wascana"," 122","Regina",34,60,10,33,0,137,275
"Wascana/Wascana"," 123","Regina",61,114,6,22,0,203,303
"Wascana/Wascana"," 124","Regina",53,109,3,19,0,184,264
"Wascana/Wascana"," 125","Regina",58,138,7,32,0,235,335
"Wascana/Wascana"," 126","Regina",56,141,16,29,2,244,339
"Wascana/Wascana"," 127","Regina",47,148,8,27,0,230,355
"Wascana/Wascana"," 128","Regina",53,125,7,28,0,213,308
"Wascana/Wascana"," 129","Regina",64,132,9,28,1,234,316
"Wascana/Wascana"," 130","Regina",68,155,5,35,0,263,370
"Wascana/Wascana"," 131","Regina",61,138,13,21,1,234,311
"Wascana/Wascana"," 132","Regina",79,132,9,24,0,244,344
"Wascana/Wascana"," 133","Regina",82,157,15,26,1,281,413
"Wascana/Wascana"," 134","Regina",62,124,12,29,0,227,342
"Wascana/Wascana"," 135","Regina",72,162,6,32,0,272,373
"Wascana/Wascana"," 136","Regina",69,130,10,31,0,240,333
"Wascana/Wascana"," 137","Estin--Richardson",88,67,3,14,1,173,216
"Wascana/Wascana"," 138","Kronau--Lajord",180,112,11,33,1,337,548
"Wascana/Wascana"," 139","Riceton--Gray",73,72,8,20,0,173,277
"Wascana/Wascana"," 140","Vibank",107,67,4,26,1,205,311
"Wascana/Wascana"," 141","Vibank--Odessa",151,98,9,32,0,290,427
"Wascana/Wascana"," 142","Sedley",98,70,6,21,0,195,343
"Wascana/Wascana"," 143","Francis",87,36,6,18,0,147,230
"Wascana/Wascana"," 144","Kendal--Montmartre",73,35,1,12,0,121,206
"Wascana/Wascana"," 145","Candiac--Montmartre",94,33,3,6,0,136,191
"Wascana/Wascana"," 146","Montmartre",127,101,7,33,0,268,393
"Wascana/Wascana"," 147","Assiniboine 76",1,187,0,4,1,193,371
"Wascana/Wascana"," 400","Regina",35,71,1,29,0,136,172
"Wascana/Wascana"," 401","Regina",27,53,1,20,1,102,122
"Wascana/Wascana"," 402","Regina",26,52,1,13,0,92,130
"Wascana/Wascana"," 403","Regina",15,57,2,30,0,104,146
"Wascana/Wascana"," 404","Regina",27,35,0,7,0,69,77
"Wascana/Wascana"," 405","Regina",16,53,1,11,1,82,94
"Wascana/Wascana"," 406","Regina",25,49,4,34,2,114,157
"Wascana/Wascana"," 407","Regina",22,73,3,16,0,114,146
"Wascana/Wascana"," 408","Regina",28,55,1,15,1,100,118
"Wascana/Wascana"," 409","Regina",33,52,2,32,1,120,148
"Wascana/Wascana"," 410","Regina",32,66,2,19,0,119,130
"Wascana/Wascana"," 411","Regina",34,80,4,21,1,140,157
"Wascana/Wascana"," 412","Regina",13,32,1,15,1,62,70
"Wascana/Wascana"," 413","Regina",30,103,2,17,2,154,174
"Wascana/Wascana"," 414","Regina",Void/Supprimé,,,,,,
"Wascana/Wascana"," 500","Mobile poll/Bureau itinérant",24,81,10,53,1,169,272
"Wascana/Wascana"," 600","Regina",104,177,13,78,0,372,
"Wascana/Wascana"," 601","Regina",99,94,3,30,0,226,
"Wascana/Wascana"," 602","Regina",146,151,8,62,0,367,
"Wascana/Wascana"," 603","Regina",104,191,8,43,0,346,
"Wascana/Wascana"," 604","Regina",226,308,15,45,0,594,
"Wascana/Wascana"," 605","Regina",114,188,9,50,1,362,
"Wascana/Wascana"," 606","Regina",183,302,2,32,0,519,
"Wascana/Wascana"," 607","Regina",101,155,6,31,0,293,
"Wascana/Wascana"," 608","Regina Rural Southeast",49,27,1,6,0,83,
"Wascana/Wascana"," 609","Vibank--Francis Rural",41,28,3,8,0,80,
"Wascana/Wascana"," 610","Montmartre Rural",28,14,0,2,0,44,
"Wascana/Wascana"," 611","Carry the Kettle First Nations",0,67,1,0,0,68,
"Wascana/Wascana",,Group 1/Groupe 1,28,54,4,15,6,107,184
"Wascana/Wascana",,Group 2/Groupe 2,337,662,23,133,6,1161,
