Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ted Alexander,Chris Marquis,Garry Moore,David Tilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Dufferin--Caledon/Dufferin--Caledon"," 113","Caledon",20,17,69,103,0,209,374
"Dufferin--Caledon/Dufferin--Caledon"," 114","Caledon",22,19,58,114,0,213,417
"Dufferin--Caledon/Dufferin--Caledon"," 115","Caledon",41,31,78,129,0,279,458
"Dufferin--Caledon/Dufferin--Caledon"," 116","Caledon",29,17,55,98,1,200,370
"Dufferin--Caledon/Dufferin--Caledon"," 117A","Caledon",20,14,51,84,1,170,312
"Dufferin--Caledon/Dufferin--Caledon"," 117B","Caledon",13,12,45,103,0,173,285
"Dufferin--Caledon/Dufferin--Caledon"," 118","Caledon",24,26,100,148,0,298,473
"Dufferin--Caledon/Dufferin--Caledon"," 119A","Caledon",19,17,41,66,0,143,238
"Dufferin--Caledon/Dufferin--Caledon"," 119B","Caledon",33,20,63,58,0,174,246
"Dufferin--Caledon/Dufferin--Caledon"," 120A","Caledon",17,9,54,93,0,173,273
"Dufferin--Caledon/Dufferin--Caledon"," 120B","Caledon",15,6,54,68,0,143,234
"Dufferin--Caledon/Dufferin--Caledon"," 121","Caledon",21,10,81,80,0,192,376
"Dufferin--Caledon/Dufferin--Caledon"," 122","Caledon",15,16,56,90,1,178,291
"Dufferin--Caledon/Dufferin--Caledon"," 123","Caledon",19,14,56,104,1,194,355
"Dufferin--Caledon/Dufferin--Caledon"," 124A","Caledon",13,9,56,62,0,140,261
"Dufferin--Caledon/Dufferin--Caledon"," 124B","Caledon",13,12,44,57,1,127,256
"Dufferin--Caledon/Dufferin--Caledon"," 125A","Caledon",19,19,46,59,0,143,249
"Dufferin--Caledon/Dufferin--Caledon"," 125B","Caledon",15,10,47,61,0,133,255
"Dufferin--Caledon/Dufferin--Caledon"," 126","Caledon",25,13,43,80,0,161,282
"Dufferin--Caledon/Dufferin--Caledon"," 127","Caledon",28,16,59,125,0,228,428
"Dufferin--Caledon/Dufferin--Caledon"," 128A","Caledon",16,10,43,105,1,175,310
"Dufferin--Caledon/Dufferin--Caledon"," 128B","Caledon",19,13,64,79,0,175,310
"Dufferin--Caledon/Dufferin--Caledon"," 129","Caledon",23,35,73,131,0,262,466
"Dufferin--Caledon/Dufferin--Caledon"," 130","Caledon",26,27,44,110,0,207,362
"Dufferin--Caledon/Dufferin--Caledon"," 131","Caledon",21,22,48,65,1,157,243
"Dufferin--Caledon/Dufferin--Caledon"," 132","Caledon",14,23,58,73,0,168,302
"Dufferin--Caledon/Dufferin--Caledon"," 133","Caledon",12,9,40,45,1,107,207
"Dufferin--Caledon/Dufferin--Caledon"," 134","Caledon",17,32,89,112,1,251,386
"Dufferin--Caledon/Dufferin--Caledon"," 135A","Caledon",1,20,65,53,2,141,265
"Dufferin--Caledon/Dufferin--Caledon"," 135B","Caledon",6,14,73,39,0,132,260
"Dufferin--Caledon/Dufferin--Caledon"," 136","Caledon",8,11,61,57,3,140,281
"Dufferin--Caledon/Dufferin--Caledon"," 137","Caledon",24,14,70,89,0,197,383
"Dufferin--Caledon/Dufferin--Caledon"," 138","Caledon",10,23,54,51,0,138,273
"Dufferin--Caledon/Dufferin--Caledon"," 139","Caledon",7,22,64,62,0,155,295
"Dufferin--Caledon/Dufferin--Caledon"," 140","Caledon",13,20,75,55,1,164,328
"Dufferin--Caledon/Dufferin--Caledon"," 141","Caledon",25,43,104,115,2,289,452
"Dufferin--Caledon/Dufferin--Caledon"," 142","Caledon",24,16,98,113,0,251,387
"Dufferin--Caledon/Dufferin--Caledon"," 143","Caledon",25,17,93,100,1,236,430
"Dufferin--Caledon/Dufferin--Caledon"," 144","Caledon",24,23,88,114,1,250,404
"Dufferin--Caledon/Dufferin--Caledon"," 145A","Caledon",16,18,41,69,1,145,237
"Dufferin--Caledon/Dufferin--Caledon"," 145B","Caledon",15,16,59,61,0,151,246
"Dufferin--Caledon/Dufferin--Caledon"," 146A","Caledon",18,24,64,68,1,175,267
"Dufferin--Caledon/Dufferin--Caledon"," 146B","Caledon",15,24,34,80,1,154,269
"Dufferin--Caledon/Dufferin--Caledon"," 147","Caledon",32,21,74,62,2,191,375
"Dufferin--Caledon/Dufferin--Caledon"," 148A","Caledon",19,17,90,75,0,201,351
"Dufferin--Caledon/Dufferin--Caledon"," 148B","Caledon",17,28,81,68,1,195,349
"Dufferin--Caledon/Dufferin--Caledon"," 149A","Caledon",23,22,72,70,0,187,373
"Dufferin--Caledon/Dufferin--Caledon"," 149B","Caledon",18,29,78,77,0,202,439
"Dufferin--Caledon/Dufferin--Caledon"," 150","Caledon",25,22,90,90,0,227,437
"Dufferin--Caledon/Dufferin--Caledon"," 151","Caledon",21,20,102,115,0,258,461
"Dufferin--Caledon/Dufferin--Caledon"," 152A","Caledon",15,30,90,80,3,218,392
"Dufferin--Caledon/Dufferin--Caledon"," 152B","Caledon",7,45,94,91,0,237,397
"Dufferin--Caledon/Dufferin--Caledon"," 152C","Caledon",15,37,93,88,1,234,405
"Dufferin--Caledon/Dufferin--Caledon"," 152D","Caledon",6,28,68,86,2,190,333
"Dufferin--Caledon/Dufferin--Caledon"," 152E","Caledon",12,32,86,54,0,184,304
"Dufferin--Caledon/Dufferin--Caledon"," 153A","Caledon",14,28,83,87,0,212,382
"Dufferin--Caledon/Dufferin--Caledon"," 153B","Caledon",11,26,82,73,1,193,367
"Dufferin--Caledon/Dufferin--Caledon"," 154","Caledon",7,24,51,58,0,140,346
"Dufferin--Caledon/Dufferin--Caledon"," 155","Caledon",24,22,58,80,2,186,309
"Dufferin--Caledon/Dufferin--Caledon"," 156","Caledon",28,25,53,80,0,186,319
"Dufferin--Caledon/Dufferin--Caledon"," 157","Caledon",12,20,50,53,0,135,289
"Dufferin--Caledon/Dufferin--Caledon"," 158A","Caledon",13,13,43,90,0,159,291
"Dufferin--Caledon/Dufferin--Caledon"," 158B","Caledon",13,9,49,61,1,133,265
"Dufferin--Caledon/Dufferin--Caledon"," 159A","Caledon",5,23,102,71,0,201,300
"Dufferin--Caledon/Dufferin--Caledon"," 159B","Caledon",17,17,87,69,0,190,293
"Dufferin--Caledon/Dufferin--Caledon"," 160","Caledon",17,24,75,119,0,235,425
