Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stéphane Bourgon,Meili Faille,Marc Garneau,Bert Markgraf,Pierre Pariseau-Legault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 67","Terrasse-Vaudreuil",72,143,43,24,19,6,307,489
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 68","Pincourt",58,89,109,26,11,4,297,481
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 69A","Pincourt",51,62,87,11,8,1,220,306
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 69B","Pincourt",35,54,74,6,6,3,178,278
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 70","Pincourt",43,49,99,19,11,1,222,350
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 71","Pincourt",43,56,102,28,14,1,244,376
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 72","Pincourt",50,87,61,11,11,4,224,391
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 73","Pincourt",41,109,79,12,10,1,252,431
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 74","Pincourt",33,70,69,13,10,2,197,289
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 75","Pincourt",55,58,111,22,14,1,261,367
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 76A","Pincourt",37,48,73,9,6,0,173,265
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 76B","Pincourt",20,48,78,12,3,2,163,254
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 77","Pincourt",47,38,117,17,14,0,233,366
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 78","Pincourt",31,84,79,17,16,3,230,382
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 79","Pincourt",50,39,94,17,8,1,209,340
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 80A","Pincourt",31,45,57,14,6,2,155,237
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 80B","Pincourt",39,36,89,8,8,1,181,281
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 81","Pincourt",60,71,81,12,10,3,237,379
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 82","Pincourt",41,89,60,7,6,2,205,374
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 83","Pincourt",42,73,42,17,13,2,189,290
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 84","Pincourt",44,112,57,18,12,7,250,375
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 85","Pincourt",31,80,43,14,8,9,185,331
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 86","Pincourt",55,125,68,16,13,2,279,494
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 87A","Pincourt",33,72,52,26,9,0,192,304
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 87B","Pincourt",35,73,51,15,9,4,187,303
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 88","L'Île-Perrot",22,83,27,11,11,4,158,334
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 89","L'Île-Perrot",41,82,43,11,7,3,187,363
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 90","L'Île-Perrot",41,87,40,2,6,0,176,339
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 91","L'Île-Perrot",31,117,29,4,22,5,208,381
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 92","L'Île-Perrot",57,139,70,18,13,3,300,468
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 93","L'Île-Perrot",42,126,42,11,12,5,238,437
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 94A","L'Île-Perrot",39,76,47,9,10,0,181,259
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 94B","L'Île-Perrot",26,93,41,11,6,0,177,266
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 95","L'Île-Perrot",25,93,41,22,12,2,195,329
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 96","L'Île-Perrot",63,88,69,30,12,1,263,422
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 97A","L'Île-Perrot",24,71,38,5,3,1,142,229
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 97B","L'Île-Perrot",35,75,44,12,3,2,171,288
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 98","L'Île-Perrot",28,111,65,11,10,5,230,418
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 99","L'Île-Perrot",48,140,75,17,5,0,285,457
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 100A","L'Île-Perrot",44,75,75,11,5,3,213,354
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 100B","L'Île-Perrot",41,89,66,15,4,3,218,368
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 101","L'Île-Perrot",39,107,43,10,5,0,204,356
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 102","L'Île-Perrot",38,118,54,5,3,4,222,411
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 103","L'Île-Perrot",38,92,38,14,14,0,196,375
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 104","L'Île-Perrot",37,91,66,17,6,5,222,366
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 105","L'Île-Perrot",44,77,48,11,6,4,190,322
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 106A","Notre-Dame-de-l'Île-Perrot",25,76,41,10,7,3,162,272
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 106B","Notre-Dame-de-l'Île-Perrot",22,96,59,12,12,0,201,314
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 107","Notre-Dame-de-l'Île-Perrot",28,37,34,6,10,0,115,223
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 108","Notre-Dame-de-l'Île-Perrot",28,63,43,8,3,1,146,284
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 109A","Notre-Dame-de-l'Île-Perrot",32,58,51,7,8,1,157,292
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 109B","Notre-Dame-de-l'Île-Perrot",25,83,43,13,7,3,174,309
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 110A","Notre-Dame-de-l'Île-Perrot",67,124,63,16,21,3,294,436
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 110B","Notre-Dame-de-l'Île-Perrot",59,136,63,27,9,0,294,433
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 111","Notre-Dame-de-l'Île-Perrot",51,95,46,9,8,1,210,328
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 112","Notre-Dame-de-l'Île-Perrot",45,102,67,16,9,1,240,377
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 113","Notre-Dame-de-l'Île-Perrot",53,58,72,17,14,3,217,402
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 114","Notre-Dame-de-l'Île-Perrot",52,109,73,16,15,3,268,427
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 115","Notre-Dame-de-l'Île-Perrot",50,93,50,27,6,1,227,365
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 116A","Notre-Dame-de-l'Île-Perrot",52,72,53,12,7,1,197,313
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 116B","Notre-Dame-de-l'Île-Perrot",42,67,65,14,6,1,195,322
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 117","Notre-Dame-de-l'Île-Perrot",66,119,65,16,6,2,274,463
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 118","Notre-Dame-de-l'Île-Perrot",47,110,56,14,7,1,235,424
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 119","Notre-Dame-de-l'Île-Perrot",37,110,54,27,23,2,253,457
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 120A","Notre-Dame-de-l'Île-Perrot",35,75,45,10,9,0,174,305
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 120B","Notre-Dame-de-l'Île-Perrot",43,79,55,7,3,2,189,335
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 121","Les Cèdres",45,152,30,12,9,1,249,434
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 122","Les Cèdres",66,140,30,10,16,1,263,459
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 123A","Les Cèdres",24,88,28,12,11,3,166,255
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 123B","Les Cèdres",40,115,21,15,5,4,200,316
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 124A","Les Cèdres",30,112,16,11,9,1,179,277
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 124B","Les Cèdres",41,130,26,8,8,3,216,317
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 125","Les Cèdres",40,148,29,18,14,3,252,460
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 126A","Pointe-des-Cascades",21,104,34,11,5,1,176,267
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 126B","Pointe-des-Cascades",29,111,37,9,8,1,195,279
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 127","Pointe-des-Cascades",38,98,23,10,8,7,184,259
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 128","Les Cèdres",Void/Supprimé,,,,,,,
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 129","Les Cèdres",40,147,34,12,10,2,245,416
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 130","Les Cèdres",60,169,37,17,14,6,303,458
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 131A","Les Cèdres",38,143,47,11,22,1,262,425
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 131B","Les Cèdres",39,170,45,10,14,3,281,467
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 132A","Saint-Lazare",28,39,67,9,13,1,157,238
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 132B","Saint-Lazare",43,38,83,17,8,0,189,282
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 133","Saint-Lazare",33,24,79,9,8,1,154,266
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 134","Saint-Lazare",64,14,168,6,5,0,257,403
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 135","Saint-Lazare",75,36,155,12,6,0,284,481
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 136","Saint-Lazare",34,72,43,13,5,1,168,293
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 137A","Saint-Lazare",37,77,53,17,11,0,195,294
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 137B","Saint-Lazare",25,70,55,16,6,3,175,284
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 138","Saint-Lazare",30,82,29,16,4,4,165,249
