Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Russ Christianson,Patricia Lawson,Paul Macklin,Rick Norlock,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Northumberland--Quinte West/Northumberland--Quinte West"," 21B","Mobile poll/Bureau itinérant",Merged with No. 504A/Fusionné avec le nº 504A,,,,,,21
"Northumberland--Quinte West/Northumberland--Quinte West"," 22","Port Hope",53,21,87,63,0,224,370
"Northumberland--Quinte West/Northumberland--Quinte West"," 23","Port Hope",62,19,109,71,2,263,412
"Northumberland--Quinte West/Northumberland--Quinte West"," 24","Port Hope",62,14,126,151,1,354,625
"Northumberland--Quinte West/Northumberland--Quinte West"," 25","Port Hope",62,11,113,90,0,276,444
"Northumberland--Quinte West/Northumberland--Quinte West"," 26","Port Hope",53,18,96,84,0,251,410
"Northumberland--Quinte West/Northumberland--Quinte West"," 27","Port Hope",52,18,87,61,0,218,372
"Northumberland--Quinte West/Northumberland--Quinte West"," 28","Port Hope",52,17,60,56,4,189,412
"Northumberland--Quinte West/Northumberland--Quinte West"," 29","Port Hope",41,17,64,59,1,182,355
"Northumberland--Quinte West/Northumberland--Quinte West"," 30","Bewdley",48,11,65,91,0,215,354
"Northumberland--Quinte West/Northumberland--Quinte West"," 31","Hamilton ",44,15,45,78,0,182,302
"Northumberland--Quinte West/Northumberland--Quinte West"," 32","Hamilton ",34,17,37,82,0,170,261
"Northumberland--Quinte West/Northumberland--Quinte West"," 33","Hamilton ",20,3,88,51,1,163,302
"Northumberland--Quinte West/Northumberland--Quinte West"," 34","Hamilton ",53,11,86,91,0,241,393
"Northumberland--Quinte West/Northumberland--Quinte West"," 35","Hamilton ",69,15,113,143,1,341,585
"Northumberland--Quinte West/Northumberland--Quinte West"," 36","Hamilton ",64,11,85,176,0,336,524
"Northumberland--Quinte West/Northumberland--Quinte West"," 37","Hamilton ",73,11,104,176,2,366,570
"Northumberland--Quinte West/Northumberland--Quinte West"," 38","Hamilton ",56,19,115,199,2,391,632
"Northumberland--Quinte West/Northumberland--Quinte West"," 39","Hamilton ",44,16,88,119,2,269,444
"Northumberland--Quinte West/Northumberland--Quinte West"," 40","Hamilton ",47,12,94,109,2,264,412
"Northumberland--Quinte West/Northumberland--Quinte West"," 41","Hamilton ",72,17,157,162,0,408,611
"Northumberland--Quinte West/Northumberland--Quinte West"," 42","Hamilton ",47,16,147,137,2,349,574
"Northumberland--Quinte West/Northumberland--Quinte West"," 43","Hamilton ",77,19,145,189,0,430,744
"Northumberland--Quinte West/Northumberland--Quinte West"," 44","Hamilton ",56,7,133,165,0,361,594
"Northumberland--Quinte West/Northumberland--Quinte West"," 45","Hamilton ",19,5,51,61,0,136,227
"Northumberland--Quinte West/Northumberland--Quinte West"," 46","Hamilton ",24,9,79,76,0,188,327
"Northumberland--Quinte West/Northumberland--Quinte West"," 47A","Mobile poll/Bureau itinérant",Merged with No. 50/Fusionné avec le nº 50,,,,,,187
"Northumberland--Quinte West/Northumberland--Quinte West"," 47B","Hamilton",30,7,79,74,0,190,323
"Northumberland--Quinte West/Northumberland--Quinte West"," 47C","Mobile poll/Bureau itinérant",Merged with No. 506/Fusionné avec le nº 506,,,,,,26
"Northumberland--Quinte West/Northumberland--Quinte West"," 48","Hamilton ",33,4,73,46,0,156,336
"Northumberland--Quinte West/Northumberland--Quinte West"," 49","Cobourg",44,15,66,87,1,213,373
"Northumberland--Quinte West/Northumberland--Quinte West"," 50","Cobourg",55,11,158,150,1,375,513
"Northumberland--Quinte West/Northumberland--Quinte West"," 51","Cobourg",67,13,153,191,0,424,702
"Northumberland--Quinte West/Northumberland--Quinte West"," 52","Cobourg",121,13,72,74,1,281,510
"Northumberland--Quinte West/Northumberland--Quinte West"," 53","Cobourg",52,7,77,95,0,231,373
"Northumberland--Quinte West/Northumberland--Quinte West"," 54","Cobourg",60,17,104,68,3,252,441
"Northumberland--Quinte West/Northumberland--Quinte West"," 55","Cobourg",30,10,110,81,2,233,396
"Northumberland--Quinte West/Northumberland--Quinte West"," 56","Cobourg",78,15,123,99,1,316,455
"Northumberland--Quinte West/Northumberland--Quinte West"," 57","Cobourg",52,9,74,62,2,199,331
"Northumberland--Quinte West/Northumberland--Quinte West"," 58","Cobourg",61,15,92,64,1,233,441
"Northumberland--Quinte West/Northumberland--Quinte West"," 59","Cobourg",43,15,102,58,0,218,395
"Northumberland--Quinte West/Northumberland--Quinte West"," 60","Cobourg",59,15,64,68,0,206,416
"Northumberland--Quinte West/Northumberland--Quinte West"," 61","Cobourg",74,13,102,137,5,331,589
"Northumberland--Quinte West/Northumberland--Quinte West"," 62","Cobourg",42,10,85,94,0,231,385
"Northumberland--Quinte West/Northumberland--Quinte West"," 63","Cobourg",37,5,41,64,0,147,270
"Northumberland--Quinte West/Northumberland--Quinte West"," 64","Cobourg",59,7,106,95,1,268,415
"Northumberland--Quinte West/Northumberland--Quinte West"," 65","Cobourg",19,11,76,54,0,160,250
"Northumberland--Quinte West/Northumberland--Quinte West"," 66","Cobourg",47,5,125,93,1,271,419
"Northumberland--Quinte West/Northumberland--Quinte West"," 67","Cobourg",35,10,66,55,2,168,242
"Northumberland--Quinte West/Northumberland--Quinte West"," 68","Cobourg",38,9,77,82,0,206,365
"Northumberland--Quinte West/Northumberland--Quinte West"," 69","Cobourg",66,10,90,93,1,260,451
"Northumberland--Quinte West/Northumberland--Quinte West"," 70","Cobourg",60,6,121,156,1,344,527
"Northumberland--Quinte West/Northumberland--Quinte West"," 71","Cobourg",34,9,100,104,2,249,392
"Northumberland--Quinte West/Northumberland--Quinte West"," 72","Hamilton ",39,9,54,41,1,144,284
"Northumberland--Quinte West/Northumberland--Quinte West"," 73","Hamilton ",59,15,114,96,0,284,492
"Northumberland--Quinte West/Northumberland--Quinte West"," 74","Hamilton ",62,20,215,136,2,435,666
"Northumberland--Quinte West/Northumberland--Quinte West"," 75","Hamilton ",48,12,88,61,0,209,420
"Northumberland--Quinte West/Northumberland--Quinte West"," 76","Hamilton ",74,23,146,92,2,337,572
"Northumberland--Quinte West/Northumberland--Quinte West"," 77","Hamilton ",46,14,118,85,1,264,412
"Northumberland--Quinte West/Northumberland--Quinte West"," 78","Hamilton ",63,20,77,107,1,268,410
"Northumberland--Quinte West/Northumberland--Quinte West"," 79","Hamilton ",39,12,109,119,0,279,433
"Northumberland--Quinte West/Northumberland--Quinte West"," 80","Alnwick/Haldimand",64,17,98,98,1,278,519
"Northumberland--Quinte West/Northumberland--Quinte West"," 81","Alnwick/Haldimand",68,24,127,144,1,364,437
"Northumberland--Quinte West/Northumberland--Quinte West"," 82","Alnwick/Haldimand",60,26,138,153,0,377,594
"Northumberland--Quinte West/Northumberland--Quinte West"," 83","Alnwick/Haldimand",36,13,116,150,0,315,560
"Northumberland--Quinte West/Northumberland--Quinte West"," 84","Alnwick/Haldimand",68,26,127,140,0,361,639
"Northumberland--Quinte West/Northumberland--Quinte West"," 85","Alnwick/Haldimand",69,17,112,167,0,365,566
"Northumberland--Quinte West/Northumberland--Quinte West"," 86","Alnwick/Haldimand",48,16,107,151,1,323,504
"Northumberland--Quinte West/Northumberland--Quinte West"," 87","Alnwick/Haldimand",39,9,93,108,2,251,408
"Northumberland--Quinte West/Northumberland--Quinte West"," 88","Alnwick/Haldimand",43,11,82,100,1,237,350
"Northumberland--Quinte West/Northumberland--Quinte West"," 89","Cramahe",40,14,64,120,0,238,362
"Northumberland--Quinte West/Northumberland--Quinte West"," 90","Cramahe",75,36,108,181,3,403,640
"Northumberland--Quinte West/Northumberland--Quinte West"," 91","Cramahe",71,19,116,201,0,407,655
"Northumberland--Quinte West/Northumberland--Quinte West"," 92","Colborne",32,16,55,85,1,189,346
"Northumberland--Quinte West/Northumberland--Quinte West"," 93","Cramahe",81,14,124,160,0,379,590
"Northumberland--Quinte West/Northumberland--Quinte West"," 94","Colborne",57,16,102,115,0,290,485
"Northumberland--Quinte West/Northumberland--Quinte West"," 95","Colborne",46,11,74,114,1,246,384
"Northumberland--Quinte West/Northumberland--Quinte West"," 96","Colborne",21,17,80,109,1,228,354
"Northumberland--Quinte West/Northumberland--Quinte West"," 97","Cramahe",54,13,71,86,2,226,345
"Northumberland--Quinte West/Northumberland--Quinte West"," 98","Alderville 37",Merged with No. 81/Fusionné avec le nº 81,,,,,,199
"Northumberland--Quinte West/Northumberland--Quinte West"," 99","Hastings",34,5,40,52,1,132,241
"Northumberland--Quinte West/Northumberland--Quinte West"," 100","Hastings",30,10,44,53,0,137,244
"Northumberland--Quinte West/Northumberland--Quinte West"," 101","Hastings",70,13,81,91,1,256,424
"Northumberland--Quinte West/Northumberland--Quinte West"," 102","Trent Hills",59,21,81,146,0,307,537
"Northumberland--Quinte West/Northumberland--Quinte West"," 103","Trent Hills",56,21,76,122,0,275,482
"Northumberland--Quinte West/Northumberland--Quinte West"," 104","Trent Hills",58,19,117,154,0,348,570
"Northumberland--Quinte West/Northumberland--Quinte West"," 105","Trent Hills",62,16,73,135,2,288,464
"Northumberland--Quinte West/Northumberland--Quinte West"," 106","Trent Hills",48,15,52,61,0,176,280
"Northumberland--Quinte West/Northumberland--Quinte West"," 107A","Trent Hills",37,5,30,91,0,163,257
"Northumberland--Quinte West/Northumberland--Quinte West"," 107B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,26
"Northumberland--Quinte West/Northumberland--Quinte West"," 108","Trent Hills",49,15,73,127,0,264,461
"Northumberland--Quinte West/Northumberland--Quinte West"," 109","Trent Hills",68,16,46,75,0,205,348
"Northumberland--Quinte West/Northumberland--Quinte West"," 110","Trent Hills",46,10,43,103,0,202,447
"Northumberland--Quinte West/Northumberland--Quinte West"," 111","Trent Hills",62,15,76,100,0,253,429
"Northumberland--Quinte West/Northumberland--Quinte West"," 112","Trent Hills",85,11,73,115,0,284,552
"Northumberland--Quinte West/Northumberland--Quinte West"," 113A","Campbellford",46,7,63,93,0,209,414
"Northumberland--Quinte West/Northumberland--Quinte West"," 113B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,58
"Northumberland--Quinte West/Northumberland--Quinte West"," 114","Campbellford",56,17,75,69,2,219,434
"Northumberland--Quinte West/Northumberland--Quinte West"," 115","Campbellford",56,10,48,53,0,167,372
"Northumberland--Quinte West/Northumberland--Quinte West"," 116","Campbellford",62,14,54,89,0,219,394
"Northumberland--Quinte West/Northumberland--Quinte West"," 117","Campbellford",58,12,68,87,0,225,420
"Northumberland--Quinte West/Northumberland--Quinte West"," 118","Campbellford",14,6,40,35,2,97,254
"Northumberland--Quinte West/Northumberland--Quinte West"," 119","Campbellford",60,6,63,91,0,220,484
"Northumberland--Quinte West/Northumberland--Quinte West"," 120","Trent Hills",54,9,78,88,0,229,449
"Northumberland--Quinte West/Northumberland--Quinte West"," 121","Trent Hills",48,7,42,113,0,210,470
"Northumberland--Quinte West/Northumberland--Quinte West"," 122","Trent Hills",53,9,44,95,0,201,414
"Northumberland--Quinte West/Northumberland--Quinte West"," 123","Brighton",48,6,63,81,1,199,328
"Northumberland--Quinte West/Northumberland--Quinte West"," 124","Brighton",72,21,119,130,1,343,528
"Northumberland--Quinte West/Northumberland--Quinte West"," 125","Brighton",67,14,137,200,0,418,785
"Northumberland--Quinte West/Northumberland--Quinte West"," 126","Brighton",76,33,138,120,1,368,707
"Northumberland--Quinte West/Northumberland--Quinte West"," 127","Brighton",56,15,122,132,1,326,568
"Northumberland--Quinte West/Northumberland--Quinte West"," 128","Brighton",33,17,121,97,0,268,470
"Northumberland--Quinte West/Northumberland--Quinte West"," 129","Brighton",38,2,74,56,0,170,325
"Northumberland--Quinte West/Northumberland--Quinte West"," 130","Brighton",38,10,89,71,0,208,365
"Northumberland--Quinte West/Northumberland--Quinte West"," 131","Brighton",40,12,57,31,1,141,315
"Northumberland--Quinte West/Northumberland--Quinte West"," 132","Brighton",45,18,56,63,1,183,345
"Northumberland--Quinte West/Northumberland--Quinte West"," 133","Brighton",38,6,114,117,0,275,505
"Northumberland--Quinte West/Northumberland--Quinte West"," 134","Brighton",22,8,73,83,1,187,322
"Northumberland--Quinte West/Northumberland--Quinte West"," 135","Brighton",52,10,88,64,0,214,406
"Northumberland--Quinte West/Northumberland--Quinte West"," 136","Brighton",38,12,146,122,1,319,631
"Northumberland--Quinte West/Northumberland--Quinte West"," 137","Brighton",47,12,118,110,0,287,500
"Northumberland--Quinte West/Northumberland--Quinte West"," 138","Brighton",39,7,54,86,0,186,368
"Northumberland--Quinte West/Northumberland--Quinte West"," 139","Quinte West",77,24,115,210,0,426,633
"Northumberland--Quinte West/Northumberland--Quinte West"," 140","Quinte West",49,6,67,115,2,239,372
"Northumberland--Quinte West/Northumberland--Quinte West"," 141","Quinte West",38,11,55,77,0,181,270
"Northumberland--Quinte West/Northumberland--Quinte West"," 142","Quinte West",57,16,142,172,0,387,643
"Northumberland--Quinte West/Northumberland--Quinte West"," 143","Quinte West",51,15,104,158,1,329,578
"Northumberland--Quinte West/Northumberland--Quinte West"," 144","Quinte West",74,20,156,196,0,446,728
"Northumberland--Quinte West/Northumberland--Quinte West"," 145","Quinte West",39,8,139,123,0,309,455
"Northumberland--Quinte West/Northumberland--Quinte West"," 146","Quinte West",36,8,74,107,1,226,401
"Northumberland--Quinte West/Northumberland--Quinte West"," 147","Quinte West",61,19,116,132,1,329,542
"Northumberland--Quinte West/Northumberland--Quinte West"," 148","Quinte West",55,10,108,124,2,299,487
"Northumberland--Quinte West/Northumberland--Quinte West"," 149","Quinte West",45,16,104,127,1,293,525
"Northumberland--Quinte West/Northumberland--Quinte West"," 150","Quinte West",46,6,74,80,1,207,374
"Northumberland--Quinte West/Northumberland--Quinte West"," 151","Quinte West",67,8,87,67,0,229,474
"Northumberland--Quinte West/Northumberland--Quinte West"," 152","Quinte West",34,12,64,62,0,172,371
"Northumberland--Quinte West/Northumberland--Quinte West"," 153","Quinte West",58,9,74,70,1,212,527
"Northumberland--Quinte West/Northumberland--Quinte West"," 154","Quinte West",33,7,53,71,1,165,301
"Northumberland--Quinte West/Northumberland--Quinte West"," 155","Quinte West",18,1,43,52,0,114,226
"Northumberland--Quinte West/Northumberland--Quinte West"," 156","Quinte West",47,8,127,124,2,308,519
"Northumberland--Quinte West/Northumberland--Quinte West"," 157","Quinte West",40,4,118,80,0,242,424
"Northumberland--Quinte West/Northumberland--Quinte West"," 158","Quinte West",50,5,70,47,1,173,320
"Northumberland--Quinte West/Northumberland--Quinte West"," 159","Quinte West",58,17,111,73,1,260,474
"Northumberland--Quinte West/Northumberland--Quinte West"," 160","Quinte West",43,3,78,70,0,194,403
"Northumberland--Quinte West/Northumberland--Quinte West"," 161","Quinte West",28,5,63,59,0,155,319
"Northumberland--Quinte West/Northumberland--Quinte West"," 162","Quinte West",52,7,59,51,1,170,399
"Northumberland--Quinte West/Northumberland--Quinte West"," 163","Quinte West",50,6,92,86,0,234,538
"Northumberland--Quinte West/Northumberland--Quinte West"," 164","Quinte West",39,10,40,31,0,120,355
"Northumberland--Quinte West/Northumberland--Quinte West"," 165","Quinte West",88,10,112,84,3,297,580
"Northumberland--Quinte West/Northumberland--Quinte West"," 166","Quinte West",60,12,160,205,2,439,730
"Northumberland--Quinte West/Northumberland--Quinte West"," 167","Quinte West",51,6,124,82,0,263,445
"Northumberland--Quinte West/Northumberland--Quinte West"," 168","Quinte West",51,5,93,80,0,229,442
"Northumberland--Quinte West/Northumberland--Quinte West"," 169","Quinte West",24,3,55,31,0,113,288
"Northumberland--Quinte West/Northumberland--Quinte West"," 170","Quinte West",29,10,52,41,0,132,271
"Northumberland--Quinte West/Northumberland--Quinte West"," 171","Quinte West",44,5,72,89,0,210,440
"Northumberland--Quinte West/Northumberland--Quinte West"," 172","Quinte West",31,6,65,56,0,158,365
"Northumberland--Quinte West/Northumberland--Quinte West"," 173","Quinte West",37,6,94,89,0,226,429
"Northumberland--Quinte West/Northumberland--Quinte West"," 174","Quinte West",39,10,75,36,1,161,349
"Northumberland--Quinte West/Northumberland--Quinte West"," 175","Quinte West",29,7,60,45,0,141,377
"Northumberland--Quinte West/Northumberland--Quinte West"," 176","Quinte West",21,5,65,49,0,140,340
"Northumberland--Quinte West/Northumberland--Quinte West"," 177","Quinte West",42,6,72,62,1,183,388
"Northumberland--Quinte West/Northumberland--Quinte West"," 178","Quinte West",36,6,93,69,0,204,368
"Northumberland--Quinte West/Northumberland--Quinte West"," 179","Quinte West",32,7,76,50,0,165,339
"Northumberland--Quinte West/Northumberland--Quinte West"," 180","Quinte West",36,2,107,113,1,259,468
"Northumberland--Quinte West/Northumberland--Quinte West"," 181","Quinte West",25,5,96,83,0,209,365
"Northumberland--Quinte West/Northumberland--Quinte West"," 182","Quinte West",61,10,69,58,1,199,510
"Northumberland--Quinte West/Northumberland--Quinte West"," 183","Quinte West",31,18,93,119,1,262,498
"Northumberland--Quinte West/Northumberland--Quinte West"," 184","Quinte West",40,12,68,104,1,225,396
"Northumberland--Quinte West/Northumberland--Quinte West"," 185","Quinte West",40,9,83,137,0,269,405
"Northumberland--Quinte West/Northumberland--Quinte West"," 186","Quinte West",53,32,96,161,1,343,532
"Northumberland--Quinte West/Northumberland--Quinte West"," 187","Quinte West",77,11,88,124,0,300,513
"Northumberland--Quinte West/Northumberland--Quinte West"," 188","Quinte West",19,8,46,100,0,173,316
"Northumberland--Quinte West/Northumberland--Quinte West"," 189","Quinte West",47,11,67,94,1,220,369
"Northumberland--Quinte West/Northumberland--Quinte West"," 190","Quinte West",49,11,67,103,0,230,406
"Northumberland--Quinte West/Northumberland--Quinte West"," 191","Quinte West",57,10,123,140,0,330,538
"Northumberland--Quinte West/Northumberland--Quinte West"," 192","Quinte West",55,9,139,149,1,353,551
"Northumberland--Quinte West/Northumberland--Quinte West"," 193","Quinte West",28,12,55,85,1,181,308
"Northumberland--Quinte West/Northumberland--Quinte West"," 194","Quinte West",22,6,47,44,0,119,253
"Northumberland--Quinte West/Northumberland--Quinte West"," 195","Quinte West",50,12,89,190,0,341,530
"Northumberland--Quinte West/Northumberland--Quinte West"," 196","Quinte West",18,10,87,114,0,229,384
"Northumberland--Quinte West/Northumberland--Quinte West"," 197","Quinte West",53,15,117,113,0,298,446
"Northumberland--Quinte West/Northumberland--Quinte West"," 198","Quinte West",24,4,53,56,0,137,280
"Northumberland--Quinte West/Northumberland--Quinte West"," 199","Quinte West",41,10,124,80,1,256,504
"Northumberland--Quinte West/Northumberland--Quinte West"," 200","Quinte West",29,4,114,124,1,272,466
"Northumberland--Quinte West/Northumberland--Quinte West"," 201","Quinte West",30,13,90,120,3,256,423
"Northumberland--Quinte West/Northumberland--Quinte West"," 202","Quinte West",39,15,77,59,0,190,468
"Northumberland--Quinte West/Northumberland--Quinte West"," 203","Quinte West",53,10,82,89,1,235,496
"Northumberland--Quinte West/Northumberland--Quinte West"," 204","Quinte West",45,5,100,99,0,249,378
"Northumberland--Quinte West/Northumberland--Quinte West"," 205","Quinte West",36,10,90,76,0,212,320
"Northumberland--Quinte West/Northumberland--Quinte West"," 206","Quinte West",58,12,110,89,1,270,644
"Northumberland--Quinte West/Northumberland--Quinte West"," 207","Quinte West",29,5,72,82,3,191,606
"Northumberland--Quinte West/Northumberland--Quinte West"," 208","Quinte West",34,4,42,57,1,138,332
"Northumberland--Quinte West/Northumberland--Quinte West"," 209","Quinte West",18,5,54,50,0,127,309
"Northumberland--Quinte West/Northumberland--Quinte West"," 500","Mobile poll/Bureau itinérant",9,2,15,29,0,55,28
"Northumberland--Quinte West/Northumberland--Quinte West"," 501","Mobile poll/Bureau itinérant",4,1,25,38,1,69,77
"Northumberland--Quinte West/Northumberland--Quinte West"," 502","Mobile poll/Bureau itinérant",11,4,48,38,1,102,216
"Northumberland--Quinte West/Northumberland--Quinte West"," 503","Mobile poll/Bureau itinérant",4,1,25,29,1,60,96
"Northumberland--Quinte West/Northumberland--Quinte West"," 504A","Mobile poll/Bureau itinérant",9,6,38,14,1,68,226
"Northumberland--Quinte West/Northumberland--Quinte West"," 504B","Mobile poll/Bureau itinérant",14,3,53,39,2,111,44
"Northumberland--Quinte West/Northumberland--Quinte West"," 505","Mobile poll/Bureau itinérant",2,3,43,31,1,80,149
"Northumberland--Quinte West/Northumberland--Quinte West"," 506","Mobile poll/Bureau itinérant",13,2,25,16,1,57,92
"Northumberland--Quinte West/Northumberland--Quinte West"," 600","Port Hope",134,48,418,595,3,1198,
"Northumberland--Quinte West/Northumberland--Quinte West"," 601","Hamilton ",86,36,240,400,2,764,
"Northumberland--Quinte West/Northumberland--Quinte West"," 602","Cobourg",146,48,409,483,8,1094,
"Northumberland--Quinte West/Northumberland--Quinte West"," 603","Alnwick/Haldimand--Cramahe",58,30,153,294,0,535,
"Northumberland--Quinte West/Northumberland--Quinte West"," 604","Alderville First Nation",2,1,22,6,0,31,
"Northumberland--Quinte West/Northumberland--Quinte West"," 605","Trent Hills",190,45,402,655,1,1293,
"Northumberland--Quinte West/Northumberland--Quinte West"," 606","Brighton",151,47,486,694,3,1381,
"Northumberland--Quinte West/Northumberland--Quinte West"," 607","Quinte West",118,39,398,547,0,1102,
"Northumberland--Quinte West/Northumberland--Quinte West"," 608","Quinte West",86,32,329,521,4,972,
"Northumberland--Quinte West/Northumberland--Quinte West",,Group 1/Groupe 1,46,21,109,172,11,359,1010
"Northumberland--Quinte West/Northumberland--Quinte West",,Group 2/Groupe 2,180,77,850,876,12,1995,
