Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chris Axworthy,Don Cameron,Jim Maddin,Dale Sanders,Maurice Vellacott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 122","Saskatoon",26,4,66,2,44,0,142,389
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 123","Saskatoon",53,18,63,0,32,0,166,311
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 124","Saskatoon",81,34,107,0,65,1,288,462
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 125","Saskatoon",75,12,76,1,63,0,227,422
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 126","Saskatoon",61,9,64,0,49,2,185,321
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 127","Saskatoon",56,10,69,2,63,0,200,353
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 128","Saskatoon",61,12,65,3,48,0,189,372
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 129","Saskatoon",36,12,40,1,37,0,126,224
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 130","Saskatoon",55,13,80,1,52,3,204,367
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 131","Saskatoon",57,12,59,1,52,1,182,326
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 132","Saskatoon",46,3,47,2,39,0,137,238
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 133A","Saskatoon",93,5,73,2,92,0,265,403
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 133B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,,84
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 134","Saskatoon",84,9,85,1,60,1,240,435
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 135","Saskatoon",51,13,59,3,45,0,171,304
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 136","Saskatoon",90,14,85,1,65,0,255,401
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 137","Saskatoon",57,7,52,2,56,1,175,388
