Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bryce Bartholomew,Libby Davies,Christine Ellis,David Carl Haggard,Elizabeth M. Pagtakhan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Vancouver East/Vancouver-Est"," 66","Vancouver",0,176,27,39,23,1,266,488
"Vancouver East/Vancouver-Est"," 67","Vancouver",0,158,14,45,22,0,239,431
"Vancouver East/Vancouver-Est"," 68","Vancouver",1,193,18,30,15,0,257,452
"Vancouver East/Vancouver-Est"," 69","Vancouver",1,127,15,50,40,2,235,442
"Vancouver East/Vancouver-Est"," 70","Vancouver",2,168,25,37,30,1,263,451
"Vancouver East/Vancouver-Est"," 71","Vancouver",0,135,18,33,9,0,195,390
"Vancouver East/Vancouver-Est"," 72","Vancouver",0,128,14,30,14,1,187,348
"Vancouver East/Vancouver-Est"," 73","Vancouver",0,180,11,24,13,0,228,397
"Vancouver East/Vancouver-Est"," 74","Vancouver",0,145,16,37,19,0,217,333
"Vancouver East/Vancouver-Est"," 75","Vancouver",1,107,19,70,60,0,257,427
"Vancouver East/Vancouver-Est"," 76","Vancouver",2,128,16,62,61,2,271,437
"Vancouver East/Vancouver-Est"," 77","Vancouver",3,117,16,72,43,0,251,474
"Vancouver East/Vancouver-Est"," 78","Vancouver",1,117,10,66,54,0,248,462
"Vancouver East/Vancouver-Est"," 79","Vancouver",1,122,12,49,21,0,205,387
"Vancouver East/Vancouver-Est"," 80","Vancouver",3,159,12,69,43,0,286,554
"Vancouver East/Vancouver-Est"," 81","Vancouver",3,145,11,102,41,1,303,553
"Vancouver East/Vancouver-Est"," 82","Vancouver",0,119,10,81,40,4,254,501
"Vancouver East/Vancouver-Est"," 83","Vancouver",1,97,4,78,49,2,231,447
"Vancouver East/Vancouver-Est"," 84","Vancouver",1,62,9,41,21,1,135,276
"Vancouver East/Vancouver-Est"," 85","Vancouver",0,168,9,77,44,0,298,530
"Vancouver East/Vancouver-Est"," 86","Vancouver",3,97,6,83,47,1,237,473
"Vancouver East/Vancouver-Est"," 87","Vancouver",4,92,9,75,41,0,221,480
"Vancouver East/Vancouver-Est"," 88","Vancouver",1,98,10,73,31,1,214,425
"Vancouver East/Vancouver-Est"," 89","Vancouver",1,88,11,69,55,1,225,446
"Vancouver East/Vancouver-Est"," 90","Vancouver",1,101,10,18,13,1,144,282
"Vancouver East/Vancouver-Est"," 91","Vancouver",0,138,15,55,7,0,215,342
"Vancouver East/Vancouver-Est"," 92","Vancouver",2,156,26,66,22,1,273,472
"Vancouver East/Vancouver-Est"," 93","Vancouver",2,146,10,36,40,1,235,374
"Vancouver East/Vancouver-Est"," 94","Vancouver",0,138,13,38,38,1,228,407
"Vancouver East/Vancouver-Est"," 95","Vancouver",1,131,11,40,30,2,215,368
"Vancouver East/Vancouver-Est"," 96","Vancouver",1,117,11,47,12,0,188,305
"Vancouver East/Vancouver-Est"," 97","Vancouver",1,124,10,50,29,0,214,395
"Vancouver East/Vancouver-Est"," 98","Vancouver",1,96,8,22,21,2,150,298
"Vancouver East/Vancouver-Est"," 99","Vancouver",0,126,21,46,17,0,210,381
"Vancouver East/Vancouver-Est"," 100","Vancouver",2,154,16,56,31,0,259,449
"Vancouver East/Vancouver-Est"," 101","Vancouver",0,135,29,46,27,4,241,378
"Vancouver East/Vancouver-Est"," 102","Vancouver",1,115,19,28,12,1,176,355
"Vancouver East/Vancouver-Est"," 103","Vancouver",0,136,7,39,25,1,208,365
"Vancouver East/Vancouver-Est"," 104A","Vancouver",2,136,18,43,20,1,220,415
"Vancouver East/Vancouver-Est"," 104B","Vancouver",0,79,4,23,15,0,121,286
"Vancouver East/Vancouver-Est"," 104C","Mobile poll/Bureau itinérant",Merged with No. 52B/Fusionné avec le nº 52B,,,,,,,74
"Vancouver East/Vancouver-Est"," 105","Vancouver",0,110,14,42,20,1,187,391
"Vancouver East/Vancouver-Est"," 106","Vancouver",0,132,22,61,37,1,253,490
"Vancouver East/Vancouver-Est"," 107","Vancouver",2,195,25,52,23,1,298,570
"Vancouver East/Vancouver-Est"," 108","Vancouver",1,131,14,33,38,1,218,383
"Vancouver East/Vancouver-Est"," 109A","Vancouver",1,180,28,38,25,1,273,449
"Vancouver East/Vancouver-Est"," 109B","Vancouver",0,85,12,31,19,1,148,239
"Vancouver East/Vancouver-Est"," 110","Vancouver",2,126,13,36,25,0,202,427
"Vancouver East/Vancouver-Est"," 111A","Vancouver",0,104,22,33,27,0,186,408
"Vancouver East/Vancouver-Est"," 111B","Vancouver",0,75,4,20,11,0,110,242
"Vancouver East/Vancouver-Est"," 112","Vancouver",1,112,9,38,26,0,186,410
"Vancouver East/Vancouver-Est"," 113","Vancouver",0,106,15,36,19,0,176,514
"Vancouver East/Vancouver-Est"," 114","Vancouver",3,111,11,35,31,0,191,507
"Vancouver East/Vancouver-Est"," 115","Vancouver",0,98,8,31,16,1,154,283
"Vancouver East/Vancouver-Est"," 116","Vancouver",1,151,15,28,32,4,231,496
"Vancouver East/Vancouver-Est"," 117","Vancouver",0,156,20,40,19,1,236,507
"Vancouver East/Vancouver-Est"," 118","Vancouver",3,162,29,35,26,1,256,569
"Vancouver East/Vancouver-Est"," 119","Vancouver",1,118,15,45,30,1,210,452
"Vancouver East/Vancouver-Est"," 120","Vancouver",1,123,12,46,26,0,208,387
"Vancouver East/Vancouver-Est"," 121","Vancouver",1,184,21,69,30,2,307,536
"Vancouver East/Vancouver-Est"," 122","Vancouver",0,99,13,33,15,0,160,314
"Vancouver East/Vancouver-Est"," 123","Vancouver",1,172,14,44,16,1,248,417
"Vancouver East/Vancouver-Est"," 124A","Vancouver",3,105,12,23,21,0,164,354
"Vancouver East/Vancouver-Est"," 124B","Vancouver",2,68,10,22,12,0,114,262
"Vancouver East/Vancouver-Est"," 125","Vancouver",1,165,32,67,38,3,306,534
"Vancouver East/Vancouver-Est"," 126","Vancouver",1,153,30,51,17,2,254,523
"Vancouver East/Vancouver-Est"," 127","Vancouver",0,149,19,47,30,1,246,484
"Vancouver East/Vancouver-Est"," 128","Vancouver",1,165,15,29,11,1,222,447
"Vancouver East/Vancouver-Est"," 129","Vancouver",6,192,8,38,23,1,268,466
"Vancouver East/Vancouver-Est"," 130","Vancouver",1,217,19,80,33,3,353,583
"Vancouver East/Vancouver-Est"," 131","Vancouver",0,178,27,112,54,1,372,591
"Vancouver East/Vancouver-Est"," 132","Vancouver",2,116,7,85,50,3,263,484
"Vancouver East/Vancouver-Est"," 133","Vancouver",2,178,14,42,32,0,268,446
"Vancouver East/Vancouver-Est"," 134","Vancouver",4,185,22,80,35,0,326,593
"Vancouver East/Vancouver-Est"," 135","Vancouver",4,116,15,91,67,0,293,521
"Vancouver East/Vancouver-Est"," 136","Vancouver",2,198,26,49,38,3,316,504
"Vancouver East/Vancouver-Est"," 137","Vancouver",5,112,21,73,41,1,253,498
"Vancouver East/Vancouver-Est"," 138","Vancouver",1,125,13,76,33,0,248,458
"Vancouver East/Vancouver-Est"," 139","Vancouver",0,191,18,39,13,0,261,448
"Vancouver East/Vancouver-Est"," 140","Vancouver",4,149,24,72,46,0,295,510
"Vancouver East/Vancouver-Est"," 141","Vancouver",4,147,14,107,62,2,336,597
"Vancouver East/Vancouver-Est"," 142","Vancouver",1,79,7,22,15,1,125,272
"Vancouver East/Vancouver-Est"," 143","Vancouver",0,172,12,57,26,0,267,487
"Vancouver East/Vancouver-Est"," 144","Vancouver",5,147,17,60,30,2,261,470
"Vancouver East/Vancouver-Est"," 145A","Vancouver",1,79,3,45,66,1,195,433
"Vancouver East/Vancouver-Est"," 145B","Vancouver",2,48,0,49,19,1,119,271
"Vancouver East/Vancouver-Est"," 146","Vancouver",3,77,5,69,41,3,198,392
"Vancouver East/Vancouver-Est"," 147","Vancouver",0,127,14,44,23,2,210,419
"Vancouver East/Vancouver-Est"," 148","Vancouver",1,143,13,73,24,1,255,514
"Vancouver East/Vancouver-Est"," 149","Vancouver",2,126,9,96,67,1,301,525
"Vancouver East/Vancouver-Est"," 150","Vancouver",2,132,13,118,46,2,313,554
"Vancouver East/Vancouver-Est"," 151A","Vancouver",1,72,4,54,32,0,163,397
"Vancouver East/Vancouver-Est"," 151B","Vancouver",0,31,2,39,21,0,93,226
"Vancouver East/Vancouver-Est"," 152","Vancouver",2,201,10,71,52,1,337,603
"Vancouver East/Vancouver-Est"," 153","Vancouver",2,143,5,90,35,1,276,503
"Vancouver East/Vancouver-Est"," 154","Vancouver",3,121,13,91,44,3,275,494
"Vancouver East/Vancouver-Est"," 155","Vancouver",4,107,15,112,64,0,302,519
"Vancouver East/Vancouver-Est"," 156","Vancouver",1,113,14,85,52,0,265,451
"Vancouver East/Vancouver-Est"," 157","Vancouver",2,128,8,90,52,1,281,587
"Vancouver East/Vancouver-Est"," 158","Vancouver",3,93,4,96,71,1,268,530
"Vancouver East/Vancouver-Est"," 159","Vancouver",1,116,8,84,56,0,265,531
"Vancouver East/Vancouver-Est"," 160","Vancouver",4,108,6,86,51,1,256,481
"Vancouver East/Vancouver-Est"," 161","Vancouver",2,72,4,57,34,1,170,414
"Vancouver East/Vancouver-Est"," 162","Vancouver",1,98,7,82,43,0,231,440
"Vancouver East/Vancouver-Est"," 163","Vancouver",3,69,4,86,50,0,212,429
"Vancouver East/Vancouver-Est"," 164","Vancouver",1,86,4,52,58,3,204,514
"Vancouver East/Vancouver-Est"," 165","Vancouver",2,152,13,48,39,4,258,560
"Vancouver East/Vancouver-Est"," 500","Mobile poll/Bureau itinérant",1,19,1,13,4,2,40,85
"Vancouver East/Vancouver-Est"," 501","Mobile poll/Bureau itinérant",4,11,1,90,6,1,113,242
"Vancouver East/Vancouver-Est"," 502","Mobile poll/Bureau itinérant",3,31,1,25,6,3,69,213
"Vancouver East/Vancouver-Est"," 503","Mobile poll/Bureau itinérant",3,27,5,4,12,0,51,81
"Vancouver East/Vancouver-Est"," 504","Mobile poll/Bureau itinérant",0,17,1,29,18,0,65,71
"Vancouver East/Vancouver-Est"," 600","Vancouver",8,198,19,90,49,2,366,
"Vancouver East/Vancouver-Est"," 601","Vancouver",1,54,10,18,15,0,98,
"Vancouver East/Vancouver-Est"," 602","Vancouver",1,361,32,55,27,1,477,
"Vancouver East/Vancouver-Est"," 603","Vancouver",2,238,28,51,54,1,374,
"Vancouver East/Vancouver-Est"," 604","Vancouver",4,171,14,73,62,1,325,
"Vancouver East/Vancouver-Est"," 605","Vancouver",1,111,8,71,75,1,267,
"Vancouver East/Vancouver-Est"," 606","Vancouver",0,225,16,66,81,1,389,
"Vancouver East/Vancouver-Est"," 607","Vancouver",1,196,23,62,70,2,354,
"Vancouver East/Vancouver-Est"," 608","Vancouver",1,231,21,103,77,5,438,
"Vancouver East/Vancouver-Est",,Group 1/Groupe 1,0,80,14,45,15,8,162,223
"Vancouver East/Vancouver-Est",,Group 2/Groupe 2,1,281,23,70,40,3,418,
