Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Saul Andersen,Robin Baird,Bruce Burnett,Ariel Lade,Fred Mallach,David Mulroney,Denise Savoie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Victoria/Victoria"," 141","Victoria",3,33,0,19,0,43,118,1,217,358
"Victoria/Victoria"," 142","Victoria",0,45,1,16,1,49,66,2,180,302
"Victoria/Victoria"," 143","Victoria",1,41,1,19,1,44,114,0,221,374
"Victoria/Victoria"," 144A","Victoria",7,31,0,17,0,29,50,0,134,236
"Victoria/Victoria"," 144B","Mobile poll/Bureau itinérant",Merged with No. 507/Fusionné avec le nº 507,,,,,,,,,15
"Victoria/Victoria"," 145","Victoria",0,45,1,14,0,59,77,1,197,349
"Victoria/Victoria"," 146","Victoria",1,47,1,24,1,67,92,0,233,373
"Victoria/Victoria"," 147","Victoria",1,36,0,17,0,39,51,0,144,248
"Victoria/Victoria"," 148","Victoria",2,43,2,18,0,67,105,2,239,389
"Victoria/Victoria"," 149A","Victoria",2,27,1,17,5,41,71,0,164,330
"Victoria/Victoria"," 149B","Victoria",3,21,2,12,1,33,48,0,120,276
"Victoria/Victoria"," 150","Victoria",1,64,2,18,0,82,69,0,236,501
"Victoria/Victoria"," 151","Victoria",2,13,0,18,0,43,85,2,163,269
"Victoria/Victoria"," 152","Victoria",0,39,1,18,1,54,105,2,220,329
"Victoria/Victoria"," 153","Victoria",1,15,0,19,3,34,64,2,138,267
"Victoria/Victoria"," 154","Victoria",1,65,2,17,1,95,101,0,282,431
"Victoria/Victoria"," 155","Victoria",0,37,0,23,2,71,100,0,233,405
"Victoria/Victoria"," 156","Victoria",3,25,3,18,2,25,63,1,140,301
"Victoria/Victoria"," 157","Victoria",2,30,2,5,1,62,20,0,122,245
"Victoria/Victoria"," 158","Victoria",2,45,0,20,0,59,114,0,240,407
"Victoria/Victoria"," 159","Victoria",2,41,0,9,0,57,96,1,206,402
"Victoria/Victoria"," 160","Victoria",1,40,0,24,1,50,85,0,201,353
"Victoria/Victoria"," 161","Victoria",0,41,0,28,2,69,118,0,258,458
"Victoria/Victoria"," 162","Victoria",1,39,2,22,0,63,102,1,230,411
"Victoria/Victoria"," 163","Victoria",0,28,0,22,3,50,79,0,182,294
"Victoria/Victoria"," 164","Victoria",1,27,0,17,0,53,67,0,165,291
"Victoria/Victoria"," 165","Victoria",0,47,0,29,0,64,138,1,279,446
