Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rick Barsky,Marcel Bourassa,Myron Luczka,Carol Skelton,Nettie Wiebe,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 95","Saskatoon",8,7,29,144,119,0,307,554
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 96","Saskatoon",8,3,39,123,112,0,285,494
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 97","Saskatoon",1,2,31,117,129,0,280,507
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 98","Saskatoon",4,3,23,94,94,0,218,388
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 99","Saskatoon",2,1,17,62,56,1,139,310
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 100","Saskatoon",1,1,31,77,47,1,158,303
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 101","Saskatoon",11,6,28,82,114,2,243,475
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 102","Saskatoon",5,1,28,109,104,0,247,498
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 103","Saskatoon",6,3,42,36,58,2,147,367
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 104","Saskatoon",3,2,20,71,80,0,176,343
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 105","Saskatoon",8,2,23,121,110,0,264,499
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 106","Saskatoon",4,5,44,94,97,0,244,582
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 107","Saskatoon",9,4,52,114,121,0,300,489
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 108","Saskatoon",3,1,20,35,51,2,112,366
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 109","Saskatoon",7,3,48,115,115,0,288,592
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 110","Saskatoon",7,2,29,107,120,1,266,419
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 111","Saskatoon",5,0,27,130,113,0,275,420
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 112","Saskatoon",6,0,29,106,72,1,214,337
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 113","Saskatoon",8,0,18,147,128,2,303,480
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 114","Saskatoon",5,0,21,94,90,0,210,363
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 115","Saskatoon",1,1,29,78,57,0,166,268
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 116","Saskatoon",3,1,19,32,69,2,126,321
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 117","Saskatoon",1,1,32,17,58,2,111,337
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 118","Saskatoon",7,3,35,30,72,2,149,372
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 119","Saskatoon",3,1,28,41,59,0,132,297
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 120","Saskatoon",8,0,22,77,91,0,198,350
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 121","Saskatoon",5,2,26,71,70,0,174,371
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 122","Saskatoon",6,1,26,61,64,0,158,338
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 123","Saskatoon",3,3,21,16,53,0,96,274
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 124","Saskatoon",1,5,44,23,83,1,157,398
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 125","Saskatoon",4,2,41,37,47,1,132,391
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 126","Saskatoon",8,5,38,74,95,0,220,450
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 127","Saskatoon",6,0,25,37,86,0,154,381
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 128","Saskatoon",11,4,57,45,68,1,186,361
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 129","Saskatoon",5,0,26,82,81,0,194,338
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 130","Saskatoon",1,3,7,46,73,0,130,248
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 131","Saskatoon",2,2,15,13,37,0,69,272
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 132","Saskatoon",6,1,25,42,61,0,135,350
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 133","Saskatoon",7,1,16,57,93,0,174,414
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 134","Saskatoon",11,1,30,49,91,1,183,397
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 135","Saskatoon",7,2,17,59,86,0,171,360
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 136","Saskatoon",8,4,33,54,99,0,198,405
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 137","Saskatoon",9,3,15,65,65,0,157,335
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 138","Saskatoon",7,1,34,69,98,0,209,411
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 500","Mobile poll/Bureau itinérant",7,8,23,41,25,1,105,175
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 501","Mobile poll/Bureau itinérant",2,1,41,95,91,2,232,231
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 502","Mobile poll/Bureau itinérant",4,1,11,18,52,0,86,229
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 600","Biggar",5,0,26,282,131,1,445,
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 601","Rosetown",3,0,19,373,77,1,473,
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 602","Delisle",3,0,22,209,63,1,298,
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 603","Confederation Park",8,3,46,260,182,0,499,
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 604","Howard Coad",14,2,63,259,296,0,634,
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 605","St. Marks",7,3,65,241,163,3,482,
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar"," 606","St. John's",5,1,44,114,131,0,295,
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar",,Group 1/Groupe 1,6,0,63,20,23,7,119,185
"Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar",,Group 2/Groupe 2,17,9,76,545,273,11,931,
