Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Anderson,Bill Caton,Mike Eason,Amanda Knorr,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 32","Pennant",72,26,35,7,0,140,245
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 33","Stewart Valley",128,16,54,10,0,208,346
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 34","Success",97,8,67,7,0,179,362
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 35","Waldeck",273,19,54,9,0,355,635
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 36","Webb",162,18,24,7,0,211,383
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 37","Burnham",135,17,26,6,1,185,348
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 38","McMahon",160,9,23,1,0,193,311
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 39","Wymark",236,14,17,10,0,277,436
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 40","Swift Current",309,49,56,9,1,424,681
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 41","Swift Current",163,33,59,15,1,271,424
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 42","Swift Current",133,42,49,17,0,241,402
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 43","Swift Current",270,47,84,7,0,408,615
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 44","Swift Current",74,14,34,4,1,127,249
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 45","Swift Current",128,11,35,17,1,192,339
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 46","Swift Current",103,24,35,6,1,169,343
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 47","Swift Current",118,31,31,11,0,191,365
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 48","Swift Current",138,22,30,8,0,198,359
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 49","Swift Current",77,15,37,11,2,142,283
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 50","Swift Current",92,26,29,11,0,158,343
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 51","Swift Current",139,26,55,9,0,229,405
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 52","Swift Current",186,33,58,11,1,289,454
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 53","Swift Current",158,28,57,4,0,247,393
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 54","Swift Current",20,6,6,3,0,35,98
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 55","Swift Current",86,41,50,14,3,194,341
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 56","Swift Current",83,27,23,7,2,142,313
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 57","Swift Current",170,35,40,13,0,258,441
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 58","Swift Current",190,33,46,6,1,276,456
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 59","Swift Current",40,10,32,3,1,86,177
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 60","Swift Current",93,18,28,11,0,150,323
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 61","Swift Current",131,20,38,9,0,198,375
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 62","Swift Current",131,22,47,10,1,211,408
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 63","Swift Current",60,18,47,2,1,128,270
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 64","Swift Current",123,16,41,6,0,186,368
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 65","Swift Current",123,22,47,3,1,196,320
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 66","Swift Current",151,25,31,2,0,209,343
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 67","Swift Current",161,22,27,3,1,214,361
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 68","Swift Current",168,21,46,4,0,239,376
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 69","Swift Current",130,29,44,11,0,214,374
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 70","Riverhurst",83,8,30,6,0,127,220
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 71","Central Butte",129,15,23,3,0,170,234
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 72","Central Butte",61,19,36,5,0,121,208
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 73","Central Butte",42,10,11,3,0,66,110
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 74","Main Centre",97,7,7,1,0,112,257
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 75","Herbert",127,11,10,2,0,150,236
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 76","Herbert",125,16,24,7,1,173,277
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 77","Herbert",148,44,29,9,0,230,379
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 78","Morse",133,33,46,5,2,219,350
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 79","Chaplin",80,8,14,4,0,106,172
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 80","Chaplin",56,21,26,5,0,108,188
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 81","Mortlach",128,27,41,17,1,214,332
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 82","Hodgeville",148,25,50,8,0,231,371
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 83","Shamrock",96,16,22,7,1,142,217
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 84","Golden Prairie",74,6,8,0,0,88,126
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 85","Hatton",66,3,6,5,0,80,164
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 86","Maple Creek",85,11,6,1,0,103,225
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 87","Maple Creek",140,47,23,9,0,219,333
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 88","Maple Creek",117,26,31,3,1,178,258
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 89","Maple Creek",106,31,38,5,1,181,348
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 90","Maple Creek",209,48,59,18,0,334,689
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 91","Maple Creek",156,35,47,8,0,246,424
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 92","Consul",207,16,22,7,0,252,362
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 93","Hazlet",139,19,23,15,0,196,297
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 94","Piapot",122,10,11,9,0,152,216
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 95","Tompkins",120,11,16,9,0,156,269
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 96","Gull Lake",100,10,11,2,0,123,207
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 97","Gull Lake",193,35,44,7,1,280,497
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 98","Gull Lake",115,30,28,4,0,177,334
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 99","Antelope",66,10,15,6,0,97,176
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 100","Lac Pelletier",68,10,17,5,0,100,177
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 101","Eastend",161,17,14,10,1,203,293
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 102","Eastend",214,38,42,15,3,312,496
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 103","Shaunavon",162,22,21,5,0,210,352
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 104","Shaunavon",99,11,30,4,0,144,252
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 105","Shaunavon",182,26,44,18,0,270,575
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 106","Shaunavon",74,29,29,7,1,140,283
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 107","Shaunavon",98,24,31,6,0,159,262
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 108","Admiral",85,10,21,1,0,117,219
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 109","Frontier",119,19,7,3,1,149,306
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 110","Frontier",135,11,14,12,0,172,240
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 111","Climax",168,31,30,6,0,235,356
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 112","Neville",194,8,15,4,0,221,303
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 113","Vanguard",65,24,24,6,0,119,257
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 114","Ponteix",121,30,26,4,1,182,292
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 115","Ponteix",56,31,15,5,1,108,186
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 116","Ponteix",87,46,17,11,2,163,265
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 117","Aneroid",98,21,9,2,0,130,200
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 118","Val Marie",147,16,11,12,1,187,351
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 119","Mankota",106,10,13,4,0,133,204
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 120","Mankota",82,24,14,5,0,125,188
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 121","Coderre",107,19,19,2,0,147,264
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 122","Glenbain",64,11,25,3,0,103,167
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 123","Gravelbourg",135,18,33,6,0,192,327
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 124","Gravelbourg",42,17,15,4,1,79,133
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 125","Gravelbourg",130,65,50,19,3,267,511
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 126","Gravelbourg",49,21,24,7,0,101,171
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 127","Kincaid",90,15,16,6,0,127,201
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 128","Laflèche",122,26,31,8,0,187,262
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 129","Laflèche",124,39,66,6,1,236,355
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 130","McCord",96,16,18,5,2,137,197
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 131","Limerick",112,37,39,9,0,197,310
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 132","Assiniboia",189,33,37,7,0,266,385
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 133","Assiniboia",35,12,4,2,0,53,113
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 134","Assiniboia",92,19,31,2,0,144,225
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 135","Assiniboia",241,79,72,17,1,410,768
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 136","Assiniboia",51,17,31,2,1,102,180
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 137","Assiniboia",130,47,37,7,1,222,357
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 138","Assiniboia",128,32,35,3,1,199,253
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 139","Fir Mountain",127,39,22,8,1,197,276
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 140","Wood Mountain",50,19,17,3,0,89,180
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 141","Willow Bunch",59,17,18,7,0,101,191
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 142","Willow Bunch",87,56,44,4,1,192,269
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 143","Rockglen",222,32,23,13,1,291,413
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 144","Rockglen",110,25,49,12,0,196,286
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 500","Mobile poll/Bureau itinérant",51,18,26,3,0,98,177
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 501","Mobile poll/Bureau itinérant",30,9,27,2,1,69,162
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 502","Mobile poll/Bureau itinérant",13,15,7,0,1,36,68
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 600","Eston",105,17,16,7,0,145,
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 601","Leader",62,24,9,2,0,97,
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 602","Cabri",189,32,47,16,0,284,
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 603","Swift Current",391,65,116,13,0,585,
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 604","Herbert",48,9,18,1,0,76,
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 605","Maple Creek",100,27,13,2,0,142,
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 606","Gull Lake",79,9,13,8,3,112,
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 607","Shaunavon",139,25,44,6,0,214,
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 608","Ponteix",50,8,6,1,2,67,
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 609","Gravelbourg",100,44,18,9,0,171,
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 610","Assiniboia",176,42,49,8,0,275,
"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 611","Dinsmore",69,3,17,4,0,93,
"Cypress Hills--Grasslands/Cypress Hills--Grasslands",,Group 1/Groupe 1,32,9,6,6,1,54,103
"Cypress Hills--Grasslands/Cypress Hills--Grasslands",,Group 2/Groupe 2,649,192,179,37,11,1068,
