Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lewis Dahlby,Scott Froom,Jon Kingsbury,James Moore,Mary Woo Sims,Greg Watrich,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 37","Coquitlam",2,3,88,71,63,13,2,242,485
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 38","Coquitlam",0,9,54,48,53,15,0,179,374
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 39","Coquitlam",0,5,49,78,30,7,0,169,318
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 40","Coquitlam",0,2,68,133,53,12,1,269,509
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 41","Coquitlam",5,10,60,67,57,31,0,230,420
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 42","Coquitlam",1,16,91,105,92,12,1,318,482
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 43","Coquitlam",0,10,109,93,84,16,2,314,501
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 44","Coquitlam",2,10,69,71,67,16,1,236,423
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 45","Coquitlam",1,5,62,87,67,11,3,236,331
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 46A","Coquitlam",4,4,100,87,46,21,0,262,571
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 46B","Coquitlam",3,4,88,85,42,12,3,237,473
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 47","Coquitlam",3,12,54,74,44,6,0,193,396
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 48","Coquitlam",4,7,29,38,20,2,0,100,147
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 49","Coquitlam",1,5,44,59,38,5,1,153,320
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 50","Coquitlam",0,1,18,32,14,0,1,66,114
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 51A","Coquitlam",4,2,65,62,48,6,1,188,371
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 51B","Coquitlam",2,5,41,59,38,3,0,148,311
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 52","Coquitlam",2,7,75,98,70,8,2,262,478
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 53","Coquitlam",1,3,36,55,65,3,1,164,356
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 54","Coquitlam",0,5,71,103,50,5,0,234,423
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 55","Coquitlam",4,4,82,92,60,17,0,259,515
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 56","Coquitlam",1,7,55,53,32,7,2,157,245
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 57","Coquitlam",4,6,66,102,47,14,0,239,436
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 58","Coquitlam",3,7,102,126,65,10,0,313,538
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 59","Coquitlam",3,8,89,140,79,17,0,336,567
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 60","Coquitlam",4,15,98,116,60,22,1,316,574
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 61","Coquitlam",1,3,74,93,59,24,0,254,528
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 62","Coquitlam",2,2,45,81,41,20,1,192,342
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 63","Coquitlam",4,13,91,118,69,8,0,303,454
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 64","Coquitlam",2,17,79,112,35,7,1,253,415
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 65","Coquitlam",1,4,87,154,49,10,1,306,528
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 66","Coquitlam",0,6,68,141,22,8,1,246,481
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 67","Coquitlam",1,8,93,118,21,7,0,248,410
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 68A","Coquitlam",1,0,69,88,19,10,0,187,341
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 68B","Coquitlam",2,1,62,44,23,9,1,142,274
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 69A","Coquitlam",2,5,68,98,15,15,0,203,374
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 69B","Coquitlam",2,6,83,102,26,14,1,234,422
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 70A","Coquitlam",3,5,73,68,20,15,1,185,374
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 70B","Coquitlam",2,4,74,80,20,23,0,203,416
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 71","Coquitlam",2,7,95,116,24,9,1,254,463
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 72A","Coquitlam",0,4,43,52,24,3,0,126,273
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 72B","Coquitlam",4,3,44,59,40,4,2,156,294
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 73","Coquitlam",3,5,70,111,21,24,0,234,464
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 74","Coquitlam",0,2,26,59,9,7,0,103,230
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 75","Coquitlam",1,5,69,109,29,13,0,226,552
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 76A","Coquitlam",3,7,77,100,22,13,1,223,434
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 76B","Coquitlam",6,7,85,92,20,7,2,219,378
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 77","Coquitlam",3,3,87,113,28,18,0,252,608
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 78","Coquitlam",1,8,87,110,36,15,1,258,534
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 79","Coquitlam",1,4,109,71,30,29,1,245,514
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 80","Coquitlam",1,2,79,81,32,18,0,213,482
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 81","Coquitlam",2,5,97,76,21,28,3,232,527
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 82","Coquitlam",5,3,70,70,29,13,0,190,413
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 83","Coquitlam",1,4,79,119,13,6,0,222,433
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 84","Coquitlam",1,9,85,145,35,19,1,295,602
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 85","Coquitlam",1,7,83,81,39,18,1,230,475
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 86","Coquitlam",0,7,47,72,59,5,2,192,313
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 87","Coquitlam",1,3,61,66,60,13,0,204,363
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 88","Coquitlam",1,5,37,90,61,7,0,201,365
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 89","Coquitlam",0,4,73,136,72,11,0,296,420
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 90","Coquitlam",1,14,60,142,59,19,0,295,513
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 91","Coquitlam",0,7,31,78,34,6,0,156,278
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 92","Coquitlam",2,7,29,101,54,4,0,197,353
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 93","Port Coquitlam",3,9,65,136,95,12,2,322,467
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 94","Port Coquitlam",2,8,54,85,91,4,0,244,457
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 95","Port Coquitlam",2,7,45,104,88,9,0,255,422
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 96","Port Coquitlam",1,11,66,109,53,13,1,254,425
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 97","Port Coquitlam",1,17,63,121,89,11,2,304,436
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 98","Port Coquitlam",2,9,43,109,110,2,0,275,410
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 99","Port Coquitlam",2,7,50,123,67,9,0,258,440
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 100","Port Coquitlam",1,6,55,105,47,17,0,231,452
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 101","Port Coquitlam",0,8,47,96,29,16,0,196,406
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 102","Port Coquitlam",0,5,45,82,55,8,0,195,395
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 103","Port Coquitlam",0,17,79,131,88,13,0,328,466
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 104","Port Coquitlam",1,11,66,140,75,15,0,308,456
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 105","Port Coquitlam",1,12,58,80,73,6,0,230,409
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 106","Port Coquitlam",2,13,54,113,84,13,1,280,479
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 107","Port Coquitlam",0,8,55,83,69,17,0,232,452
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 108","Port Coquitlam",2,9,75,77,79,19,1,262,447
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 109","Port Coquitlam",2,5,50,85,73,13,2,230,422
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 110","Port Coquitlam",0,12,56,84,81,12,1,246,488
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 111A","Port Coquitlam",2,5,43,58,36,13,0,157,301
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 111B","Port Coquitlam",1,5,47,53,40,11,1,158,281
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 112","Port Coquitlam",1,10,68,101,106,20,0,306,470
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 113","Port Coquitlam",3,12,64,91,96,9,1,276,429
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 114","Port Coquitlam",1,3,40,50,48,5,0,147,338
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 115","Port Coquitlam",0,12,40,63,58,9,0,182,381
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 116","Port Coquitlam",2,10,60,99,100,7,1,279,472
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 117","Port Coquitlam",0,11,58,61,83,13,0,226,474
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 118","Port Coquitlam",3,3,44,47,80,9,1,187,387
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 119","Port Coquitlam",2,7,50,59,94,11,1,224,471
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 120","Port Coquitlam",3,7,53,68,74,13,0,218,483
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 121","Port Coquitlam",1,6,29,46,40,8,0,130,323
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 122","Port Coquitlam",2,5,50,60,75,10,0,202,475
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 123","Port Coquitlam",1,11,61,106,128,16,1,324,484
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 124","Port Coquitlam",2,6,57,67,80,8,0,220,409
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 125","Port Coquitlam",2,6,72,91,42,26,2,241,479
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 126","Port Coquitlam",2,4,33,65,66,7,1,178,297
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 127","Port Coquitlam",2,7,63,69,89,13,1,244,456
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 128","Port Coquitlam",1,16,48,80,68,11,0,224,480
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 129","Port Coquitlam",1,8,46,103,91,23,0,272,451
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 130","Port Coquitlam",0,7,31,59,35,6,0,138,239
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 131","Port Coquitlam",1,12,31,75,35,19,0,173,252
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 132A","Port Coquitlam",1,11,85,130,69,17,1,314,493
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 132B","Port Coquitlam",2,13,89,105,52,14,1,276,462
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 133A","Port Coquitlam",0,8,63,70,55,8,0,204,349
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 133B","Port Coquitlam",2,7,55,73,40,8,0,185,326
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 134","Port Coquitlam",2,1,55,78,17,8,1,162,280
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 135","Port Coquitlam",0,5,29,91,40,8,0,173,266
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 136","Port Coquitlam",0,4,37,52,40,10,0,143,253
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 137A","Port Coquitlam",3,0,47,72,40,7,1,170,317
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 137B","Port Coquitlam",0,3,57,57,32,7,0,156,291
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 138","Port Coquitlam",2,14,62,98,86,13,1,276,494
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 139","Port Coquitlam",0,8,55,80,51,9,1,204,320
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 140","Port Coquitlam",1,5,79,124,100,12,0,321,496
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 141","Port Coquitlam",0,19,69,134,75,7,0,304,496
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 142","Port Coquitlam",0,4,38,69,45,9,0,165,261
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 143","Port Coquitlam",1,10,38,87,74,15,0,225,420
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 144","Port Coquitlam",4,7,53,52,89,6,2,213,395
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 145","Port Coquitlam",0,5,43,61,61,6,0,176,383
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 146","Port Coquitlam",1,8,38,42,63,7,1,160,314
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 147","Port Coquitlam",2,8,36,58,64,6,0,174,345
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 148","Port Coquitlam",0,6,54,64,35,4,0,163,310
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 149","Port Coquitlam",1,5,37,68,54,6,0,171,314
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 150","Port Coquitlam",1,12,25,63,53,8,0,162,339
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 151","Port Coquitlam",0,3,40,58,51,6,0,158,341
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 152","Port Coquitlam",0,16,49,55,74,4,1,199,359
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 153","Port Coquitlam",3,9,48,67,41,9,1,178,343
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 154","Port Coquitlam",2,7,38,47,42,0,0,136,222
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 155","Port Coquitlam",0,7,37,49,56,14,0,163,294
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 156","Port Coquitlam",1,4,35,37,22,11,0,110,255
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 157","Port Coquitlam",2,9,58,142,75,11,2,299,555
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 158","Port Coquitlam",0,17,63,87,109,13,1,290,501
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 159","Port Coquitlam",1,10,64,131,100,2,1,309,481
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 160","Port Coquitlam",2,4,79,98,64,13,1,261,489
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 161","Port Coquitlam",0,12,51,143,92,10,1,309,473
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 162","Port Coquitlam",2,15,59,94,102,5,1,278,483
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 163","Port Coquitlam",0,6,44,83,78,4,0,215,370
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 164","Port Coquitlam",1,4,80,119,32,4,0,240,399
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 165","Port Coquitlam",2,10,74,129,71,5,0,291,484
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 166","Port Coquitlam",1,9,76,118,59,9,1,273,460
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 167","Port Coquitlam",1,7,83,133,75,8,2,309,520
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 168","Port Coquitlam",0,6,67,155,53,9,1,291,431
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 169","Port Coquitlam",0,4,83,139,28,14,0,268,457
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 170","Port Coquitlam",0,3,83,146,68,21,1,322,459
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 171","Port Coquitlam",0,7,65,141,62,28,1,304,466
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 172","Port Coquitlam",0,8,59,130,41,14,0,252,434
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 173","Port Coquitlam",2,11,52,77,30,7,0,179,303
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 174","Port Coquitlam",1,8,104,135,48,14,0,310,462
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 175A","Port Coquitlam",2,7,59,116,12,12,0,208,356
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 175B","Port Coquitlam",0,4,61,83,31,3,1,183,313
"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 500","Mobile poll/Bureau itinérant",4,3,33,46,25,0,3,114,175
