Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ron Cannan,Kevin M. Hagglund,Vern Nielsen,Angela Reid,David Thomson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Kelowna--Lake Country/Kelowna--Lake Country"," 22","Kelowna",72,46,43,29,1,1,192,334
"Kelowna--Lake Country/Kelowna--Lake Country"," 23A","Kelowna",74,21,51,3,0,0,149,219
"Kelowna--Lake Country/Kelowna--Lake Country"," 23B","Kelowna",66,16,40,6,0,0,128,194
"Kelowna--Lake Country/Kelowna--Lake Country"," 24","Kelowna",174,47,86,19,1,1,328,597
"Kelowna--Lake Country/Kelowna--Lake Country"," 25A","Kelowna",63,11,35,10,0,1,120,206
"Kelowna--Lake Country/Kelowna--Lake Country"," 25B","Kelowna",65,16,35,7,0,0,123,206
"Kelowna--Lake Country/Kelowna--Lake Country"," 26A","Kelowna",86,28,52,11,0,2,179,297
"Kelowna--Lake Country/Kelowna--Lake Country"," 26B","Kelowna",119,26,35,11,1,0,192,322
"Kelowna--Lake Country/Kelowna--Lake Country"," 27","Kelowna",147,51,61,14,1,0,274,416
"Kelowna--Lake Country/Kelowna--Lake Country"," 28","Kelowna",111,43,62,16,0,0,232,404
"Kelowna--Lake Country/Kelowna--Lake Country"," 29","Kelowna",89,20,32,15,1,0,157,296
"Kelowna--Lake Country/Kelowna--Lake Country"," 30","Kelowna",129,62,74,22,0,1,288,592
"Kelowna--Lake Country/Kelowna--Lake Country"," 31A","Kelowna",42,19,38,12,0,0,111,200
"Kelowna--Lake Country/Kelowna--Lake Country"," 31B","Kelowna",59,14,39,7,1,0,120,231
"Kelowna--Lake Country/Kelowna--Lake Country"," 32A","Kelowna",43,14,40,9,1,0,107,255
"Kelowna--Lake Country/Kelowna--Lake Country"," 32B","Kelowna",58,28,38,16,0,0,140,279
"Kelowna--Lake Country/Kelowna--Lake Country"," 33","Kelowna",54,30,31,13,0,0,128,257
"Kelowna--Lake Country/Kelowna--Lake Country"," 34A","Kelowna",79,27,43,10,1,0,160,294
"Kelowna--Lake Country/Kelowna--Lake Country"," 34B","Kelowna",68,14,42,10,0,0,134,240
"Kelowna--Lake Country/Kelowna--Lake Country"," 35","Kelowna",177,79,76,26,0,1,359,570
"Kelowna--Lake Country/Kelowna--Lake Country"," 36","Kelowna",133,30,66,23,2,0,254,416
"Kelowna--Lake Country/Kelowna--Lake Country"," 37","Kelowna",128,50,66,18,0,0,262,482
"Kelowna--Lake Country/Kelowna--Lake Country"," 38","Kelowna",186,23,102,4,0,0,315,532
"Kelowna--Lake Country/Kelowna--Lake Country"," 39A","Kelowna",85,31,39,8,0,0,163,293
"Kelowna--Lake Country/Kelowna--Lake Country"," 39B","Kelowna",86,18,22,4,0,0,130,251
"Kelowna--Lake Country/Kelowna--Lake Country"," 40","Kelowna",192,70,101,26,0,0,389,720
"Kelowna--Lake Country/Kelowna--Lake Country"," 41","Kelowna",113,24,46,12,0,1,196,333
"Kelowna--Lake Country/Kelowna--Lake Country"," 42","Kelowna",108,46,52,14,1,3,224,380
"Kelowna--Lake Country/Kelowna--Lake Country"," 43A","Kelowna",106,26,58,7,1,1,199,331
"Kelowna--Lake Country/Kelowna--Lake Country"," 43B","Kelowna",98,22,37,13,0,0,170,296
"Kelowna--Lake Country/Kelowna--Lake Country"," 44","Kelowna",70,14,32,7,0,0,123,258
"Kelowna--Lake Country/Kelowna--Lake Country"," 45","Kelowna",92,45,65,17,1,0,220,468
"Kelowna--Lake Country/Kelowna--Lake Country"," 46","Kelowna",82,57,58,11,4,0,212,454
"Kelowna--Lake Country/Kelowna--Lake Country"," 47","Kelowna",113,59,75,13,2,0,262,539
"Kelowna--Lake Country/Kelowna--Lake Country"," 48","Kelowna",129,43,78,18,4,1,273,563
"Kelowna--Lake Country/Kelowna--Lake Country"," 49","Kelowna",147,64,81,27,1,1,321,597
"Kelowna--Lake Country/Kelowna--Lake Country"," 50A","Kelowna",38,16,32,11,0,0,97,216
"Kelowna--Lake Country/Kelowna--Lake Country"," 50B","Kelowna",46,15,33,10,0,0,104,221
"Kelowna--Lake Country/Kelowna--Lake Country"," 51","Kelowna",68,36,62,16,0,1,183,361
"Kelowna--Lake Country/Kelowna--Lake Country"," 52","Kelowna",48,37,39,26,0,0,150,333
"Kelowna--Lake Country/Kelowna--Lake Country"," 53","Kelowna",127,64,83,29,0,0,303,531
"Kelowna--Lake Country/Kelowna--Lake Country"," 54","Kelowna",140,57,88,38,2,0,325,472
"Kelowna--Lake Country/Kelowna--Lake Country"," 55","Kelowna",84,40,54,9,2,0,189,321
"Kelowna--Lake Country/Kelowna--Lake Country"," 56A","Kelowna",147,17,81,11,0,0,256,469
"Kelowna--Lake Country/Kelowna--Lake Country"," 56B","Kelowna",139,10,49,16,0,0,214,381
"Kelowna--Lake Country/Kelowna--Lake Country"," 57","Kelowna",110,28,58,18,0,0,214,400
"Kelowna--Lake Country/Kelowna--Lake Country"," 58","Kelowna",161,31,69,13,0,0,274,478
"Kelowna--Lake Country/Kelowna--Lake Country"," 59","Kelowna",99,48,72,22,2,1,244,471
"Kelowna--Lake Country/Kelowna--Lake Country"," 60","Kelowna",90,37,49,22,0,0,198,446
"Kelowna--Lake Country/Kelowna--Lake Country"," 61","Kelowna",75,19,25,9,0,1,129,323
"Kelowna--Lake Country/Kelowna--Lake Country"," 62","Kelowna",90,56,41,27,0,1,215,370
"Kelowna--Lake Country/Kelowna--Lake Country"," 63","Kelowna",51,41,34,28,3,0,157,318
"Kelowna--Lake Country/Kelowna--Lake Country"," 64","Kelowna",74,45,57,40,2,0,218,494
"Kelowna--Lake Country/Kelowna--Lake Country"," 65","Kelowna",73,43,51,15,0,0,182,346
"Kelowna--Lake Country/Kelowna--Lake Country"," 66","Kelowna",41,17,35,16,1,0,110,198
"Kelowna--Lake Country/Kelowna--Lake Country"," 67","Kelowna",65,52,37,24,0,1,179,310
"Kelowna--Lake Country/Kelowna--Lake Country"," 68","Kelowna",74,32,45,12,0,1,164,341
"Kelowna--Lake Country/Kelowna--Lake Country"," 69","Kelowna",87,42,70,17,1,0,217,488
"Kelowna--Lake Country/Kelowna--Lake Country"," 70","Kelowna",97,48,58,13,3,0,219,433
"Kelowna--Lake Country/Kelowna--Lake Country"," 71","Kelowna",81,46,26,18,0,0,171,350
"Kelowna--Lake Country/Kelowna--Lake Country"," 72","Kelowna",109,45,65,26,0,0,245,426
"Kelowna--Lake Country/Kelowna--Lake Country"," 73","Kelowna",99,45,53,17,1,1,216,451
"Kelowna--Lake Country/Kelowna--Lake Country"," 74","Kelowna",137,64,81,25,1,0,308,478
"Kelowna--Lake Country/Kelowna--Lake Country"," 75","Kelowna",136,61,69,26,1,0,293,577
"Kelowna--Lake Country/Kelowna--Lake Country"," 76A","Kelowna",92,17,57,10,0,0,176,326
"Kelowna--Lake Country/Kelowna--Lake Country"," 76B","Kelowna",48,19,45,9,0,0,121,267
"Kelowna--Lake Country/Kelowna--Lake Country"," 77","Kelowna",27,24,25,9,1,0,86,195
"Kelowna--Lake Country/Kelowna--Lake Country"," 78","Kelowna",57,54,28,19,2,0,160,332
"Kelowna--Lake Country/Kelowna--Lake Country"," 79","Kelowna",72,36,35,10,1,2,156,401
"Kelowna--Lake Country/Kelowna--Lake Country"," 80","Kelowna",44,47,35,8,2,0,136,324
"Kelowna--Lake Country/Kelowna--Lake Country"," 81","Kelowna",92,57,54,7,3,0,213,431
"Kelowna--Lake Country/Kelowna--Lake Country"," 82","Kelowna",132,49,73,19,0,1,274,485
"Kelowna--Lake Country/Kelowna--Lake Country"," 83","Kelowna",105,47,44,23,2,0,221,427
"Kelowna--Lake Country/Kelowna--Lake Country"," 84","Kelowna",89,36,42,13,0,0,180,424
"Kelowna--Lake Country/Kelowna--Lake Country"," 85","Kelowna",98,45,52,21,0,0,216,377
"Kelowna--Lake Country/Kelowna--Lake Country"," 86","Kelowna",137,53,60,14,1,0,265,488
"Kelowna--Lake Country/Kelowna--Lake Country"," 87","Kelowna",85,43,53,26,1,0,208,395
"Kelowna--Lake Country/Kelowna--Lake Country"," 88","Kelowna",50,32,52,21,1,1,157,338
"Kelowna--Lake Country/Kelowna--Lake Country"," 89","Kelowna",45,35,31,18,1,1,131,320
"Kelowna--Lake Country/Kelowna--Lake Country"," 90","Kelowna",74,43,60,33,1,0,211,392
"Kelowna--Lake Country/Kelowna--Lake Country"," 91","Kelowna",99,46,71,18,0,1,235,389
"Kelowna--Lake Country/Kelowna--Lake Country"," 92","Kelowna",55,54,35,16,0,0,160,330
"Kelowna--Lake Country/Kelowna--Lake Country"," 93","Kelowna",51,41,51,21,0,1,165,333
"Kelowna--Lake Country/Kelowna--Lake Country"," 94A","Kelowna",66,40,35,21,2,1,165,289
"Kelowna--Lake Country/Kelowna--Lake Country"," 94B","Kelowna",44,16,32,12,1,0,105,217
"Kelowna--Lake Country/Kelowna--Lake Country"," 95","Kelowna",53,43,50,26,2,1,175,372
"Kelowna--Lake Country/Kelowna--Lake Country"," 96","Kelowna",59,72,65,29,3,0,228,440
"Kelowna--Lake Country/Kelowna--Lake Country"," 97","Kelowna",101,56,79,23,0,0,259,430
"Kelowna--Lake Country/Kelowna--Lake Country"," 98","Kelowna",98,32,52,11,0,1,194,337
"Kelowna--Lake Country/Kelowna--Lake Country"," 99","Kelowna",57,31,37,13,1,1,140,242
"Kelowna--Lake Country/Kelowna--Lake Country"," 100","Kelowna",70,28,41,6,1,0,146,280
"Kelowna--Lake Country/Kelowna--Lake Country"," 101","Kelowna",46,30,27,22,3,0,128,262
"Kelowna--Lake Country/Kelowna--Lake Country"," 102","Kelowna",73,44,53,24,3,0,197,362
"Kelowna--Lake Country/Kelowna--Lake Country"," 103","Kelowna",115,45,56,18,0,0,234,471
"Kelowna--Lake Country/Kelowna--Lake Country"," 104A","Kelowna",146,35,77,17,0,0,275,457
"Kelowna--Lake Country/Kelowna--Lake Country"," 104B","Kelowna",101,29,69,14,1,1,215,373
"Kelowna--Lake Country/Kelowna--Lake Country"," 105","Kelowna",178,51,45,13,0,0,287,555
"Kelowna--Lake Country/Kelowna--Lake Country"," 106","Kelowna",73,52,57,21,1,1,205,453
"Kelowna--Lake Country/Kelowna--Lake Country"," 107A","Kelowna",67,39,40,9,0,0,155,324
"Kelowna--Lake Country/Kelowna--Lake Country"," 107B","Kelowna",71,29,16,12,0,0,128,280
"Kelowna--Lake Country/Kelowna--Lake Country"," 108","Kelowna",63,30,38,11,0,1,143,311
"Kelowna--Lake Country/Kelowna--Lake Country"," 109","Kelowna",106,46,53,16,1,2,224,418
"Kelowna--Lake Country/Kelowna--Lake Country"," 110","Kelowna",99,50,52,16,1,0,218,427
"Kelowna--Lake Country/Kelowna--Lake Country"," 111","Kelowna",118,61,51,14,1,0,245,465
"Kelowna--Lake Country/Kelowna--Lake Country"," 112","Kelowna",105,48,47,20,0,1,221,373
"Kelowna--Lake Country/Kelowna--Lake Country"," 113","Kelowna",98,41,38,14,0,0,191,407
"Kelowna--Lake Country/Kelowna--Lake Country"," 114","Kelowna",113,43,32,22,3,1,214,398
"Kelowna--Lake Country/Kelowna--Lake Country"," 115A","Kelowna",97,28,35,7,0,0,167,368
"Kelowna--Lake Country/Kelowna--Lake Country"," 115B","Kelowna",73,33,25,4,1,0,136,289
"Kelowna--Lake Country/Kelowna--Lake Country"," 116","Kelowna",107,46,42,15,2,0,212,403
"Kelowna--Lake Country/Kelowna--Lake Country"," 117A","Kelowna",77,21,50,16,0,0,164,309
"Kelowna--Lake Country/Kelowna--Lake Country"," 117B","Kelowna",72,19,34,9,0,1,135,278
"Kelowna--Lake Country/Kelowna--Lake Country"," 118","Kelowna",77,35,69,30,0,0,211,371
"Kelowna--Lake Country/Kelowna--Lake Country"," 119","Kelowna",61,74,70,19,1,0,225,487
"Kelowna--Lake Country/Kelowna--Lake Country"," 120","Kelowna",86,49,53,31,1,1,221,466
"Kelowna--Lake Country/Kelowna--Lake Country"," 121","Kelowna",100,33,41,16,0,0,190,337
"Kelowna--Lake Country/Kelowna--Lake Country"," 122","Kelowna",184,62,95,28,0,0,369,602
"Kelowna--Lake Country/Kelowna--Lake Country"," 123","Kelowna",170,30,88,20,3,0,311,462
"Kelowna--Lake Country/Kelowna--Lake Country"," 124","Kelowna",140,60,63,13,0,0,276,544
"Kelowna--Lake Country/Kelowna--Lake Country"," 125","Kelowna",144,31,68,18,1,0,262,450
"Kelowna--Lake Country/Kelowna--Lake Country"," 126","Kelowna",125,36,65,30,0,0,256,402
"Kelowna--Lake Country/Kelowna--Lake Country"," 127","Kelowna",106,43,47,18,3,0,217,440
"Kelowna--Lake Country/Kelowna--Lake Country"," 128","Kelowna",77,45,49,10,1,0,182,433
"Kelowna--Lake Country/Kelowna--Lake Country"," 129","Kelowna",116,51,41,17,1,1,227,473
"Kelowna--Lake Country/Kelowna--Lake Country"," 130","Kelowna",111,38,52,22,2,0,225,410
"Kelowna--Lake Country/Kelowna--Lake Country"," 131","Kelowna",117,53,71,18,1,0,260,444
"Kelowna--Lake Country/Kelowna--Lake Country"," 132","Kelowna",106,62,51,19,1,0,239,482
"Kelowna--Lake Country/Kelowna--Lake Country"," 133","Kelowna",94,42,77,16,5,0,234,418
"Kelowna--Lake Country/Kelowna--Lake Country"," 134","Kelowna",100,62,46,12,1,0,221,427
"Kelowna--Lake Country/Kelowna--Lake Country"," 135","Kelowna",98,39,30,18,2,0,187,384
"Kelowna--Lake Country/Kelowna--Lake Country"," 136","Kelowna",126,36,53,22,0,0,237,439
"Kelowna--Lake Country/Kelowna--Lake Country"," 137","Kelowna",73,43,47,18,0,1,182,337
"Kelowna--Lake Country/Kelowna--Lake Country"," 138","Kelowna",57,25,64,23,0,0,169,341
"Kelowna--Lake Country/Kelowna--Lake Country"," 139","Kelowna",22,7,13,4,0,0,46,136
"Kelowna--Lake Country/Kelowna--Lake Country"," 140","Kelowna",57,33,37,11,0,1,139,259
"Kelowna--Lake Country/Kelowna--Lake Country"," 141","Kelowna",41,15,43,11,0,0,110,222
"Kelowna--Lake Country/Kelowna--Lake Country"," 142","Kelowna",68,37,39,25,1,1,171,412
"Kelowna--Lake Country/Kelowna--Lake Country"," 143","Kelowna",99,61,53,23,2,0,238,460
"Kelowna--Lake Country/Kelowna--Lake Country"," 144","Kelowna",133,41,72,11,0,0,257,445
"Kelowna--Lake Country/Kelowna--Lake Country"," 145","Kelowna",106,17,58,4,0,2,187,323
"Kelowna--Lake Country/Kelowna--Lake Country"," 146","Kelowna",69,26,36,10,0,0,141,275
"Kelowna--Lake Country/Kelowna--Lake Country"," 147","Kelowna",106,25,50,10,0,0,191,288
"Kelowna--Lake Country/Kelowna--Lake Country"," 148","Kelowna",95,26,56,4,1,1,183,330
"Kelowna--Lake Country/Kelowna--Lake Country"," 149A","Kelowna",120,27,61,16,0,1,225,433
"Kelowna--Lake Country/Kelowna--Lake Country"," 149B","Kelowna",91,23,41,13,1,1,170,318
"Kelowna--Lake Country/Kelowna--Lake Country"," 150","Kelowna",81,23,52,17,0,0,173,332
"Kelowna--Lake Country/Kelowna--Lake Country"," 151","Kelowna",93,30,60,10,1,0,194,334
"Kelowna--Lake Country/Kelowna--Lake Country"," 152A","Kelowna",154,53,91,14,0,1,313,533
"Kelowna--Lake Country/Kelowna--Lake Country"," 152B","Mobile poll/Bureau itinérant",Merged with No. 156B/Fusionné avec le nº 156B,,,,,,,29
"Kelowna--Lake Country/Kelowna--Lake Country"," 153","Kelowna",40,43,49,16,0,2,150,311
"Kelowna--Lake Country/Kelowna--Lake Country"," 154","Kelowna",113,61,80,22,1,0,277,523
"Kelowna--Lake Country/Kelowna--Lake Country"," 155","Kelowna",157,35,36,15,1,0,244,394
"Kelowna--Lake Country/Kelowna--Lake Country"," 156A","Kelowna",141,41,78,30,0,2,292,516
"Kelowna--Lake Country/Kelowna--Lake Country"," 156B","Mobile poll/Bureau itinérant",33,8,26,2,0,1,70,56
"Kelowna--Lake Country/Kelowna--Lake Country"," 157","Kelowna",148,34,69,35,1,0,287,475
"Kelowna--Lake Country/Kelowna--Lake Country"," 158","Kelowna",110,30,94,17,0,0,251,458
"Kelowna--Lake Country/Kelowna--Lake Country"," 159","Kelowna",166,39,70,40,2,0,317,609
"Kelowna--Lake Country/Kelowna--Lake Country"," 160","Kelowna",120,47,62,24,1,1,255,457
"Kelowna--Lake Country/Kelowna--Lake Country"," 161A","Kelowna",122,40,34,22,0,2,220,352
"Kelowna--Lake Country/Kelowna--Lake Country"," 161B","Kelowna",92,26,29,13,0,0,160,295
"Kelowna--Lake Country/Kelowna--Lake Country"," 162A","Kelowna",90,21,30,10,1,0,152,279
"Kelowna--Lake Country/Kelowna--Lake Country"," 162B","Kelowna",84,19,26,18,1,0,148,242
"Kelowna--Lake Country/Kelowna--Lake Country"," 163","Kelowna",117,46,74,13,0,0,250,475
"Kelowna--Lake Country/Kelowna--Lake Country"," 164","Kelowna",88,38,54,9,1,0,190,422
"Kelowna--Lake Country/Kelowna--Lake Country"," 165","Kelowna",92,28,71,17,0,0,208,468
"Kelowna--Lake Country/Kelowna--Lake Country"," 166","Kelowna",89,26,51,13,1,2,182,344
"Kelowna--Lake Country/Kelowna--Lake Country"," 167","Kelowna",122,29,88,28,0,0,267,446
"Kelowna--Lake Country/Kelowna--Lake Country"," 168","Kelowna",156,28,97,24,0,0,305,512
"Kelowna--Lake Country/Kelowna--Lake Country"," 169","Kelowna",92,26,64,26,0,1,209,374
"Kelowna--Lake Country/Kelowna--Lake Country"," 170","Kelowna",76,16,35,20,0,0,147,263
"Kelowna--Lake Country/Kelowna--Lake Country"," 171","Kelowna",117,34,56,17,0,1,225,392
"Kelowna--Lake Country/Kelowna--Lake Country"," 172","Kelowna",125,44,58,33,1,0,261,476
"Kelowna--Lake Country/Kelowna--Lake Country"," 173","Kelowna",142,26,78,17,1,0,264,497
"Kelowna--Lake Country/Kelowna--Lake Country"," 174","Kelowna",102,47,54,31,0,0,234,424
"Kelowna--Lake Country/Kelowna--Lake Country"," 175","Kelowna",69,34,40,23,0,0,166,289
"Kelowna--Lake Country/Kelowna--Lake Country"," 176","Kelowna",123,27,74,27,1,0,252,438
"Kelowna--Lake Country/Kelowna--Lake Country"," 177A","Kelowna",83,35,55,25,1,0,199,316
"Kelowna--Lake Country/Kelowna--Lake Country"," 177B","Kelowna",85,14,32,16,0,0,147,272
"Kelowna--Lake Country/Kelowna--Lake Country"," 178A","Kelowna",137,17,58,21,2,0,235,419
"Kelowna--Lake Country/Kelowna--Lake Country"," 178B","Kelowna",117,21,51,10,1,0,200,357
"Kelowna--Lake Country/Kelowna--Lake Country"," 179","Kelowna",93,39,53,11,1,0,197,327
"Kelowna--Lake Country/Kelowna--Lake Country"," 180","Kelowna",193,44,88,28,0,0,353,501
"Kelowna--Lake Country/Kelowna--Lake Country"," 181","Kelowna",115,7,78,12,0,0,212,403
"Kelowna--Lake Country/Kelowna--Lake Country"," 182","Kelowna",154,27,96,21,0,1,299,539
"Kelowna--Lake Country/Kelowna--Lake Country"," 183","Kelowna",119,36,70,27,0,0,252,458
"Kelowna--Lake Country/Kelowna--Lake Country"," 184A","Kelowna",127,20,64,19,0,0,230,387
"Kelowna--Lake Country/Kelowna--Lake Country"," 184B","Kelowna",77,26,60,14,0,0,177,293
"Kelowna--Lake Country/Kelowna--Lake Country"," 185","Kelowna",53,23,36,10,0,0,122,187
"Kelowna--Lake Country/Kelowna--Lake Country"," 186A","Kelowna",173,41,95,37,2,0,348,560
"Kelowna--Lake Country/Kelowna--Lake Country"," 186B","Kelowna",187,25,82,27,2,0,323,502
"Kelowna--Lake Country/Kelowna--Lake Country"," 187","Kelowna",220,47,110,47,2,0,426,711
"Kelowna--Lake Country/Kelowna--Lake Country"," 188","Kelowna",148,49,78,30,0,0,305,519
"Kelowna--Lake Country/Kelowna--Lake Country"," 189A","Kelowna",106,22,49,14,0,0,191,311
"Kelowna--Lake Country/Kelowna--Lake Country"," 189B","Kelowna",69,23,48,16,1,1,158,269
"Kelowna--Lake Country/Kelowna--Lake Country"," 190","Oyama",66,49,59,13,0,0,187,300
"Kelowna--Lake Country/Kelowna--Lake Country"," 191","Oyama",112,42,59,35,0,0,248,400
"Kelowna--Lake Country/Kelowna--Lake Country"," 192","Winfield",115,58,64,29,1,0,267,490
"Kelowna--Lake Country/Kelowna--Lake Country"," 193","Winfield",76,44,37,13,1,0,171,339
"Kelowna--Lake Country/Kelowna--Lake Country"," 194","Winfield",114,46,51,36,1,0,248,479
"Kelowna--Lake Country/Kelowna--Lake Country"," 195","Ellison",76,24,33,7,0,0,140,307
"Kelowna--Lake Country/Kelowna--Lake Country"," 196","Ellison",99,15,41,21,5,0,181,333
"Kelowna--Lake Country/Kelowna--Lake Country"," 197","Ellison",158,43,66,18,2,0,287,460
"Kelowna--Lake Country/Kelowna--Lake Country"," 198","Ellison",112,41,62,24,0,0,239,390
"Kelowna--Lake Country/Kelowna--Lake Country"," 199","Ellison",129,68,69,18,0,0,284,453
"Kelowna--Lake Country/Kelowna--Lake Country"," 200A","Joe Rich",70,24,54,19,2,1,170,295
"Kelowna--Lake Country/Kelowna--Lake Country"," 200B","Joe Rich",89,42,33,16,1,0,181,306
"Kelowna--Lake Country/Kelowna--Lake Country"," 201","Joe Rich",61,18,29,11,0,0,119,201
"Kelowna--Lake Country/Kelowna--Lake Country"," 400","Kelowna",31,26,20,7,2,0,86,155
"Kelowna--Lake Country/Kelowna--Lake Country"," 500","Mobile poll/Bureau itinérant",41,17,23,1,5,0,87,143
"Kelowna--Lake Country/Kelowna--Lake Country"," 501","Mobile poll/Bureau itinérant",64,33,34,3,1,4,139,159
"Kelowna--Lake Country/Kelowna--Lake Country"," 502","Mobile poll/Bureau itinérant",23,10,18,3,4,1,59,104
"Kelowna--Lake Country/Kelowna--Lake Country"," 503","Mobile poll/Bureau itinérant",79,27,39,8,3,1,157,216
"Kelowna--Lake Country/Kelowna--Lake Country"," 504","Mobile poll/Bureau itinérant",57,15,25,2,2,1,102,172
"Kelowna--Lake Country/Kelowna--Lake Country"," 505","Mobile poll/Bureau itinérant",61,25,41,3,9,7,146,241
"Kelowna--Lake Country/Kelowna--Lake Country"," 506","Mobile poll/Bureau itinérant",58,17,26,11,3,0,115,134
"Kelowna--Lake Country/Kelowna--Lake Country"," 507","Mobile poll/Bureau itinérant",105,27,62,5,0,0,199,259
"Kelowna--Lake Country/Kelowna--Lake Country"," 508","Mobile poll/Bureau itinérant",63,46,55,7,2,0,173,229
"Kelowna--Lake Country/Kelowna--Lake Country"," 600","Oyama",401,86,153,37,2,0,679,
"Kelowna--Lake Country/Kelowna--Lake Country"," 601","Kelowna",429,45,181,26,0,0,681,
"Kelowna--Lake Country/Kelowna--Lake Country"," 602","Kelowna",175,33,64,10,0,0,282,
"Kelowna--Lake Country/Kelowna--Lake Country"," 603","Kelowna",209,63,98,25,0,1,396,
"Kelowna--Lake Country/Kelowna--Lake Country"," 604","Kelowna",366,63,186,31,2,3,651,
"Kelowna--Lake Country/Kelowna--Lake Country"," 605","Kelowna",372,105,143,22,3,1,646,
"Kelowna--Lake Country/Kelowna--Lake Country"," 606","Kelowna",303,74,167,28,0,0,572,
"Kelowna--Lake Country/Kelowna--Lake Country"," 607","Kelowna",374,90,123,14,3,1,605,
"Kelowna--Lake Country/Kelowna--Lake Country"," 608","Kelowna",449,50,216,40,1,0,756,
"Kelowna--Lake Country/Kelowna--Lake Country"," 609","Kelowna",432,64,193,34,1,1,725,
"Kelowna--Lake Country/Kelowna--Lake Country",,Group 1/Groupe 1,30,16,36,23,2,1,108,198
"Kelowna--Lake Country/Kelowna--Lake Country",,Group 2/Groupe 2,1347,201,564,91,5,22,2230,
