Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jerry Ackerman,Jeffrey Bogaerts,Helen Forsey,Mike Nickerson,Ernest Rathwell,Scott Reid,Geoff Turner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 74","Carleton Place",1,5,37,14,3,157,51,0,268,421
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 75","Carleton Place",1,4,34,12,0,140,37,0,228,379
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 76","Carleton Place",0,7,33,10,1,79,32,0,162,351
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 77","Carleton Place",1,0,37,21,2,138,31,0,230,451
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 78","Carleton Place",0,2,28,11,4,102,28,4,179,319
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 79","Carleton Place",0,2,24,12,1,107,31,2,179,313
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 80","Carleton Place",0,1,44,8,3,171,52,2,281,497
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 81","Carleton Place",0,0,39,12,3,145,33,1,233,422
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 82","Carleton Place",1,2,20,7,3,118,21,0,172,316
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 83","Carleton Place",2,6,26,6,5,89,27,0,161,328
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 84","Carleton Place",1,2,38,17,3,157,48,2,268,472
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 85","Carleton Place",0,3,33,8,1,124,28,1,198,379
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 86","Carleton Place",0,0,47,20,7,210,49,0,333,502
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 87","Carleton Place",0,3,24,17,3,111,41,1,200,331
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 88","Carleton Place",1,4,34,7,1,135,39,3,224,390
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 89","Smiths Falls",0,4,35,5,3,95,39,0,181,353
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 90","Smiths Falls",0,5,50,11,9,124,41,0,240,385
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 91","Smiths Falls",1,0,49,7,2,64,29,1,153,341
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 92","Smiths Falls",1,3,30,9,3,99,25,2,172,453
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 93","Smiths Falls",2,2,37,3,2,96,41,1,184,474
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 94","Smiths Falls",0,2,34,4,1,103,51,0,195,419
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 95","Smiths Falls",0,4,37,5,1,102,30,0,179,337
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 96","Smiths Falls",1,2,29,6,2,94,17,1,152,359
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 97","Smiths Falls",2,4,40,11,3,75,35,0,170,418
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 98","Smiths Falls",0,3,28,4,2,99,27,1,164,362
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 99","Smiths Falls",1,0,35,5,0,98,39,1,179,319
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 100","Smiths Falls",0,3,36,8,2,138,52,0,239,438
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 101","Smiths Falls",1,1,27,3,2,115,46,3,198,351
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 102","Smiths Falls",2,4,57,4,2,197,55,2,323,579
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 103","Smiths Falls",1,2,20,7,1,105,47,1,184,338
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 104","Smiths Falls",0,1,22,2,2,155,90,0,272,467
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 105","Smiths Falls",3,6,44,10,5,178,73,1,320,544
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 106","Perth",0,2,19,4,0,78,26,0,129,204
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 107","Perth",1,2,46,12,0,194,72,1,328,555
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 108","Perth",1,3,33,26,0,127,47,3,240,425
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 109","Perth",1,2,35,22,1,109,35,1,206,371
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 110","Perth",0,0,29,4,0,67,27,0,127,244
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 111","Perth",0,4,24,6,2,83,38,0,157,378
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 111-1","Perth",Void/Supprimé,,,,,,,,,
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 112","Perth",0,1,25,8,4,77,32,0,147,304
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 113","Perth",0,0,16,4,1,61,31,0,113,276
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 114","Perth",0,3,37,17,2,68,43,1,171,337
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 115","Perth",0,4,40,22,2,128,49,0,245,465
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 116","Perth",0,1,38,26,5,94,40,0,204,414
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 117","Perth",2,3,23,14,3,96,60,0,201,370
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 118","Perth",1,1,30,10,2,90,39,0,173,300
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 119","Perth",0,1,38,5,3,156,68,0,271,457
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 120","Sheffield",11,1,41,11,1,117,107,3,292,402
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 121","Sheffield",18,1,51,10,6,119,88,1,294,465
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 122","Sheffield",4,2,52,13,1,100,74,0,246,398
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 123","Camden East",10,0,25,7,1,82,56,2,183,253
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 124","Camden East",7,2,45,9,0,109,39,0,211,311
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 125","Camden East",2,2,42,6,0,105,57,0,214,323
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 126","Camden East",3,1,55,8,2,94,82,0,245,397
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 127","Camden East",5,3,50,9,2,83,51,0,203,312
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 128","Camden East",11,2,41,14,0,113,99,0,280,396
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 129","Camden East",0,2,53,16,7,92,60,1,231,360
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 130","Yarker",5,1,52,18,5,76,76,0,233,359
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 131","Camden East",8,0,31,21,0,66,74,0,200,284
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 132","Camden East",2,1,55,11,4,83,77,3,236,358
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 133","Newburgh",9,4,58,6,1,51,78,0,207,321
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 134","Newburgh",6,1,34,4,2,44,62,1,154,232
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 135","Camden East",1,2,12,5,0,45,35,0,100,186
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 136","Bedford",3,2,34,7,3,64,70,1,184,421
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 137","Bedford",5,2,36,27,1,118,69,1,259,458
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 138","Portland",5,1,34,11,3,57,34,0,145,254
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 139","Portland",3,6,46,19,1,140,79,2,296,506
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 140","Portland",1,2,34,5,4,70,41,0,157,245
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 141","Portland",0,0,17,13,0,95,47,0,172,269
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 142","Portland",8,1,50,39,6,133,86,0,323,604
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 143","Loughborough",1,1,33,9,1,56,47,0,148,321
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 144","Loughborough",0,8,94,31,2,145,113,3,396,603
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 145","Storrington",2,5,43,25,0,87,96,2,260,436
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 146","Storrington",0,1,30,9,1,64,59,0,164,259
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 147","Storrington",0,0,20,6,1,38,39,0,104,172
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 148","Loughborough",0,5,52,15,4,90,72,0,238,418
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 149","Loughborough",0,2,30,17,2,73,87,2,213,397
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 150","Loughborough",1,3,47,10,2,106,75,0,244,459
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 151","Loughborough",3,3,80,25,3,137,103,0,354,639
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 152","Loughborough",4,6,57,27,1,119,88,2,304,499
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 153","Portland",0,0,42,10,1,93,43,3,192,265
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 154","Portland",0,1,43,4,0,58,40,0,146,246
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 155","Portland",3,2,47,11,2,76,65,2,208,323
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 156","Portland",0,2,46,19,2,106,69,0,244,380
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 157","Portland",2,1,59,12,6,94,68,0,242,400
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 158","Portland",1,4,63,9,2,108,85,0,272,484
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 159","Loughborough",5,4,58,17,4,70,93,0,251,436
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 160","Loughborough",4,6,51,16,1,63,79,0,220,446
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 161","Loughborough",0,7,53,10,0,66,77,0,213,354
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 162","Storrington",1,3,48,24,1,85,82,1,245,401
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 163","Storrington",2,7,70,21,1,96,108,0,305,478
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 164","Storrington",1,7,55,21,1,105,115,0,305,545
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 165","Storrington",0,6,89,29,7,159,181,2,473,780
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 166","Storrington",1,9,59,12,2,85,77,0,245,407
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 167","Greater Napanee",0,2,42,8,1,137,49,1,240,380
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 168","Greater Napanee",3,3,35,5,4,123,58,0,231,388
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 169","Greater Napanee",1,3,46,5,1,114,79,2,251,406
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 170","Greater Napanee",0,2,30,2,1,101,51,2,189,358
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 171","Greater Napanee",1,4,53,10,0,147,59,0,274,610
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 172","Greater Napanee",1,4,39,11,2,85,57,1,200,340
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 173","Greater Napanee",3,2,71,16,6,69,70,1,238,408
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 174","Greater Napanee",0,4,29,9,1,89,72,0,204,340
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 175","Greater Napanee",1,0,40,15,2,84,74,0,216,294
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 176","Greater Napanee",2,3,52,6,2,114,82,3,264,527
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 177","Greater Napanee",1,4,26,7,1,67,66,1,173,275
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 178","Greater Napanee",4,4,54,11,4,66,70,0,213,403
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 179","Greater Napanee",2,1,30,10,3,73,37,0,156,358
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 180","Greater Napanee",1,1,17,11,1,27,15,0,73,237
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 181","Greater Napanee",0,3,34,7,1,90,76,1,212,477
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 182","Greater Napanee",2,1,35,9,2,52,48,0,149,358
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 183","Greater Napanee",1,3,39,3,1,65,62,0,174,366
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 184","Greater Napanee",0,1,44,5,3,60,48,0,161,315
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 185","Greater Napanee",4,3,29,8,1,58,58,2,163,354
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 186","Greater Napanee",1,3,23,8,0,68,59,2,164,331
"Lanark--Frontenac--Lennox and Addington/Lanark--Frontenac--Lennox and Addington"," 187","Greater Napanee",2,1,32,2,0,58,26,0,121,251
