Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rona Ambrose,Brad Enge,John Lackey,Jason Rockwell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 79A","Woodbend",188,25,17,9,0,239,352
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 79B","Woodbend",203,30,27,16,0,276,397
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 80","Edmonton",114,47,8,26,0,195,470
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 81","Edmonton",85,14,3,20,1,123,229
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 82","Edmonton",56,22,8,10,0,96,208
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 83","Edmonton",75,20,4,8,0,107,251
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 84","Edmonton",61,32,2,18,0,113,169
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 85","Edmonton",132,22,7,15,0,176,385
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 86A","Edmonton",101,21,7,14,0,143,312
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 86B","Edmonton",84,23,9,13,0,129,287
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 87","Edmonton",Merged with No. 84/Fusionné avec le nº 84,,,,,,5
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 88A","Edmonton",130,39,12,16,2,199,413
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 88B","Edmonton",169,46,15,16,0,246,466
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 88C","Edmonton",155,56,5,30,0,246,462
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 88D","Edmonton",174,36,11,17,0,238,476
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 88E","Edmonton",193,50,16,23,0,282,481
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 89","Edmonton",125,23,5,10,0,163,334
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 90","Edmonton",160,63,10,17,0,250,462
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 91","Edmonton",118,27,16,29,0,190,355
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 92A","Edmonton",130,42,12,21,1,206,457
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 92B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,61
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 93","Edmonton",140,43,18,31,0,232,449
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 94","Edmonton",155,67,16,39,0,277,523
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 95","Edmonton",145,55,14,33,0,247,386
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 96","Edmonton",145,45,9,16,1,216,370
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 97","Edmonton",133,52,14,30,0,229,448
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 98","Edmonton",105,35,11,26,1,178,407
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 99","Edmonton",114,56,9,33,1,213,428
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 100","Edmonton",76,39,11,35,0,161,391
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 101","Edmonton",202,68,17,34,1,322,500
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 102","Edmonton",197,74,21,36,0,328,580
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 103","Edmonton",112,60,8,27,1,208,488
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 104A","Edmonton",81,37,9,17,0,144,304
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 104B","Edmonton",65,28,7,11,1,112,278
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 105","Edmonton",91,25,12,14,0,142,332
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 106","Edmonton",137,49,12,23,1,222,478
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 107","Edmonton",96,56,6,29,0,187,333
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 108","Edmonton",70,46,6,21,1,144,298
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 109","Edmonton",94,31,4,26,0,155,250
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 110","Edmonton",160,50,20,37,1,268,501
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 111","Edmonton",132,78,11,27,2,250,473
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 112","Edmonton",178,59,11,29,1,278,550
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 113","Edmonton",86,41,15,26,0,168,401
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 114","Edmonton",140,53,14,38,2,247,479
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 115","Edmonton",148,56,23,34,0,261,453
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 116","Edmonton",140,47,22,20,3,232,398
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 117","Edmonton",118,54,7,40,1,220,426
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 118","Edmonton",61,43,6,25,0,135,451
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 119","Edmonton",128,49,14,21,0,212,406
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 120","Edmonton",121,77,11,36,0,245,420
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 121","Edmonton",84,44,13,30,1,172,335
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 122A","Edmonton",96,49,11,20,0,176,323
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 122B","Edmonton",84,26,10,28,0,148,287
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 123","Edmonton",105,48,18,30,0,201,435
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 124","Edmonton",82,39,22,26,1,170,429
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 125","Edmonton",35,15,4,9,0,63,246
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 126","Edmonton",119,57,9,31,1,217,426
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 127","Edmonton",152,48,16,23,0,239,400
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 128","Edmonton",149,59,13,32,2,255,453
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 129","Edmonton",174,35,15,41,0,265,418
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 130A","Edmonton",144,45,13,22,0,224,450
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 130B","Edmonton",143,46,11,36,1,237,431
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 130C","Edmonton",138,33,14,34,2,221,443
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 131","Edmonton",135,63,18,27,1,244,438
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 132","Edmonton",124,34,7,22,0,187,339
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 133","Edmonton",138,68,19,35,0,260,500
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 134","Edmonton",150,74,23,40,0,287,504
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 135A","Edmonton",143,63,11,36,0,253,494
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 135B","Edmonton",133,54,11,32,0,230,451
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 136","Edmonton",151,45,13,21,1,231,235
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 137","Edmonton",Merged with No. 136/Fusionné avec le nº 136,,,,,,173
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 138","Edmonton",197,66,21,43,0,327,502
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 139","Edmonton",152,51,10,21,0,234,345
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 140","Edmonton",114,39,9,17,0,179,314
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 141A","Edmonton",187,55,20,20,1,283,467
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 141B","Edmonton",222,49,14,31,0,316,511
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 141C","Edmonton",205,44,22,38,0,309,500
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 141D","Edmonton",180,63,17,16,0,276,436
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 141E","Edmonton",194,33,16,27,0,270,421
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 142","Edmonton",Merged with No. 143/Fusionné avec le nº 143,,,,,,215
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 143","Edmonton",194,43,11,29,0,277,255
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 144","Edmonton",91,23,20,41,0,175,372
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 145","Edmonton",58,33,14,28,0,133,326
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 146","Edmonton",71,37,13,26,2,149,351
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 147","Edmonton",170,63,12,23,0,268,478
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 148","Edmonton",203,62,10,24,0,299,531
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 149","Edmonton",165,46,19,35,0,265,484
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 150","Edmonton",163,56,13,41,0,273,452
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 151","Edmonton",177,47,19,29,0,272,431
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 152","Edmonton",231,85,26,25,2,369,534
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 153A","Edmonton",112,39,10,12,0,173,290
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 153B","Edmonton",118,40,17,26,0,201,343
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 154A","Edmonton",132,32,11,9,1,185,333
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 154B","Edmonton",128,60,8,9,0,205,365
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 155","Edmonton",194,72,5,25,0,296,462
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 156","Edmonton",152,64,19,28,0,263,446
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 157A","Edmonton",154,33,12,28,0,227,391
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 157B","Edmonton",155,68,9,22,0,254,373
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 158","Edmonton",148,43,10,12,0,213,369
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 159","Edmonton",144,46,7,22,0,219,409
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 160","Edmonton",104,38,8,13,0,163,283
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 161","Edmonton",210,60,13,23,0,306,579
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 162","Edmonton",124,53,13,41,0,231,432
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 163","Edmonton",133,80,21,32,0,266,472
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 164","Edmonton",170,45,7,39,0,261,452
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 165","Edmonton",87,41,14,28,0,170,352
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 166","Edmonton",74,44,15,32,0,165,361
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 167","Edmonton",137,40,11,32,0,220,399
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 168A","Edmonton",112,34,16,21,0,183,410
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 168B","Edmonton",90,34,10,24,0,158,413
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 169","Edmonton",103,39,6,30,2,180,405
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 170","Edmonton",92,46,22,39,0,199,594
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 171","Edmonton",127,49,23,27,0,226,584
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 172","Edmonton",79,39,11,14,0,143,225
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 173","Edmonton",Merged with No. 172/Fusionné avec le nº 172,,,,,,129
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 174A","Edmonton",90,36,11,19,0,156,371
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 174B","Edmonton",85,35,8,27,0,155,406
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 175","Edmonton",116,56,18,19,1,210,506
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 176","Edmonton",151,83,27,40,0,301,543
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 177","Edmonton",150,58,36,20,0,264,404
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 178","Edmonton",104,28,21,28,0,181,375
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 179","Edmonton",149,80,19,23,0,271,402
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 180","Edmonton",126,39,21,11,0,197,345
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 181","Edmonton",137,72,32,29,0,270,382
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 182","Edmonton",133,44,22,36,1,236,405
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 183","Edmonton",78,50,14,33,0,175,348
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 184","Edmonton",137,63,22,30,0,252,363
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 185","Edmonton",139,53,36,39,0,267,381
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 186","Edmonton",167,40,21,32,0,260,372
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 187","Edmonton",147,42,27,23,0,239,332
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 188","Edmonton",157,63,15,27,0,262,413
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 189","Edmonton",212,47,30,45,1,335,512
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 190","Edmonton",157,72,25,21,0,275,473
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 191","Edmonton",169,72,24,20,0,285,437
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 192","Edmonton",Merged with No. 193/Fusionné avec le nº 193,,,,,,204
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 193","Edmonton",202,53,16,17,0,288,255
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 194","Edmonton",183,71,16,12,0,282,490
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 400","Edmonton",62,25,2,9,0,98,131
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 500","Mobile poll/Bureau itinérant",60,13,4,4,1,82,136
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 501","Mobile poll/Bureau itinérant",64,16,2,8,1,91,45
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 600","Parkland County",185,15,11,16,1,228,
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 601","Stony Plain",691,61,27,63,1,843,
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 602","Spruce Grove",642,45,31,54,1,773,
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 603","Parkland County",475,55,26,45,0,601,
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 604","Parkland County--Stoney Plain 135",370,33,11,43,0,457,
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 605","Edmonton",465,122,14,40,1,642,
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 606","Edmonton",346,96,21,52,0,515,
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 607","Edmonton",222,81,11,30,0,344,
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 608","Edmonton",330,86,19,36,1,472,
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 609","Edmonton",404,141,20,54,0,619,
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 610","Edmonton",193,99,13,35,0,340,
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 611","Edmonton",121,38,9,10,0,178,
"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 612","Edmonton",142,50,4,11,0,207,
"Edmonton--Spruce Grove/Edmonton--Spruce Grove",,Group 1/Groupe 1,48,26,10,10,6,100,194
"Edmonton--Spruce Grove/Edmonton--Spruce Grove",,Group 2/Groupe 2,1024,226,52,104,20,1426,
