Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Barry Devolin,Andy Harjula,Anne MacDermid,Greg Walling,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 22B","Haliburton",61,7,36,39,1,144,341
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 23","Dysart and Others",107,14,41,60,2,224,390
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 24","Dysart and Others",136,10,38,69,1,254,462
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 25","Dysart and Others",132,6,43,57,1,239,391
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 26","Harburn",98,13,37,46,3,197,375
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 27","Harburn",44,0,11,33,1,89,169
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 28","Dysart and Others",81,15,25,77,0,198,315
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 29","Harcourt",146,9,46,97,0,298,474
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 30","Monmouth",170,14,42,91,1,318,496
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 31","Glamorgan",91,5,46,42,1,185,291
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 32","Monmouth",81,6,20,55,1,163,303
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 33","Cardiff",75,8,61,44,0,188,327
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 34","Cardiff",144,19,54,96,0,313,527
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 35","Chandos",72,9,35,31,0,147,262
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 36","Chandos",43,8,21,27,0,99,253
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 37","Burleigh and Anstruther",98,20,36,92,0,246,498
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 38","Burleigh and Anstruther",33,6,18,18,1,76,109
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 39","Burleigh and Anstruther",113,22,50,72,1,258,395
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 40","Harvey",155,28,72,113,1,369,623
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 41","Harvey",90,13,36,79,0,218,341
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 42","Harvey",135,13,63,85,0,296,443
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 43","Harvey",45,8,24,33,0,110,181
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 44","Harvey",125,14,52,84,2,277,492
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 45","Harvey",87,11,49,61,0,208,452
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 46","Harvey",70,17,23,45,0,155,314
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 47","Burleigh and Anstruther",84,11,24,27,0,146,259
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 48","Galway and Cavendish",54,9,19,34,0,116,216
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 49","Galway and Cavendish",130,13,45,88,2,278,470
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 50","Somerville",122,28,51,65,0,266,492
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 51A","Somerville",96,9,31,60,1,197,332
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 51B","Somerville",86,10,45,53,0,194,344
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 52","Somerville",154,16,42,91,0,303,549
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 53","Somerville",58,5,22,21,0,106,223
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 54","Bexley",54,4,32,28,2,120,235
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 55","Bexley",87,9,33,65,0,194,401
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 56","Bexley",124,12,34,68,1,239,459
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 57","Laxton, Digby and Longford",75,5,26,40,0,146,273
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 58","Laxton, Digby and Longford",77,8,35,38,0,158,331
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 59","Laxton, Digby and Longford",62,8,20,26,1,117,260
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 60","Dalton",102,18,32,49,0,201,347
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 61","Carden",127,11,25,98,1,262,442
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 62","Carden",70,6,22,28,0,126,295
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 63","Eldon",128,10,52,55,1,246,439
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 64","Eldon",115,14,57,76,0,262,441
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 65","Eldon",169,17,38,94,2,320,564
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 66","Brock",120,12,41,52,0,225,491
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 67","Brock",68,12,41,59,1,181,359
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 68","Beaverton",90,14,31,49,0,184,337
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 69","Beaverton",75,6,18,38,1,138,299
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 70A","Brock",52,13,36,50,0,151,341
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 70B","Brock",73,8,27,31,0,139,332
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 71","Beaverton",83,7,29,61,0,180,392
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 72","Beaverton",84,6,26,68,0,184,396
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 73","Brock",87,18,32,45,0,182,402
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 74","Brock",112,17,23,59,3,214,346
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 75","Cannington",115,24,58,73,0,270,459
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 76","Cannington",110,21,55,68,1,255,470
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 77","Cannington",99,12,63,64,1,239,402
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 78","Cannington",153,18,60,69,0,300,454
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 79","Brock",111,16,29,52,0,208,357
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 80","Brock",75,6,15,32,2,130,194
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 81","Manilla",91,4,29,28,0,152,259
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 82","Sunderland",172,13,60,85,1,331,505
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 83A","Sunderland",91,8,51,50,1,201,302
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 83B","Sunderland",90,5,46,59,0,200,304
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 84","Brock",165,27,66,100,1,359,534
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 85","Brock",163,16,46,81,0,306,433
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 86A","Mariposa",108,11,48,99,1,267,450
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 86B","Mariposa",123,15,48,55,0,241,420
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 87","Mariposa",125,15,30,62,0,232,402
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 88","Mariposa",119,17,52,48,0,236,423
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 89","Mariposa",101,16,49,61,1,228,387
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 90","Mariposa",147,15,78,119,1,360,588
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 91","Mariposa",60,7,32,31,0,130,217
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 92","Mariposa",183,20,68,74,0,345,573
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 93","Mariposa",176,9,50,94,0,329,583
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 94","Mariposa",211,19,68,109,0,407,626
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 95","Mariposa",118,19,39,73,1,250,427
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 96","Mariposa",217,6,46,57,0,326,599
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 97","Mariposa",174,12,76,113,0,375,613
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 98","Eldon",122,11,43,50,1,227,371
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 99","Eldon",115,15,37,60,0,227,426
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 100","Eldon",120,10,37,62,0,229,383
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 101","Fenelon",103,13,34,72,0,222,452
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 102","Fenelon",100,11,23,71,2,207,442
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 103","Fenelon",112,5,31,68,0,216,436
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 104","Fenelon",98,17,35,69,0,219,451
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 105","Fenelon Falls",101,14,52,76,0,243,488
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 106","Fenelon Falls",78,14,39,41,0,172,413
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 107","Fenelon Falls",103,12,24,78,1,218,418
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 108","Fenelon Falls",63,11,37,58,1,170,349
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 109","Verulam",167,27,49,75,1,319,525
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 110","Verulam",164,13,47,71,1,296,535
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 111","Bobcaygeon",133,18,63,88,2,304,581
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 112","Bobcaygeon",113,16,61,37,0,227,502
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 113","Bobcaygeon",104,10,39,93,0,246,457
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 114","Bobcaygeon",146,6,24,94,0,270,575
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 115A","Bobcaygeon",68,12,34,56,0,170,397
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 115B","Bobcaygeon",63,5,40,67,1,176,410
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 116","Verulam",92,10,34,55,0,191,337
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 117","Verulam",104,11,37,67,3,222,480
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 118","Fenelon",16,9,12,20,0,57,130
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 119","Fenelon",148,10,46,81,0,285,563
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 120","Fenelon",165,13,55,78,0,311,453
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 121","Fenelon",122,10,48,59,1,240,445
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 122","Fenelon",129,14,53,89,0,285,568
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 123","Fenelon",114,14,50,82,0,260,464
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 124","Fenelon",150,14,65,80,2,311,527
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 125","Verulam",142,14,74,73,1,304,548
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 126","Verulam",89,8,42,54,0,193,302
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 127","Verulam",73,6,37,49,0,165,338
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 128","Verulam",87,4,26,77,2,196,344
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 129","Emily",133,12,42,66,0,253,467
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 130","Emily",145,11,74,104,0,334,606
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 131","Emily",102,27,77,88,3,297,553
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 132","Emily",122,15,54,79,0,270,485
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 133","Emily",97,8,34,59,3,201,328
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 134","Emily",155,15,63,111,0,344,581
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 135","Emily",72,15,32,19,0,138,198
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 136","Emily",109,20,67,83,0,279,439
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 137","Emily",130,14,75,92,0,311,511
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 138","Omemee",100,16,57,57,0,230,386
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 139","Omemee",152,18,99,72,0,341,591
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 140","Emily",134,12,54,76,1,277,415
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 141","Emily",178,14,50,105,0,347,557
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 142","Ops",185,14,45,87,0,331,597
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 143","Ops",161,12,52,88,2,315,535
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 144","Ops",77,7,18,70,1,173,305
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 145","Ops",135,2,42,79,1,259,568
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 146","Ops",133,11,24,58,0,226,381
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 147","Ops",159,16,30,66,0,271,472
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 148A","Ops",79,7,27,54,0,167,354
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 148B","Ops",74,8,31,50,1,164,339
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 149","Manvers",104,14,63,73,0,254,402
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 150","Manvers",126,23,75,69,0,293,449
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 151","Manvers",117,9,47,62,2,237,357
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 152","Manvers",142,28,46,59,0,275,448
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 153","Manvers",148,30,94,119,0,391,590
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 154","Manvers",189,24,51,88,1,353,522
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 155","Manvers",87,12,42,41,0,182,275
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 156","Manvers",158,18,79,70,0,325,512
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 157","Manvers",147,11,67,65,1,291,461
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 158","Manvers",112,16,55,43,1,227,324
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 159","Lindsay",78,6,22,82,0,188,392
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 160","Lindsay",114,11,30,126,0,281,504
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 161","Lindsay",86,9,38,85,3,221,392
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 162","Lindsay",103,13,26,102,0,244,438
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 163","Lindsay",78,5,29,71,0,183,318
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 164","Lindsay",53,21,48,54,0,176,395
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 165","Lindsay",32,8,28,60,2,130,277
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 166","Lindsay",75,11,41,111,0,238,387
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 167","Lindsay",106,7,34,83,1,231,405
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 168","Lindsay",98,8,34,83,0,223,385
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 169","Lindsay",111,11,41,141,1,305,504
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 170","Lindsay",107,6,36,89,0,238,385
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 171","Lindsay",116,7,27,82,0,232,380
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 172","Lindsay",113,4,39,104,0,260,468
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 173","Lindsay",89,8,44,89,2,232,483
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 174A","Lindsay",79,8,27,60,0,174,343
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 174B","Lindsay",74,10,56,52,0,192,374
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 175","Lindsay",87,5,43,38,0,173,335
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 176","Lindsay",60,7,33,55,1,156,361
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 177","Lindsay",51,13,44,37,0,145,286
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 178","Lindsay",61,3,24,38,2,128,255
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 179","Lindsay",90,12,61,68,1,232,495
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 180","Lindsay",87,17,36,71,0,211,430
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 181","Lindsay",88,13,68,64,2,235,443
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 182","Lindsay",83,10,32,53,1,179,353
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 183","Lindsay",86,14,37,61,1,199,382
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 184","Lindsay",41,16,25,29,2,113,256
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 185","Lindsay",55,4,32,43,1,135,283
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 186","Lindsay",94,17,51,48,2,212,374
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 187","Lindsay",85,6,30,68,1,190,405
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 188","Lindsay",96,7,50,65,0,218,419
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 189","Lindsay",75,8,30,78,4,195,376
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 190A","Lindsay",111,6,39,69,0,225,370
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 190B","Lindsay",93,14,23,66,1,197,387
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 191","Lindsay",Void/Supprimé,,,,,,
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 192","Lindsay",80,21,47,50,3,201,330
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 193","Lindsay",53,10,36,22,0,121,262
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 194","Lindsay",78,11,56,51,0,196,384
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 195","Cavan",148,9,37,67,0,261,446
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 196","Cavan",130,15,55,63,0,263,433
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 197","Cavan",86,7,27,56,0,176,268
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 198","North Monaghan",104,8,30,79,4,225,346
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 199","North Monaghan",83,9,28,45,1,166,268
"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 200","North Monaghan",71,4,15,47,0,137,199
