Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diane Bourgeois,Martin Drapeau,Daniel Lebel,Michel Le Clair,Maxime Thériault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Terrebonne--Blainville/Terrebonne--Blainville"," 31A","Terrebonne",180,9,50,21,18,5,283,462
"Terrebonne--Blainville/Terrebonne--Blainville"," 31B","Terrebonne",145,11,61,20,30,2,269,458
"Terrebonne--Blainville/Terrebonne--Blainville"," 32A","Terrebonne",115,5,45,15,14,2,196,306
"Terrebonne--Blainville/Terrebonne--Blainville"," 32B","Terrebonne",120,19,38,24,20,0,221,320
"Terrebonne--Blainville/Terrebonne--Blainville"," 33","Terrebonne",199,14,62,16,33,6,330,511
"Terrebonne--Blainville/Terrebonne--Blainville"," 34","Terrebonne",167,3,40,11,10,4,235,443
"Terrebonne--Blainville/Terrebonne--Blainville"," 35","Terrebonne",216,9,42,22,17,3,309,458
"Terrebonne--Blainville/Terrebonne--Blainville"," 36","Terrebonne",124,10,31,10,23,5,203,346
"Terrebonne--Blainville/Terrebonne--Blainville"," 37","Terrebonne",137,13,44,13,30,7,244,365
"Terrebonne--Blainville/Terrebonne--Blainville"," 38","Terrebonne",214,9,43,17,21,4,308,439
"Terrebonne--Blainville/Terrebonne--Blainville"," 39","Terrebonne",175,10,53,18,18,6,280,390
"Terrebonne--Blainville/Terrebonne--Blainville"," 40","Terrebonne",153,16,36,12,13,3,233,393
"Terrebonne--Blainville/Terrebonne--Blainville"," 41","Terrebonne",189,19,58,20,35,8,329,588
"Terrebonne--Blainville/Terrebonne--Blainville"," 42","Terrebonne",147,10,43,19,24,6,249,359
"Terrebonne--Blainville/Terrebonne--Blainville"," 43","Terrebonne",194,17,61,30,18,5,325,452
"Terrebonne--Blainville/Terrebonne--Blainville"," 44","Terrebonne",172,18,61,17,17,4,289,430
"Terrebonne--Blainville/Terrebonne--Blainville"," 45","Terrebonne",82,6,12,11,8,2,121,161
"Terrebonne--Blainville/Terrebonne--Blainville"," 46","Terrebonne",222,24,55,27,15,4,347,495
"Terrebonne--Blainville/Terrebonne--Blainville"," 47A","Terrebonne",130,10,21,16,18,3,198,290
"Terrebonne--Blainville/Terrebonne--Blainville"," 47B","Terrebonne",135,9,18,12,19,4,197,299
"Terrebonne--Blainville/Terrebonne--Blainville"," 48A","Terrebonne",114,11,38,20,13,5,201,304
"Terrebonne--Blainville/Terrebonne--Blainville"," 48B","Terrebonne",119,12,31,19,15,2,198,307
"Terrebonne--Blainville/Terrebonne--Blainville"," 49","Terrebonne",100,6,29,10,9,2,156,253
"Terrebonne--Blainville/Terrebonne--Blainville"," 50","Terrebonne",93,8,36,13,4,5,159,262
"Terrebonne--Blainville/Terrebonne--Blainville"," 51","Terrebonne",167,5,49,19,29,3,272,394
"Terrebonne--Blainville/Terrebonne--Blainville"," 52","Terrebonne",173,20,48,19,19,4,283,404
"Terrebonne--Blainville/Terrebonne--Blainville"," 53","Terrebonne",154,10,48,27,14,3,256,375
"Terrebonne--Blainville/Terrebonne--Blainville"," 54A","Terrebonne",144,6,48,10,14,6,228,408
"Terrebonne--Blainville/Terrebonne--Blainville"," 54B","Terrebonne",139,13,44,12,19,5,232,420
"Terrebonne--Blainville/Terrebonne--Blainville"," 55","Terrebonne",55,5,24,4,11,2,101,157
"Terrebonne--Blainville/Terrebonne--Blainville"," 56","Terrebonne",183,9,66,15,22,6,301,407
"Terrebonne--Blainville/Terrebonne--Blainville"," 57","Terrebonne",120,12,40,18,17,2,209,367
"Terrebonne--Blainville/Terrebonne--Blainville"," 58","Terrebonne",114,3,35,20,24,2,198,338
"Terrebonne--Blainville/Terrebonne--Blainville"," 59","Terrebonne",96,6,27,3,23,3,158,413
"Terrebonne--Blainville/Terrebonne--Blainville"," 60","Terrebonne",96,3,25,7,28,3,162,280
"Terrebonne--Blainville/Terrebonne--Blainville"," 61","Terrebonne",114,12,46,17,18,0,207,311
"Terrebonne--Blainville/Terrebonne--Blainville"," 62","Terrebonne",74,6,24,8,19,6,137,265
"Terrebonne--Blainville/Terrebonne--Blainville"," 63","Terrebonne",137,9,33,13,28,4,224,423
"Terrebonne--Blainville/Terrebonne--Blainville"," 64","Terrebonne",144,8,44,17,25,4,242,406
"Terrebonne--Blainville/Terrebonne--Blainville"," 65","Terrebonne",107,4,23,4,15,7,160,267
"Terrebonne--Blainville/Terrebonne--Blainville"," 66","Terrebonne",130,12,25,8,20,5,200,413
"Terrebonne--Blainville/Terrebonne--Blainville"," 67","Terrebonne",102,3,48,18,16,1,188,319
"Terrebonne--Blainville/Terrebonne--Blainville"," 68","Terrebonne",149,6,44,16,15,9,239,440
"Terrebonne--Blainville/Terrebonne--Blainville"," 69","Terrebonne",156,12,57,15,22,3,265,376
"Terrebonne--Blainville/Terrebonne--Blainville"," 70","Terrebonne",80,5,21,4,10,0,120,225
"Terrebonne--Blainville/Terrebonne--Blainville"," 71","Terrebonne",143,12,28,17,12,6,218,377
"Terrebonne--Blainville/Terrebonne--Blainville"," 72","Terrebonne",130,8,44,9,24,7,222,366
"Terrebonne--Blainville/Terrebonne--Blainville"," 73","Terrebonne",172,5,41,14,25,8,265,421
"Terrebonne--Blainville/Terrebonne--Blainville"," 74","Terrebonne",138,11,33,7,14,9,212,511
"Terrebonne--Blainville/Terrebonne--Blainville"," 75","Terrebonne",172,9,41,14,23,6,265,505
"Terrebonne--Blainville/Terrebonne--Blainville"," 76","Terrebonne",107,9,21,12,14,4,167,372
"Terrebonne--Blainville/Terrebonne--Blainville"," 77","Terrebonne",114,18,24,17,18,3,194,331
"Terrebonne--Blainville/Terrebonne--Blainville"," 78","Terrebonne",134,18,44,15,21,6,238,440
"Terrebonne--Blainville/Terrebonne--Blainville"," 79","Terrebonne",133,10,70,22,28,4,267,431
"Terrebonne--Blainville/Terrebonne--Blainville"," 80","Terrebonne",192,10,63,24,18,6,313,556
"Terrebonne--Blainville/Terrebonne--Blainville"," 81","Terrebonne",124,11,28,12,16,4,195,353
"Terrebonne--Blainville/Terrebonne--Blainville"," 82","Terrebonne",137,15,42,15,8,4,221,418
"Terrebonne--Blainville/Terrebonne--Blainville"," 83","Terrebonne",192,18,74,26,22,0,332,579
"Terrebonne--Blainville/Terrebonne--Blainville"," 84","Terrebonne",163,9,38,18,14,1,243,379
"Terrebonne--Blainville/Terrebonne--Blainville"," 85","Terrebonne",181,13,46,11,22,3,276,444
"Terrebonne--Blainville/Terrebonne--Blainville"," 86","Terrebonne",225,12,54,27,21,6,345,562
"Terrebonne--Blainville/Terrebonne--Blainville"," 87","Terrebonne",147,5,41,18,20,4,235,385
"Terrebonne--Blainville/Terrebonne--Blainville"," 88","Terrebonne",174,20,57,24,29,3,307,502
"Terrebonne--Blainville/Terrebonne--Blainville"," 89","Terrebonne",162,12,37,26,12,6,255,389
"Terrebonne--Blainville/Terrebonne--Blainville"," 90","Terrebonne",242,19,70,36,39,3,409,591
"Terrebonne--Blainville/Terrebonne--Blainville"," 91","Terrebonne",138,9,53,22,24,6,252,390
"Terrebonne--Blainville/Terrebonne--Blainville"," 92A","Terrebonne",125,5,42,12,25,6,215,326
"Terrebonne--Blainville/Terrebonne--Blainville"," 92B","Terrebonne",137,6,35,16,27,10,231,351
"Terrebonne--Blainville/Terrebonne--Blainville"," 93","Terrebonne",212,16,69,23,26,8,354,565
"Terrebonne--Blainville/Terrebonne--Blainville"," 94A","Terrebonne",123,10,40,12,18,10,213,305
"Terrebonne--Blainville/Terrebonne--Blainville"," 94B","Terrebonne",105,10,33,26,17,4,195,313
"Terrebonne--Blainville/Terrebonne--Blainville"," 95","Terrebonne",49,0,11,6,9,2,77,119
"Terrebonne--Blainville/Terrebonne--Blainville"," 96A","Terrebonne",152,16,54,23,21,3,269,454
"Terrebonne--Blainville/Terrebonne--Blainville"," 96B","Terrebonne",188,5,52,20,28,2,295,488
"Terrebonne--Blainville/Terrebonne--Blainville"," 97","Terrebonne",174,12,52,28,22,3,291,538
"Terrebonne--Blainville/Terrebonne--Blainville"," 98A","Terrebonne",156,11,50,23,13,7,260,403
"Terrebonne--Blainville/Terrebonne--Blainville"," 98B","Terrebonne",163,13,48,21,12,2,259,438
"Terrebonne--Blainville/Terrebonne--Blainville"," 99","Terrebonne",109,4,34,15,15,5,182,318
"Terrebonne--Blainville/Terrebonne--Blainville"," 100","Terrebonne",156,8,33,19,22,6,244,416
"Terrebonne--Blainville/Terrebonne--Blainville"," 101","Terrebonne",108,6,40,3,15,7,179,338
"Terrebonne--Blainville/Terrebonne--Blainville"," 102","Terrebonne",148,12,48,18,15,5,246,420
"Terrebonne--Blainville/Terrebonne--Blainville"," 103","Terrebonne",188,13,39,8,20,4,272,516
"Terrebonne--Blainville/Terrebonne--Blainville"," 104","Blainville",161,19,41,18,19,1,259,477
"Terrebonne--Blainville/Terrebonne--Blainville"," 105","Blainville",134,5,84,23,33,5,284,494
"Terrebonne--Blainville/Terrebonne--Blainville"," 106","Blainville",162,21,109,17,28,7,344,490
"Terrebonne--Blainville/Terrebonne--Blainville"," 107","Blainville",184,26,66,33,22,1,332,536
"Terrebonne--Blainville/Terrebonne--Blainville"," 108","Blainville",111,12,72,21,24,2,242,389
"Terrebonne--Blainville/Terrebonne--Blainville"," 109A","Blainville",102,3,68,15,14,2,204,312
"Terrebonne--Blainville/Terrebonne--Blainville"," 109B","Blainville",86,12,69,13,12,1,193,322
"Terrebonne--Blainville/Terrebonne--Blainville"," 110A","Blainville",176,7,69,29,31,9,321,492
"Terrebonne--Blainville/Terrebonne--Blainville"," 110B","Blainville",178,12,82,22,31,4,329,511
"Terrebonne--Blainville/Terrebonne--Blainville"," 111A","Blainville",194,11,67,29,24,5,330,565
"Terrebonne--Blainville/Terrebonne--Blainville"," 111B","Blainville",186,14,56,22,23,5,306,545
"Terrebonne--Blainville/Terrebonne--Blainville"," 112A","Blainville",137,6,37,17,11,3,211,316
"Terrebonne--Blainville/Terrebonne--Blainville"," 112B","Blainville",128,1,43,22,12,2,208,332
"Terrebonne--Blainville/Terrebonne--Blainville"," 113","Blainville",135,15,51,17,17,1,236,363
"Terrebonne--Blainville/Terrebonne--Blainville"," 114A","Blainville",187,13,68,33,24,4,329,538
"Terrebonne--Blainville/Terrebonne--Blainville"," 114B","Blainville",192,8,58,36,23,5,322,499
"Terrebonne--Blainville/Terrebonne--Blainville"," 115","Blainville",187,17,64,33,18,6,325,506
"Terrebonne--Blainville/Terrebonne--Blainville"," 116","Blainville",149,14,47,21,17,2,250,424
"Terrebonne--Blainville/Terrebonne--Blainville"," 117","Blainville",150,12,52,22,20,2,258,366
"Terrebonne--Blainville/Terrebonne--Blainville"," 118","Blainville",158,10,46,28,21,4,267,431
"Terrebonne--Blainville/Terrebonne--Blainville"," 119","Blainville",187,9,52,24,23,4,299,492
"Terrebonne--Blainville/Terrebonne--Blainville"," 120","Blainville",160,2,49,13,19,4,247,355
"Terrebonne--Blainville/Terrebonne--Blainville"," 121","Blainville",170,23,57,18,16,4,288,476
"Terrebonne--Blainville/Terrebonne--Blainville"," 122","Blainville",149,11,40,25,23,8,256,423
"Terrebonne--Blainville/Terrebonne--Blainville"," 123","Blainville",176,6,49,25,23,7,286,528
"Terrebonne--Blainville/Terrebonne--Blainville"," 124","Blainville",124,7,37,18,25,5,216,354
"Terrebonne--Blainville/Terrebonne--Blainville"," 125","Blainville",120,16,48,21,17,1,223,352
"Terrebonne--Blainville/Terrebonne--Blainville"," 126","Blainville",117,11,47,28,23,10,236,395
"Terrebonne--Blainville/Terrebonne--Blainville"," 127","Blainville",138,10,40,7,17,4,216,395
"Terrebonne--Blainville/Terrebonne--Blainville"," 128","Blainville",69,6,26,5,10,2,118,225
"Terrebonne--Blainville/Terrebonne--Blainville"," 129","Blainville",196,16,53,29,28,6,328,441
"Terrebonne--Blainville/Terrebonne--Blainville"," 130","Blainville",129,3,32,17,13,3,197,329
"Terrebonne--Blainville/Terrebonne--Blainville"," 131","Blainville",128,7,44,14,6,5,204,369
"Terrebonne--Blainville/Terrebonne--Blainville"," 132","Blainville",120,11,70,21,19,3,244,380
"Terrebonne--Blainville/Terrebonne--Blainville"," 133","Blainville",114,6,29,14,7,7,177,327
"Terrebonne--Blainville/Terrebonne--Blainville"," 134","Blainville",128,7,46,20,29,12,242,434
"Terrebonne--Blainville/Terrebonne--Blainville"," 135","Blainville",158,12,48,12,26,4,260,421
"Terrebonne--Blainville/Terrebonne--Blainville"," 136","Blainville",171,14,61,24,24,6,300,549
"Terrebonne--Blainville/Terrebonne--Blainville"," 137","Blainville",141,8,49,11,22,2,233,409
"Terrebonne--Blainville/Terrebonne--Blainville"," 138","Blainville",145,11,54,26,26,5,267,467
"Terrebonne--Blainville/Terrebonne--Blainville"," 139","Blainville",160,14,80,43,38,7,342,508
"Terrebonne--Blainville/Terrebonne--Blainville"," 140","Blainville",159,15,32,20,21,5,252,422
"Terrebonne--Blainville/Terrebonne--Blainville"," 141","Blainville",163,10,56,42,19,7,297,466
"Terrebonne--Blainville/Terrebonne--Blainville"," 142","Blainville",158,11,59,32,10,1,271,439
"Terrebonne--Blainville/Terrebonne--Blainville"," 143","Blainville",164,10,62,35,27,4,302,458
"Terrebonne--Blainville/Terrebonne--Blainville"," 144A","Blainville",93,15,21,13,16,2,160,304
"Terrebonne--Blainville/Terrebonne--Blainville"," 144B","Blainville",118,5,28,10,19,3,183,318
"Terrebonne--Blainville/Terrebonne--Blainville"," 145","Blainville",109,10,36,21,10,3,189,331
"Terrebonne--Blainville/Terrebonne--Blainville"," 146","Blainville",96,6,49,18,14,3,186,332
"Terrebonne--Blainville/Terrebonne--Blainville"," 147","Blainville",160,17,50,32,34,6,299,526
"Terrebonne--Blainville/Terrebonne--Blainville"," 148","Blainville",101,15,41,13,13,3,186,371
"Terrebonne--Blainville/Terrebonne--Blainville"," 149","Blainville",122,11,43,13,28,8,225,414
"Terrebonne--Blainville/Terrebonne--Blainville"," 150","Blainville",115,4,26,9,16,3,173,311
"Terrebonne--Blainville/Terrebonne--Blainville"," 151","Blainville",117,6,25,14,17,4,183,313
"Terrebonne--Blainville/Terrebonne--Blainville"," 152","Blainville",133,11,30,23,15,3,215,377
"Terrebonne--Blainville/Terrebonne--Blainville"," 153","Blainville",101,7,46,12,29,2,197,294
"Terrebonne--Blainville/Terrebonne--Blainville"," 154","Blainville",83,12,27,12,19,1,154,282
"Terrebonne--Blainville/Terrebonne--Blainville"," 155A","Blainville",153,7,64,34,25,2,285,487
"Terrebonne--Blainville/Terrebonne--Blainville"," 155B","Blainville",128,10,55,17,27,5,242,467
"Terrebonne--Blainville/Terrebonne--Blainville"," 156A","Blainville",122,11,70,9,38,6,256,382
"Terrebonne--Blainville/Terrebonne--Blainville"," 156B","Blainville",107,5,80,14,36,1,243,399
"Terrebonne--Blainville/Terrebonne--Blainville"," 156C","Blainville",99,13,57,13,55,1,238,387
"Terrebonne--Blainville/Terrebonne--Blainville"," 157","Blainville",126,11,91,29,25,3,285,450
"Terrebonne--Blainville/Terrebonne--Blainville"," 158A","Blainville",83,7,49,20,20,2,181,308
"Terrebonne--Blainville/Terrebonne--Blainville"," 158B","Blainville",99,19,44,25,21,0,208,327
"Terrebonne--Blainville/Terrebonne--Blainville"," 159A","Blainville",113,6,96,14,44,2,275,403
"Terrebonne--Blainville/Terrebonne--Blainville"," 159B","Blainville",88,19,96,23,44,2,272,428
"Terrebonne--Blainville/Terrebonne--Blainville"," 160","Blainville",171,25,143,30,48,4,421,600
"Terrebonne--Blainville/Terrebonne--Blainville"," 161","Blainville",118,68,37,18,8,1,250,376
"Terrebonne--Blainville/Terrebonne--Blainville"," 162","Blainville",165,10,66,14,17,2,274,387
"Terrebonne--Blainville/Terrebonne--Blainville"," 163A","Blainville",65,9,69,15,34,1,193,301
"Terrebonne--Blainville/Terrebonne--Blainville"," 163B","Blainville",73,10,77,22,40,4,226,340
"Terrebonne--Blainville/Terrebonne--Blainville"," 164","Blainville",107,6,34,24,8,4,183,292
"Terrebonne--Blainville/Terrebonne--Blainville"," 165A","Blainville",122,11,50,6,17,5,211,293
"Terrebonne--Blainville/Terrebonne--Blainville"," 165B","Blainville",116,16,50,10,16,4,212,313
"Terrebonne--Blainville/Terrebonne--Blainville"," 166","Blainville",113,13,36,9,22,4,197,340
"Terrebonne--Blainville/Terrebonne--Blainville"," 167","Blainville",155,16,54,19,19,6,269,368
"Terrebonne--Blainville/Terrebonne--Blainville"," 168","Blainville",148,8,53,24,27,5,265,413
"Terrebonne--Blainville/Terrebonne--Blainville"," 169","Blainville",114,5,40,17,20,2,198,334
"Terrebonne--Blainville/Terrebonne--Blainville"," 600","Sainte-Anne-des-Plaines",335,20,126,25,75,4,585,
"Terrebonne--Blainville/Terrebonne--Blainville"," 601","Terrebonne",275,20,131,22,53,17,518,
"Terrebonne--Blainville/Terrebonne--Blainville"," 602","Terrebonne",291,14,108,41,64,12,530,
"Terrebonne--Blainville/Terrebonne--Blainville"," 603","Terrebonne",224,10,95,28,46,5,408,
"Terrebonne--Blainville/Terrebonne--Blainville"," 604","Terrebonne",145,5,55,16,31,3,255,
"Terrebonne--Blainville/Terrebonne--Blainville"," 605","Blainville",355,27,170,39,67,13,671,
"Terrebonne--Blainville/Terrebonne--Blainville"," 606","Blainville",354,18,140,36,92,2,642,
"Terrebonne--Blainville/Terrebonne--Blainville"," 607","Blainville",181,17,122,17,42,2,381,
"Terrebonne--Blainville/Terrebonne--Blainville",,Group 1/Groupe 1,25,2,17,6,14,3,67,117
"Terrebonne--Blainville/Terrebonne--Blainville",,Group 2/Groupe 2,454,16,49,109,171,39,838,
