Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alexander T. Bussmann,Roy Cullen,Anna Di Carlo,George Jan Havlovic,Amanjit Singh Khroad,Ali Naqvi,George Szebik,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Etobicoke North/Etobicoke-Nord"," 409","Etobicoke",Void/Supprimé,,,,,,,,,
"Etobicoke North/Etobicoke-Nord"," 410","Etobicoke",0,71,2,0,10,8,0,1,92,189
"Etobicoke North/Etobicoke-Nord"," 411","Etobicoke",Void/Supprimé,,,,,,,,,
"Etobicoke North/Etobicoke-Nord"," 412","Etobicoke",3,56,1,5,23,16,1,1,106,242
"Etobicoke North/Etobicoke-Nord"," 413","Etobicoke",0,122,2,39,31,116,0,0,310,318
"Etobicoke North/Etobicoke-Nord"," 414","Etobicoke",3,82,0,5,36,24,1,1,152,213
"Etobicoke North/Etobicoke-Nord"," 415","Etobicoke",0,67,0,4,20,20,1,0,112,306
"Etobicoke North/Etobicoke-Nord"," 416","Etobicoke",0,45,0,4,17,18,0,1,85,272
"Etobicoke North/Etobicoke-Nord"," 417","Etobicoke",0,73,0,1,8,7,0,1,90,198
"Etobicoke North/Etobicoke-Nord"," 418","Etobicoke",2,61,0,2,48,2,0,1,116,236
"Etobicoke North/Etobicoke-Nord"," 419","Etobicoke",0,65,1,5,37,10,0,1,119,247
"Etobicoke North/Etobicoke-Nord"," 420","Etobicoke",3,208,2,0,31,34,2,2,282,588
"Etobicoke North/Etobicoke-Nord"," 421","Etobicoke",1,79,2,0,26,12,1,1,122,235
"Etobicoke North/Etobicoke-Nord"," 422","Etobicoke",4,205,0,2,50,41,3,0,305,664
"Etobicoke North/Etobicoke-Nord"," 423","Etobicoke",0,234,0,3,26,30,1,2,296,680
"Etobicoke North/Etobicoke-Nord"," 424","Etobicoke",1,79,0,1,30,10,2,1,124,269
"Etobicoke North/Etobicoke-Nord"," 425","Etobicoke",1,209,3,6,40,23,2,1,285,586
"Etobicoke North/Etobicoke-Nord"," 600","Etobicoke",2,459,6,11,215,39,7,3,742,
"Etobicoke North/Etobicoke-Nord"," 601","Etobicoke",11,551,1,10,182,54,4,7,820,
"Etobicoke North/Etobicoke-Nord"," 602","Etobicoke",4,289,4,15,158,33,3,4,510,
"Etobicoke North/Etobicoke-Nord"," 603","Etobicoke",5,189,0,8,105,32,2,1,342,
"Etobicoke North/Etobicoke-Nord"," 604","Etobicoke",18,245,2,14,196,53,6,4,538,
"Etobicoke North/Etobicoke-Nord"," 605","Etobicoke",19,325,2,11,187,35,5,9,593,
"Etobicoke North/Etobicoke-Nord",,Group 1/Groupe 1,5,26,0,1,5,6,1,4,48,78
"Etobicoke North/Etobicoke-Nord",,Group 2/Groupe 2,16,348,1,14,136,48,4,16,583,
