Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Simon-Pierre Beaudet,Jean Bédard,Sylvie Boucher,Mario Laprise,Yves Picard,Christian Simard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Beauport--Limoilou/Beauport--Limoilou"," 24","Beauport",10,0,62,3,3,46,0,124,228
"Beauport--Limoilou/Beauport--Limoilou"," 25","Beauport",16,1,88,8,8,67,3,191,353
"Beauport--Limoilou/Beauport--Limoilou"," 26","Beauport",12,0,84,8,13,52,7,176,298
"Beauport--Limoilou/Beauport--Limoilou"," 27A","Beauport",14,0,99,3,9,67,1,193,332
"Beauport--Limoilou/Beauport--Limoilou"," 27B","Beauport",8,1,89,7,12,59,3,179,337
"Beauport--Limoilou/Beauport--Limoilou"," 28","Beauport",15,0,91,5,7,66,1,185,325
"Beauport--Limoilou/Beauport--Limoilou"," 29","Beauport",18,0,106,11,14,77,7,233,386
"Beauport--Limoilou/Beauport--Limoilou"," 30","Beauport",18,1,84,12,11,56,6,188,343
"Beauport--Limoilou/Beauport--Limoilou"," 31A","Beauport",23,0,100,5,19,114,4,265,434
"Beauport--Limoilou/Beauport--Limoilou"," 31B","Mobile poll/Bureau itinérant",Merged with No. 201C/Fusionné avec le nº 201C,,,,,,,,29
"Beauport--Limoilou/Beauport--Limoilou"," 32","Beauport",21,0,166,11,16,132,2,348,564
"Beauport--Limoilou/Beauport--Limoilou"," 33","Beauport",16,0,137,5,10,90,2,260,432
"Beauport--Limoilou/Beauport--Limoilou"," 34","Beauport",19,0,107,8,11,81,0,226,436
"Beauport--Limoilou/Beauport--Limoilou"," 35","Beauport",20,2,135,7,13,110,3,290,515
"Beauport--Limoilou/Beauport--Limoilou"," 36","Beauport",17,0,75,7,5,67,1,172,319
"Beauport--Limoilou/Beauport--Limoilou"," 37","Beauport",14,2,108,4,15,79,1,223,412
"Beauport--Limoilou/Beauport--Limoilou"," 38","Beauport",20,0,133,8,13,106,4,284,468
"Beauport--Limoilou/Beauport--Limoilou"," 39","Beauport",27,0,127,5,22,92,5,278,437
"Beauport--Limoilou/Beauport--Limoilou"," 40","Beauport",2,0,46,5,7,41,1,102,223
"Beauport--Limoilou/Beauport--Limoilou"," 41","Beauport",18,0,93,12,6,51,0,180,351
"Beauport--Limoilou/Beauport--Limoilou"," 42","Beauport",12,1,113,7,9,89,1,232,432
"Beauport--Limoilou/Beauport--Limoilou"," 43A","Beauport",13,0,90,5,5,45,0,158,285
"Beauport--Limoilou/Beauport--Limoilou"," 43B","Beauport",17,0,70,8,7,89,2,193,320
"Beauport--Limoilou/Beauport--Limoilou"," 44","Beauport",17,0,110,12,15,85,2,241,443
"Beauport--Limoilou/Beauport--Limoilou"," 45","Beauport",20,0,110,9,6,91,1,237,392
"Beauport--Limoilou/Beauport--Limoilou"," 46","Beauport",16,0,137,7,13,86,5,264,499
"Beauport--Limoilou/Beauport--Limoilou"," 47A","Beauport",12,0,74,10,8,70,2,176,308
"Beauport--Limoilou/Beauport--Limoilou"," 47B","Beauport",14,2,74,3,8,78,1,180,304
"Beauport--Limoilou/Beauport--Limoilou"," 48","Beauport",15,1,124,6,10,83,1,240,425
"Beauport--Limoilou/Beauport--Limoilou"," 49","Beauport",13,1,130,11,14,97,0,266,408
"Beauport--Limoilou/Beauport--Limoilou"," 50","Beauport",20,1,76,4,19,51,3,174,266
"Beauport--Limoilou/Beauport--Limoilou"," 51","Beauport",17,4,73,20,20,65,1,200,353
"Beauport--Limoilou/Beauport--Limoilou"," 52","Beauport",22,0,134,8,20,64,4,252,370
"Beauport--Limoilou/Beauport--Limoilou"," 53A","Beauport",20,0,76,5,13,57,1,172,370
"Beauport--Limoilou/Beauport--Limoilou"," 53B","Mobile poll/Bureau itinérant",Merged with No. 106C/Fusionné avec le nº 106C,,,,,,,,46
"Beauport--Limoilou/Beauport--Limoilou"," 54","Beauport",9,1,67,5,6,46,1,135,233
"Beauport--Limoilou/Beauport--Limoilou"," 55","Beauport",18,1,74,4,19,98,5,219,423
"Beauport--Limoilou/Beauport--Limoilou"," 56","Beauport",9,1,130,12,15,94,2,263,444
"Beauport--Limoilou/Beauport--Limoilou"," 57","Beauport",26,0,91,11,13,77,2,220,385
"Beauport--Limoilou/Beauport--Limoilou"," 58","Beauport",11,2,52,10,22,71,2,170,311
"Beauport--Limoilou/Beauport--Limoilou"," 59A","Beauport",19,0,56,7,14,67,3,166,300
"Beauport--Limoilou/Beauport--Limoilou"," 59B","Mobile poll/Bureau itinérant",Merged with No. 188B/Fusionné avec le nº 188B,,,,,,,,29
"Beauport--Limoilou/Beauport--Limoilou"," 59C","Mobile poll/Bureau itinérant",Merged with No. 188B/Fusionné avec le nº 188B,,,,,,,,30
"Beauport--Limoilou/Beauport--Limoilou"," 60","Beauport",16,1,51,8,15,78,0,169,407
"Beauport--Limoilou/Beauport--Limoilou"," 61","Beauport",8,1,82,8,23,74,2,198,365
"Beauport--Limoilou/Beauport--Limoilou"," 62","Beauport",14,1,75,8,21,63,3,185,427
"Beauport--Limoilou/Beauport--Limoilou"," 63","Beauport",20,0,77,4,24,56,1,182,328
"Beauport--Limoilou/Beauport--Limoilou"," 64","Beauport",12,0,81,8,8,71,0,180,278
"Beauport--Limoilou/Beauport--Limoilou"," 65","Beauport",10,0,68,4,16,55,1,154,272
"Beauport--Limoilou/Beauport--Limoilou"," 66A","Beauport",14,0,143,4,11,80,2,254,472
"Beauport--Limoilou/Beauport--Limoilou"," 66B","Beauport",8,0,73,3,7,57,2,150,289
"Beauport--Limoilou/Beauport--Limoilou"," 66C","Beauport",13,0,106,5,4,78,3,209,385
"Beauport--Limoilou/Beauport--Limoilou"," 66D","Mobile poll/Bureau itinérant",Merged with No. 201C/Fusionné avec le nº 201C,,,,,,,,20
"Beauport--Limoilou/Beauport--Limoilou"," 67","Beauport",12,0,124,7,48,103,3,297,480
"Beauport--Limoilou/Beauport--Limoilou"," 68A","Beauport",12,0,38,6,11,52,2,121,265
"Beauport--Limoilou/Beauport--Limoilou"," 68B","Mobile poll/Bureau itinérant",Merged with No. 188B/Fusionné avec le nº 188B,,,,,,,,33
"Beauport--Limoilou/Beauport--Limoilou"," 69A","Beauport",19,0,105,4,12,72,2,214,380
"Beauport--Limoilou/Beauport--Limoilou"," 69B","Beauport",8,0,69,6,6,47,1,137,249
"Beauport--Limoilou/Beauport--Limoilou"," 70A","Beauport",10,0,51,3,11,56,2,133,274
"Beauport--Limoilou/Beauport--Limoilou"," 70B","Beauport",7,0,110,9,32,62,2,222,417
"Beauport--Limoilou/Beauport--Limoilou"," 71","Beauport",6,0,103,3,10,73,2,197,381
"Beauport--Limoilou/Beauport--Limoilou"," 72","Beauport",14,0,111,7,14,73,3,222,500
"Beauport--Limoilou/Beauport--Limoilou"," 73","Beauport",15,1,133,8,17,109,6,289,566
"Beauport--Limoilou/Beauport--Limoilou"," 74","Beauport",16,3,103,6,23,65,1,217,326
"Beauport--Limoilou/Beauport--Limoilou"," 75","Beauport",19,2,102,15,11,73,0,222,318
"Beauport--Limoilou/Beauport--Limoilou"," 76","Beauport",19,0,100,3,20,77,1,220,340
"Beauport--Limoilou/Beauport--Limoilou"," 77","Beauport",3,1,90,5,149,5,0,253,385
"Beauport--Limoilou/Beauport--Limoilou"," 78","Beauport",9,0,96,12,14,61,1,193,313
"Beauport--Limoilou/Beauport--Limoilou"," 79A","Beauport",17,0,81,7,6,69,2,182,333
"Beauport--Limoilou/Beauport--Limoilou"," 79B","Mobile poll/Bureau itinérant",Merged with No. 106C/Fusionné avec le nº 106C,,,,,,,,29
"Beauport--Limoilou/Beauport--Limoilou"," 79C","Mobile poll/Bureau itinérant",Merged with No. 106C/Fusionné avec le nº 106C,,,,,,,,36
"Beauport--Limoilou/Beauport--Limoilou"," 80","Beauport",6,1,85,4,27,27,3,153,228
"Beauport--Limoilou/Beauport--Limoilou"," 81","Beauport",12,5,76,7,39,60,4,203,424
"Beauport--Limoilou/Beauport--Limoilou"," 82","Beauport",6,1,75,3,12,39,3,139,295
"Beauport--Limoilou/Beauport--Limoilou"," 83","Beauport",11,1,82,8,29,70,1,202,480
"Beauport--Limoilou/Beauport--Limoilou"," 84","Beauport",17,0,99,5,16,64,3,204,424
"Beauport--Limoilou/Beauport--Limoilou"," 85","Beauport",9,6,38,5,52,34,6,150,256
"Beauport--Limoilou/Beauport--Limoilou"," 86A","Beauport",12,0,57,3,15,56,2,145,307
"Beauport--Limoilou/Beauport--Limoilou"," 86B","Mobile poll/Bureau itinérant",Merged with No. 201C/Fusionné avec le nº 201C,,,,,,,,45
"Beauport--Limoilou/Beauport--Limoilou"," 87","Beauport",17,1,106,7,24,98,7,260,426
"Beauport--Limoilou/Beauport--Limoilou"," 88","Beauport",19,0,85,10,22,74,3,213,372
"Beauport--Limoilou/Beauport--Limoilou"," 89A","Beauport",21,2,95,9,23,97,6,253,490
"Beauport--Limoilou/Beauport--Limoilou"," 89B","Mobile poll/Bureau itinérant",Merged with No. 96B/Fusionné avec le nº 96B,,,,,,,,44
"Beauport--Limoilou/Beauport--Limoilou"," 90","Beauport",18,0,77,8,29,74,1,207,411
"Beauport--Limoilou/Beauport--Limoilou"," 91","Beauport",6,1,97,6,17,80,0,207,460
"Beauport--Limoilou/Beauport--Limoilou"," 92","Beauport",9,1,69,9,17,48,3,156,335
"Beauport--Limoilou/Beauport--Limoilou"," 93","Beauport",9,0,61,7,14,87,4,182,392
"Beauport--Limoilou/Beauport--Limoilou"," 94","Beauport",12,1,69,14,18,65,5,184,400
"Beauport--Limoilou/Beauport--Limoilou"," 95","Beauport",25,1,85,13,21,67,5,217,375
"Beauport--Limoilou/Beauport--Limoilou"," 96A","Beauport",9,0,37,7,13,22,0,88,182
"Beauport--Limoilou/Beauport--Limoilou"," 96B","Mobile poll/Bureau itinérant",6,6,40,8,44,21,3,128,132
"Beauport--Limoilou/Beauport--Limoilou"," 96C","Mobile poll/Bureau itinérant",Merged with No. 96B/Fusionné avec le nº 96B,,,,,,,,62
"Beauport--Limoilou/Beauport--Limoilou"," 96D","Mobile poll/Bureau itinérant",Merged with No. 96B/Fusionné avec le nº 96B,,,,,,,,64
"Beauport--Limoilou/Beauport--Limoilou"," 97","Beauport",4,0,66,3,18,66,3,160,321
"Beauport--Limoilou/Beauport--Limoilou"," 98","Beauport",11,0,77,14,16,79,3,200,372
"Beauport--Limoilou/Beauport--Limoilou"," 99","Beauport",8,1,61,6,17,40,3,136,300
"Beauport--Limoilou/Beauport--Limoilou"," 100","Beauport",12,3,47,8,21,64,4,159,279
"Beauport--Limoilou/Beauport--Limoilou"," 101","Beauport",21,0,80,9,27,62,2,201,388
"Beauport--Limoilou/Beauport--Limoilou"," 102","Beauport",11,1,69,5,19,61,2,168,326
"Beauport--Limoilou/Beauport--Limoilou"," 103","Beauport",7,2,68,1,21,42,1,142,308
"Beauport--Limoilou/Beauport--Limoilou"," 104","Beauport",7,0,32,0,19,24,2,84,236
"Beauport--Limoilou/Beauport--Limoilou"," 105","Beauport",10,1,76,4,10,71,1,173,399
"Beauport--Limoilou/Beauport--Limoilou"," 106A","Québec",5,0,23,3,10,26,1,68,144
"Beauport--Limoilou/Beauport--Limoilou"," 106B","Mobile poll/Bureau itinérant",Merged with No. 106C/Fusionné avec le nº 106C,,,,,,,,96
"Beauport--Limoilou/Beauport--Limoilou"," 106C","Mobile poll/Bureau itinérant",11,2,105,6,45,33,3,205,99
"Beauport--Limoilou/Beauport--Limoilou"," 107","Québec",11,2,65,3,22,52,2,157,470
"Beauport--Limoilou/Beauport--Limoilou"," 108","Québec",14,3,65,2,9,49,1,143,313
"Beauport--Limoilou/Beauport--Limoilou"," 109","Québec",10,1,68,8,31,66,0,184,357
"Beauport--Limoilou/Beauport--Limoilou"," 110","Québec",20,0,37,9,11,70,3,150,314
"Beauport--Limoilou/Beauport--Limoilou"," 111","Québec",15,1,48,8,4,82,0,158,325
"Beauport--Limoilou/Beauport--Limoilou"," 112","Québec",14,0,68,10,19,72,3,186,374
"Beauport--Limoilou/Beauport--Limoilou"," 113","Québec",15,1,51,9,8,51,1,136,331
"Beauport--Limoilou/Beauport--Limoilou"," 114","Québec",4,0,36,11,4,78,2,135,362
"Beauport--Limoilou/Beauport--Limoilou"," 115A","Québec",9,0,48,15,7,55,6,140,359
"Beauport--Limoilou/Beauport--Limoilou"," 115B","Mobile poll/Bureau itinérant",Merged with No. 127C/Fusionné avec le nº 127C,,,,,,,,72
"Beauport--Limoilou/Beauport--Limoilou"," 116","Québec",16,0,50,11,8,78,1,164,388
"Beauport--Limoilou/Beauport--Limoilou"," 117","Québec",18,1,32,9,15,66,0,141,316
"Beauport--Limoilou/Beauport--Limoilou"," 118","Québec",19,1,41,17,26,46,3,153,323
"Beauport--Limoilou/Beauport--Limoilou"," 119","Québec",29,2,66,14,10,79,7,207,402
"Beauport--Limoilou/Beauport--Limoilou"," 120","Québec",27,1,58,9,9,87,1,192,402
"Beauport--Limoilou/Beauport--Limoilou"," 121","Québec",25,0,35,6,13,84,2,165,379
"Beauport--Limoilou/Beauport--Limoilou"," 122","Québec",19,1,34,17,22,83,1,177,345
"Beauport--Limoilou/Beauport--Limoilou"," 123","Québec",31,0,54,24,15,122,2,248,411
"Beauport--Limoilou/Beauport--Limoilou"," 124","Québec",39,0,47,14,8,102,0,210,415
"Beauport--Limoilou/Beauport--Limoilou"," 125","Québec",14,0,36,11,10,72,3,146,271
"Beauport--Limoilou/Beauport--Limoilou"," 126","Québec",25,1,39,9,16,73,4,167,310
"Beauport--Limoilou/Beauport--Limoilou"," 127A","Québec",5,0,8,1,3,18,5,40,140
"Beauport--Limoilou/Beauport--Limoilou"," 127B","Mobile poll/Bureau itinérant",Merged with No. 127C/Fusionné avec le nº 127C,,,,,,,,35
"Beauport--Limoilou/Beauport--Limoilou"," 127C","Mobile poll/Bureau itinérant",7,10,50,3,49,24,1,144,83
"Beauport--Limoilou/Beauport--Limoilou"," 128","Québec",29,2,38,9,12,71,2,163,392
"Beauport--Limoilou/Beauport--Limoilou"," 129","Québec",22,0,32,14,20,128,1,217,484
"Beauport--Limoilou/Beauport--Limoilou"," 130","Québec",9,1,25,2,6,33,1,77,267
"Beauport--Limoilou/Beauport--Limoilou"," 131","Québec",10,0,58,2,12,52,4,138,328
"Beauport--Limoilou/Beauport--Limoilou"," 132","Québec",13,0,52,5,14,51,2,137,372
"Beauport--Limoilou/Beauport--Limoilou"," 133","Québec",13,2,78,9,12,71,3,188,404
"Beauport--Limoilou/Beauport--Limoilou"," 134","Québec",10,0,75,9,6,73,0,173,342
"Beauport--Limoilou/Beauport--Limoilou"," 135","Québec",11,1,66,5,23,91,1,198,371
"Beauport--Limoilou/Beauport--Limoilou"," 136","Québec",14,0,64,8,29,67,0,182,359
"Beauport--Limoilou/Beauport--Limoilou"," 137","Québec",11,1,64,7,25,66,2,176,432
"Beauport--Limoilou/Beauport--Limoilou"," 138A","Québec",12,1,47,12,16,58,4,150,322
"Beauport--Limoilou/Beauport--Limoilou"," 138B","Mobile poll/Bureau itinérant",8,5,89,6,67,54,9,238,150
"Beauport--Limoilou/Beauport--Limoilou"," 139","Québec",17,0,50,7,22,78,5,179,381
"Beauport--Limoilou/Beauport--Limoilou"," 140","Québec",17,1,60,12,7,100,0,197,374
"Beauport--Limoilou/Beauport--Limoilou"," 141","Québec",25,2,56,9,18,74,3,187,365
"Beauport--Limoilou/Beauport--Limoilou"," 142","Québec",20,1,67,10,10,66,6,180,351
"Beauport--Limoilou/Beauport--Limoilou"," 143","Québec",13,2,75,5,13,78,4,190,373
"Beauport--Limoilou/Beauport--Limoilou"," 144","Québec",6,0,66,7,11,85,4,179,472
"Beauport--Limoilou/Beauport--Limoilou"," 145A","Québec",11,0,54,3,14,40,0,122,296
"Beauport--Limoilou/Beauport--Limoilou"," 145B","Mobile poll/Bureau itinérant",4,3,50,6,29,28,2,122,72
"Beauport--Limoilou/Beauport--Limoilou"," 146","Québec",12,0,39,4,12,69,1,137,351
"Beauport--Limoilou/Beauport--Limoilou"," 147","Québec",15,3,54,7,12,52,0,143,400
"Beauport--Limoilou/Beauport--Limoilou"," 148A","Québec",23,3,53,15,8,78,2,182,409
"Beauport--Limoilou/Beauport--Limoilou"," 148B","Mobile poll/Bureau itinérant",Merged with No. 145B/Fusionné avec le nº 145B,,,,,,,,58
"Beauport--Limoilou/Beauport--Limoilou"," 149","Québec",22,0,37,6,10,79,4,158,369
"Beauport--Limoilou/Beauport--Limoilou"," 150","Québec",16,0,72,6,20,80,0,194,358
"Beauport--Limoilou/Beauport--Limoilou"," 151","Québec",15,1,74,10,18,79,1,198,360
"Beauport--Limoilou/Beauport--Limoilou"," 152","Québec",12,4,73,19,22,78,2,210,444
"Beauport--Limoilou/Beauport--Limoilou"," 153","Québec",13,2,116,6,39,53,0,229,486
"Beauport--Limoilou/Beauport--Limoilou"," 154","Québec",23,0,63,12,12,95,2,207,439
"Beauport--Limoilou/Beauport--Limoilou"," 155","Québec",22,1,55,10,18,70,0,176,337
"Beauport--Limoilou/Beauport--Limoilou"," 156","Québec",17,0,54,5,16,55,0,147,287
"Beauport--Limoilou/Beauport--Limoilou"," 157","Québec",7,0,33,6,13,59,3,121,337
"Beauport--Limoilou/Beauport--Limoilou"," 158","Québec",16,1,64,8,19,92,1,201,379
"Beauport--Limoilou/Beauport--Limoilou"," 159","Québec",14,0,51,5,17,61,0,148,254
"Beauport--Limoilou/Beauport--Limoilou"," 160","Québec",10,0,53,6,14,71,2,156,374
"Beauport--Limoilou/Beauport--Limoilou"," 161","Québec",11,0,55,7,12,53,1,139,329
"Beauport--Limoilou/Beauport--Limoilou"," 162A","Québec",26,1,49,8,14,94,2,194,317
"Beauport--Limoilou/Beauport--Limoilou"," 162B","Mobile poll/Bureau itinérant",Merged with No. 145B/Fusionné avec le nº 145B,,,,,,,,54
"Beauport--Limoilou/Beauport--Limoilou"," 163","Québec",50,0,60,21,13,117,0,261,366
"Beauport--Limoilou/Beauport--Limoilou"," 164","Québec",21,1,57,10,31,69,8,197,363
"Beauport--Limoilou/Beauport--Limoilou"," 165","Québec",19,1,59,8,19,56,4,166,307
"Beauport--Limoilou/Beauport--Limoilou"," 166","Québec",32,1,41,12,16,102,1,205,413
"Beauport--Limoilou/Beauport--Limoilou"," 167","Québec",34,0,50,18,12,134,0,248,424
"Beauport--Limoilou/Beauport--Limoilou"," 168","Québec",36,1,45,18,18,110,4,232,437
"Beauport--Limoilou/Beauport--Limoilou"," 169","Québec",37,1,58,17,16,131,2,262,425
"Beauport--Limoilou/Beauport--Limoilou"," 170","Québec",14,0,57,5,25,35,0,136,344
"Beauport--Limoilou/Beauport--Limoilou"," 171","Québec",21,0,73,5,20,59,2,180,352
"Beauport--Limoilou/Beauport--Limoilou"," 172","Québec",16,4,51,9,19,77,4,180,352
"Beauport--Limoilou/Beauport--Limoilou"," 173","Québec",17,0,79,12,17,73,6,204,371
"Beauport--Limoilou/Beauport--Limoilou"," 174","Québec",8,1,44,7,12,64,5,141,404
"Beauport--Limoilou/Beauport--Limoilou"," 175","Québec",18,0,68,5,13,82,4,190,407
"Beauport--Limoilou/Beauport--Limoilou"," 176","Québec",9,0,74,3,9,68,0,163,272
"Beauport--Limoilou/Beauport--Limoilou"," 177","Québec",13,3,60,7,13,72,3,171,422
"Beauport--Limoilou/Beauport--Limoilou"," 178","Québec",19,2,60,6,17,80,3,187,423
"Beauport--Limoilou/Beauport--Limoilou"," 179","Québec",13,2,94,7,29,78,2,225,414
"Beauport--Limoilou/Beauport--Limoilou"," 180","Québec",15,2,73,16,29,49,2,186,355
"Beauport--Limoilou/Beauport--Limoilou"," 181A","Québec",13,3,96,4,28,65,3,212,451
"Beauport--Limoilou/Beauport--Limoilou"," 181B","Mobile poll/Bureau itinérant",10,3,46,3,29,35,2,128,67
"Beauport--Limoilou/Beauport--Limoilou"," 181C","Mobile poll/Bureau itinérant",Merged with No. 181B/Fusionné avec le nº 181B,,,,,,,,38
"Beauport--Limoilou/Beauport--Limoilou"," 182","Québec",16,3,66,6,12,72,6,181,356
"Beauport--Limoilou/Beauport--Limoilou"," 183","Québec",13,1,73,5,15,57,2,166,351
"Beauport--Limoilou/Beauport--Limoilou"," 184","Québec",16,0,68,9,26,51,2,172,377
"Beauport--Limoilou/Beauport--Limoilou"," 185","Québec",15,1,57,14,17,59,3,166,317
"Beauport--Limoilou/Beauport--Limoilou"," 186","Québec",13,0,61,7,13,85,1,180,365
"Beauport--Limoilou/Beauport--Limoilou"," 187A","Québec",22,1,44,14,17,84,1,183,366
"Beauport--Limoilou/Beauport--Limoilou"," 187B","Mobile poll/Bureau itinérant",Merged with No. 138B/Fusionné avec le nº 138B,,,,,,,,89
"Beauport--Limoilou/Beauport--Limoilou"," 188A","Québec",22,1,45,3,14,103,2,190,381
"Beauport--Limoilou/Beauport--Limoilou"," 188B","Mobile poll/Bureau itinérant",9,2,46,6,46,53,4,166,149
"Beauport--Limoilou/Beauport--Limoilou"," 189","Québec",12,1,43,6,10,60,0,132,286
"Beauport--Limoilou/Beauport--Limoilou"," 190","Québec",36,0,50,17,9,91,5,208,359
"Beauport--Limoilou/Beauport--Limoilou"," 191","Québec",30,1,53,11,17,106,3,221,396
"Beauport--Limoilou/Beauport--Limoilou"," 192","Québec",42,1,32,11,22,109,1,218,415
"Beauport--Limoilou/Beauport--Limoilou"," 193","Québec",24,0,56,17,7,137,1,242,440
"Beauport--Limoilou/Beauport--Limoilou"," 194","Québec",25,2,33,8,8,77,1,154,350
"Beauport--Limoilou/Beauport--Limoilou"," 195","Québec",29,0,42,13,7,118,1,210,401
"Beauport--Limoilou/Beauport--Limoilou"," 196A","Québec",22,1,32,10,7,44,5,121,259
"Beauport--Limoilou/Beauport--Limoilou"," 196B","Mobile poll/Bureau itinérant",Merged with No. 188B/Fusionné avec le nº 188B,,,,,,,,21
"Beauport--Limoilou/Beauport--Limoilou"," 197A","Québec",20,0,56,10,6,57,3,152,343
"Beauport--Limoilou/Beauport--Limoilou"," 197B","Mobile poll/Bureau itinérant",Merged with No. 181B/Fusionné avec le nº 181B,,,,,,,,35
"Beauport--Limoilou/Beauport--Limoilou"," 197C","Mobile poll/Bureau itinérant",Merged with No. 181B/Fusionné avec le nº 181B,,,,,,,,47
"Beauport--Limoilou/Beauport--Limoilou"," 197D","Mobile poll/Bureau itinérant",Merged with No. 181B/Fusionné avec le nº 181B,,,,,,,,44
"Beauport--Limoilou/Beauport--Limoilou"," 198","Québec",7,0,40,5,7,40,4,103,276
"Beauport--Limoilou/Beauport--Limoilou"," 199","Québec",27,1,60,11,17,74,2,192,441
"Beauport--Limoilou/Beauport--Limoilou"," 200","Québec",22,0,53,18,14,76,4,187,382
"Beauport--Limoilou/Beauport--Limoilou"," 201A","Québec",28,1,50,15,9,86,1,190,407
"Beauport--Limoilou/Beauport--Limoilou"," 201B","Mobile poll/Bureau itinérant",Merged with No. 201C/Fusionné avec le nº 201C,,,,,,,,37
"Beauport--Limoilou/Beauport--Limoilou"," 201C","Mobile poll/Bureau itinérant",1,1,25,2,29,31,3,92,86
"Beauport--Limoilou/Beauport--Limoilou"," 202","Québec",28,1,44,18,20,86,3,200,371
"Beauport--Limoilou/Beauport--Limoilou"," 203","Québec",12,3,66,8,15,60,1,165,350
"Beauport--Limoilou/Beauport--Limoilou"," 204A","Québec",10,2,78,9,20,58,4,181,384
"Beauport--Limoilou/Beauport--Limoilou"," 204B","Mobile poll/Bureau itinérant",Merged with No. 138B/Fusionné avec le nº 138B,,,,,,,,83
"Beauport--Limoilou/Beauport--Limoilou"," 205","Québec",19,3,72,8,19,88,4,213,441
"Beauport--Limoilou/Beauport--Limoilou"," 500","Mobile poll/Bureau itinérant",4,3,23,12,20,31,7,100,214
"Beauport--Limoilou/Beauport--Limoilou"," 501","Mobile poll/Bureau itinérant",3,3,26,0,19,18,2,71,97
"Beauport--Limoilou/Beauport--Limoilou"," 502","Mobile poll/Bureau itinérant",2,0,25,1,76,7,3,114,243
"Beauport--Limoilou/Beauport--Limoilou"," 503","Mobile poll/Bureau itinérant",0,0,6,3,14,13,1,37,400
"Beauport--Limoilou/Beauport--Limoilou"," 504","Mobile poll/Bureau itinérant",1,1,14,2,10,18,0,46,96
"Beauport--Limoilou/Beauport--Limoilou"," 600","Québec",15,2,131,13,28,81,2,272,
"Beauport--Limoilou/Beauport--Limoilou"," 601","Québec",19,3,206,12,36,161,6,443,
"Beauport--Limoilou/Beauport--Limoilou"," 602","Québec",26,0,200,17,23,158,2,426,
"Beauport--Limoilou/Beauport--Limoilou"," 603","Québec",17,1,177,6,28,150,4,383,
