Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jeremy Harrison,Anita Jackson,John A. McDonald,Gary Merasty,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 12","La Loche",15,10,2,23,0,50,144
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 13","La Loche",21,11,0,52,0,84,196
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 14A","La Loche",29,20,1,66,0,116,464
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 14B","La Loche",30,25,1,77,0,133,390
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 15","La Loche Reserve--Clearwater River",23,22,0,120,0,165,338
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 16","Garson Lake",Merged with No. 17/Fusionné avec le nº 17,,,,,,12
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 17","Kinoosao",1,1,1,26,0,29,24
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 18","Southend",39,18,0,181,1,239,483
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 19","Brabant Lake",16,3,0,3,0,22,40
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 20","Missinipe--Grandmother's Bay",22,21,1,26,0,70,165
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 21A","Stanley Mission",Merged with No. 22A/Fusionné avec le nº 22A,,,,,,28
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 21B","Stanley Mission",Merged with No. 22B/Fusionné avec le nº 22B,,,,,,75
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 22A","Stanley Mission",21,24,1,130,0,176,237
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 22B","Stanley Mission",40,44,5,206,3,298,406
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 23","Sucker River",17,31,2,42,1,93,205
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 24","Hall Lake",15,51,2,45,0,113,178
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 25A","La Ronge",44,40,4,30,3,121,389
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 25B","La Ronge",52,28,3,29,0,112,392
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 26","La Ronge",113,65,6,61,0,245,408
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 27","La Ronge",82,66,6,65,0,219,474
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 28","La Ronge",61,45,3,48,0,157,345
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 29","Air Ronge--Bigstone",20,21,2,51,0,94,295
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 30","Air Ronge",22,23,2,15,0,62,132
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 31A","Air Ronge",65,43,1,32,0,141,312
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 31B","Air Ronge",49,33,5,34,0,121,326
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 32","Lac la Ronge 156",8,24,0,32,0,64,147
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 33","Lac la Ronge 156",9,28,0,38,0,75,173
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 34","Lac la Ronge 156",26,37,5,46,0,114,250
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 35","Dillon",35,24,4,123,2,188,477
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 36","Buffalo Narrows--Clearwater River 229",14,9,0,42,0,65,127
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 37A","Buffalo Narrows",Merged with No. 38A/Fusionné avec le nº 38A,,,,,,32
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 37B","Buffalo Narrows",Merged with No. 38B/Fusionné avec le nº 38B,,,,,,37
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 38A","Buffalo Narrows",44,36,2,68,2,152,311
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 38B","Buffalo Narrows",52,31,1,79,0,163,289
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 39","Île-à-la-Crosse",31,15,10,88,2,146,325
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 40","Île-à-la-Crosse",19,22,2,128,0,171,317
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 41","Île-à-la-Crosse",23,22,2,105,0,152,226
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 42","Patuanak",14,25,1,134,0,174,385
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 43","Beauval",26,21,7,76,0,130,322
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 44","Beauval",44,18,1,102,0,165,289
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 45","Beauval",Merged with No. 44/Fusionné avec le nº 44,,,,,,38
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 46","Canoe Narrows",58,14,2,234,0,308,488
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 47","Cole Bay",30,7,1,31,1,70,107
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 48","Pinehouse",35,78,3,99,0,215,501
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 49","Sandy Bay",12,15,5,79,0,111,227
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 50","Sandy Bay",7,12,1,163,0,183,369
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 51","Pelican Narrows",Merged with No. 52/Fusionné avec le nº 52,,,,,,18
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 52","Pelican Narrows",9,7,0,185,0,201,434
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 53","Pelican Narrows",11,3,1,157,0,172,425
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 54","Pelican Narrows",2,1,0,112,0,115,247
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 55","Deschambault Lake",30,48,1,151,0,230,415
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 56","Creighton",52,40,3,20,0,115,235
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 57","Creighton",79,71,11,29,0,190,435
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 58","Creighton",45,36,2,20,0,103,212
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 59","Creighton",120,91,5,36,1,253,429
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 60","Denare Beach",72,42,8,33,0,155,317
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 61","Denare Beach",60,28,2,43,0,133,236
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 62","Sturgeon Landing",0,0,1,18,0,19,35
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 63","Pierceland",165,5,3,5,0,178,245
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 64A","Pierceland",97,7,2,17,0,123,258
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 64B","Pierceland",93,15,4,22,1,135,286
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 65","Beacon Hill",30,10,1,7,0,48,194
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 66A","Goodsoil",165,23,5,27,0,220,386
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 66B","Mobile poll/Bureau itinérant",Merged with No. 89B/Fusionné avec le nº 89B,,,,,,6
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 67","Goodsoil",106,9,4,7,1,127,207
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 68","Mudie Lake",4,0,0,16,0,20,114
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 69","Little Fishing Lake",33,2,2,49,0,86,247
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 70","Makwa Lake",60,8,2,51,0,121,263
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 71","Loon Lake",7,6,0,57,0,70,126
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 72A","Loon Lake",91,23,4,66,1,185,471
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 72B","Mobile poll/Bureau itinérant",Merged with No. 89B/Fusionné avec le nº 89B,,,,,,15
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 73","Barthel",66,10,0,3,0,79,127
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 74","Makwa",121,10,1,11,0,143,231
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 75","Dorintosh--Greig Lake",127,36,4,18,0,185,387
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 76","Waterhen",23,14,1,163,0,201,344
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 77","Green Lake",40,37,0,64,0,141,350
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 78","Doré Lake",23,7,1,4,0,35,54
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 79","Rapid View",201,15,6,9,0,231,371
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 80","Four Corners",154,19,5,18,0,196,320
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 81A","Flying Dust First Nation 105 (Meadow Lake 105)",62,24,7,55,1,149,302
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 81B","Flying Dust First Nation 105 (Meadow Lake 105)",52,18,5,51,0,126,294
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 82","Meadow Lake 105A",106,16,5,15,0,142,266
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 83A","Meadow Lake",81,10,0,23,0,114,244
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 83B","Meadow Lake",83,15,1,25,1,125,258
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 84","Meadow Lake",127,26,2,24,0,179,349
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 85","Meadow Lake",114,25,5,33,1,178,345
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 86","Meadow Lake",74,10,5,22,0,111,309
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 87","Meadow Lake",65,16,6,30,0,117,269
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 88","Meadow Lake",95,28,6,35,0,164,352
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 89A","Meadow Lake",111,49,1,36,1,198,449
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 89B","Mobile poll/Bureau itinérant",13,12,2,8,2,37,62
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 90","Meadow Lake",80,8,4,19,0,111,187
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 91A","Meadow Lake",126,19,3,35,0,183,308
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 91B","Meadow Lake",124,19,2,26,0,171,303
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 92","Cabana",150,7,0,23,0,180,306
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 93","Neeb",26,1,1,7,0,35,73
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 94A","Chitek Lake ",Merged with No. 95A/Fusionné avec le nº 95A,,,,,,8
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 94B","Chitek Lake ",Merged with No. 95B/Fusionné avec le nº 95B,,,,,,10
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 95A","Chitek Lake ",32,9,2,118,0,161,246
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 95B","Chitek Lake ",46,12,0,109,1,168,254
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 96","Leoville",47,12,1,11,0,71,110
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 97","Ranger",36,13,1,110,0,160,242
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 98","Spiritwood",78,13,2,7,0,100,177
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 99","Spiritwood",118,8,4,16,0,146,241
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 100","Shell Lake",102,26,2,12,0,142,230
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 101","Leoville",84,22,2,27,0,135,336
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 102A","Spiritwood",91,25,4,22,0,142,285
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 102B","Spiritwood",101,26,4,18,0,149,264
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 103A","Spiritwood",Merged with No. 102A/Fusionné avec le nº 102A,,,,,,24
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 103B","Spiritwood",Merged with No. 102B/Fusionné avec le nº 102B,,,,,,37
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 104","Spiritwood",95,9,6,13,1,124,194
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 105","Ahtahkakoop 104",14,15,2,353,4,388,558
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 106","Shell Lake",132,44,11,31,0,218,433
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 107","Mistawasis 103",5,7,1,199,2,214,387
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 108","Big River 118",15,17,1,345,1,379,520
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 109","Big River",122,21,9,23,1,176,244
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 110A","Big River",Merged with No. 111A/Fusionné avec le nº 111A,,,,,,51
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 110B","Big River",Merged with No. 111B/Fusionné avec le nº 111B,,,,,,60
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 111A","Big River",46,11,3,6,0,66,253
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 111B","Big River",157,45,7,24,0,233,272
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 112","Big River",134,28,9,7,0,178,296
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 113","Victoire",32,3,2,19,0,56,162
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 114","Debden",113,23,8,12,0,156,272
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 115","Debden",102,20,1,32,0,155,404
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 116","Debden",69,15,4,4,0,92,139
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 117","Canwood",106,21,5,6,0,138,194
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 118","Canwood",144,49,6,20,0,219,436
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 119","Canwood",81,14,2,4,0,101,143
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 120","Montreal Lake 106--Timber Bay",14,6,1,103,0,124,353
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 121","Montreal Lake",7,3,2,108,1,121,207
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 122","Weyakwin",24,23,2,24,0,73,149
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 123","Sturgeon Valley",150,23,8,9,0,190,293
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 124","Sturgeon lake",1,4,0,171,0,176,253
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 125","Sturgeon lake",2,6,0,203,0,211,307
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 126","Little Red River 106",1,18,0,210,0,229,326
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 127","Waskesiu Lake",33,19,2,11,0,65,135
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 128","Emma Lake",64,29,4,36,0,133,255
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 129A","Christopher Lake",Merged with No. 130A/Fusionné avec le nº 130A,,,,,,30
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 129B","Christopher Lake",Merged with No. 130B/Fusionné avec le nº 130B,,,,,,6
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 130A","Christopher Lake",101,55,9,43,0,208,402
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 130B","Christopher Lake",90,70,21,34,0,215,430
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 131","Little Bear Lake",22,12,2,10,0,46,66
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 132","Candle Lake",78,26,1,13,0,118,194
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 133","Candle Lake",118,48,5,16,0,187,359
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 134","Choiceland",68,13,6,8,0,95,121
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 135","Shipman",24,5,3,2,0,34,59
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 136","Smeaton",124,17,5,13,0,159,301
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 137","Choiceland",59,21,4,5,0,89,109
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 138","Garrick",65,21,2,3,0,91,138
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 139","Love",96,13,9,3,2,123,196
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 140","White Fox",49,24,7,2,0,82,99
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 141","White Fox",113,20,5,14,1,153,223
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 142","Choiceland",124,40,1,15,0,180,342
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 143","White Fox",110,46,4,26,0,186,339
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 144A","Cumberland House",17,29,4,211,0,261,245
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 144B","Cumberland House",13,9,0,84,1,107,213
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 145A","Cumberland House",Merged with No. 144A/Fusionné avec le nº 144A,,,,,,114
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 145B","Cumberland House",Merged with No. 144B/Fusionné avec le nº 144B,,,,,,101
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 146","Cumberland 20",2,4,2,154,1,163,224
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 147","Red Earth",12,11,1,270,0,294,450
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 148","Shoal Lake--Ruby Lake",18,4,2,155,1,180,263
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 500","Mobile poll/Bureau itinérant",9,8,3,7,0,27,36
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 501","Mobile poll/Bureau itinérant",6,6,2,3,0,17,21
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 600","Stony Rapids",3,4,1,8,0,16,
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 601","Wollaston Lake",8,22,2,15,0,47,
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 602","La Loche",86,25,3,54,1,169,
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 603","Southend",6,12,0,106,0,124,
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 604","La Ronge",89,79,6,60,0,234,
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 605","Buffalo Narrows",12,5,2,25,0,44,
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 606","Beauval",13,8,1,41,0,63,
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 607","Pelican Narrows",5,4,3,354,0,366,
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 608","Creighton",41,18,2,14,1,76,
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 609","Goodsoil",56,9,1,9,0,75,
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 610","Loon Lake",57,4,0,13,1,75,
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 611","Meadow Lake",304,44,9,60,0,417,
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 612","Spiritwood",133,17,3,17,0,170,
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 613","Debden",77,9,4,13,0,103,
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 614","Christopher Lake",93,37,4,48,1,183,
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 615","Smeaton",77,15,2,8,0,102,
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 616","Cumberland House",8,8,1,84,0,101,
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill",,Group 1/Groupe 1,24,29,9,168,18,248,299
"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill",,Group 2/Groupe 2,349,66,14,101,20,550,
