Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Trey Capnerhurst,Arlene Chapman,Peter Goldring,Nicole Martel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Edmonton East/Edmonton-Est"," 104","Edmonton",9,39,142,43,0,233,424
"Edmonton East/Edmonton-Est"," 105","Edmonton",6,32,62,38,1,139,354
"Edmonton East/Edmonton-Est"," 106","Edmonton",3,24,72,47,0,146,401
"Edmonton East/Edmonton-Est"," 107","Edmonton",10,36,128,38,1,213,379
"Edmonton East/Edmonton-Est"," 108","Edmonton",7,32,89,29,0,157,347
"Edmonton East/Edmonton-Est"," 109","Edmonton",2,30,120,38,1,191,354
"Edmonton East/Edmonton-Est"," 110","Edmonton",23,44,87,42,0,196,395
"Edmonton East/Edmonton-Est"," 111","Edmonton",6,45,102,40,0,193,380
"Edmonton East/Edmonton-Est"," 112","Edmonton",12,29,84,29,1,155,385
"Edmonton East/Edmonton-Est"," 113","Edmonton",12,37,92,51,0,192,453
"Edmonton East/Edmonton-Est"," 114","Edmonton",8,31,48,18,0,105,314
"Edmonton East/Edmonton-Est"," 115A","Edmonton",5,11,38,17,0,71,207
"Edmonton East/Edmonton-Est"," 115B","Mobile poll/Bureau itinérant",6,29,55,53,1,144,90
"Edmonton East/Edmonton-Est"," 116","Edmonton",12,32,70,27,3,144,337
"Edmonton East/Edmonton-Est"," 117","Edmonton",5,42,49,31,0,127,266
"Edmonton East/Edmonton-Est"," 118","Edmonton",8,42,57,54,1,162,349
"Edmonton East/Edmonton-Est"," 119","Edmonton",8,37,76,41,0,162,376
"Edmonton East/Edmonton-Est"," 120","Edmonton",5,22,60,48,1,136,346
"Edmonton East/Edmonton-Est"," 121","Edmonton",2,15,63,44,0,124,350
"Edmonton East/Edmonton-Est"," 122","Edmonton",7,14,44,31,0,96,273
"Edmonton East/Edmonton-Est"," 123","Edmonton",6,43,60,41,1,151,243
"Edmonton East/Edmonton-Est"," 124","Edmonton",5,39,91,45,4,184,406
"Edmonton East/Edmonton-Est"," 125","Edmonton",6,38,51,43,0,138,347
"Edmonton East/Edmonton-Est"," 126","Edmonton",17,47,79,50,2,195,405
"Edmonton East/Edmonton-Est"," 127","Edmonton",8,22,43,40,0,113,333
"Edmonton East/Edmonton-Est"," 128","Edmonton",10,27,62,39,0,138,356
"Edmonton East/Edmonton-Est"," 129","Edmonton",24,50,93,50,1,218,490
"Edmonton East/Edmonton-Est"," 130","Edmonton",13,46,72,53,3,187,479
"Edmonton East/Edmonton-Est"," 131","Edmonton",12,31,49,54,0,146,415
"Edmonton East/Edmonton-Est"," 132","Edmonton",15,33,55,45,0,148,419
"Edmonton East/Edmonton-Est"," 133","Edmonton",5,17,49,35,0,106,364
"Edmonton East/Edmonton-Est"," 134","Edmonton",6,24,53,24,0,107,278
"Edmonton East/Edmonton-Est"," 135","Edmonton",10,45,76,48,0,179,469
"Edmonton East/Edmonton-Est"," 136","Edmonton",13,53,101,42,0,209,483
"Edmonton East/Edmonton-Est"," 137","Edmonton",12,42,125,53,0,232,359
"Edmonton East/Edmonton-Est"," 138","Edmonton",13,54,138,49,1,255,488
"Edmonton East/Edmonton-Est"," 139","Edmonton",9,31,93,36,0,169,295
"Edmonton East/Edmonton-Est"," 140","Edmonton",9,57,133,54,1,254,417
"Edmonton East/Edmonton-Est"," 141","Edmonton",13,41,114,38,0,206,362
"Edmonton East/Edmonton-Est"," 142","Edmonton",6,56,124,25,2,213,375
"Edmonton East/Edmonton-Est"," 143","Edmonton",6,41,54,27,0,128,320
"Edmonton East/Edmonton-Est"," 144","Edmonton",9,36,63,53,0,161,457
"Edmonton East/Edmonton-Est"," 145","Edmonton",Merged with No. 146/Fusionné avec le nº 146,,,,,,181
"Edmonton East/Edmonton-Est"," 146","Edmonton",26,73,121,59,0,279,327
"Edmonton East/Edmonton-Est"," 147","Edmonton",15,43,109,39,0,206,400
"Edmonton East/Edmonton-Est"," 148","Edmonton",12,36,65,38,1,152,280
"Edmonton East/Edmonton-Est"," 149","Edmonton",5,29,77,32,0,143,290
"Edmonton East/Edmonton-Est"," 150","Edmonton",8,33,64,26,0,131,270
"Edmonton East/Edmonton-Est"," 151","Edmonton",12,36,110,32,0,190,419
"Edmonton East/Edmonton-Est"," 152","Edmonton",11,41,112,28,0,192,388
"Edmonton East/Edmonton-Est"," 153","Edmonton",14,81,129,31,0,255,407
"Edmonton East/Edmonton-Est"," 154","Edmonton",13,49,81,30,0,173,307
"Edmonton East/Edmonton-Est"," 155","Edmonton",9,38,118,30,2,197,431
"Edmonton East/Edmonton-Est"," 156","Edmonton",16,76,118,23,0,233,394
"Edmonton East/Edmonton-Est"," 157","Edmonton",8,47,118,27,0,200,357
"Edmonton East/Edmonton-Est"," 158","Edmonton",8,44,144,28,0,224,429
"Edmonton East/Edmonton-Est"," 159","Edmonton",20,38,111,37,0,206,353
"Edmonton East/Edmonton-Est"," 160","Edmonton",11,34,66,42,0,153,403
"Edmonton East/Edmonton-Est"," 161","Edmonton",17,28,52,28,0,125,347
"Edmonton East/Edmonton-Est"," 162","Edmonton",10,65,172,60,2,309,542
"Edmonton East/Edmonton-Est"," 163","Edmonton",2,36,86,22,1,147,308
"Edmonton East/Edmonton-Est"," 164","Edmonton",6,34,95,28,2,165,300
"Edmonton East/Edmonton-Est"," 165","Edmonton",9,41,79,43,0,172,389
"Edmonton East/Edmonton-Est"," 166","Edmonton",9,33,39,39,0,120,385
"Edmonton East/Edmonton-Est"," 167","Edmonton",8,31,95,37,0,171,340
"Edmonton East/Edmonton-Est"," 168","Edmonton",10,28,84,32,0,154,365
"Edmonton East/Edmonton-Est"," 169","Edmonton",7,60,101,49,0,217,366
"Edmonton East/Edmonton-Est"," 170","Edmonton",9,49,113,44,0,215,447
"Edmonton East/Edmonton-Est"," 171","Edmonton",12,58,128,39,0,237,362
"Edmonton East/Edmonton-Est"," 172","Edmonton",13,31,138,31,0,213,375
"Edmonton East/Edmonton-Est"," 173","Edmonton",11,50,119,22,0,202,320
"Edmonton East/Edmonton-Est"," 174","Edmonton",9,36,81,35,0,161,306
"Edmonton East/Edmonton-Est"," 175","Edmonton",12,56,120,43,1,232,379
"Edmonton East/Edmonton-Est"," 176","Edmonton",12,42,56,35,2,147,364
"Edmonton East/Edmonton-Est"," 177","Edmonton",15,39,54,34,2,144,319
"Edmonton East/Edmonton-Est"," 178","Edmonton",10,44,65,51,1,171,335
"Edmonton East/Edmonton-Est"," 179","Edmonton",16,58,69,48,0,191,425
"Edmonton East/Edmonton-Est"," 180","Edmonton",18,50,69,64,2,203,425
"Edmonton East/Edmonton-Est"," 181","Edmonton",2,17,26,27,0,72,233
"Edmonton East/Edmonton-Est"," 182","Edmonton",18,49,66,43,2,178,389
"Edmonton East/Edmonton-Est"," 183A","Edmonton",14,41,70,64,2,191,435
"Edmonton East/Edmonton-Est"," 183B","Mobile poll/Bureau itinérant",Merged with No. 115B/Fusionné avec le nº 115B,,,,,,22
"Edmonton East/Edmonton-Est"," 184","Edmonton",13,57,52,48,2,172,378
"Edmonton East/Edmonton-Est"," 185","Edmonton",17,47,79,70,0,213,491
"Edmonton East/Edmonton-Est"," 186","Edmonton",15,40,64,58,1,178,408
"Edmonton East/Edmonton-Est"," 187","Edmonton",8,31,51,30,2,122,294
"Edmonton East/Edmonton-Est"," 188A","Edmonton",12,34,82,38,1,167,353
"Edmonton East/Edmonton-Est"," 188B","Edmonton",12,34,59,36,0,141,325
"Edmonton East/Edmonton-Est"," 189A","Edmonton",14,45,98,36,0,193,327
"Edmonton East/Edmonton-Est"," 189B","Edmonton",18,57,101,47,2,225,337
"Edmonton East/Edmonton-Est"," 190","Edmonton",21,40,101,38,1,201,348
"Edmonton East/Edmonton-Est"," 191","Edmonton",22,53,97,52,3,227,356
"Edmonton East/Edmonton-Est"," 192","Edmonton",34,66,81,24,1,206,336
"Edmonton East/Edmonton-Est"," 193","Edmonton",20,89,82,44,0,235,416
"Edmonton East/Edmonton-Est"," 194","Edmonton",15,64,57,30,0,166,278
"Edmonton East/Edmonton-Est"," 195","Edmonton",8,41,84,28,2,163,263
"Edmonton East/Edmonton-Est"," 196","Edmonton",17,64,128,62,1,272,422
"Edmonton East/Edmonton-Est"," 197","Edmonton",11,32,36,39,2,120,295
"Edmonton East/Edmonton-Est"," 198","Edmonton",16,52,68,62,1,199,483
"Edmonton East/Edmonton-Est"," 199","Edmonton",10,26,42,42,1,121,234
"Edmonton East/Edmonton-Est"," 200","Edmonton",12,58,38,48,1,157,322
"Edmonton East/Edmonton-Est"," 201","Edmonton",6,25,38,52,0,121,373
"Edmonton East/Edmonton-Est"," 202","Edmonton",15,44,54,99,1,213,585
"Edmonton East/Edmonton-Est"," 203","Edmonton",18,39,63,58,0,178,434
"Edmonton East/Edmonton-Est"," 204","Edmonton",10,37,54,40,0,141,334
"Edmonton East/Edmonton-Est"," 205","Edmonton",7,32,56,38,0,133,289
"Edmonton East/Edmonton-Est"," 206","Edmonton",10,28,67,39,2,146,450
"Edmonton East/Edmonton-Est"," 207","Edmonton",20,52,87,60,1,220,509
"Edmonton East/Edmonton-Est"," 208","Edmonton",19,39,80,53,3,194,442
"Edmonton East/Edmonton-Est"," 209","Edmonton",13,26,81,29,1,150,296
"Edmonton East/Edmonton-Est"," 210","Edmonton",15,37,50,52,1,155,446
"Edmonton East/Edmonton-Est"," 211A","Edmonton",22,36,39,47,1,145,321
"Edmonton East/Edmonton-Est"," 211B","Mobile poll/Bureau itinérant",Merged with No. 115B/Fusionné avec le nº 115B,,,,,,73
"Edmonton East/Edmonton-Est"," 212A","Edmonton",14,68,107,100,0,289,752
"Edmonton East/Edmonton-Est"," 212B","Mobile poll/Bureau itinérant",Merged with No. 213B/Fusionné avec le nº 213B,,,,,,60
"Edmonton East/Edmonton-Est"," 213A","Edmonton",18,37,48,32,2,137,345
"Edmonton East/Edmonton-Est"," 213B","Mobile poll/Bureau itinérant",13,16,28,183,6,246,115
"Edmonton East/Edmonton-Est"," 213C","Mobile poll/Bureau itinérant",Merged with No. 213B/Fusionné avec le nº 213B,,,,,,93
"Edmonton East/Edmonton-Est"," 213D","Mobile poll/Bureau itinérant",Merged with No. 213B/Fusionné avec le nº 213B,,,,,,44
"Edmonton East/Edmonton-Est"," 214","Edmonton",39,88,77,52,1,257,403
"Edmonton East/Edmonton-Est"," 215","Edmonton",22,98,57,42,0,219,345
"Edmonton East/Edmonton-Est"," 216A","Edmonton",24,83,76,44,0,227,327
"Edmonton East/Edmonton-Est"," 216B","Edmonton",33,71,76,58,1,239,334
"Edmonton East/Edmonton-Est"," 400","Edmonton",4,14,23,18,0,59,64
"Edmonton East/Edmonton-Est"," 500","Mobile poll/Bureau itinérant",4,14,93,41,0,152,214
"Edmonton East/Edmonton-Est"," 501","Mobile poll/Bureau itinérant",5,20,142,30,3,200,232
"Edmonton East/Edmonton-Est"," 502","Mobile poll/Bureau itinérant",2,10,33,29,4,78,122
"Edmonton East/Edmonton-Est"," 503","Mobile poll/Bureau itinérant",7,26,77,38,5,153,200
"Edmonton East/Edmonton-Est"," 504","Mobile poll/Bureau itinérant",5,22,82,43,1,153,209
"Edmonton East/Edmonton-Est"," 600","Edmonton",20,78,347,167,1,613,
"Edmonton East/Edmonton-Est"," 601","Edmonton",10,62,323,186,1,582,
"Edmonton East/Edmonton-Est"," 602","Edmonton",20,104,573,207,0,904,
"Edmonton East/Edmonton-Est"," 603","Edmonton",8,59,220,90,0,377,
"Edmonton East/Edmonton-Est"," 604","Edmonton",15,49,209,79,0,352,
"Edmonton East/Edmonton-Est"," 605","Edmonton",12,45,137,68,1,263,
"Edmonton East/Edmonton-Est"," 606","Edmonton",20,77,180,48,0,325,
"Edmonton East/Edmonton-Est"," 607","Edmonton",13,59,217,38,0,327,
"Edmonton East/Edmonton-Est"," 608","Edmonton",30,68,174,71,1,344,
"Edmonton East/Edmonton-Est"," 609","Edmonton",23,74,170,103,1,371,
"Edmonton East/Edmonton-Est",,Group 1/Groupe 1,20,26,68,100,18,232,423
"Edmonton East/Edmonton-Est",,Group 2/Groupe 2,34,137,698,238,19,1126,
