Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Guy André,Anne-Marie Aubert,Marie-Claude Godue,Nathalie Gratton,Serge Lafrenière,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Berthier--Maskinongé/Berthier--Maskinongé"," 36","Trois-Rivières-Ouest",79,16,67,4,16,2,184,336
"Berthier--Maskinongé/Berthier--Maskinongé"," 37","Trois-Rivières-Ouest",78,19,53,7,18,1,176,330
"Berthier--Maskinongé/Berthier--Maskinongé"," 38","Trois-Rivières-Ouest",107,22,56,11,21,3,220,495
"Berthier--Maskinongé/Berthier--Maskinongé"," 39","Trois-Rivières-Ouest",86,26,61,7,22,2,204,326
"Berthier--Maskinongé/Berthier--Maskinongé"," 40","Trois-Rivières-Ouest",77,17,87,3,29,2,215,292
"Berthier--Maskinongé/Berthier--Maskinongé"," 41","Trois-Rivières-Ouest",119,26,87,3,26,1,262,410
"Berthier--Maskinongé/Berthier--Maskinongé"," 42","Trois-Rivières-Ouest",138,25,95,13,8,2,281,414
"Berthier--Maskinongé/Berthier--Maskinongé"," 43","Trois-Rivières-Ouest",126,25,91,6,6,2,256,420
"Berthier--Maskinongé/Berthier--Maskinongé"," 44","Trois-Rivières-Ouest",131,23,68,14,12,1,249,401
"Berthier--Maskinongé/Berthier--Maskinongé"," 45","Trois-Rivières-Ouest",144,49,156,7,25,3,384,611
"Berthier--Maskinongé/Berthier--Maskinongé"," 46","Trois-Rivières-Ouest",127,21,100,8,7,0,263,392
"Berthier--Maskinongé/Berthier--Maskinongé"," 47","Trois-Rivières-Ouest",110,29,81,7,25,2,254,397
"Berthier--Maskinongé/Berthier--Maskinongé"," 48","Trois-Rivières-Ouest",110,20,80,9,12,5,236,363
"Berthier--Maskinongé/Berthier--Maskinongé"," 49","Trois-Rivières-Ouest",94,22,105,15,18,1,255,383
"Berthier--Maskinongé/Berthier--Maskinongé"," 50","Trois-Rivières-Ouest",96,22,78,6,21,2,225,348
"Berthier--Maskinongé/Berthier--Maskinongé"," 51","Trois-Rivières-Ouest",106,25,93,13,14,2,253,396
"Berthier--Maskinongé/Berthier--Maskinongé"," 52","Trois-Rivières-Ouest",101,23,67,7,10,3,211,422
"Berthier--Maskinongé/Berthier--Maskinongé"," 53","Trois-Rivières-Ouest",101,9,79,5,15,4,213,474
"Berthier--Maskinongé/Berthier--Maskinongé"," 54","Trois-Rivières-Ouest",91,20,76,5,15,2,209,353
"Berthier--Maskinongé/Berthier--Maskinongé"," 55","Trois-Rivières-Ouest",126,33,96,22,8,0,285,449
"Berthier--Maskinongé/Berthier--Maskinongé"," 56","Trois-Rivières-Ouest",106,17,103,13,20,4,263,365
"Berthier--Maskinongé/Berthier--Maskinongé"," 57","Trois-Rivières-Ouest",111,28,98,9,16,3,265,434
"Berthier--Maskinongé/Berthier--Maskinongé"," 58","Trois-Rivières-Ouest",144,33,126,10,23,4,340,513
"Berthier--Maskinongé/Berthier--Maskinongé"," 59A","Trois-Rivières-Ouest",80,16,77,7,11,5,196,345
"Berthier--Maskinongé/Berthier--Maskinongé"," 59B","Trois-Rivières-Ouest",101,20,103,4,13,2,243,460
"Berthier--Maskinongé/Berthier--Maskinongé"," 59C","Trois-Rivières-Ouest",99,21,90,9,9,1,229,422
"Berthier--Maskinongé/Berthier--Maskinongé"," 60","Trois-Rivières-Ouest",82,8,61,3,22,1,177,326
"Berthier--Maskinongé/Berthier--Maskinongé"," 61A","Trois-Rivières-Ouest",93,14,61,8,34,3,213,436
"Berthier--Maskinongé/Berthier--Maskinongé"," 61B","Mobile poll/Bureau itinérant",Merged with No. 62C/Fusionné avec le nº 62C,,,,,,,38
"Berthier--Maskinongé/Berthier--Maskinongé"," 62A","Trois-Rivières-Ouest",91,11,49,6,9,4,170,406
"Berthier--Maskinongé/Berthier--Maskinongé"," 62B","Mobile poll/Bureau itinérant",Merged with No. 62D/Fusionné avec le nº 62D,,,,,,,49
"Berthier--Maskinongé/Berthier--Maskinongé"," 62C","Mobile poll/Bureau itinérant",27,7,60,6,60,4,164,159
"Berthier--Maskinongé/Berthier--Maskinongé"," 62D","Mobile poll/Bureau itinérant",33,11,48,3,57,7,159,146
"Berthier--Maskinongé/Berthier--Maskinongé"," 63","Trois-Rivières-Ouest",74,14,90,5,34,4,221,382
"Berthier--Maskinongé/Berthier--Maskinongé"," 64","Trois-Rivières-Ouest",81,4,36,5,13,2,141,362
"Berthier--Maskinongé/Berthier--Maskinongé"," 65","Trois-Rivières-Ouest",94,18,72,9,18,1,212,392
"Berthier--Maskinongé/Berthier--Maskinongé"," 66","Trois-Rivières-Ouest",91,11,59,6,21,4,192,346
"Berthier--Maskinongé/Berthier--Maskinongé"," 67","Trois-Rivières-Ouest",52,8,12,4,7,2,85,213
"Berthier--Maskinongé/Berthier--Maskinongé"," 68","Trois-Rivières-Ouest",153,24,129,14,17,1,338,576
"Berthier--Maskinongé/Berthier--Maskinongé"," 69A","Trois-Rivières-Ouest",92,12,97,7,18,3,229,381
"Berthier--Maskinongé/Berthier--Maskinongé"," 69B","Trois-Rivières-Ouest",69,22,84,4,16,5,200,377
"Berthier--Maskinongé/Berthier--Maskinongé"," 70","Trois-Rivières-Ouest",81,15,79,5,21,0,201,356
"Berthier--Maskinongé/Berthier--Maskinongé"," 71","Trois-Rivières-Ouest",73,13,58,6,7,1,158,358
"Berthier--Maskinongé/Berthier--Maskinongé"," 72","Trois-Rivières-Ouest",114,20,52,7,25,4,222,389
"Berthier--Maskinongé/Berthier--Maskinongé"," 73A","Trois-Rivières-Ouest",134,26,110,14,30,4,318,611
"Berthier--Maskinongé/Berthier--Maskinongé"," 73B","Mobile poll/Bureau itinérant",Merged with No. 500B/Fusionné avec le nº 500B,,,,,,,42
"Berthier--Maskinongé/Berthier--Maskinongé"," 74","Trois-Rivières-Ouest",173,19,94,6,27,9,328,511
"Berthier--Maskinongé/Berthier--Maskinongé"," 75","Trois-Rivières-Ouest",100,14,85,10,14,0,223,412
"Berthier--Maskinongé/Berthier--Maskinongé"," 76","Trois-Rivières-Ouest",168,23,87,15,32,6,331,556
"Berthier--Maskinongé/Berthier--Maskinongé"," 77","Trois-Rivières-Ouest",115,14,93,17,13,6,258,436
"Berthier--Maskinongé/Berthier--Maskinongé"," 78","Trois-Rivières-Ouest",97,17,68,3,29,4,218,402
"Berthier--Maskinongé/Berthier--Maskinongé"," 79","Saint-Barnabé",77,6,73,6,13,1,176,279
"Berthier--Maskinongé/Berthier--Maskinongé"," 80","Saint-Thomas-de-Caxton",50,9,50,5,7,2,123,210
"Berthier--Maskinongé/Berthier--Maskinongé"," 81","Pointe-du-Lac",71,12,38,3,18,2,144,348
"Berthier--Maskinongé/Berthier--Maskinongé"," 82","Pointe-du-Lac",91,23,78,9,8,3,212,471
"Berthier--Maskinongé/Berthier--Maskinongé"," 83","Pointe-du-Lac",149,15,95,10,7,2,278,423
"Berthier--Maskinongé/Berthier--Maskinongé"," 84","Pointe-du-Lac",136,28,108,16,17,5,310,564
"Berthier--Maskinongé/Berthier--Maskinongé"," 85","Pointe-du-Lac",135,19,102,12,21,5,294,469
"Berthier--Maskinongé/Berthier--Maskinongé"," 86","Pointe-du-Lac",100,13,94,11,23,6,247,456
"Berthier--Maskinongé/Berthier--Maskinongé"," 87A","Pointe-du-Lac",90,14,86,9,14,3,216,399
"Berthier--Maskinongé/Berthier--Maskinongé"," 87B","Mobile poll/Bureau itinérant",Merged with No. 500B/Fusionné avec le nº 500B,,,,,,,38
"Berthier--Maskinongé/Berthier--Maskinongé"," 88","Pointe-du-Lac",112,25,125,6,26,2,296,502
"Berthier--Maskinongé/Berthier--Maskinongé"," 89","Pointe-du-Lac",180,26,116,13,17,6,358,585
"Berthier--Maskinongé/Berthier--Maskinongé"," 90","Pointe-du-Lac",153,15,81,12,9,5,275,476
"Berthier--Maskinongé/Berthier--Maskinongé"," 91","Pointe-du-Lac",135,19,72,8,17,3,254,435
"Berthier--Maskinongé/Berthier--Maskinongé"," 92","Pointe-du-Lac",59,5,46,7,9,0,126,379
"Berthier--Maskinongé/Berthier--Maskinongé"," 93","Yamachiche",119,20,122,13,19,3,296,492
"Berthier--Maskinongé/Berthier--Maskinongé"," 94","Saint-Barnabé",136,10,107,16,26,4,299,501
"Berthier--Maskinongé/Berthier--Maskinongé"," 95","Saint-Sévère",71,15,64,5,27,0,182,249
"Berthier--Maskinongé/Berthier--Maskinongé"," 96","Yamachiche",132,19,118,17,22,2,310,502
"Berthier--Maskinongé/Berthier--Maskinongé"," 97","Yamachiche",78,5,104,3,34,2,226,383
"Berthier--Maskinongé/Berthier--Maskinongé"," 98","Yamachiche",72,14,53,0,15,5,159,299
"Berthier--Maskinongé/Berthier--Maskinongé"," 99","Yamachiche",105,6,67,10,21,2,211,448
"Berthier--Maskinongé/Berthier--Maskinongé"," 100","Saint-Léon-le-Grand",112,6,113,10,27,1,269,432
"Berthier--Maskinongé/Berthier--Maskinongé"," 101","Saint-Léon-le-Grand",88,2,71,0,11,1,173,335
"Berthier--Maskinongé/Berthier--Maskinongé"," 102","Louiseville",91,6,71,3,18,0,189,361
"Berthier--Maskinongé/Berthier--Maskinongé"," 103","Louiseville",60,9,62,7,23,1,162,357
"Berthier--Maskinongé/Berthier--Maskinongé"," 104","Louiseville",65,7,54,9,11,4,150,355
"Berthier--Maskinongé/Berthier--Maskinongé"," 105","Louiseville",54,3,53,2,20,5,137,333
"Berthier--Maskinongé/Berthier--Maskinongé"," 106","Louiseville",53,2,61,5,26,1,148,357
"Berthier--Maskinongé/Berthier--Maskinongé"," 107","Louiseville",39,9,27,2,16,1,94,237
"Berthier--Maskinongé/Berthier--Maskinongé"," 108","Louiseville",66,12,45,6,4,4,137,318
"Berthier--Maskinongé/Berthier--Maskinongé"," 109A","Louiseville",49,4,51,6,16,2,128,269
"Berthier--Maskinongé/Berthier--Maskinongé"," 109B","Mobile poll/Bureau itinérant",Merged with No. 501A/Fusionné avec le nº 501A,,,,,,,53
"Berthier--Maskinongé/Berthier--Maskinongé"," 110","Louiseville",102,13,78,1,16,1,211,326
"Berthier--Maskinongé/Berthier--Maskinongé"," 111","Louiseville",63,10,74,4,32,2,185,355
"Berthier--Maskinongé/Berthier--Maskinongé"," 112","Louiseville",78,8,79,5,26,1,197,469
"Berthier--Maskinongé/Berthier--Maskinongé"," 113","Louiseville",33,3,25,1,14,1,77,230
"Berthier--Maskinongé/Berthier--Maskinongé"," 114","Louiseville",53,3,54,1,28,3,142,344
"Berthier--Maskinongé/Berthier--Maskinongé"," 115A","Louiseville",78,7,98,3,33,3,222,419
"Berthier--Maskinongé/Berthier--Maskinongé"," 115B","Mobile poll/Bureau itinérant",Merged with No. 501B/Fusionné avec le nº 501B,,,,,,,21
"Berthier--Maskinongé/Berthier--Maskinongé"," 116","Louiseville",74,7,54,6,16,1,158,280
"Berthier--Maskinongé/Berthier--Maskinongé"," 117","Louiseville",62,4,60,6,26,1,159,260
"Berthier--Maskinongé/Berthier--Maskinongé"," 118","Louiseville",113,16,139,10,27,5,310,499
"Berthier--Maskinongé/Berthier--Maskinongé"," 119","Louiseville",77,16,70,6,19,3,191,332
"Berthier--Maskinongé/Berthier--Maskinongé"," 120","Saint-Joseph-de-Maskinongé",125,9,146,5,45,3,333,544
"Berthier--Maskinongé/Berthier--Maskinongé"," 121","Maskinongé",89,8,89,6,34,2,228,367
"Berthier--Maskinongé/Berthier--Maskinongé"," 122","Maskinongé",55,4,42,3,25,3,132,189
"Berthier--Maskinongé/Berthier--Maskinongé"," 123","Saint-Joseph-de-Maskinongé",82,15,42,7,23,0,169,276
"Berthier--Maskinongé/Berthier--Maskinongé"," 124","Saint-Joseph-de-Maskinongé",112,8,117,9,33,3,282,459
"Berthier--Maskinongé/Berthier--Maskinongé"," 125","Saint-Charles-de-Mandeville",118,15,44,15,22,5,219,403
"Berthier--Maskinongé/Berthier--Maskinongé"," 126","Saint-Charles-de-Mandeville",91,6,71,3,17,9,197,359
"Berthier--Maskinongé/Berthier--Maskinongé"," 127","Saint-Charles-de-Mandeville",163,7,53,12,23,4,262,444
"Berthier--Maskinongé/Berthier--Maskinongé"," 128","Saint-Didace",202,9,53,13,46,3,326,523
"Berthier--Maskinongé/Berthier--Maskinongé"," 129","Saint-Édouard-de-Maskinongé",41,0,31,2,6,0,80,172
"Berthier--Maskinongé/Berthier--Maskinongé"," 130","Saint-Édouard-de-Maskinongé",110,8,99,5,40,3,265,423
"Berthier--Maskinongé/Berthier--Maskinongé"," 131","Sainte-Ursule",105,2,74,6,23,6,216,372
"Berthier--Maskinongé/Berthier--Maskinongé"," 132","Sainte-Ursule",91,13,75,6,24,2,211,329
"Berthier--Maskinongé/Berthier--Maskinongé"," 133","Sainte-Ursule",116,20,99,6,27,2,270,439
"Berthier--Maskinongé/Berthier--Maskinongé"," 134","Saint-Justin",77,13,46,5,14,0,155,242
"Berthier--Maskinongé/Berthier--Maskinongé"," 135","Saint-Joseph-de-Maskinongé",93,8,75,6,22,2,206,297
"Berthier--Maskinongé/Berthier--Maskinongé"," 136","Saint-Justin",92,15,81,5,34,2,229,372
"Berthier--Maskinongé/Berthier--Maskinongé"," 137","Saint-Gabriel-de-Brandon",104,19,82,13,13,2,233,428
"Berthier--Maskinongé/Berthier--Maskinongé"," 138","Saint-Gabriel-de-Brandon",105,15,79,8,25,3,235,446
"Berthier--Maskinongé/Berthier--Maskinongé"," 139","Saint-Charles-de-Mandeville",150,10,66,13,25,5,269,432
"Berthier--Maskinongé/Berthier--Maskinongé"," 140","Saint-Gabriel",71,4,28,4,19,4,130,301
"Berthier--Maskinongé/Berthier--Maskinongé"," 141A","Saint-Gabriel-de-Brandon",121,10,50,11,8,3,203,361
"Berthier--Maskinongé/Berthier--Maskinongé"," 141B","Saint-Gabriel-de-Brandon",171,19,57,9,21,0,277,490
"Berthier--Maskinongé/Berthier--Maskinongé"," 141C","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,20
"Berthier--Maskinongé/Berthier--Maskinongé"," 142","Saint-Gabriel",76,9,43,8,21,1,158,352
"Berthier--Maskinongé/Berthier--Maskinongé"," 143","Saint-Gabriel",72,5,27,2,15,1,122,197
"Berthier--Maskinongé/Berthier--Maskinongé"," 144","Saint-Gabriel",140,14,84,5,35,6,284,595
"Berthier--Maskinongé/Berthier--Maskinongé"," 145","Saint-Gabriel",100,5,51,9,31,6,202,437
"Berthier--Maskinongé/Berthier--Maskinongé"," 146","Saint-Gabriel",71,10,31,3,14,4,133,254
"Berthier--Maskinongé/Berthier--Maskinongé"," 147","Saint-Gabriel-de-Brandon",132,23,95,9,25,4,288,480
"Berthier--Maskinongé/Berthier--Maskinongé"," 148","Saint-Gabriel-de-Brandon",72,13,21,10,14,2,132,229
"Berthier--Maskinongé/Berthier--Maskinongé"," 149","Saint-Norbert",133,19,40,10,17,2,221,353
"Berthier--Maskinongé/Berthier--Maskinongé"," 150","Saint-Norbert",159,11,70,18,26,6,290,469
"Berthier--Maskinongé/Berthier--Maskinongé"," 151","Sainte-Élisabeth",126,12,54,7,23,2,224,360
"Berthier--Maskinongé/Berthier--Maskinongé"," 152","Sainte-Élisabeth",161,26,60,7,32,3,289,436
"Berthier--Maskinongé/Berthier--Maskinongé"," 153","Sainte-Élisabeth",86,18,47,5,20,4,180,289
"Berthier--Maskinongé/Berthier--Maskinongé"," 154","Saint-Barthélémy",136,7,75,7,23,3,251,518
"Berthier--Maskinongé/Berthier--Maskinongé"," 155","Saint-Barthélémy",75,6,41,7,21,2,152,321
"Berthier--Maskinongé/Berthier--Maskinongé"," 156","Saint-Barthélémy",113,16,97,9,35,5,275,446
"Berthier--Maskinongé/Berthier--Maskinongé"," 157","Saint-Barthélémy",106,8,69,8,20,4,215,373
"Berthier--Maskinongé/Berthier--Maskinongé"," 158","Saint-Cuthbert",113,20,52,15,8,0,208,384
"Berthier--Maskinongé/Berthier--Maskinongé"," 159A","Saint-Cuthbert",89,11,45,10,20,5,180,362
"Berthier--Maskinongé/Berthier--Maskinongé"," 159B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,,26
"Berthier--Maskinongé/Berthier--Maskinongé"," 160","Saint-Cuthbert",145,17,55,11,29,2,259,476
"Berthier--Maskinongé/Berthier--Maskinongé"," 161","Saint-Cuthbert",108,10,56,11,19,3,207,358
"Berthier--Maskinongé/Berthier--Maskinongé"," 162","Sainte-Geneviève-de-Berthier",66,5,31,5,14,6,127,248
"Berthier--Maskinongé/Berthier--Maskinongé"," 163","Sainte-Geneviève-de-Berthier",84,14,79,11,21,2,211,369
"Berthier--Maskinongé/Berthier--Maskinongé"," 164","Sainte-Geneviève-de-Berthier",102,18,49,4,20,3,196,341
"Berthier--Maskinongé/Berthier--Maskinongé"," 165","Berthierville",155,18,99,9,29,5,315,622
"Berthier--Maskinongé/Berthier--Maskinongé"," 166","Berthierville",27,4,9,1,0,0,41,74
"Berthier--Maskinongé/Berthier--Maskinongé"," 167","Berthierville",105,8,47,4,16,4,184,417
"Berthier--Maskinongé/Berthier--Maskinongé"," 168","Berthierville",80,8,48,2,20,3,161,394
"Berthier--Maskinongé/Berthier--Maskinongé"," 169","Berthierville",56,5,41,7,20,5,134,355
"Berthier--Maskinongé/Berthier--Maskinongé"," 170","Berthierville",146,18,84,14,26,9,297,484
"Berthier--Maskinongé/Berthier--Maskinongé"," 171","Berthierville",93,5,64,7,43,2,214,455
"Berthier--Maskinongé/Berthier--Maskinongé"," 172","Berthierville",88,12,54,11,25,5,195,423
"Berthier--Maskinongé/Berthier--Maskinongé"," 173A","La Visitation-de-l'Île-Dupas",Merged with No. 174A/Fusionné avec le nº 174A,,,,,,,10
"Berthier--Maskinongé/Berthier--Maskinongé"," 173B","La Visitation-de-l'Île-Dupas",Merged with No. 174B/Fusionné avec le nº 174B,,,,,,,21
"Berthier--Maskinongé/Berthier--Maskinongé"," 174A","La Visitation-de-l'Île-Dupas",87,7,37,7,21,2,161,223
"Berthier--Maskinongé/Berthier--Maskinongé"," 174B","La Visitation-de-l'Île-Dupas",76,6,51,10,19,4,166,236
"Berthier--Maskinongé/Berthier--Maskinongé"," 175","Saint-Ignace-de-Loyola",96,7,46,9,39,1,198,319
"Berthier--Maskinongé/Berthier--Maskinongé"," 176","Saint-Ignace-de-Loyola",114,9,61,9,27,5,225,404
"Berthier--Maskinongé/Berthier--Maskinongé"," 177","Saint-Ignace-de-Loyola",177,18,57,6,25,5,288,458
"Berthier--Maskinongé/Berthier--Maskinongé"," 178","Saint-Ignace-de-Loyola",173,18,83,14,18,6,312,448
"Berthier--Maskinongé/Berthier--Maskinongé"," 179","Sainte-Geneviève-de-Berthier",23,3,15,3,7,0,51,94
"Berthier--Maskinongé/Berthier--Maskinongé"," 180A","Sainte-Geneviève-de-Berthier",129,13,59,13,11,5,230,389
"Berthier--Maskinongé/Berthier--Maskinongé"," 180B","Sainte-Geneviève-de-Berthier",108,16,64,12,15,5,220,393
"Berthier--Maskinongé/Berthier--Maskinongé"," 181","Lanoraie-d'Autray",103,12,52,7,20,3,197,273
"Berthier--Maskinongé/Berthier--Maskinongé"," 182","Lanoraie-d'Autray",118,15,50,15,15,5,218,376
"Berthier--Maskinongé/Berthier--Maskinongé"," 183","Saint-Joseph-de-Lanoraie",170,14,44,9,24,4,265,480
"Berthier--Maskinongé/Berthier--Maskinongé"," 184","Saint-Joseph-de-Lanoraie",191,23,67,6,29,6,322,499
"Berthier--Maskinongé/Berthier--Maskinongé"," 185","Saint-Joseph-de-Lanoraie",175,12,63,14,21,3,288,442
"Berthier--Maskinongé/Berthier--Maskinongé"," 186","Lanoraie-d'Autray",146,17,53,8,8,3,235,340
"Berthier--Maskinongé/Berthier--Maskinongé"," 187","Lanoraie-d'Autray",84,11,42,5,30,0,172,317
"Berthier--Maskinongé/Berthier--Maskinongé"," 188","Lanoraie-d'Autray",112,11,31,8,27,3,192,333
"Berthier--Maskinongé/Berthier--Maskinongé"," 189","Saint-Antoine-de-Lavaltrie",145,15,67,9,18,3,257,468
"Berthier--Maskinongé/Berthier--Maskinongé"," 190","Saint-Antoine-de-Lavaltrie",110,9,40,3,3,4,169,317
"Berthier--Maskinongé/Berthier--Maskinongé"," 191","Saint-Antoine-de-Lavaltrie",133,8,46,6,15,2,210,364
"Berthier--Maskinongé/Berthier--Maskinongé"," 192","Saint-Antoine-de-Lavaltrie",160,15,45,12,13,6,251,469
"Berthier--Maskinongé/Berthier--Maskinongé"," 193","Saint-Antoine-de-Lavaltrie",225,15,84,12,32,5,373,642
"Berthier--Maskinongé/Berthier--Maskinongé"," 194","Saint-Antoine-de-Lavaltrie",136,8,35,3,8,4,194,447
"Berthier--Maskinongé/Berthier--Maskinongé"," 195","Lavaltrie",256,20,69,7,16,3,371,633
"Berthier--Maskinongé/Berthier--Maskinongé"," 196","Lavaltrie",179,18,66,12,20,3,298,536
"Berthier--Maskinongé/Berthier--Maskinongé"," 197","Lavaltrie",193,13,54,10,18,3,291,525
"Berthier--Maskinongé/Berthier--Maskinongé"," 198","Lavaltrie",108,18,39,7,11,7,190,374
"Berthier--Maskinongé/Berthier--Maskinongé"," 199","Lavaltrie",192,20,45,12,17,4,290,604
"Berthier--Maskinongé/Berthier--Maskinongé"," 200","Lavaltrie",128,8,52,4,12,0,204,403
"Berthier--Maskinongé/Berthier--Maskinongé"," 201","Lavaltrie",169,14,45,8,9,4,249,463
"Berthier--Maskinongé/Berthier--Maskinongé"," 202","Lavaltrie",197,17,38,6,2,3,263,525
"Berthier--Maskinongé/Berthier--Maskinongé"," 203","Lavaltrie",122,9,41,9,22,4,207,513
"Berthier--Maskinongé/Berthier--Maskinongé"," 204","Saint-Antoine-de-Lavaltrie",162,13,63,5,15,3,261,522
"Berthier--Maskinongé/Berthier--Maskinongé"," 205","Saint-Antoine-de-Lavaltrie",197,19,46,13,20,3,298,579
"Berthier--Maskinongé/Berthier--Maskinongé"," 206","Saint-Antoine-de-Lavaltrie",206,24,68,12,8,4,322,599
"Berthier--Maskinongé/Berthier--Maskinongé"," 500A","Mobile poll/Bureau itinérant",25,5,39,4,33,5,111,97
"Berthier--Maskinongé/Berthier--Maskinongé"," 500B","Mobile poll/Bureau itinérant",31,3,35,0,30,4,103,86
"Berthier--Maskinongé/Berthier--Maskinongé"," 501A","Mobile poll/Bureau itinérant",15,1,31,2,36,1,86,121
"Berthier--Maskinongé/Berthier--Maskinongé"," 501B","Mobile poll/Bureau itinérant",7,2,15,0,19,0,43,57
"Berthier--Maskinongé/Berthier--Maskinongé"," 502","Mobile poll/Bureau itinérant",14,1,8,0,20,3,46,127
"Berthier--Maskinongé/Berthier--Maskinongé"," 503","Mobile poll/Bureau itinérant",22,4,12,1,41,4,84,131
"Berthier--Maskinongé/Berthier--Maskinongé"," 600","Saint-Alexis-des-Monts",81,6,49,5,30,1,172,
"Berthier--Maskinongé/Berthier--Maskinongé"," 601","Saint-Boniface-de-Shawinigan",215,21,142,12,49,4,443,
"Berthier--Maskinongé/Berthier--Maskinongé"," 602","Saint-Étienne-des-Grès",107,14,102,5,30,4,262,
