Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sandra Cooze,Judy Davis,Aaron Hynes,Scott Simms,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 45","Crow Head",4,0,22,82,1,109,178
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 46","Twillingate",19,1,49,112,1,182,378
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 47","Twillingate",8,1,58,112,3,182,385
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 48","Durrell",9,0,29,73,0,111,228
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 49","Twillingate",19,2,118,127,3,269,599
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 50","Twillingate",4,0,36,84,4,128,298
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 51","Little Harbour",1,0,30,29,3,63,117
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 52","Tilting",7,1,82,48,0,138,200
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 53","Joe Batt's Arm",16,1,29,89,2,137,256
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 54","Joe Batt's Arm--Barr'd Island",14,2,54,116,5,191,261
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 55","Joe Batt's Arm",Merged with No. 54/Fusionné avec le nº 54,,,,,,139
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 56","Fogo",16,1,43,81,0,141,413
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 57","Fogo",10,1,15,58,1,85,232
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 58","Island Harbour--Deep Bay",3,1,31,47,0,82,220
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 59","Seldom",13,3,51,103,1,171,366
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 60","Change Islands",9,1,38,40,0,88,281
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 61","Stag Harbour",6,0,41,29,0,76,158
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 62","Stoneville--Port Albert",6,2,113,53,3,177,336
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 63","Horwood",4,0,31,54,0,89,200
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 64","Gander Bay North",6,2,40,76,0,124,260
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 65","Victoria Cove",19,2,93,84,2,200,366
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 66","Davidsville",10,2,71,9,0,92,205
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 67","Frederickton",4,2,51,54,0,111,256
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 68","Noggin Cove",3,1,38,40,0,82,163
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 69A","Carmanville",13,2,61,50,0,126,344
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 69B","Carmanville",8,1,49,54,0,112,316
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 69-1","Gander Bay South",5,0,44,53,0,102,303
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 70","Ladle Cove--Aspen Cove",2,0,40,56,0,98,263
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 71","Musgrave Harbour",23,0,53,128,0,204,437
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 72","Musgrave Harbour",6,0,64,67,0,137,262
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 73","Musgrave Harbour",7,1,20,64,2,94,214
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 74","Deadman's Bay",7,1,26,57,1,92,143
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 75","Lumsden",Merged with No. 76/Fusionné avec le nº 76,,,,,,183
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 76","Lumsden",12,1,23,179,3,218,232
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 77","Cape Freels",4,0,2,61,0,67,111
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 78","Newtown--Templeman",10,0,46,126,0,182,329
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 79","Wesleyville--Pound Cove",2,0,16,59,0,77,157
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 80A","Wesleyville",5,0,43,102,1,151,373
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 80B","Mobile poll/Bureau itinérant",Merged with No. 500B/Fusionné avec le nº 500B,,,,,,22
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 81","Wesleyville--Brookfield",17,0,25,57,0,99,218
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 82","Badger's Quay",2,1,52,113,3,171,335
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 83A","Badger's Quay--Valleyfield",9,0,40,78,0,127,231
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 83B","Mobile poll/Bureau itinérant",Merged with No. 500B/Fusionné avec le nº 500B,,,,,,41
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 84","Pool's Island",9,1,13,79,1,103,139
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 85","Greenspond",5,1,43,111,0,160,302
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 86","Valleyfield",8,1,52,109,2,172,312
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 87","Grand Falls-Windsor",15,1,103,109,0,228,453
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 88","Badger",13,0,56,98,0,167,284
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 89","Badger",18,1,115,152,0,286,470
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 90","Grand Falls-Windsor",23,2,145,147,1,318,594
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 91","Grand Falls-Windsor",37,0,128,165,0,330,623
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 92","Grand Falls-Windsor",9,3,95,137,1,245,473
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 93","Grand Falls-Windsor",12,2,52,88,1,155,334
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 94","Grand Falls-Windsor",12,0,56,65,1,134,365
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 95","Grand Falls-Windsor",14,0,98,106,0,218,341
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 96","Grand Falls-Windsor",26,1,164,172,0,363,608
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 97","Grand Falls-Windsor",29,2,136,208,1,376,690
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 98","Grand Falls-Windsor",22,0,69,98,2,191,383
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 99","Grand Falls-Windsor",15,0,63,64,0,142,303
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 100","Grand Falls-Windsor",13,0,47,92,1,153,343
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 101","Grand Falls-Windsor",18,0,57,83,0,158,333
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 102","Grand Falls-Windsor",3,0,58,75,0,136,291
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 103","Grand Falls-Windsor",20,1,87,87,0,195,397
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 104","Grand Falls-Windsor",23,6,78,139,0,246,457
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 105","Grand Falls-Windsor",11,0,47,110,2,170,334
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 106","Grand Falls-Windsor",19,0,46,79,1,145,206
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 107","Grand Falls-Windsor",31,4,113,168,1,317,481
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 108","Grand Falls-Windsor",22,0,84,149,4,259,466
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 109","Grand Falls-Windsor",16,0,66,118,0,200,339
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 110","Grand Falls-Windsor",21,0,59,88,1,169,348
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 111","Grand Falls-Windsor",7,0,68,89,2,166,287
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 112","Grand Falls-Windsor",13,0,96,122,0,231,404
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 113","Grand Falls-Windsor",18,1,106,146,0,271,424
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 114","Grand Falls-Windsor",9,0,48,124,2,183,343
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 115","Grand Falls-Windsor",15,1,52,88,1,157,305
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 116","Bishop's Falls",8,0,67,90,0,165,312
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 117","Bishop's Falls",7,0,53,128,2,190,340
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 118","Bishop's Falls",7,1,36,94,0,138,248
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 119","Bishop's Falls",11,1,57,142,1,212,448
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 120","Bishop's Falls",5,1,59,142,0,207,397
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 121","Bishop's Falls",8,2,35,140,2,187,369
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 122","Bishop's Falls",8,1,80,138,2,229,384
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 123","Bishop's Falls",21,4,84,156,1,266,418
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 124","Norris Arm South",14,1,65,92,2,174,297
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 125","Norris Arm North",5,0,61,30,1,97,172
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 126","Norris Arm South",19,0,94,147,2,262,470
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 127","Appleton",37,3,126,110,0,276,400
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 128","Glenwood",22,5,114,141,0,282,543
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 129","Glenwood",11,1,33,31,0,76,156
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 130","Benton",6,0,26,27,1,60,111
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 131","Gander",12,4,62,61,1,140,294
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 132","Gander",21,4,197,162,0,384,690
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 133","Gander",13,2,85,109,0,209,343
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 134","Gander",7,1,83,72,0,163,326
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 135A","Gander",8,2,99,106,0,215,445
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 135B","Mobile poll/Bureau itinérant",Merged with No. 500A/Fusionné avec le nº 500A,,,,,,49
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 136","Gander",16,2,138,143,1,300,574
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 137","Gander",11,0,82,109,1,203,361
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 138","Gander",6,1,70,78,0,155,322
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 139","Gander",7,3,68,124,2,204,387
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 140","Gander",10,1,88,114,1,214,354
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 141A","Gander",6,0,46,58,2,112,271
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 141B","Gander",7,1,33,48,1,90,136
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 142","Gander",9,3,65,77,2,156,294
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 143","Gander",14,2,98,76,1,191,301
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 144","Gander",13,2,65,87,0,167,274
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 145","Gander",5,2,51,73,0,131,266
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 146","Gander",12,4,83,120,0,219,390
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 147","Gander",9,5,100,142,0,256,474
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 148","Gander",16,1,81,86,0,184,349
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 149","Gander",8,0,21,61,1,91,362
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 150","Gander",16,0,103,93,0,212,461
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 151","Centreville--Indian Bay",5,1,45,73,0,124,227
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 152","Wareham",6,0,52,118,0,176,289
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 153","Centreville",7,3,79,67,0,156,287
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 154","Trinity--Bonavista Bay",8,0,58,80,0,146,299
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 155","Dover",1,0,20,39,0,60,151
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 156","Dover",8,1,46,74,0,129,389
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 157","Hare Bay",Merged with No. 158/Fusionné avec le nº 158,,,,,,200
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 158","Hare Bay",9,0,90,100,1,200,213
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 159","Hare Bay",Merged with No. 160/Fusionné avec le nº 160,,,,,,145
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 160","Hare Bay",18,1,100,100,0,219,305
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 161","Middle Brook",10,0,37,71,1,119,241
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 162","Middle Brook",31,1,125,107,3,267,491
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 163","Dark Cove",14,1,65,73,2,155,289
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 164","Dark Cove",Merged with No. 165/Fusionné avec le nº 165,,,,,,182
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 165","Dark Cove",10,0,59,115,3,187,232
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 166A","Gambo",3,2,24,69,5,103,239
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 166B","Mobile poll/Bureau itinérant",Merged with No. 169B/Fusionné avec le nº 169B,,,,,,29
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 167","Glovertown--Saunders Cove",9,1,71,71,0,152,300
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 168","Glovertown",11,0,99,48,1,159,306
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 169A","Glovertown",17,2,120,102,0,241,465
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 169B","Mobile poll/Bureau itinérant",4,3,26,54,0,87,40
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 170A","Glovertown",6,1,91,80,0,178,315
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 170B","Mobile poll/Bureau itinérant",Merged with No. 169B/Fusionné avec le nº 169B,,,,,,30
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 171","Glovertown",16,4,48,70,2,140,251
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 172","Traytown--Culls Harbour",13,3,60,99,0,175,301
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 173","St. Brendan's",10,1,21,71,1,104,185
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 174","Sandringham",20,1,20,45,3,89,200
"Bonavista--Gander--Grand Falls--Windsor/Bonavista--Gander--Grand Falls--Windsor"," 175","Burnside-St. Chads",2,0,12,34,0,48,68
