Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Andrew Graham,Erik Millett,Stan Smith,Greg Thompson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 52B","Mobile poll/Bureau itinérant",Merged with No. 43B/Fusionné avec le nº 43B,,,,,,8
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 53","Collina",70,9,91,179,2,351,607
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 54","Collina",Void/Supprimé,,,,,,
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 55A","Belleisle Creek",67,4,77,140,2,290,435
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 55B","Mobile poll/Bureau itinérant",Merged with No. 43B/Fusionné avec le nº 43B,,,,,,9
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 56","Springfield",59,5,69,179,3,315,485
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 57","Keirsteadville",29,3,58,92,0,182,303
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 58","Hatfield Point",29,0,38,109,0,176,294
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 59A","Kars",18,2,39,68,1,128,208
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 59B","Mobile poll/Bureau itinérant",Merged with No. 43B/Fusionné avec le nº 43B,,,,,,12
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 60","Central Greenwich",42,6,59,94,0,201,307
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 61","Greenwich Hill",46,4,53,131,2,236,410
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 62","Public Landing",34,3,24,94,1,156,303
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 63","Morrisdale",72,7,53,86,1,219,427
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 64","Westfield",93,8,57,133,3,294,504
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 65","Westfield",43,5,42,92,4,186,370
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 66","Westfield",37,6,38,80,0,161,283
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 67","Westfield",24,5,59,101,0,189,294
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 68","Grand Bay",62,13,99,134,1,309,534
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 69","Grand Bay",29,7,70,118,2,226,383
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 70","Grand Bay",40,10,75,120,1,246,432
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 71","Grand Bay",47,6,40,82,1,176,353
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 72","Grand Bay",41,7,37,102,2,189,393
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 73A","Grand Bay",30,4,39,69,1,143,304
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 73B","Grand Bay",36,5,53,91,1,186,307
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 74","Grand Bay",31,3,43,77,1,155,282
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 75","Musquash",70,3,66,110,0,249,403
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 76","Chance Harbour",35,8,50,119,0,212,335
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 77","Dipper Harbour",23,3,38,87,2,153,222
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 78","Maces Bay",21,6,34,120,0,181,266
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 79","Lepreau",34,4,84,152,2,276,412
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 80","Pennfield",17,2,49,89,1,158,291
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 81","Pennfield",10,5,60,100,1,176,299
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 82","Pennfield",28,7,76,165,3,279,477
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 83","Beaver Harbour",27,9,38,123,1,198,369
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 84","Pennfield",21,4,61,113,3,202,373
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 85","Blacks Harbour",36,2,58,158,4,258,427
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 86","Blacks Harbour",15,7,62,140,1,225,383
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 87","Back Bay",8,3,29,107,0,147,240
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 88","Letete",31,8,64,191,0,294,486
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 89","St. George",26,4,61,106,4,201,332
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 90","St. George",39,3,61,92,1,196,373
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 91","St. George",13,3,60,128,4,208,351
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 92","St. George",20,2,80,117,4,223,422
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 93","St. George",19,5,94,151,2,271,523
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 94","Bonny River",31,0,70,134,3,238,341
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 95","Rollingdam",18,1,45,109,0,173,273
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 96","Lawrence Station",18,1,46,116,1,182,317
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 97","Oak Hill",19,2,24,145,0,190,304
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 98","Pomeroy Ridge",25,3,27,139,1,195,341
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 99","Moores Mills",32,5,54,146,2,239,372
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 100","Central Tower Hill",16,4,33,67,1,121,213
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 101","Oak Bay",32,7,69,183,0,291,472
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 102","Oak Haven",14,3,17,64,0,98,197
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 103","Valley Road",17,1,44,90,0,152,293
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 104","Old Ridge",21,2,32,131,0,186,341
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 105","Mayfield--Heathland",24,3,31,158,0,216,435
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 106","Upper Mills",25,2,55,138,0,220,461
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 107","Saint Stephen",17,3,49,130,1,200,353
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 108","Saint Stephen",20,7,38,102,1,168,344
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 109","Saint Stephen",10,2,26,90,1,129,298
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 110","Saint Stephen",13,3,35,55,0,106,242
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 111","Saint Stephen",18,7,36,108,0,169,280
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 112","Saint Stephen",19,3,33,81,1,137,275
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 113","Saint Stephen",20,12,37,117,0,186,334
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 114","Saint Stephen",21,4,43,119,1,188,316
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 115","Saint Stephen",24,8,25,102,1,160,304
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 116","Saint Stephen",29,7,46,98,0,180,331
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 117","Saint Stephen",17,5,46,112,0,180,312
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 118","Saint Stephen",15,3,53,114,2,187,345
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 119","The Ledge",26,6,58,146,2,238,407
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 120","Bayside--Waweig",32,5,71,141,1,250,402
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 121","Elmsville",27,4,41,77,5,154,213
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 122","Bocabec",24,7,77,126,1,235,360
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 123","Chamcook",46,14,78,88,2,228,386
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 124","Saint Andrews",49,11,98,140,0,298,448
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 125","Saint Andrews",48,17,70,63,1,199,374
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 126","Saint Andrews",43,11,61,91,0,206,328
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 127","Saint Andrews",43,16,68,78,0,205,356
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 128","Deer Island",12,4,39,144,1,200,383
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 129","Deer Island",8,5,31,91,0,135,248
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 130","Campobello",5,4,21,62,0,92,247
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 131","Campobello",12,1,22,110,0,145,351
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 132","Campobello",9,1,13,80,0,103,270
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 133","North Head",42,9,42,141,0,234,500
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 134","Castalia",25,4,23,159,2,213,410
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 135","Woodwards Cove",13,1,7,89,0,110,215
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 136","Ingalls Head",30,4,46,166,0,246,461
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 137","Deep Cove",24,2,31,143,1,201,384
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 138","White Head Island",4,0,6,98,0,108,135
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 500","Mobile poll/Bureau itinérant",6,1,12,18,1,38,38
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 501","Mobile poll/Bureau itinérant",10,3,21,27,7,68,87
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 502","Mobile poll/Bureau itinérant",6,3,27,44,3,83,143
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 503","Mobile poll/Bureau itinérant",5,2,8,30,0,45,104
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 600","Kingsclear",67,17,164,209,3,460,
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 601","Dumfries--Prince William",10,2,28,28,0,68,
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 602","McAdam",4,0,17,73,0,94,
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 603","Harvey Station",2,4,38,59,1,104,
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 604","Fredericton Junction--Tracy",6,3,22,61,0,92,
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 605","Gagetown",10,4,27,52,2,95,
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 606","Cambridge-Narrows",9,9,72,111,0,201,
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 607","Studholm",16,10,60,135,1,222,
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 608","Kars",8,0,20,82,2,112,
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 609","Grand Bay--Westfield",64,25,150,308,2,549,
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 610","Blacks Harbor--Musquash",18,3,84,167,1,273,
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 611","St. George",13,4,108,159,0,284,
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 612","Western Charlotte",14,2,40,115,1,172,
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 613","Saint Stephen",8,5,69,145,0,227,
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 614","Saint Andrews",28,17,74,109,2,230,
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 615","Deer Island",3,0,19,31,0,53,
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 616","Campobello",2,0,13,39,2,56,
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 617","Grand Manan",8,5,32,115,2,162,
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest",,Group 1/Groupe 1,6,8,25,56,2,97,316
"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest",,Group 2/Groupe 2,54,19,183,334,12,602,
