Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kimball Cariou,David Emerson,Connie Fogal,Matt Kadioglu,Donna Petersen,Arno Schortinghuis,Ian Waddell,Kanman Wong,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Vancouver Kingsway/Vancouver Kingsway"," 104","Vancouver",1,72,1,0,0,6,76,33,3,192,360
"Vancouver Kingsway/Vancouver Kingsway"," 105","Vancouver",0,61,0,0,0,10,111,32,2,216,365
"Vancouver Kingsway/Vancouver Kingsway"," 106","Vancouver",1,96,0,4,0,2,44,31,1,179,335
"Vancouver Kingsway/Vancouver Kingsway"," 107","Vancouver",0,146,0,2,2,9,82,66,1,308,457
"Vancouver Kingsway/Vancouver Kingsway"," 108","Vancouver",0,127,0,1,0,1,71,40,0,240,464
"Vancouver Kingsway/Vancouver Kingsway"," 109","Vancouver",0,93,0,0,0,2,56,57,2,210,443
"Vancouver Kingsway/Vancouver Kingsway"," 110","Vancouver",1,117,3,3,0,4,70,65,1,264,451
"Vancouver Kingsway/Vancouver Kingsway"," 111","Vancouver",3,130,1,1,0,3,72,35,0,245,469
"Vancouver Kingsway/Vancouver Kingsway"," 112","Vancouver",1,101,0,1,0,9,65,48,2,227,417
"Vancouver Kingsway/Vancouver Kingsway"," 113","Vancouver",0,104,0,0,0,4,75,46,1,230,426
"Vancouver Kingsway/Vancouver Kingsway"," 114","Vancouver",2,87,1,2,0,6,100,60,2,260,498
"Vancouver Kingsway/Vancouver Kingsway"," 115","Vancouver",2,107,1,1,0,5,75,41,3,235,401
"Vancouver Kingsway/Vancouver Kingsway"," 116A","Vancouver",0,72,0,0,0,5,37,41,3,158,311
"Vancouver Kingsway/Vancouver Kingsway"," 116B","Vancouver",0,53,1,0,2,2,48,30,0,136,253
"Vancouver Kingsway/Vancouver Kingsway"," 117","Vancouver",1,108,0,2,0,2,64,57,0,234,443
"Vancouver Kingsway/Vancouver Kingsway"," 118","Vancouver",0,101,0,3,1,6,56,57,0,224,447
"Vancouver Kingsway/Vancouver Kingsway"," 119","Vancouver",1,137,1,2,0,7,100,40,2,290,463
"Vancouver Kingsway/Vancouver Kingsway"," 120","Vancouver",2,66,0,1,0,4,36,27,1,137,291
"Vancouver Kingsway/Vancouver Kingsway"," 121","Vancouver",0,108,1,5,0,7,71,39,2,233,436
"Vancouver Kingsway/Vancouver Kingsway"," 122","Vancouver",0,98,3,3,0,5,82,49,0,240,454
"Vancouver Kingsway/Vancouver Kingsway"," 123","Vancouver",1,71,0,1,0,2,64,30,1,170,440
"Vancouver Kingsway/Vancouver Kingsway"," 124","Vancouver",0,107,0,5,1,1,111,44,1,270,484
"Vancouver Kingsway/Vancouver Kingsway"," 125","Vancouver",3,127,0,1,0,10,101,51,2,295,539
"Vancouver Kingsway/Vancouver Kingsway"," 126A","Vancouver",1,83,0,0,0,5,38,46,0,173,305
"Vancouver Kingsway/Vancouver Kingsway"," 126B","Vancouver",1,57,2,2,0,3,41,31,0,137,243
"Vancouver Kingsway/Vancouver Kingsway"," 127","Vancouver",0,119,0,2,0,3,75,48,2,249,473
"Vancouver Kingsway/Vancouver Kingsway"," 128","Vancouver",1,87,1,1,0,2,60,37,3,192,363
"Vancouver Kingsway/Vancouver Kingsway"," 129","Vancouver",0,120,1,3,0,5,91,44,2,266,503
"Vancouver Kingsway/Vancouver Kingsway"," 130","Vancouver",4,95,0,0,0,2,85,44,0,230,415
"Vancouver Kingsway/Vancouver Kingsway"," 131","Vancouver",1,115,0,2,0,5,60,38,2,223,451
"Vancouver Kingsway/Vancouver Kingsway"," 132","Vancouver",1,109,2,1,2,5,73,48,0,241,427
"Vancouver Kingsway/Vancouver Kingsway"," 133A","Vancouver",1,65,1,1,1,3,46,37,3,158,322
"Vancouver Kingsway/Vancouver Kingsway"," 133B","Vancouver",2,64,0,0,0,1,36,37,1,141,272
"Vancouver Kingsway/Vancouver Kingsway"," 134A","Vancouver",1,88,0,2,0,2,37,32,1,163,332
"Vancouver Kingsway/Vancouver Kingsway"," 134B","Vancouver",0,69,0,2,0,0,29,38,2,140,258
"Vancouver Kingsway/Vancouver Kingsway"," 135","Vancouver",1,141,2,5,0,6,87,74,1,317,514
"Vancouver Kingsway/Vancouver Kingsway"," 136A","Vancouver",0,49,0,0,1,4,62,28,0,144,270
"Vancouver Kingsway/Vancouver Kingsway"," 136B","Vancouver",0,61,1,1,0,3,63,30,3,162,303
"Vancouver Kingsway/Vancouver Kingsway"," 137","Vancouver",0,85,0,1,0,9,70,63,3,231,461
"Vancouver Kingsway/Vancouver Kingsway"," 138A","Vancouver",0,83,1,1,0,0,49,37,2,173,334
"Vancouver Kingsway/Vancouver Kingsway"," 138B","Vancouver",1,63,1,1,0,2,29,18,1,116,264
"Vancouver Kingsway/Vancouver Kingsway"," 139A","Vancouver",1,95,0,2,0,5,40,31,1,175,343
"Vancouver Kingsway/Vancouver Kingsway"," 139B","Vancouver",1,86,0,0,0,0,43,38,0,168,289
"Vancouver Kingsway/Vancouver Kingsway"," 140","Vancouver",2,120,4,2,1,4,79,48,4,264,496
"Vancouver Kingsway/Vancouver Kingsway"," 141","Vancouver",1,137,0,1,0,3,48,46,2,238,479
"Vancouver Kingsway/Vancouver Kingsway"," 142","Vancouver",0,96,0,1,1,4,73,47,0,222,447
"Vancouver Kingsway/Vancouver Kingsway"," 143A","Vancouver",1,61,1,1,0,3,43,24,1,135,316
"Vancouver Kingsway/Vancouver Kingsway"," 143B","Vancouver",0,45,0,3,0,2,33,29,1,113,269
"Vancouver Kingsway/Vancouver Kingsway"," 144","Vancouver",2,82,0,1,0,5,76,47,0,213,510
"Vancouver Kingsway/Vancouver Kingsway"," 145","Vancouver",0,125,0,4,0,3,53,57,0,242,429
"Vancouver Kingsway/Vancouver Kingsway"," 146","Vancouver",2,79,0,1,0,4,89,34,2,211,441
"Vancouver Kingsway/Vancouver Kingsway"," 147","Vancouver",0,77,1,3,0,2,90,29,0,202,497
"Vancouver Kingsway/Vancouver Kingsway"," 148A","Vancouver",1,60,1,2,0,3,36,22,1,126,286
"Vancouver Kingsway/Vancouver Kingsway"," 148B","Vancouver",0,61,0,0,0,2,33,15,1,112,283
"Vancouver Kingsway/Vancouver Kingsway"," 149","Vancouver",2,91,0,2,0,2,105,40,0,242,468
"Vancouver Kingsway/Vancouver Kingsway"," 150A","Vancouver",0,44,0,0,4,0,49,28,3,128,306
"Vancouver Kingsway/Vancouver Kingsway"," 150B","Vancouver",0,49,1,2,0,2,57,28,3,142,349
"Vancouver Kingsway/Vancouver Kingsway"," 151","Vancouver",0,72,1,2,0,5,77,47,1,205,447
"Vancouver Kingsway/Vancouver Kingsway"," 152","Vancouver",0,49,0,2,0,3,32,19,0,105,333
"Vancouver Kingsway/Vancouver Kingsway"," 153","Vancouver",0,30,1,0,0,0,30,30,0,91,271
"Vancouver Kingsway/Vancouver Kingsway"," 154","Vancouver",0,92,1,2,0,3,125,37,1,261,473
"Vancouver Kingsway/Vancouver Kingsway"," 155A","Vancouver",0,45,0,0,0,3,70,40,2,160,277
"Vancouver Kingsway/Vancouver Kingsway"," 155B","Vancouver",1,59,0,1,0,2,50,15,0,128,280
"Vancouver Kingsway/Vancouver Kingsway"," 156A","Vancouver",0,74,0,3,0,2,46,39,0,164,355
"Vancouver Kingsway/Vancouver Kingsway"," 156B","Vancouver",0,53,0,1,1,1,63,28,0,147,322
"Vancouver Kingsway/Vancouver Kingsway"," 157","Vancouver",1,74,0,3,1,6,95,44,3,227,472
"Vancouver Kingsway/Vancouver Kingsway"," 158","Vancouver",1,57,1,0,0,2,49,26,0,136,390
"Vancouver Kingsway/Vancouver Kingsway"," 159A","Vancouver",0,85,3,1,0,9,64,44,0,206,447
"Vancouver Kingsway/Vancouver Kingsway"," 159B","Vancouver",1,89,0,3,0,7,59,42,1,202,523
"Vancouver Kingsway/Vancouver Kingsway"," 160","Vancouver",2,82,1,2,0,4,59,42,0,192,476
"Vancouver Kingsway/Vancouver Kingsway"," 161","Vancouver",0,81,0,2,0,7,57,40,0,187,451
"Vancouver Kingsway/Vancouver Kingsway"," 162","Vancouver",3,83,1,3,0,6,82,32,5,215,506
"Vancouver Kingsway/Vancouver Kingsway"," 163","Vancouver",1,36,0,3,0,3,15,20,1,79,180
"Vancouver Kingsway/Vancouver Kingsway"," 164","Vancouver",0,70,2,1,0,10,113,39,0,235,441
"Vancouver Kingsway/Vancouver Kingsway"," 165","Vancouver",0,135,2,1,0,10,84,54,1,287,543
"Vancouver Kingsway/Vancouver Kingsway"," 166A","Vancouver",0,81,0,0,0,1,45,32,0,159,272
"Vancouver Kingsway/Vancouver Kingsway"," 166B","Vancouver",1,108,0,3,0,2,35,53,5,207,363
"Vancouver Kingsway/Vancouver Kingsway"," 167","Vancouver",1,94,2,0,0,4,74,71,2,248,476
"Vancouver Kingsway/Vancouver Kingsway"," 168","Vancouver",0,68,1,1,0,7,120,54,0,251,391
"Vancouver Kingsway/Vancouver Kingsway"," 400","Vancouver",0,54,0,1,0,1,24,21,0,101,230
"Vancouver Kingsway/Vancouver Kingsway"," 401","Vancouver",6,30,0,2,3,2,26,22,6,97,231
"Vancouver Kingsway/Vancouver Kingsway"," 500","Mobile poll/Bureau itinérant",2,28,1,0,0,2,21,14,6,74,131
"Vancouver Kingsway/Vancouver Kingsway"," 501","Mobile poll/Bureau itinérant",0,16,1,1,1,4,34,25,5,87,161
"Vancouver Kingsway/Vancouver Kingsway"," 502","Mobile poll/Bureau itinérant",1,15,3,1,1,1,19,3,0,44,167
"Vancouver Kingsway/Vancouver Kingsway"," 503","Mobile poll/Bureau itinérant",1,28,1,0,1,1,29,13,3,77,134
"Vancouver Kingsway/Vancouver Kingsway"," 600","Vancouver",2,146,0,2,0,9,86,75,1,321,
"Vancouver Kingsway/Vancouver Kingsway"," 601","Vancouver",1,211,1,2,0,18,184,100,0,517,
"Vancouver Kingsway/Vancouver Kingsway"," 602","Vancouver",0,217,4,2,1,23,169,120,1,537,
"Vancouver Kingsway/Vancouver Kingsway"," 603","Vancouver",1,180,0,3,0,8,123,108,4,427,
"Vancouver Kingsway/Vancouver Kingsway"," 604","Vancouver",4,148,0,2,3,11,108,64,2,342,
"Vancouver Kingsway/Vancouver Kingsway"," 605","Vancouver",2,334,1,5,0,15,147,114,1,619,
"Vancouver Kingsway/Vancouver Kingsway"," 606","Vancouver",2,131,1,2,1,6,77,51,2,273,
"Vancouver Kingsway/Vancouver Kingsway"," 607","Vancouver",6,317,2,2,0,8,265,192,1,793,
"Vancouver Kingsway/Vancouver Kingsway",,Group 1/Groupe 1,0,38,0,0,0,5,23,10,1,77,137
"Vancouver Kingsway/Vancouver Kingsway",,Group 2/Groupe 2,1,167,0,0,0,16,146,72,11,413,
