Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Suzanne Courville,Mario Laframboise,François-Hugues Liberge,Claude Sabourin,Alain Senécal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 124A","Saint-André-d'Argenteuil (Saint-André-Est)",49,93,20,8,7,4,181,344
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 124B","Saint-André-d'Argenteuil (Saint-André-Est)",41,60,17,2,5,0,125,226
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 125","Saint-Placide",68,201,35,13,20,6,343,538
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 126","Saint-Placide",31,107,10,11,14,2,175,323
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 127","Saint-Placide",58,148,14,15,14,4,253,424
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 128A","Pointe-aux-Anglais--Oka",27,82,15,3,12,2,141,298
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 128B","Pointe-aux-Anglais--Oka",38,101,28,5,13,3,188,371
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 129","Oka",42,121,37,18,27,3,248,471
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 130","Oka",70,118,28,18,18,5,257,410
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 131","Oka",44,96,21,13,11,2,187,270
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 132","Oka",39,99,24,9,16,1,188,299
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 133","Oka",70,155,31,12,23,4,295,464
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 134","Oka",57,178,23,13,15,6,292,449
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 135","Saint-Joseph-du-Lac",57,105,11,12,20,2,207,349
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 136","Saint-Joseph-du-Lac",42,96,11,13,9,1,172,319
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 137","Saint-Joseph-du-Lac",53,180,13,16,18,6,286,465
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 138","Saint-Joseph-du-Lac",72,155,25,14,15,4,285,453
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 139","Saint-Joseph-du-Lac",47,108,21,7,15,3,201,365
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 140","Saint-Joseph-du-Lac",66,142,15,9,13,5,250,399
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 141","Saint-Joseph-du-Lac",55,200,19,27,29,9,339,546
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 142","Saint-Joseph-du-Lac",43,132,18,14,9,5,221,444
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 143A","Saint-Joseph-du-Lac",33,108,13,7,9,4,174,297
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 143B","Saint-Joseph-du-Lac",48,112,16,4,13,6,199,327
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 144","Pointe-Calumet",46,146,23,11,13,3,242,449
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 145","Pointe-Calumet",28,104,22,9,6,3,172,330
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 146","Pointe-Calumet",40,129,11,5,6,4,195,391
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 147","Pointe-Calumet",23,161,7,7,17,8,223,399
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 148","Pointe-Calumet",65,184,20,9,12,5,295,502
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 149","Pointe-Calumet",36,153,18,15,13,5,240,413
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 150","Pointe-Calumet",40,136,30,13,19,5,243,436
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 151","Pointe-Calumet",61,168,29,9,13,7,287,509
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 152","Pointe-Calumet",31,138,12,7,10,5,203,348
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 153","Pointe-Calumet",31,134,15,15,10,7,212,417
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 154","Pointe-Calumet",34,119,25,10,11,6,205,339
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 155","Mirabel (Saint-Hermas)",68,168,23,11,10,4,284,437
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 156","Mirabel (Saint-Hermas)",35,103,10,7,12,1,168,251
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 157","Mirabel (Sainte-Monique)",39,100,2,4,11,5,161,283
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 158","Mirabel (Sainte-Scholastique)",52,94,11,16,12,3,188,258
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 159","Mirabel (Sainte-Scholastique)",56,204,19,24,17,6,326,500
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 160","Mirabel (Saint-Augustin)",77,76,19,8,12,3,195,378
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 161A","Mirabel (Parc du Domaine Vert)",30,116,12,2,22,0,182,302
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 161B","Mirabel (Parc du Domaine Vert)",49,113,18,4,13,3,200,319
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 161C","Mirabel (Parc du Domaine Vert)",53,98,3,2,15,3,174,315
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 162A","Mirabel (Parc du Domaine Vert)",36,97,11,9,20,1,174,282
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 162B","Mirabel (Parc du Domaine Vert)",37,117,15,1,11,3,184,284
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 162C","Mirabel (Parc du Domaine Vert)",41,115,10,11,17,3,197,297
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 162D","Mirabel (Parc du Domaine Vert)",33,138,20,5,9,8,213,342
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 163","Mirabel (Saint-Janvier)",38,74,19,7,10,7,155,246
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 164","Mirabel (Saint-Augustin)",17,36,11,3,13,5,85,151
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 165","Mirabel (Saint-Augustin)",59,167,16,14,17,4,277,482
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 166","Mirabel (Saint-Augustin)",51,111,17,17,9,3,208,384
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 167","Mirabel (Saint-Augustin)",54,150,12,7,24,5,252,385
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 168","Mirabel (Saint-Augustin)",66,163,22,9,15,5,280,431
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 169","Mirabel (Saint-Augustin)",57,128,17,5,14,1,222,365
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 170","Mirabel (Saint-Augustin)",35,104,11,6,10,0,166,299
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 171","Mirabel (Saint-Augustin)",25,83,7,4,5,2,126,198
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 172A","Mirabel (Saint-Augustin)",38,119,15,6,13,4,195,296
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 172B","Mirabel (Saint-Augustin)",39,120,8,5,17,6,195,313
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 173A","Mirabel (Saint-Augustin)",33,161,13,3,11,3,224,369
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 173B","Mirabel (Saint-Augustin)",39,152,4,6,15,9,225,394
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 174A","Mirabel (Saint-Augustin)",51,149,15,16,21,9,261,435
