Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jeffrey Anderson,Anita Neville,Michael Richards,Vere H. Scott,Dale Swirsky,Magnus Thompson,Mark Wasyliw,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 37A","Winnipeg",0,53,27,10,0,0,15,2,107,158
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 37B","Winnipeg",1,74,150,1,1,0,21,0,248,206
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 38","Winnipeg",0,51,59,5,6,1,17,0,139,257
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 39","Winnipeg",2,101,88,12,1,0,36,1,241,339
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 40","Winnipeg",2,109,63,7,5,0,44,4,234,327
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 41","Winnipeg",0,85,94,8,7,0,17,0,211,335
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 42","Winnipeg",2,95,94,13,7,0,32,1,244,396
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 43","Winnipeg",1,117,100,17,8,0,41,1,285,423
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 44","Winnipeg",3,153,88,16,6,0,61,0,327,448
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 45","Winnipeg",1,115,89,18,14,1,68,1,307,422
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 46","Winnipeg",0,146,95,13,3,0,45,0,302,420
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 47","Winnipeg",1,127,83,11,16,0,23,0,261,393
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 48","Winnipeg",1,88,67,11,2,0,35,0,204,349
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 49","Winnipeg",0,95,60,8,6,0,66,1,236,388
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 50","Winnipeg",1,69,28,1,3,0,10,0,112,237
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 51","Winnipeg",1,105,108,14,9,0,40,0,277,400
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 52","Winnipeg",0,142,102,5,8,2,63,0,322,452
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 53","Winnipeg",2,158,76,7,2,1,39,1,286,402
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 54","Winnipeg",0,147,80,23,13,0,53,1,317,458
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 55","Winnipeg",1,118,96,19,13,0,53,0,300,456
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 56","Winnipeg",0,146,81,10,8,2,42,0,289,425
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 57","Winnipeg",1,142,79,10,13,0,42,0,287,401
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 58","Winnipeg",0,98,68,14,14,0,70,0,264,386
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 59","Winnipeg",0,113,44,17,4,0,61,1,240,382
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 60","Winnipeg",4,113,92,5,3,0,39,0,256,359
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 61","Winnipeg",0,133,101,8,6,0,65,1,314,413
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 62","Winnipeg",2,110,79,15,27,0,32,1,266,388
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 63","Winnipeg",1,104,89,7,10,1,49,0,261,381
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 64","Winnipeg",0,87,96,18,2,0,58,0,261,347
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 65","Winnipeg",1,95,69,22,13,1,67,1,269,411
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 66","Winnipeg",20,118,45,9,3,0,54,1,250,253
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 67","Winnipeg",0,100,44,4,0,0,33,0,181,240
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 68","Winnipeg",1,83,53,8,8,0,42,3,198,285
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 69","Winnipeg",2,66,33,16,1,0,89,0,207,375
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 70","Winnipeg",Merged with No. 66/Fusionné avec le nº 66,,,,,,,,,120
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 71","Winnipeg",1,134,79,7,6,1,55,1,284,441
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 72","Winnipeg",1,85,51,13,3,1,49,0,203,307
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 73","Winnipeg",1,97,66,11,2,0,51,0,228,349
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 74A","Winnipeg",0,101,43,8,3,0,62,0,217,361
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 74B","Mobile poll/Bureau itinérant",1,83,54,5,1,0,58,1,203,133
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 75","Winnipeg",1,63,21,7,1,1,48,3,145,294
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 76","Winnipeg",0,23,19,9,3,0,39,0,93,213
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 77","Winnipeg",2,84,47,22,2,0,107,2,266,480
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 78","Winnipeg",0,37,21,14,2,0,67,0,141,323
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 79","Winnipeg",0,31,16,22,1,1,46,2,119,222
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 80","Winnipeg",0,50,35,12,0,1,54,0,152,417
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 81","Winnipeg",1,112,44,1,3,0,10,0,171,335
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 82","Winnipeg",1,89,42,13,5,0,65,0,215,368
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 83","Winnipeg",0,66,49,3,0,0,20,0,138,279
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 84","Winnipeg",0,119,64,19,5,1,86,0,294,532
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 85","Winnipeg",1,74,40,19,3,0,88,1,226,386
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 86","Winnipeg",0,48,36,18,1,0,49,0,152,302
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 87","Winnipeg",1,93,37,22,1,1,113,2,270,493
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 88","Winnipeg",0,52,32,9,3,0,55,1,152,325
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 89","Winnipeg",1,58,32,6,1,0,35,0,133,224
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 90","Winnipeg",0,90,37,18,5,0,69,1,220,385
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 91","Winnipeg",4,58,33,16,7,0,65,0,183,349
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 92","Winnipeg",1,91,52,13,6,0,74,0,237,394
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 93","Winnipeg",1,91,39,19,8,0,86,1,245,421
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 94","Winnipeg",2,77,44,13,3,0,73,0,212,369
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 95","Winnipeg",2,96,41,12,2,1,79,2,235,392
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 96","Winnipeg",0,46,49,24,9,1,69,0,198,372
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 97","Winnipeg",2,84,25,14,13,0,74,1,213,389
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 98","Winnipeg",0,48,43,13,3,1,64,1,173,362
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 99","Winnipeg",2,67,51,13,5,0,87,4,229,405
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 100","Winnipeg",2,61,41,27,4,0,86,0,221,363
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 101","Winnipeg",3,53,33,8,4,1,69,1,172,317
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 102","Winnipeg",3,71,45,7,3,1,54,0,184,303
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 103","Winnipeg",1,99,71,6,5,0,65,0,247,392
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 104","Winnipeg",1,81,71,12,6,0,49,1,221,449
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 105","Winnipeg",7,92,68,10,4,1,58,0,240,333
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 106","Winnipeg",0,97,51,11,3,0,26,0,188,367
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 107","Winnipeg",1,80,44,5,3,0,43,2,178,306
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 108","Winnipeg",1,76,65,1,5,2,32,3,185,393
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 109","Winnipeg",1,64,63,13,8,1,56,0,206,362
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 110","Winnipeg",0,90,79,13,1,2,62,0,247,439
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 111","Winnipeg",2,69,51,5,6,5,67,1,206,417
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 112","Winnipeg",Merged with No. 105/Fusionné avec le nº 105,,,,,,,,,140
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 113","Winnipeg",4,75,66,10,5,0,78,0,238,407
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 114","Winnipeg",5,51,70,13,4,1,76,1,221,389
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 115","Winnipeg",2,76,76,12,6,1,89,2,264,481
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 116A","Winnipeg",Merged with No. 117/Fusionné avec le nº 117,,,,,,,,,138
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 116B","Mobile poll/Bureau itinérant",Merged with No. 74B/Fusionné avec le nº 74B,,,,,,,,,78
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 117","Winnipeg",3,81,42,10,1,0,53,0,190,230
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 118A","Winnipeg",1,47,44,15,4,1,71,0,183,321
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 118B","Winnipeg",3,34,24,2,2,1,14,3,83,288
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 119","Winnipeg",1,73,33,17,6,1,85,0,216,375
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 120","Winnipeg",0,75,46,14,4,0,89,1,229,404
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 121","Winnipeg",2,85,86,18,11,0,119,6,327,566
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 122","Winnipeg",9,59,34,12,3,0,93,1,211,375
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 123","Winnipeg",4,119,64,22,7,0,100,3,319,449
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 124","Winnipeg",3,95,73,19,7,0,97,1,295,384
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 125","Winnipeg",1,74,56,10,3,1,64,0,209,382
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 126","Winnipeg",4,125,96,17,3,2,135,1,383,636
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 127","Winnipeg",0,64,40,23,4,1,90,0,222,408
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 128","Winnipeg",0,71,60,16,4,0,76,0,227,364
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 129","Winnipeg",1,97,80,14,4,0,88,1,285,419
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 130","Winnipeg",1,80,98,14,4,0,72,1,270,377
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 131","Winnipeg",2,75,52,12,5,0,67,0,213,323
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 132","Winnipeg",0,104,62,10,10,0,63,0,249,372
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 133","Winnipeg",0,80,117,16,4,0,82,1,300,427
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 134","Winnipeg",Void/Supprimé,,,,,,,,,
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 135","Winnipeg",2,66,77,6,4,1,56,0,212,325
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 136","Winnipeg",5,44,67,3,6,0,47,0,172,296
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 137","Winnipeg",3,77,72,14,6,1,52,0,225,342
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 138","Winnipeg",0,80,87,14,9,0,85,0,275,429
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 139","Winnipeg",0,60,83,5,5,1,39,1,194,350
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 140","Winnipeg",1,82,75,4,1,1,51,1,216,367
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 141","Winnipeg",1,41,61,6,4,0,57,0,170,372
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 142","Winnipeg",1,69,78,6,6,0,33,0,193,375
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 143","Winnipeg",3,66,93,7,4,0,65,2,240,378
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 144","Winnipeg",1,55,88,13,6,0,63,1,227,413
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 145","Winnipeg",Void/Supprimé,,,,,,,,,
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 146","Winnipeg",0,60,56,4,7,1,66,0,194,348
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 147A","Winnipeg",0,67,77,15,3,0,52,0,214,304
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 147B","Mobile poll/Bureau itinérant",Merged with No. 74B/Fusionné avec le nº 74B,,,,,,,,,50
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 148","Winnipeg",2,66,84,11,6,0,79,0,248,392
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 149","Winnipeg",2,102,84,17,5,0,55,0,265,383
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 150","Winnipeg",0,101,75,18,6,0,85,0,285,407
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 151","Winnipeg",0,80,68,16,1,0,40,0,205,303
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 152","Winnipeg",0,80,78,11,11,0,55,1,236,384
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 153","Winnipeg",4,88,95,17,2,0,53,0,259,389
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 154","Winnipeg",3,97,106,13,14,1,52,1,287,416
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 155","Winnipeg",1,87,76,6,0,0,45,2,217,364
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 156","Winnipeg",0,41,54,5,3,0,32,1,136,227
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 500","Mobile poll/Bureau itinérant",3,80,39,4,3,4,14,2,149,109
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 501","Mobile poll/Bureau itinérant",4,61,22,5,5,2,25,2,126,197
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 502","Mobile poll/Bureau itinérant",3,69,43,0,8,1,21,4,149,270
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 503","Mobile poll/Bureau itinérant",0,59,76,1,8,0,16,2,162,249
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 600","Winnipeg",1,252,279,11,14,0,33,1,591,
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 601","Winnipeg",0,258,205,10,11,1,58,0,543,
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 602","Winnipeg",1,310,251,14,20,0,100,0,696,
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 603","Winnipeg",0,181,134,14,5,0,118,3,455,
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 604","Winnipeg",1,147,149,16,11,3,121,0,448,
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 605","Winnipeg",2,88,149,14,8,0,75,1,337,
"Winnipeg South Centre/Winnipeg-Centre-Sud"," 606","Winnipeg",2,171,247,15,16,0,94,1,546,
"Winnipeg South Centre/Winnipeg-Centre-Sud",,Group 1/Groupe 1,3,66,73,4,2,0,25,7,180,364
"Winnipeg South Centre/Winnipeg-Centre-Sud",,Group 2/Groupe 2,8,867,642,80,22,1,250,23,1893,
