Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Cheryl Gallant,Paul Kelly,Don Lindsay,Gordon Scott McLeod,Sue McSheffrey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 50","Kathmae Siding",146,17,53,5,30,1,252,443
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 51","Pleasant View",50,4,41,3,15,0,113,171
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 52A","Pleasant Valley",155,21,89,6,34,1,306,521
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 52B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,17
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 53","Cotnam Island",153,20,70,10,40,0,293,497
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 54","Micksburg",180,6,55,15,38,0,294,484
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 55","Pembroke",52,8,34,2,14,2,112,278
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 56A","Pembroke",81,6,103,1,20,2,213,387
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 56B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,100
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 57","Pembroke",41,5,24,1,21,0,92,244
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 58","Pembroke",102,5,59,8,27,0,201,445
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 59","Pembroke",92,8,62,6,30,3,201,386
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 60","Pembroke",126,24,73,10,51,0,284,548
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 61","Pembroke",68,9,59,5,17,5,163,394
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 62","Pembroke",44,5,28,5,14,0,96,261
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 63","Pembroke",50,4,29,8,19,0,110,265
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 64","Pembroke",49,2,39,0,28,1,119,304
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 65","Pembroke",91,14,78,6,11,0,200,411
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 66","Pembroke",99,12,74,5,30,0,220,442
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 67","Pembroke",76,13,70,12,25,0,196,382
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 68","Pembroke",100,10,60,4,20,0,194,379
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 69","Pembroke",74,12,83,9,44,0,222,417
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 70","Pembroke",76,14,56,8,36,1,191,370
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 71","Pembroke",55,5,41,4,15,0,120,280
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 72","Pembroke",65,5,43,5,21,1,140,354
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 73","Pembroke",78,7,32,6,18,1,142,302
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 74","Pembroke",85,5,33,4,25,0,152,303
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 75","Pembroke",97,12,38,4,34,0,185,328
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 76","Pembroke",96,5,49,3,28,4,185,354
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 77","Pembroke",74,11,82,6,21,0,194,392
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 78","Pembroke",88,11,70,10,36,0,215,394
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 79","Pembroke",104,18,84,4,41,2,253,515
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 80","Pembroke",111,7,69,2,26,1,216,430
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 81","Pembroke",101,19,51,7,28,0,206,361
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 82","Pembroke",104,8,37,5,15,1,170,261
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 83","Pembroke",128,13,59,6,31,1,238,395
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 84","Airy",123,2,75,10,25,0,235,358
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 85","Airy",58,3,54,5,32,0,152,244
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 86","Madawaska",144,2,31,0,23,0,200,332
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 87","Siberia",60,1,26,3,10,0,100,167
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 88","Paugh Lake",178,12,44,6,35,1,276,557
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 89","Tramore",170,6,20,5,27,1,229,339
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 90","Bonnechere",238,3,50,11,20,1,323,462
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 91","Killaloe",88,0,16,7,29,0,140,199
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 92","Killaloe Station",152,4,45,8,32,0,241,362
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 93","Killaloe Station",98,1,33,10,24,2,168,206
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 94","Simpsons",109,1,26,16,27,0,179,316
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 95","Wilno",79,2,32,11,16,0,140,293
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 96","Siberia",144,7,59,8,21,1,240,482
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 97","Barry's Bay",119,3,36,7,18,0,183,304
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 98","Barry's Bay",94,10,45,5,24,0,178,343
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 99","Barry's Bay",76,2,35,0,10,0,123,278
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 100","Halfway",189,4,64,7,46,1,311,543
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 101","Brudenell",113,4,18,6,24,0,165,255
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 102","Combermere",218,0,48,16,27,0,309,428
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 103","Jewellville",243,1,26,8,27,2,307,422
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 104","Quadeville",160,0,17,3,16,0,196,231
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 105","Hardwood Lake",125,1,19,1,18,0,164,237
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 106","Deacon",123,3,33,4,27,2,192,274
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 107","Golden Lake",145,0,36,8,27,0,216,308
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 108","Zadow",97,1,18,9,35,1,161,331
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 109","Pikwakanagan",47,2,57,9,25,1,141,279
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 110","Germanicus",152,2,34,8,21,0,217,357
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 111","Slabtown",264,14,46,17,50,0,391,547
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 112","Mink Lake",212,0,56,6,39,0,313,536
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 113","Eganville",72,2,36,4,12,0,126,286
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 114","Eganville",129,4,47,9,31,0,220,425
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 115A","Eganville",102,6,53,5,36,0,202,370
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 115B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,,13
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 116","Donegal",147,3,45,6,12,0,213,392
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 117","Lake Clear",147,1,33,8,28,0,217,330
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 118","Clontarf",68,1,10,7,11,0,97,179
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 119","McGrath",110,3,21,8,20,0,162,299
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 120","Hyndford",92,3,24,9,19,0,147,244
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 121","Griffith",117,0,17,5,18,0,157,201
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 122","Matawatchan",69,2,14,6,9,0,100,163
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 123","Mount St. Patrick",92,4,28,4,9,0,137,183
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 124","Westmeath",151,11,89,14,46,0,311,434
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 125","La Passe",154,5,69,10,31,2,271,426
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 126","Rocher Fendu",150,6,28,7,20,0,211,357
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 127","Beachburg",167,4,66,6,34,1,278,423
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 128","Beachburg",99,1,20,8,25,0,153,218
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 129","Perretton",139,3,23,3,19,0,187,314
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 130","Snake River",167,4,26,1,26,0,224,335
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 131","Foresters Falls",179,4,32,8,44,1,268,410
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 132","Ross",179,3,45,10,27,1,265,441
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 133","Cobden",147,3,38,2,23,0,213,395
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 134","Cobden",140,3,41,10,22,0,216,328
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 135","Osceola",109,2,39,12,19,1,182,254
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 136","Pine Valley",59,0,18,0,8,1,86,132
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 137","Douglas",217,4,47,16,37,4,325,439
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 138","Haley Station",177,6,50,6,44,1,284,430
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 139","McLarens Settlement",113,5,16,6,35,1,176,260
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 140","Fremo Corners",117,0,26,8,27,0,178,259
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 141","Admaston",124,3,29,8,33,0,197,261
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 142","Rosebank",83,1,21,2,13,0,120,145
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 143","Chenaux",202,3,64,10,29,0,308,505
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 144","Castleford",235,3,59,5,49,0,351,528
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 145","Renfrew",102,2,36,5,44,1,190,365
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 146","Renfrew",79,0,34,2,35,0,150,286
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 147","Renfrew",133,3,43,11,36,1,227,417
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 148","Renfrew",101,4,64,5,42,0,216,420
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 149","Renfrew",111,2,43,2,44,1,203,384
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 150","Renfrew",94,1,30,9,30,0,164,350
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 151","Renfrew",109,3,57,7,34,0,210,407
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 152","Renfrew",72,3,36,7,46,1,165,350
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 153","Renfrew",120,1,44,14,42,0,221,395
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 154","Renfrew",95,2,53,5,35,1,191,355
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 155","Renfrew",156,5,42,3,37,0,243,459
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 156","Renfrew",125,3,39,4,41,1,213,404
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 157","Renfrew",137,0,47,3,34,1,222,426
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 158","Renfrew",127,2,57,7,45,0,238,394
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 159","Renfrew",124,3,74,5,30,1,237,407
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 160A","Renfrew",99,2,42,2,13,2,160,296
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 160B","Renfrew",111,2,50,2,20,0,185,308
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 161","Ferguslea",223,6,51,7,54,1,342,485
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 162","Horton",137,2,40,4,36,1,220,465
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 163","Mayhew",202,2,47,5,45,4,305,429
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 164","Barrett Chute",73,1,16,5,16,0,111,161
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 165","Ashdad",215,1,54,22,31,0,323,510
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 166","Calabogie",103,0,22,2,26,1,154,226
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 167","Springtown",144,0,53,12,26,2,237,370
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 168","White Lake",223,2,60,15,29,0,329,499
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 169A","Waba",143,2,27,12,39,1,224,327
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 169B","Waba",148,1,34,8,23,0,214,305
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 170","Burnstown",126,3,46,10,43,0,228,350
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 171","Glasgow Station",135,3,43,6,37,0,224,306
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 172","Stewartville",198,0,46,15,39,1,299,457
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 173","Dewars",196,1,49,9,29,1,285,497
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 174","McNab",56,0,19,4,20,0,99,187
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 175A","McNab",98,3,34,6,21,0,162,284
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 175B","McNab",112,1,36,5,22,1,177,304
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 176","Arnprior",206,3,54,10,47,1,321,511
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 177A","Arnprior",126,4,47,5,22,0,204,352
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 177B","Mobile poll/Bureau itinérant",Merged with No. 505/Fusionné avec le nº 505,,,,,,,25
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 178","Arnprior",109,5,54,10,42,0,220,407
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 179","Arnprior",95,1,27,2,34,1,160,375
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 180","Arnprior",148,5,44,12,43,0,252,427
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 181","McNab",183,10,45,10,44,2,294,520
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 182","McNab",258,8,63,20,48,0,397,578
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 183","Braeside",119,1,28,8,32,0,188,296
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 184","Sandy Hook",125,7,60,13,50,0,255,488
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 185","Arnprior",117,10,48,6,32,0,213,450
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 186","Arnprior",103,2,56,11,41,0,213,373
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 187","McNab/Braeside",78,0,53,3,32,0,166,299
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 188","Arnprior",146,8,45,6,46,5,256,518
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 189","Arnprior",82,5,29,4,19,0,139,259
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 190","Arnprior",100,2,25,10,37,0,174,304
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 191","Arnprior",144,1,66,11,38,0,260,401
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 192","Arnprior",124,6,45,9,35,0,219,428
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 193","McNab/Braeside",136,2,65,12,42,0,257,440
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 400","Renfrew",33,3,27,4,12,2,81,138
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 401","Pembroke",47,2,59,0,8,2,118,157
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 402","Pembroke",20,1,22,2,7,0,52,166
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 500","Mobile poll/Bureau itinérant",90,6,78,2,10,4,190,150
"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 501","Mobile poll/Bureau itinérant",52,5,40,1,11,7,116,177
