Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sophie Fréchette,Serge Lachapelle,Louise O'Sullivan,Lucienne Robillard,Julie Sabourin,Bill Sloan,Eric Wilson Steedman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 35","Montréal",16,1,44,123,9,0,22,0,215,568
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 36","Montréal",19,0,50,91,14,0,14,1,189,469
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 37","Montréal",4,1,44,102,13,0,13,1,178,575
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 38","Montréal",14,0,45,103,22,0,15,0,199,423
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 39","Montréal",14,1,26,64,10,0,12,0,127,363
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 40","Montréal",7,0,14,73,0,0,6,1,101,385
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 41","Montréal",13,0,30,77,15,0,38,1,174,518
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 42","Montréal",9,1,20,68,8,0,18,0,124,370
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 43","Montréal",10,0,32,109,19,0,31,2,203,702
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 44","Montréal",18,0,8,56,14,1,31,1,129,317
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 45","Montréal",9,0,17,47,10,0,12,0,95,271
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 46","Montréal",16,3,28,103,11,0,20,2,183,668
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 47","Montréal",13,0,14,52,8,0,20,0,107,484
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 48","Montréal",6,0,20,51,5,0,10,0,92,528
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 49","Montréal",1,1,8,27,6,0,17,1,61,375
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 50","Montréal",19,0,16,62,7,0,16,0,120,382
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 51","Montréal",24,0,20,55,7,1,36,1,144,304
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 52","Montréal",29,0,25,81,15,1,32,1,184,529
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 53","Montréal",16,2,24,68,12,0,19,1,142,548
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 54","Montréal",12,1,20,62,8,0,32,2,137,328
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 55A","Montréal",10,0,13,81,8,1,18,1,132,389
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 55B","Montréal",6,0,14,67,13,1,18,0,119,383
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 56","Montréal",13,0,22,112,17,0,33,2,199,569
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 57","Montréal",19,0,15,70,7,0,19,2,132,329
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 58","Montréal",23,0,24,104,18,0,41,2,212,432
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 59","Montréal",31,1,23,126,17,0,28,6,232,611
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 60","Montréal",12,1,32,82,21,0,40,1,189,521
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 61","Montréal",13,0,10,58,14,0,43,1,139,395
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 62","Montréal",14,0,38,124,17,1,38,4,236,493
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 63","Montréal",8,1,53,43,4,0,6,1,116,307
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 64","Montréal",3,0,16,47,5,0,5,0,76,153
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 65","Montréal",5,0,52,91,15,0,25,1,189,488
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 66","Montréal",4,0,13,54,7,0,3,0,81,150
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 67","Montréal",10,0,18,95,7,0,27,0,157,455
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 68A","Montréal",26,0,20,75,9,0,21,0,151,488
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 68B","Montréal",19,0,19,63,12,0,26,1,140,426
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 69","Westmount",6,0,69,158,21,1,42,2,299,626
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 70","Westmount",1,0,15,46,4,0,6,0,72,214
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 71","Westmount",15,0,27,93,29,0,56,3,223,456
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 72","Westmount",12,0,48,86,27,0,28,2,203,413
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 73A","Westmount",12,0,38,113,10,0,12,0,185,635
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 73B","Westmount",4,0,27,74,5,0,11,1,122,424
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 74","Westmount",10,0,57,95,16,1,33,3,215,430
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 75","Westmount",8,0,52,74,9,0,13,1,157,343
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 76","Westmount",8,0,46,89,18,1,19,0,181,392
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 77","Westmount",7,0,36,84,13,0,28,0,168,354
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 78","Westmount",2,0,56,80,13,1,13,0,165,396
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 79","Westmount",5,0,38,90,7,2,17,0,159,471
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 80","Westmount",13,0,35,116,17,0,36,1,218,525
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 81","Westmount",4,0,18,63,9,0,18,0,112,219
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 82","Westmount",5,0,55,73,17,1,19,0,170,295
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 83","Westmount",5,0,31,75,14,0,14,0,139,359
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 84","Westmount",8,0,54,84,34,0,39,1,220,408
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 85","Westmount",Merged with No. 86/Fusionné avec le nº 86,,,,,,,,,50
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 86","Westmount",5,1,43,142,19,0,24,0,234,469
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 87","Westmount",7,0,59,122,24,0,22,1,235,373
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 88","Westmount",6,0,32,54,19,0,28,1,140,310
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 89","Westmount",6,0,24,86,24,0,37,3,180,397
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 90","Westmount",7,0,31,117,23,0,52,2,232,493
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 91","Westmount",7,0,60,128,25,1,31,1,253,491
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 92","Westmount",11,0,117,148,11,1,15,0,303,566
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 93","Westmount",1,1,68,90,11,1,11,0,183,314
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 94","Westmount",8,0,77,97,24,1,28,1,236,397
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 95","Westmount",7,0,53,104,26,1,21,0,212,376
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 96","Westmount",10,0,55,110,31,0,31,0,237,379
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 97","Westmount",8,0,66,127,14,0,24,1,240,425
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 98","Westmount",3,1,73,147,20,0,19,4,267,431
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 99","Westmount",4,0,88,136,27,0,8,0,263,526
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 100","Westmount",5,0,88,109,22,0,34,3,261,479
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 101","Montréal",26,0,47,104,16,0,22,0,215,489
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 102","Montréal",34,0,67,98,20,0,29,2,250,482
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 103","Montréal",57,1,50,96,26,0,26,0,256,514
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 104","Montréal",9,0,12,54,5,0,38,1,119,370
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 105","Montréal",25,2,42,112,15,1,18,2,217,379
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 106","Montréal",31,0,38,106,22,0,21,0,218,425
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 107","Montréal",4,0,27,55,2,0,8,0,96,303
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 108","Westmount",8,0,58,117,28,0,18,0,229,371
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 109","Westmount",1,0,52,97,25,0,16,4,195,309
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 110","Westmount",6,0,60,106,26,1,48,0,247,432
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 111","Westmount",15,0,56,134,31,0,36,1,273,483
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 112","Westmount",10,0,58,107,14,0,23,1,213,431
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 113","Westmount",7,0,52,90,28,0,27,0,204,312
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 114","Westmount",15,1,49,143,44,1,55,2,310,551
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 115","Montréal",18,0,24,63,12,0,33,0,150,347
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 116","Montréal",35,0,31,102,11,0,30,2,211,419
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 117","Montréal",17,1,22,81,17,1,27,1,167,375
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 118","Montréal",31,0,43,98,16,0,33,1,222,478
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 119","Montréal",35,0,34,93,21,0,36,2,221,419
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 120","Montréal",15,0,32,65,18,0,26,1,157,349
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 121","Montréal",14,2,12,76,16,0,28,0,148,385
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 122","Montréal",29,2,42,97,18,0,36,2,226,442
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 123","Montréal",64,0,15,84,30,0,61,3,257,431
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 124","Montréal",53,2,49,113,22,2,59,2,302,521
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 125","Montréal",9,0,35,90,1,0,9,3,147,445
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 126","Montréal",10,0,23,67,11,0,17,1,129,381
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 127","Montréal",33,0,22,55,13,0,18,7,148,261
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 128","Montréal",66,0,29,81,25,1,52,12,266,430
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 129","Montréal",56,0,41,77,27,0,35,3,239,450
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 130","Montréal",42,3,39,86,28,0,62,3,263,421
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 131","Montréal",22,2,21,92,42,0,71,1,251,502
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 132","Montréal",26,0,41,94,20,1,44,0,226,391
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 133","Montréal",23,0,21,75,18,1,31,0,169,316
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 134A","Montréal",20,1,18,43,24,0,46,0,152,392
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 134B","Montréal",2,0,11,34,3,0,12,0,62,80
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 135","Montréal",12,0,24,67,8,0,36,1,148,291
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 136","Montréal",40,0,19,65,12,0,46,0,182,406
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 137","Montréal",20,0,19,81,30,1,51,1,203,451
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 138","Montréal",55,0,25,55,15,1,35,1,187,318
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 139","Montréal",54,0,33,61,23,0,33,0,204,368
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 140","Montréal",40,2,29,105,22,0,36,3,237,430
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 141","Montréal",32,0,19,34,12,0,25,1,123,230
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 142","Montréal",24,0,26,65,14,0,33,2,164,379
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 143","Montréal",45,0,42,75,17,1,45,0,225,407
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 144","Montréal",39,0,19,81,20,0,32,1,192,308
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 145","Montréal",47,1,28,63,25,2,53,0,219,325
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 146","Montréal",42,0,36,76,23,0,39,0,216,331
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 147","Montréal",59,0,40,78,28,1,54,0,260,428
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 148","Montréal",46,0,25,65,22,0,29,0,187,313
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 149","Montréal",47,1,20,63,12,0,51,0,194,327
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 150","Montréal",62,0,34,89,28,0,40,1,254,388
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 151","Montréal",39,3,38,89,24,0,27,3,223,404
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 152","Montréal",21,3,44,87,16,1,27,1,200,404
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 153","Montréal",6,0,28,58,15,0,21,0,128,196
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 154","Montréal",31,1,27,83,25,0,59,1,227,354
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 155","Montréal",55,0,28,89,32,1,41,1,247,359
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 156","Montréal",42,0,16,73,31,1,48,0,211,368
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 157","Montréal",24,0,19,78,10,0,8,0,139,312
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 158","Montréal",77,1,36,127,36,1,109,0,387,631
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 159","Montréal",36,1,22,77,19,0,43,1,199,477
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 160","Montréal",30,0,24,96,29,0,57,1,237,463
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 161","Montréal",31,0,14,71,11,1,55,0,183,336
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 162","Montréal",54,0,15,74,35,1,81,2,262,450
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 163","Montréal",64,0,23,72,38,0,53,0,250,384
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 164","Montréal",49,0,31,83,17,1,50,0,231,391
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 165","Montréal",28,0,20,69,24,0,54,3,198,408
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 166","Montréal",19,3,21,76,5,0,28,5,157,272
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 167","Montréal",20,0,33,100,25,1,35,3,217,415
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 168","Montréal",6,1,20,143,9,2,24,0,205,368
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 169","Montréal",12,2,32,124,16,0,23,1,210,414
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 170","Montréal",34,0,18,93,21,1,57,1,225,366
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 171","Montréal",15,0,18,58,19,0,48,0,158,243
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 172","Montréal",53,0,37,121,48,1,66,4,330,528
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 173","Montréal",41,0,28,101,44,2,51,2,269,491
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 174","Montréal",9,2,33,140,10,0,31,4,229,535
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 175","Montréal",13,3,25,84,15,0,16,0,156,413
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 400","Montréal",11,0,19,69,12,0,12,0,123,321
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 500","Mobile poll/Bureau itinérant",9,0,11,29,0,0,3,2,54,182
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 501","Mobile poll/Bureau itinérant",1,1,21,101,3,1,9,3,140,250
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 502","Mobile poll/Bureau itinérant",4,1,24,77,5,0,9,0,120,261
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 600","Montréal",131,1,65,196,25,0,58,1,477,
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 601","Montréal",34,0,51,115,9,0,28,0,237,
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 602","Montréal",31,0,146,351,22,2,43,0,595,
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 603","Montréal",43,1,77,303,8,1,37,0,470,
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 604","Montréal",16,1,223,530,48,2,61,11,892,
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 605","Montréal",24,0,109,214,22,1,26,1,397,
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 606","Montréal",59,1,94,242,37,2,53,2,490,
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 607","Montréal",112,0,89,187,33,1,55,0,477,
"Westmount--Ville-Marie/Westmount--Ville-Marie"," 608","Montréal",66,1,38,130,30,0,48,0,313,
"Westmount--Ville-Marie/Westmount--Ville-Marie",,Group 1/Groupe 1,28,2,29,112,17,1,29,8,226,371
"Westmount--Ville-Marie/Westmount--Ville-Marie",,Group 2/Groupe 2,114,1,212,830,63,2,121,19,1362,
