Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Day Cowling,David Cunningham,Irma DeVries,Keith Dinicol,Gary Schellenberger,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Perth--Wellington/Perth--Wellington"," 67","North Perth",9,18,3,19,90,1,140,220
"Perth--Wellington/Perth--Wellington"," 68","North Perth",16,45,5,53,127,1,247,400
"Perth--Wellington/Perth--Wellington"," 69","North Perth",8,41,4,20,106,2,181,250
"Perth--Wellington/Perth--Wellington"," 70","North Perth",10,51,8,24,152,1,246,377
"Perth--Wellington/Perth--Wellington"," 71","Mornington",5,17,7,11,41,0,81,180
"Perth--Wellington/Perth--Wellington"," 72","Milverton",13,53,1,28,91,3,189,370
"Perth--Wellington/Perth--Wellington"," 73","Milverton",19,92,13,40,198,1,363,521
"Perth--Wellington/Perth--Wellington"," 74","Milverton",21,73,6,29,120,1,250,375
"Perth--Wellington/Perth--Wellington"," 75","Mornington",7,27,8,20,38,0,100,260
"Perth--Wellington/Perth--Wellington"," 76","Mornington",1,14,0,1,13,0,29,236
"Perth--Wellington/Perth--Wellington"," 77","Millbank",9,29,4,23,92,0,157,354
"Perth--Wellington/Perth--Wellington"," 78","Mornington",12,35,6,16,78,1,148,363
"Perth--Wellington/Perth--Wellington"," 79","Mornington",14,40,10,12,78,0,154,435
"Perth--Wellington/Perth--Wellington"," 80","North Perth",8,35,0,24,99,1,167,243
"Perth--Wellington/Perth--Wellington"," 81","North Perth",10,26,10,29,86,0,161,279
"Perth--Wellington/Perth--Wellington"," 82","Logan",6,21,7,26,83,0,143,241
"Perth--Wellington/Perth--Wellington"," 83","Logan",8,24,11,14,66,0,123,196
"Perth--Wellington/Perth--Wellington"," 84","Logan",5,47,4,21,93,1,171,281
"Perth--Wellington/Perth--Wellington"," 85","Logan",15,54,4,20,99,0,192,298
"Perth--Wellington/Perth--Wellington"," 86","Logan",5,17,8,13,49,2,94,171
"Perth--Wellington/Perth--Wellington"," 87","Mitchell",14,61,9,31,109,0,224,383
"Perth--Wellington/Perth--Wellington"," 88","Mitchell",1,39,6,29,101,0,176,320
"Perth--Wellington/Perth--Wellington"," 89","Mitchell",9,70,7,28,109,0,223,379
"Perth--Wellington/Perth--Wellington"," 90","Mitchell",12,43,3,30,97,0,185,301
"Perth--Wellington/Perth--Wellington"," 91A","Mitchell",14,71,12,36,131,0,264,476
"Perth--Wellington/Perth--Wellington"," 91B","Mobile poll/Bureau itinérant",Merged with No. 104B/Fusionné avec le nº 104B,,,,,,,46
"Perth--Wellington/Perth--Wellington"," 92","Mitchell",10,38,8,27,104,0,187,373
"Perth--Wellington/Perth--Wellington"," 93","Mitchell",11,25,4,34,102,1,177,296
"Perth--Wellington/Perth--Wellington"," 94","Mitchell",9,33,10,32,91,1,176,315
"Perth--Wellington/Perth--Wellington"," 95","Mitchell",2,38,9,21,92,2,164,303
"Perth--Wellington/Perth--Wellington"," 96","Fullarton",11,30,6,19,107,1,174,276
"Perth--Wellington/Perth--Wellington"," 97","Hibbert",14,66,14,28,83,1,206,329
"Perth--Wellington/Perth--Wellington"," 98","Hibbert",6,33,9,29,104,0,181,298
"Perth--Wellington/Perth--Wellington"," 99","Hibbert",6,31,5,23,75,1,141,228
"Perth--Wellington/Perth--Wellington"," 100","Fullarton",5,54,6,42,131,0,238,390
"Perth--Wellington/Perth--Wellington"," 101","Fullarton",9,16,14,9,77,0,125,247
"Perth--Wellington/Perth--Wellington"," 102","Ellice",16,45,10,17,71,0,159,227
"Perth--Wellington/Perth--Wellington"," 103","Ellice",19,37,2,26,101,1,186,279
"Perth--Wellington/Perth--Wellington"," 104A","Ellice",8,28,13,22,86,0,157,257
"Perth--Wellington/Perth--Wellington"," 104B","Mobile poll/Bureau itinérant",0,24,1,4,38,0,67,68
"Perth--Wellington/Perth--Wellington"," 105","Ellice",11,18,4,30,94,0,157,236
"Perth--Wellington/Perth--Wellington"," 106","Sebringville",5,29,0,25,28,0,87,186
"Perth--Wellington/Perth--Wellington"," 107","Ellice",4,35,3,33,69,0,144,257
"Perth--Wellington/Perth--Wellington"," 108","Ellice",8,27,8,28,105,0,176,357
"Perth--Wellington/Perth--Wellington"," 109","North Easthope",7,49,1,21,49,1,128,236
"Perth--Wellington/Perth--Wellington"," 110","North Easthope",13,61,2,35,86,1,198,305
"Perth--Wellington/Perth--Wellington"," 111","North Easthope",20,55,4,12,78,3,172,258
"Perth--Wellington/Perth--Wellington"," 112","South Easthope",22,65,6,45,109,0,247,380
"Perth--Wellington/Perth--Wellington"," 113","North Easthope",13,67,9,29,111,1,230,362
"Perth--Wellington/Perth--Wellington"," 114A","North Easthope",14,38,5,30,55,0,142,284
"Perth--Wellington/Perth--Wellington"," 114B","North Easthope",14,43,3,59,58,1,178,233
"Perth--Wellington/Perth--Wellington"," 115","South Easthope",19,49,3,40,128,1,240,385
"Perth--Wellington/Perth--Wellington"," 116","South Easthope",15,42,8,19,72,0,156,225
"Perth--Wellington/Perth--Wellington"," 117","South Easthope",15,42,1,12,57,2,129,206
"Perth--Wellington/Perth--Wellington"," 118","Ellice",16,55,5,52,61,3,192,376
"Perth--Wellington/Perth--Wellington"," 119","Stratford",21,69,4,58,77,0,229,369
"Perth--Wellington/Perth--Wellington"," 120","Stratford",19,72,2,64,88,0,245,408
"Perth--Wellington/Perth--Wellington"," 121","Stratford",20,150,3,66,160,0,399,574
"Perth--Wellington/Perth--Wellington"," 122","Stratford",17,94,5,68,112,2,298,462
"Perth--Wellington/Perth--Wellington"," 123A","Stratford",Merged with No. 114B/Fusionné avec le nº 114B,,,,,,,124
"Perth--Wellington/Perth--Wellington"," 123B","Stratford",13,79,3,53,88,0,236,407
"Perth--Wellington/Perth--Wellington"," 124","Stratford",12,99,2,48,90,0,251,403
"Perth--Wellington/Perth--Wellington"," 125","Stratford",22,101,4,67,119,1,314,423
"Perth--Wellington/Perth--Wellington"," 126","Stratford",20,88,1,53,81,0,243,392
"Perth--Wellington/Perth--Wellington"," 127","Stratford",31,58,2,64,45,0,200,318
"Perth--Wellington/Perth--Wellington"," 128","Stratford",20,76,2,72,71,0,241,383
"Perth--Wellington/Perth--Wellington"," 129","Stratford",28,59,1,75,52,1,216,333
"Perth--Wellington/Perth--Wellington"," 130","Stratford",25,58,0,63,59,2,207,333
"Perth--Wellington/Perth--Wellington"," 131","Stratford",17,57,0,62,66,1,203,328
"Perth--Wellington/Perth--Wellington"," 132","Stratford",15,109,7,46,97,0,274,435
"Perth--Wellington/Perth--Wellington"," 133","Stratford",14,47,5,47,50,0,163,359
"Perth--Wellington/Perth--Wellington"," 134","Stratford",12,67,5,41,69,0,194,378
"Perth--Wellington/Perth--Wellington"," 135","Stratford",12,67,2,35,75,0,191,355
"Perth--Wellington/Perth--Wellington"," 136","Stratford",11,68,3,75,80,2,239,374
"Perth--Wellington/Perth--Wellington"," 137","Stratford",32,47,1,78,35,0,193,322
"Perth--Wellington/Perth--Wellington"," 138","Stratford",12,61,2,53,59,2,189,412
"Perth--Wellington/Perth--Wellington"," 139","Stratford",13,42,6,57,66,1,185,397
"Perth--Wellington/Perth--Wellington"," 140","Stratford",19,32,4,68,44,0,167,332
"Perth--Wellington/Perth--Wellington"," 141","Stratford",26,37,3,73,54,0,193,393
"Perth--Wellington/Perth--Wellington"," 142","Stratford",24,49,7,95,58,1,234,440
"Perth--Wellington/Perth--Wellington"," 143","Stratford",21,48,1,70,52,0,192,333
"Perth--Wellington/Perth--Wellington"," 144","Stratford",23,65,1,79,42,0,210,394
"Perth--Wellington/Perth--Wellington"," 145","Stratford",11,49,1,73,60,0,194,382
"Perth--Wellington/Perth--Wellington"," 146","Stratford",7,47,2,75,67,0,198,340
"Perth--Wellington/Perth--Wellington"," 147","Stratford",7,42,4,66,70,2,191,385
"Perth--Wellington/Perth--Wellington"," 148","Stratford",14,52,5,39,43,1,154,298
"Perth--Wellington/Perth--Wellington"," 149","Stratford",14,58,7,79,82,0,240,388
"Perth--Wellington/Perth--Wellington"," 150","Stratford",36,41,2,59,43,0,181,373
"Perth--Wellington/Perth--Wellington"," 151","Stratford",22,35,0,73,75,1,206,356
"Perth--Wellington/Perth--Wellington"," 152","Stratford",12,58,5,51,67,0,193,316
"Perth--Wellington/Perth--Wellington"," 153","Stratford",13,51,5,62,65,0,196,346
"Perth--Wellington/Perth--Wellington"," 154","Stratford",19,40,3,51,75,0,188,323
"Perth--Wellington/Perth--Wellington"," 155","Stratford",21,64,3,52,60,0,200,376
"Perth--Wellington/Perth--Wellington"," 156A","Stratford",4,53,2,39,38,1,137,299
"Perth--Wellington/Perth--Wellington"," 156B","Stratford",12,53,4,35,58,0,162,301
"Perth--Wellington/Perth--Wellington"," 157","Stratford",15,63,2,71,101,0,252,534
"Perth--Wellington/Perth--Wellington"," 158","Stratford",20,72,2,43,80,0,217,355
"Perth--Wellington/Perth--Wellington"," 159","Stratford",5,77,4,57,98,1,242,466
"Perth--Wellington/Perth--Wellington"," 160","Stratford",17,110,3,68,122,0,320,508
"Perth--Wellington/Perth--Wellington"," 161","Stratford",18,54,7,62,58,0,199,376
"Perth--Wellington/Perth--Wellington"," 162","Stratford",20,93,6,90,116,0,325,568
"Perth--Wellington/Perth--Wellington"," 163","Stratford",10,64,6,49,64,0,193,381
"Perth--Wellington/Perth--Wellington"," 164","Stratford",21,83,3,54,58,0,219,386
"Perth--Wellington/Perth--Wellington"," 165","Stratford",19,54,2,80,35,1,191,322
"Perth--Wellington/Perth--Wellington"," 166","Stratford",34,62,1,79,46,2,224,325
"Perth--Wellington/Perth--Wellington"," 167","Stratford",22,52,3,48,41,0,166,265
"Perth--Wellington/Perth--Wellington"," 168","Stratford",18,59,3,62,94,2,238,343
"Perth--Wellington/Perth--Wellington"," 169","Stratford",17,107,6,48,125,5,308,508
"Perth--Wellington/Perth--Wellington"," 170","Stratford",17,65,1,48,66,0,197,401
"Perth--Wellington/Perth--Wellington"," 171","Stratford",6,81,9,36,59,0,191,323
"Perth--Wellington/Perth--Wellington"," 172","Stratford",19,70,5,58,87,1,240,384
"Perth--Wellington/Perth--Wellington"," 173","Stratford",19,46,4,58,68,0,195,383
"Perth--Wellington/Perth--Wellington"," 174","Stratford",13,75,3,45,63,1,200,370
"Perth--Wellington/Perth--Wellington"," 175A","Sebringville",18,44,4,35,106,0,207,295
"Perth--Wellington/Perth--Wellington"," 175B","Sebringville",17,34,3,42,113,0,209,313
"Perth--Wellington/Perth--Wellington"," 176","Avonton",12,35,5,13,78,0,143,214
"Perth--Wellington/Perth--Wellington"," 177","St. Pauls Station",10,33,2,33,74,1,153,223
"Perth--Wellington/Perth--Wellington"," 178","Perth South",3,24,2,14,65,1,109,183
"Perth--Wellington/Perth--Wellington"," 179","Conroy",14,42,11,19,70,0,156,284
"Perth--Wellington/Perth--Wellington"," 180","Downie",11,31,2,14,75,0,133,231
"Perth--Wellington/Perth--Wellington"," 181","Blanshard",13,26,2,31,99,0,171,311
"Perth--Wellington/Perth--Wellington"," 182","Blanshard",17,33,3,26,79,1,159,245
"Perth--Wellington/Perth--Wellington"," 183","Blanshard",17,42,7,30,112,2,210,290
"Perth--Wellington/Perth--Wellington"," 184","Blanshard",17,51,6,47,122,1,244,377
"Perth--Wellington/Perth--Wellington"," 185","St. Marys",13,90,3,41,173,1,321,564
"Perth--Wellington/Perth--Wellington"," 186","St. Marys",26,46,4,36,118,1,231,373
"Perth--Wellington/Perth--Wellington"," 187A","St. Marys",21,67,4,49,93,0,234,371
"Perth--Wellington/Perth--Wellington"," 187B","St. Marys",9,48,1,23,59,0,140,270
"Perth--Wellington/Perth--Wellington"," 188","St. Marys",18,54,5,45,68,0,190,315
"Perth--Wellington/Perth--Wellington"," 189","St. Marys",10,36,5,41,95,1,188,315
"Perth--Wellington/Perth--Wellington"," 190","St. Marys",11,36,2,38,83,0,170,271
"Perth--Wellington/Perth--Wellington"," 191","St. Marys",14,65,6,47,162,0,294,477
"Perth--Wellington/Perth--Wellington"," 192","St. Marys",20,46,2,39,72,0,179,314
"Perth--Wellington/Perth--Wellington"," 193","St. Marys",15,72,1,31,130,1,250,372
"Perth--Wellington/Perth--Wellington"," 194","St. Marys",16,42,1,31,60,1,151,237
"Perth--Wellington/Perth--Wellington"," 195","St. Marys",16,38,4,35,90,0,183,316
"Perth--Wellington/Perth--Wellington"," 196A","St. Marys",14,51,1,26,83,0,175,326
"Perth--Wellington/Perth--Wellington"," 196B","St. Marys",6,50,2,41,101,0,200,365
"Perth--Wellington/Perth--Wellington"," 500A","Mobile poll/Bureau itinérant",3,20,5,6,27,0,61,113
"Perth--Wellington/Perth--Wellington"," 500B","Mobile poll/Bureau itinérant",1,17,1,2,37,1,59,123
"Perth--Wellington/Perth--Wellington"," 501","Mobile poll/Bureau itinérant",3,24,2,12,37,8,86,153
"Perth--Wellington/Perth--Wellington"," 600","Minto",13,121,30,59,317,2,542,
"Perth--Wellington/Perth--Wellington"," 601","Minto--Wellington North",19,51,1,27,157,3,258,
"Perth--Wellington/Perth--Wellington"," 602","Mapleton",12,97,23,42,296,3,473,
"Perth--Wellington/Perth--Wellington"," 603","North Perth",28,130,13,57,350,1,579,
"Perth--Wellington/Perth--Wellington"," 604","West Perth",22,108,20,62,329,1,542,
"Perth--Wellington/Perth--Wellington"," 605","East Perth",13,89,5,44,167,1,319,
"Perth--Wellington/Perth--Wellington"," 606","Stratford",39,211,8,145,295,1,699,
"Perth--Wellington/Perth--Wellington"," 607","Stratford",35,102,8,103,169,1,418,
"Perth--Wellington/Perth--Wellington"," 608","Stratford",37,199,9,159,312,2,718,
"Perth--Wellington/Perth--Wellington"," 609","South Perth",11,44,1,26,102,0,184,
"Perth--Wellington/Perth--Wellington"," 610","St. Marys",24,110,7,56,263,0,460,
"Perth--Wellington/Perth--Wellington",,Group 1/Groupe 1,8,21,1,21,38,5,94,174
"Perth--Wellington/Perth--Wellington",,Group 2/Groupe 2,69,384,18,264,708,7,1450,
