Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bob Cruise,James McVeity,Taras Natyshak,Jeff Watson,Susan Whelan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Essex/Essex"," 503","Mobile poll/Bureau itinérant",0,1,12,18,53,4,88,176
"Essex/Essex"," 600","Lakeshore (Emeryville)",0,7,76,220,144,2,449,
"Essex/Essex"," 601","Belle River",1,15,177,273,247,0,713,
"Essex/Essex"," 602","Lakeshore (Comber)",1,5,46,105,84,0,241,
"Essex/Essex"," 603","LaSalle",1,18,85,318,251,2,675,
"Essex/Essex"," 604","LaSalle",0,10,95,269,196,2,572,
"Essex/Essex"," 605","Amherstburg",0,11,62,322,207,4,606,
"Essex/Essex"," 606","Amherstburg",0,8,121,274,257,4,664,
"Essex/Essex"," 607","Essex",1,12,100,279,128,0,520,
"Essex/Essex"," 608","Essex (Harrow)",0,8,79,265,171,0,523,
"Essex/Essex"," 609","Kingsville",0,7,27,256,94,0,384,
"Essex/Essex"," 610","Kingsville",0,13,88,392,182,0,675,
"Essex/Essex",,Group 1/Groupe 1,1,0,3,32,19,1,56,155
"Essex/Essex",,Group 2/Groupe 2,3,34,193,802,560,14,1606,
