Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bill Given,Tanya Mary Kappo,Zane Lewis,Susan Thompson,Chris Warkentin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Peace River/Peace River"," 79","Peace River",17,9,7,43,93,0,169,357
"Peace River/Peace River"," 80","Peace River",18,5,5,32,72,1,133,255
"Peace River/Peace River"," 81","Three Creeks",7,11,4,22,31,0,75,137
"Peace River/Peace River"," 82","Cadotte Lake",1,99,4,7,19,1,131,261
"Peace River/Peace River"," 83","Little Buffalo",1,23,0,6,3,0,33,176
"Peace River/Peace River"," 84","Bison Lake (Pine Ridge)",Merged with No. 82/Fusionné avec le nº 82,,,,,,,7
"Peace River/Peace River"," 85","St. Isidore",32,22,3,38,60,2,157,277
"Peace River/Peace River"," 86","Harmon Valley",1,0,2,12,19,0,34,59
"Peace River/Peace River"," 87","Reno",11,1,3,23,56,0,94,180
"Peace River/Peace River"," 88","Nampa",10,15,3,31,70,0,129,211
"Peace River/Peace River"," 89","Nampa",9,12,9,29,76,0,135,281
"Peace River/Peace River"," 90","Marie-Reine",7,9,3,23,48,0,90,154
"Peace River/Peace River"," 91","Jean Côté",10,18,4,17,80,1,130,211
"Peace River/Peace River"," 92","Donnelly",31,13,8,51,102,1,206,361
"Peace River/Peace River"," 93","Kathleen",13,26,4,25,92,0,160,236
"Peace River/Peace River"," 94","McLennan",15,30,6,49,100,1,201,374
"Peace River/Peace River"," 95","McLennan",12,16,1,26,42,0,97,167
"Peace River/Peace River"," 96","Guy",22,11,2,20,84,0,139,231
"Peace River/Peace River"," 97","Whitemud Creek",3,2,3,11,28,0,47,145
"Peace River/Peace River"," 98","Culp",20,11,2,26,80,0,139,245
"Peace River/Peace River"," 99","Falher",21,13,0,19,52,0,105,202
"Peace River/Peace River"," 100","Falher",31,11,5,30,134,0,211,359
"Peace River/Peace River"," 101","Falher",15,14,2,30,93,1,155,382
"Peace River/Peace River"," 102","Girouxville",19,13,7,14,63,0,116,213
"Peace River/Peace River"," 103","Tangent",23,8,0,19,79,0,129,213
"Peace River/Peace River"," 104","Eaglesham",29,7,6,16,114,0,172,311
"Peace River/Peace River"," 105","Wanham",35,6,3,23,77,0,144,213
"Peace River/Peace River"," 106","Rycroft",35,7,1,27,125,2,197,328
"Peace River/Peace River"," 107","Rycroft",43,7,4,20,114,1,189,358
"Peace River/Peace River"," 108","Rycroft",7,5,2,16,46,0,76,127
"Peace River/Peace River"," 109","Spirit River Settlement",62,8,5,19,114,0,208,340
"Peace River/Peace River"," 110","Spirit River",78,15,5,30,179,0,307,626
"Peace River/Peace River"," 111","Spirit River",26,3,0,9,85,0,123,197
"Peace River/Peace River"," 112","Blueberry Mountain",20,5,2,17,81,1,126,204
"Peace River/Peace River"," 113","Gordondale",22,2,0,14,59,0,97,157
"Peace River/Peace River"," 114","Bay Tree",20,14,3,8,213,0,258,409
"Peace River/Peace River"," 115","Demmitt",15,4,1,14,61,0,95,169
"Peace River/Peace River"," 116","Valhalla Centre",68,4,3,16,164,0,255,483
"Peace River/Peace River"," 117","Hythe",27,8,0,3,72,0,110,154
"Peace River/Peace River"," 118","Hythe",27,12,4,10,73,0,126,224
"Peace River/Peace River"," 119","Hythe",23,7,4,16,89,1,140,362
"Peace River/Peace River"," 120","Lymburn",15,50,1,8,48,0,122,247
"Peace River/Peace River"," 121","Goodfare",20,6,12,9,91,0,138,226
"Peace River/Peace River"," 122","Rio Grande",28,4,5,6,63,0,106,166
"Peace River/Peace River"," 123","Elmworth",67,2,9,14,179,0,271,257
"Peace River/Peace River"," 124","Halcourt",Merged with No. 123/Fusionné avec le nº 123,,,,,,,181
"Peace River/Peace River"," 125","Albright",37,6,3,4,62,0,112,203
"Peace River/Peace River"," 126","Beaverlodge",22,2,1,9,67,0,101,199
"Peace River/Peace River"," 127","Beaverlodge",37,5,3,11,89,0,145,292
"Peace River/Peace River"," 128","Beaverlodge",33,11,0,15,53,0,112,235
"Peace River/Peace River"," 128-1","Beaverlodge",66,12,4,11,121,1,215,573
"Peace River/Peace River"," 129","Beaverlodge",71,7,5,24,135,0,242,394
"Peace River/Peace River"," 130","Huallen",73,8,4,19,158,0,262,531
"Peace River/Peace River"," 131","Wembley",57,15,6,35,154,1,268,466
"Peace River/Peace River"," 132","Wembley",43,5,2,21,108,1,180,333
"Peace River/Peace River"," 133","Albright",37,12,4,14,113,0,180,307
"Peace River/Peace River"," 134","Lake Saskatoon",42,9,2,18,108,0,179,336
"Peace River/Peace River"," 135","Niobe",27,1,0,6,132,0,166,237
"Peace River/Peace River"," 136","La Glace",61,7,5,23,132,0,228,313
"Peace River/Peace River"," 137","Woking",50,8,6,21,105,0,190,328
"Peace River/Peace River"," 138","Peoria",11,1,0,5,65,0,82,211
"Peace River/Peace River"," 139","Teepee Creek",92,7,3,21,166,0,289,504
"Peace River/Peace River"," 140","Webster",70,10,6,38,205,1,330,509
"Peace River/Peace River"," 141","Sexsmith",76,10,8,17,176,0,287,444
"Peace River/Peace River"," 142","Sexsmith",41,7,3,20,165,0,236,526
"Peace River/Peace River"," 143","Sexsmith",63,8,4,11,104,0,190,312
"Peace River/Peace River"," 144","Sexsmith",22,3,0,9,127,0,161,348
"Peace River/Peace River"," 145","Sexsmith",36,3,1,11,80,0,131,223
"Peace River/Peace River"," 146","Bear Lake",77,4,4,21,113,0,219,526
"Peace River/Peace River"," 147","Dimsdale",86,11,8,17,165,3,290,425
"Peace River/Peace River"," 148","Flyingshot Lake Settlement",109,3,5,15,237,1,370,598
"Peace River/Peace River"," 149A","Grande Prairie",29,12,11,30,65,1,148,696
"Peace River/Peace River"," 149B","Grande Prairie",35,17,2,19,77,0,150,510
"Peace River/Peace River"," 150","Grande Prairie",38,8,2,20,75,0,143,268
"Peace River/Peace River"," 151","Grande Prairie",56,10,1,19,72,0,158,281
"Peace River/Peace River"," 152","Grande Prairie",49,13,8,21,74,0,165,392
"Peace River/Peace River"," 153","Grande Prairie",52,15,8,25,101,1,202,502
"Peace River/Peace River"," 154","Grande Prairie",45,14,13,21,60,0,153,423
"Peace River/Peace River"," 155","Grande Prairie",24,12,4,21,52,0,113,335
"Peace River/Peace River"," 156","Grande Prairie",65,14,8,30,64,0,181,385
"Peace River/Peace River"," 157","Grande Prairie",89,8,2,24,80,0,203,381
"Peace River/Peace River"," 158","Grande Prairie",96,19,5,21,125,0,266,586
"Peace River/Peace River"," 159A","Grande Prairie",59,13,3,17,159,1,252,532
"Peace River/Peace River"," 159B","Grande Prairie",69,14,5,23,114,0,225,510
"Peace River/Peace River"," 159C","Grande Prairie",95,16,4,20,115,0,250,575
"Peace River/Peace River"," 160","Grande Prairie",107,15,2,38,177,0,339,663
"Peace River/Peace River"," 161","Grande Prairie",115,13,3,21,128,1,281,512
"Peace River/Peace River"," 162","Grande Prairie",122,18,3,37,98,0,278,441
"Peace River/Peace River"," 163","Grande Prairie",47,18,2,28,81,0,176,482
"Peace River/Peace River"," 164","Grande Prairie",81,16,3,19,104,1,224,418
"Peace River/Peace River"," 165","Grande Prairie",85,17,4,40,238,0,384,737
"Peace River/Peace River"," 166A","Grande Prairie",76,11,3,15,125,0,230,521
"Peace River/Peace River"," 166B","Grande Prairie",80,14,6,26,128,0,254,559
"Peace River/Peace River"," 166C","Grande Prairie",61,13,4,21,105,0,204,388
"Peace River/Peace River"," 167","Grande Prairie",40,19,2,16,86,0,163,449
"Peace River/Peace River"," 168","Grande Prairie",28,4,1,5,44,0,82,203
"Peace River/Peace River"," 169","Grande Prairie",78,8,2,34,119,1,242,460
"Peace River/Peace River"," 170","Grande Prairie",76,6,5,26,102,0,215,429
"Peace River/Peace River"," 171A","Grande Prairie",83,4,2,19,118,0,226,433
"Peace River/Peace River"," 171B","Grande Prairie",65,5,2,19,101,0,192,392
"Peace River/Peace River"," 172A","Grande Prairie",58,8,1,17,117,0,201,431
"Peace River/Peace River"," 172B","Grande Prairie",59,12,1,12,123,0,207,430
"Peace River/Peace River"," 173","Grande Prairie",96,12,6,25,155,0,294,566
"Peace River/Peace River"," 174","Grande Prairie",45,23,5,26,117,1,217,444
"Peace River/Peace River"," 175","Grande Prairie",88,15,6,16,62,0,187,458
"Peace River/Peace River"," 176","Grande Prairie",57,12,2,21,79,2,173,370
"Peace River/Peace River"," 177","Grande Prairie",55,13,3,35,89,0,195,399
"Peace River/Peace River"," 178","Grande Prairie",38,12,8,13,81,4,156,406
"Peace River/Peace River"," 179","Grande Prairie",21,10,2,11,38,1,83,290
"Peace River/Peace River"," 180","Grande Prairie",46,17,8,27,92,1,191,430
"Peace River/Peace River"," 181","Grande Prairie",51,19,3,13,113,2,201,376
"Peace River/Peace River"," 182","Grande Prairie",101,12,3,18,157,0,291,479
"Peace River/Peace River"," 183","Grande Prairie",76,11,3,24,112,0,226,412
"Peace River/Peace River"," 184","Grande Prairie",22,12,2,22,52,0,110,341
"Peace River/Peace River"," 185A","Grande Prairie",57,5,5,16,63,1,147,383
"Peace River/Peace River"," 185B","Grande Prairie",56,19,3,20,76,0,174,389
"Peace River/Peace River"," 186","Grande Prairie",44,17,7,29,80,0,177,567
"Peace River/Peace River"," 187","Grande Prairie",70,15,3,38,100,1,227,447
"Peace River/Peace River"," 188","Grande Prairie",51,18,4,29,70,1,173,447
"Peace River/Peace River"," 189","Grande Prairie",55,12,3,18,119,1,208,360
"Peace River/Peace River"," 190","Grande Prairie",55,5,5,16,44,1,126,227
"Peace River/Peace River"," 191","Grande Prairie",44,8,1,15,62,0,130,230
"Peace River/Peace River"," 192","Grande Prairie",40,14,0,10,82,0,146,315
"Peace River/Peace River"," 193","Grande Prairie",69,11,5,21,84,0,190,461
"Peace River/Peace River"," 194","Grande Prairie",18,4,1,15,48,1,87,380
"Peace River/Peace River"," 195","Grande Prairie",58,8,2,13,67,1,149,491
"Peace River/Peace River"," 196","Grande Prairie",81,10,3,14,78,0,186,426
"Peace River/Peace River"," 197A","Grande Prairie",53,7,1,24,108,0,193,442
"Peace River/Peace River"," 197B","Grande Prairie",61,14,6,21,85,0,187,409
"Peace River/Peace River"," 198","Grande Prairie",35,12,6,27,62,0,142,430
"Peace River/Peace River"," 199","Grande Prairie",61,8,4,24,77,1,175,449
"Peace River/Peace River"," 200","Grande Prairie",23,3,2,10,41,0,79,157
"Peace River/Peace River"," 201","Grande Prairie",46,7,1,7,74,1,136,351
"Peace River/Peace River"," 202","Grande Prairie",55,7,3,17,83,0,165,393
"Peace River/Peace River"," 203","Grande Prairie",68,7,4,21,96,1,197,410
"Peace River/Peace River"," 204","Grande Prairie",65,16,1,24,105,1,212,404
"Peace River/Peace River"," 205","Grande Prairie",51,9,4,26,55,0,145,362
"Peace River/Peace River"," 206","Grande Prairie",60,13,0,25,94,0,192,358
"Peace River/Peace River"," 207","Grande Prairie",59,7,4,14,64,0,148,270
"Peace River/Peace River"," 208","Grande Prairie",162,9,5,25,132,0,333,546
"Peace River/Peace River"," 209","Grande Prairie",137,11,4,31,116,0,299,550
"Peace River/Peace River"," 210","Grande Prairie",99,14,2,20,172,1,308,572
"Peace River/Peace River"," 211","Clairmont",62,3,6,10,112,0,193,292
"Peace River/Peace River"," 212","Clairmont",44,6,2,16,68,0,136,311
"Peace River/Peace River"," 213","Clairmont",68,17,6,34,134,1,260,627
"Peace River/Peace River"," 213-1","Clairmont",20,7,3,10,93,0,133,330
"Peace River/Peace River"," 214","Kleskun Hill",39,0,1,8,120,0,168,308
"Peace River/Peace River"," 215","Bezanson",53,14,4,19,205,0,295,395
"Peace River/Peace River"," 216","Grovedale",56,8,7,28,168,0,267,398
"Peace River/Peace River"," 217","T & E--Triple L Trailer Courts",61,19,2,18,127,1,228,380
"Peace River/Peace River"," 218","Eldo & Swan City Trailer Courts",115,12,8,16,190,0,341,644
"Peace River/Peace River"," 219","Eldo & Swan City Trailer Courts",14,5,4,14,36,0,73,231
"Peace River/Peace River"," 220","Grande Prairie County No. 1",141,9,0,12,143,0,305,569
"Peace River/Peace River"," 221","Dunes--Sandy Lane",34,3,0,10,76,0,123,324
"Peace River/Peace River"," 222","Wapiti",52,10,5,17,104,0,188,322
"Peace River/Peace River"," 223","Goodwin",15,2,0,3,44,0,64,122
"Peace River/Peace River"," 224","DeBolt",36,10,1,22,85,0,154,267
"Peace River/Peace River"," 225","Crooked Creek",20,7,1,8,58,0,94,364
"Peace River/Peace River"," 226","Puskwaskau River",18,1,0,9,46,0,74,199
"Peace River/Peace River"," 227","Sturgeon Heights",17,8,4,9,57,0,95,179
"Peace River/Peace River"," 228","New Fish Creek",11,8,1,13,136,0,169,261
"Peace River/Peace River"," 229","Sturgeon Lake 154",4,216,0,6,17,0,243,395
"Peace River/Peace River"," 230","Sturgeon Lake 154",4,125,0,0,19,0,148,205
"Peace River/Peace River"," 231","Valleyview",34,11,5,14,206,0,270,434
"Peace River/Peace River"," 232","Valleyview",13,18,6,15,84,0,136,262
"Peace River/Peace River"," 233","Valleyview",8,14,6,15,83,1,127,239
"Peace River/Peace River"," 234","Valleyview",8,24,5,16,47,1,101,230
"Peace River/Peace River"," 235A","Valleyview",19,7,10,15,65,0,116,354
"Peace River/Peace River"," 235B","Valleyview",18,4,6,13,86,0,127,357
"Peace River/Peace River"," 236","Sunset House (South)",30,15,5,26,232,1,309,502
"Peace River/Peace River"," 237","Sunset House (North)",13,3,0,2,49,0,67,112
"Peace River/Peace River"," 238","Little Smoky",14,8,13,21,178,0,234,357
"Peace River/Peace River"," 500","Mobile poll/Bureau itinérant",1,3,1,6,48,0,59,111
"Peace River/Peace River"," 501","Mobile poll/Bureau itinérant",8,10,1,10,40,2,71,115
"Peace River/Peace River"," 502","Mobile poll/Bureau itinérant",2,7,4,8,45,1,67,92
"Peace River/Peace River"," 503","Mobile poll/Bureau itinérant",2,8,2,4,47,0,63,73
"Peace River/Peace River"," 504","Mobile poll/Bureau itinérant",7,24,9,23,36,3,102,154
"Peace River/Peace River"," 505","Mobile poll/Bureau itinérant",30,16,1,15,83,3,148,205
"Peace River/Peace River"," 506","Mobile poll/Bureau itinérant",11,15,1,9,45,4,85,105
"Peace River/Peace River"," 507","Mobile poll/Bureau itinérant",50,22,2,19,93,0,186,236
"Peace River/Peace River"," 600","Rainbow Lake",2,4,0,1,31,0,38,
"Peace River/Peace River"," 601","MacKenzie No. 23--High Level",6,16,4,6,62,0,94,
"Peace River/Peace River"," 602","MacKenzie No. 23--Fort Vermilion",3,11,1,5,42,2,64,
"Peace River/Peace River"," 603","Manning",7,6,2,1,68,0,84,
"Peace River/Peace River"," 604","Worsley",0,0,0,2,35,0,37,
"Peace River/Peace River"," 605","Fairview",16,27,2,39,237,0,321,
"Peace River/Peace River"," 606","Grimshaw",23,18,3,21,133,0,198,
"Peace River/Peace River"," 607","Peace River",38,45,14,69,208,0,374,
"Peace River/Peace River"," 608","Falher",17,30,10,17,145,0,219,
"Peace River/Peace River"," 609","Spirit River",14,6,3,10,126,1,160,
"Peace River/Peace River"," 610","Beaverlodge",26,8,10,31,218,0,293,
"Peace River/Peace River"," 611","Sexsmith",20,9,4,20,218,0,271,
"Peace River/Peace River"," 612","Grand Prairie--West",63,19,11,46,300,0,439,
"Peace River/Peace River"," 613","Grande Prairie--North East",69,50,17,38,284,0,458,
"Peace River/Peace River"," 614","Grande Prairie",66,27,10,47,214,2,366,
"Peace River/Peace River"," 615","Grande Prairie",11,2,4,11,71,0,99,
"Peace River/Peace River"," 616","Clairmont",8,2,4,2,52,0,68,
"Peace River/Peace River"," 617","Grande Prairie",5,9,7,20,171,0,212,
"Peace River/Peace River",,Group 1/Groupe 1,5,42,12,14,35,3,111,157
"Peace River/Peace River",,Group 2/Groupe 2,231,99,35,140,797,14,1316,
