Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Verona Jackson,Shane Jolley,Jill McIllwraith,Larry Miller,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 33","Keppel",27,26,15,81,0,149,246
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 34","Sarawak",26,14,3,46,0,89,172
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 35","Sarawak",70,42,30,101,1,244,405
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 36","Sarawak",60,26,19,105,0,210,400
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 37","Sarawak",51,19,9,53,0,132,209
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 38","Sarawak",97,51,29,156,3,336,521
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 39","Sarawak",60,31,18,86,2,197,354
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 40","Sarawak",55,34,32,81,0,202,368
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 41","Derby",27,20,7,126,1,181,267
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 42","Derby",40,40,21,103,1,205,341
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 43","Derby",86,59,21,99,0,265,414
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 44","Derby",45,30,18,122,1,216,394
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 45","Sydenham",66,32,22,120,0,240,371
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 46","Sydenham",86,59,23,106,1,275,482
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 47","Sydenham",83,72,17,107,0,279,449
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 48","Sydenham",39,41,16,59,0,155,240
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 49","Owen Sound",54,23,35,67,1,180,422
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 50","Owen Sound",86,37,21,81,0,225,424
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 51","Owen Sound",100,24,44,126,0,294,499
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 52","Owen Sound",81,57,22,93,0,253,409
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 53","Owen Sound",Void/Supprimé,,,,,,
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 54","Owen Sound",33,33,20,47,0,133,287
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 55A","Owen Sound",54,23,26,61,1,165,306
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 55B","Mobile poll/Bureau itinérant",Merged with No. 505/Fusionné avec le nº 505,,,,,,8
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 56","Owen Sound",90,10,39,73,1,213,340
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 57","Owen Sound",74,38,28,85,1,226,477
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 58","Owen Sound",68,31,18,64,0,181,331
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 59","Owen Sound",65,37,24,68,0,194,353
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 60","Owen Sound",67,32,17,46,0,162,344
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 61","Owen Sound",86,33,15,100,0,234,444
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 62","Owen Sound",74,39,32,56,0,201,416
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 63","Owen Sound",80,47,26,93,0,246,444
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 64","Owen Sound",50,41,24,33,0,148,403
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 65","Owen Sound",78,46,19,71,1,215,309
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 66","Owen Sound",103,47,21,89,0,260,409
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 67","Owen Sound",80,61,25,114,0,280,424
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 68","Owen Sound",113,76,22,61,0,272,508
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 69","Owen Sound",72,34,37,66,0,209,450
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 70","Owen Sound",84,52,37,85,0,258,484
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 71","Owen Sound",111,29,33,89,0,262,474
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 72","Owen Sound",99,52,15,102,2,270,453
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 73","Owen Sound",31,10,16,65,0,122,228
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 74","Owen Sound",66,22,30,60,0,178,469
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 75","Owen Sound",69,30,25,65,2,191,363
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 76","Owen Sound",70,39,37,59,1,206,408
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 77","Owen Sound",58,29,20,79,0,186,412
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 78","Owen Sound",62,32,21,73,0,188,355
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 79","Owen Sound",73,34,12,70,1,190,359
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 80","Owen Sound",73,49,26,94,0,242,473
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 81","Owen Sound",78,42,29,77,0,226,408
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 82","Owen Sound",73,49,27,68,2,219,408
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 83","Owen Sound",95,57,30,73,2,257,473
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 84","Owen Sound",74,25,23,98,3,223,412
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 85","Owen Sound",81,74,18,68,0,241,454
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 86","Owen Sound",101,63,10,116,0,290,439
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 87","Owen Sound",119,40,23,100,2,284,465
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 88","Owen Sound",Void/Supprimé,,,,,,
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 89","Sydenham",54,30,11,78,0,173,256
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 90","St. Vincent",66,83,25,139,0,313,552
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 91","St. Vincent",40,48,18,90,1,197,358
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 92","Meaford",52,57,22,110,1,242,475
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 93","Meaford",67,48,20,76,1,212,428
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 94","Meaford",55,41,31,62,1,190,362
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 95","Meaford",78,67,28,69,1,243,454
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 96","Meaford",75,80,28,103,0,286,480
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 97","Meaford",57,53,10,86,0,206,344
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 98","Meaford",48,67,29,65,0,209,366
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 99","Meaford",53,68,31,69,0,221,395
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 100","Meaford",87,73,22,100,0,282,540
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 101","Sydenham",49,66,41,164,0,320,535
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 102","St. Vincent",76,95,32,171,1,375,594
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 103","St. Vincent",66,57,23,82,2,230,388
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 104","Rocklyn",37,34,17,114,0,202,290
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 105","South Bruce Peninsula",85,33,41,14,0,173,236
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 106","South Bruce Peninsula",88,33,31,137,1,290,439
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 107","South Bruce Peninsula",50,28,29,123,1,231,542
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 108","Elsinore",43,17,23,97,1,181,323
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 109","Invermay",42,19,27,93,0,181,314
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 110A","Tara",40,24,19,77,0,160,284
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 110B","Tara",38,16,20,85,1,160,310
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 111","Tara",36,13,17,126,1,193,340
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 112","Arranvale",29,16,22,108,0,175,335
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 113","Kilsyth",35,35,23,146,0,239,420
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 114","Desboro",37,54,29,164,0,284,423
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 115","Dobbinton",42,18,13,85,0,158,332
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 116","Paisley",100,27,38,87,1,253,362
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 117","Paisley",86,29,37,98,0,250,431
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 118","Scone",31,11,16,100,0,158,284
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 119","Chesley",83,13,35,122,2,255,410
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 120","Chesley",63,22,33,93,0,211,435
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 121","Chesley",57,16,43,122,0,238,452
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 122","Chesley",57,19,25,88,1,190,322
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 123","Peabody",36,17,18,79,0,150,329
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 124","Kinghurst",48,22,25,108,0,203,411
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 125","Hemstock Mills",46,29,21,122,0,218,391
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 126A","Chatsworth",37,10,28,85,2,162,346
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 126B","Chatsworth",37,34,28,96,0,195,323
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 127","Holland",26,33,24,72,0,155,280
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 128","Williamsford",33,36,31,105,0,205,373
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 129","Holland Centre",44,34,45,136,1,260,512
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 130","Massie",38,35,22,126,0,221,459
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 131","Berkeley",52,48,51,126,3,280,496
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 132","Wodehouse",58,34,34,146,0,272,466
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 133","Kimberley",64,31,23,83,1,202,277
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 134","Hanover",47,23,45,87,2,204,430
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 135","Hanover",72,4,15,91,1,183,285
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 136","Hanover",68,17,37,157,1,280,538
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 137","Hanover",39,16,35,85,1,176,321
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 138","Hanover",43,17,21,71,2,154,326
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 139","Hanover",114,11,35,155,1,316,562
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 140","Hanover",52,20,20,93,0,185,389
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 141","Hanover",68,9,29,94,1,201,420
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 142","Hanover",42,16,25,84,1,168,378
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 143","Hanover",51,16,17,74,1,159,339
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 144","Hanover",89,28,18,150,2,287,528
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 145","Hanover",37,10,30,79,0,156,349
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 146","Hanover",54,14,28,72,2,170,326
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 147","Hanover",66,14,23,92,0,195,322
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 148","Elmwood",47,18,29,99,2,195,317
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 149","Louise",54,37,37,165,1,294,449
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 150","Bentinck",41,14,28,98,0,181,382
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 151","Allan Park",35,12,24,100,0,171,307
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 152A","Aberdeen",35,28,19,106,0,188,318
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 152B","Aberdeen",34,25,30,102,0,191,386
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 153","Bentinck",59,12,29,123,1,224,396
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 154","Durham",52,14,18,90,1,175,344
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 155","Durham",33,18,31,83,0,165,363
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 156","Durham",65,21,24,93,1,204,429
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 157","Durham",41,9,17,67,0,134,263
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 158","Durham",28,8,12,31,2,81,138
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 159","Durham",55,16,23,140,2,236,548
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 160","Glenelg",44,18,11,99,0,172,405
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 161","Glenelg Centre",31,33,26,104,3,197,351
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 162","Lauriston",43,42,17,122,0,224,415
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 163","Lauriston",44,22,30,86,1,183,355
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 164","Markdale",50,35,36,109,0,230,423
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 165","Markdale",65,27,26,108,0,226,363
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 166","Markdale",50,32,20,77,0,179,283
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 167A","Flesherton",44,22,27,79,0,172,325
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 167B","Flesherton",35,26,20,68,0,149,291
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 168","Flesherton",38,28,38,94,1,199,385
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 169","Flesherton",41,22,21,89,0,173,315
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 170","Flesherton",84,25,40,140,1,290,592
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 171","Flesherton",36,26,31,133,1,227,438
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 172","Flesherton",52,29,25,93,0,199,600
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 173","Maxwell",58,26,32,147,1,264,474
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 174","Maxwell",58,14,35,136,0,243,451
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 175","Maxwell",47,17,25,126,2,217,337
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 176","Maxwell",30,10,15,89,1,145,294
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 177","Neustadt",61,32,54,149,2,298,522
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 178","Moltke",34,14,25,85,2,160,281
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 179","Ayton",54,30,41,128,0,253,423
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 180","Hampden",44,32,41,140,2,259,476
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 181","Alsfeldt",50,13,18,121,0,202,310
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 182","Nenagh",51,11,23,111,2,198,392
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 183","Egremont",40,36,32,114,0,222,322
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 184","Egremont",61,19,27,125,0,232,372
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 185","Egremont",63,7,26,86,2,184,279
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 186","Egremont",72,41,28,127,0,268,452
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 187","Egremont",26,6,17,40,0,89,196
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 188","Proton",47,14,19,99,1,180,394
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 189","Proton",42,10,28,81,1,162,283
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 190","Proton",23,11,20,88,1,143,371
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 191","Dundalk",21,24,21,90,0,156,292
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 192","Dundalk",14,7,19,59,0,99,224
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 193A","Dundalk",33,14,40,63,1,151,342
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 193B","Dundalk",52,12,16,77,0,157,334
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 194","Dundalk",26,22,21,70,2,141,297
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 195","Proton",45,22,25,75,0,167,440
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 500","Mobile poll/Bureau itinérant",28,0,8,55,0,91,145
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 501","Mobile poll/Bureau itinérant",18,1,1,26,2,48,83
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 502","Mobile poll/Bureau itinérant",19,8,3,26,0,56,90
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 503","Mobile poll/Bureau itinérant",6,3,3,10,3,25,39
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 504","Mobile poll/Bureau itinérant",47,10,6,62,4,129,155
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 505","Mobile poll/Bureau itinérant",50,3,13,52,4,122,211
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 506","Mobile poll/Bureau itinérant",25,5,5,42,3,80,169
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 507","Mobile poll/Bureau itinérant",15,2,3,16,0,36,66
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 508","Mobile poll/Bureau itinérant",25,4,9,37,3,78,111
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 509","Mobile poll/Bureau itinérant",33,7,5,53,0,98,133
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 600","North Bruce Peninsula",41,19,16,73,0,149,
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 601","South Bruce Peninsula",79,19,24,185,1,308,
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 602","Wiarton",130,33,39,257,1,460,
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 603","Sauble Beach North",80,17,29,177,0,303,
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 604","Bayview",181,65,43,307,1,597,
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 605","Owen Sound",242,61,53,304,1,661,
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 606","Owen Sound",216,55,48,293,3,615,
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 607","Meaford",240,86,60,355,2,743,
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 608","Tara",99,28,28,256,1,412,
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 609","Chesley",94,13,34,237,1,379,
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 610","Holland Centre",133,61,67,381,0,642,
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 611","Hanover",193,30,55,318,4,600,
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 612","West Grey",208,63,60,450,6,787,
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 613","Flesherton",148,45,60,356,0,609,
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 614","Ayton",50,13,15,114,0,192,
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 615","Dundalk",84,27,38,251,0,400,
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound",,Group 1/Groupe 1,21,6,14,46,2,89,209
"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound",,Group 2/Groupe 2,756,171,174,1229,18,2348,
