Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,James Caron,Otto Casanova,Peter Creighton,Raminder Gill,Wajid Khan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Mississauga--Streetsville/Mississauga--Streetsville"," 80A","Mississauga",48,15,1,45,87,2,198,369
"Mississauga--Streetsville/Mississauga--Streetsville"," 80B","Mississauga",41,13,3,52,63,0,172,344
"Mississauga--Streetsville/Mississauga--Streetsville"," 81","Mississauga",31,4,2,73,73,1,184,319
"Mississauga--Streetsville/Mississauga--Streetsville"," 82","Mississauga",45,17,5,54,82,0,203,336
"Mississauga--Streetsville/Mississauga--Streetsville"," 83","Mississauga",59,16,7,86,113,1,282,481
"Mississauga--Streetsville/Mississauga--Streetsville"," 84","Mississauga",52,18,1,110,80,2,263,412
"Mississauga--Streetsville/Mississauga--Streetsville"," 85","Mississauga",55,28,6,115,96,2,302,478
"Mississauga--Streetsville/Mississauga--Streetsville"," 86","Mississauga",69,25,5,101,89,2,291,400
"Mississauga--Streetsville/Mississauga--Streetsville"," 87","Mississauga",51,13,3,52,70,2,191,328
"Mississauga--Streetsville/Mississauga--Streetsville"," 88","Mississauga",43,21,7,88,84,1,244,389
"Mississauga--Streetsville/Mississauga--Streetsville"," 89","Mississauga",33,13,2,47,71,0,166,276
"Mississauga--Streetsville/Mississauga--Streetsville"," 90","Mississauga",40,14,4,39,58,0,155,251
"Mississauga--Streetsville/Mississauga--Streetsville"," 91","Mississauga",22,5,4,50,53,0,134,213
"Mississauga--Streetsville/Mississauga--Streetsville"," 92","Mississauga",20,4,2,30,63,0,119,303
"Mississauga--Streetsville/Mississauga--Streetsville"," 93","Mississauga",25,7,1,41,70,0,144,364
"Mississauga--Streetsville/Mississauga--Streetsville"," 94","Mississauga",45,12,7,78,91,1,234,489
"Mississauga--Streetsville/Mississauga--Streetsville"," 95","Mississauga",15,10,1,49,41,0,116,251
"Mississauga--Streetsville/Mississauga--Streetsville"," 96","Mississauga",33,20,1,83,46,0,183,347
"Mississauga--Streetsville/Mississauga--Streetsville"," 97","Mississauga",58,11,7,69,67,0,212,390
"Mississauga--Streetsville/Mississauga--Streetsville"," 98","Mississauga",32,18,0,60,59,0,169,290
"Mississauga--Streetsville/Mississauga--Streetsville"," 99","Mississauga",29,12,2,121,74,0,238,367
"Mississauga--Streetsville/Mississauga--Streetsville"," 100","Mississauga",34,11,5,98,107,4,259,433
"Mississauga--Streetsville/Mississauga--Streetsville"," 101","Mississauga",16,5,3,73,37,0,134,214
"Mississauga--Streetsville/Mississauga--Streetsville"," 102","Mississauga",27,11,4,115,73,0,230,348
"Mississauga--Streetsville/Mississauga--Streetsville"," 103","Mississauga",26,12,1,90,62,0,191,289
"Mississauga--Streetsville/Mississauga--Streetsville"," 104","Mississauga",24,15,6,79,62,2,188,292
"Mississauga--Streetsville/Mississauga--Streetsville"," 105","Mississauga",22,10,4,47,65,3,151,250
"Mississauga--Streetsville/Mississauga--Streetsville"," 106","Mississauga",17,12,7,62,55,0,153,280
"Mississauga--Streetsville/Mississauga--Streetsville"," 107A","Mississauga",24,3,4,43,68,0,142,257
"Mississauga--Streetsville/Mississauga--Streetsville"," 107B","Mississauga",31,6,4,41,46,2,130,263
"Mississauga--Streetsville/Mississauga--Streetsville"," 108","Mississauga",17,14,2,43,62,0,138,218
"Mississauga--Streetsville/Mississauga--Streetsville"," 109","Mississauga",38,18,2,74,74,0,206,342
"Mississauga--Streetsville/Mississauga--Streetsville"," 110","Mississauga",43,23,3,107,95,0,271,412
"Mississauga--Streetsville/Mississauga--Streetsville"," 111","Mississauga",19,2,2,38,56,0,117,270
"Mississauga--Streetsville/Mississauga--Streetsville"," 112","Mississauga",43,17,2,117,117,1,297,445
"Mississauga--Streetsville/Mississauga--Streetsville"," 113","Mississauga",23,13,2,59,83,0,180,267
"Mississauga--Streetsville/Mississauga--Streetsville"," 114","Mississauga",37,15,3,66,59,0,180,265
"Mississauga--Streetsville/Mississauga--Streetsville"," 115","Mississauga",44,21,6,117,150,2,340,552
"Mississauga--Streetsville/Mississauga--Streetsville"," 116","Mississauga",26,5,1,98,152,2,284,511
"Mississauga--Streetsville/Mississauga--Streetsville"," 117A","Mississauga",19,4,2,46,113,0,184,286
"Mississauga--Streetsville/Mississauga--Streetsville"," 117B","Mississauga",18,1,0,47,84,0,150,286
"Mississauga--Streetsville/Mississauga--Streetsville"," 118A","Mississauga",15,2,1,54,79,0,151,272
"Mississauga--Streetsville/Mississauga--Streetsville"," 118B","Mississauga",14,5,3,42,95,1,160,319
"Mississauga--Streetsville/Mississauga--Streetsville"," 119","Mississauga",17,11,6,67,150,1,252,457
"Mississauga--Streetsville/Mississauga--Streetsville"," 120","Mississauga",23,9,2,66,107,1,208,307
"Mississauga--Streetsville/Mississauga--Streetsville"," 121","Mississauga",30,8,3,104,160,1,306,542
"Mississauga--Streetsville/Mississauga--Streetsville"," 122","Mississauga",26,8,1,104,184,0,323,571
"Mississauga--Streetsville/Mississauga--Streetsville"," 123","Mississauga",26,2,1,49,114,0,192,340
"Mississauga--Streetsville/Mississauga--Streetsville"," 124","Mississauga",29,4,6,87,111,0,237,505
"Mississauga--Streetsville/Mississauga--Streetsville"," 125","Mississauga",20,1,2,40,108,1,172,314
"Mississauga--Streetsville/Mississauga--Streetsville"," 126A","Mississauga",24,2,2,92,107,1,228,424
"Mississauga--Streetsville/Mississauga--Streetsville"," 126B","Mississauga",28,7,1,49,126,4,215,374
"Mississauga--Streetsville/Mississauga--Streetsville"," 126C","Mississauga",30,2,1,67,132,0,232,412
"Mississauga--Streetsville/Mississauga--Streetsville"," 127","Mississauga",15,6,1,68,118,1,209,391
"Mississauga--Streetsville/Mississauga--Streetsville"," 128","Mississauga",21,13,2,75,162,1,274,487
"Mississauga--Streetsville/Mississauga--Streetsville"," 129","Mississauga",29,10,3,114,157,2,315,545
"Mississauga--Streetsville/Mississauga--Streetsville"," 130","Mississauga",14,7,1,108,132,0,262,436
"Mississauga--Streetsville/Mississauga--Streetsville"," 131","Mississauga",24,11,1,84,145,0,265,504
"Mississauga--Streetsville/Mississauga--Streetsville"," 132","Mississauga",25,5,2,70,103,1,206,397
"Mississauga--Streetsville/Mississauga--Streetsville"," 133","Mississauga",35,3,0,34,121,1,194,396
"Mississauga--Streetsville/Mississauga--Streetsville"," 134A","Mississauga",13,7,1,51,97,0,169,297
"Mississauga--Streetsville/Mississauga--Streetsville"," 134B","Mississauga",22,7,5,55,123,2,214,359
"Mississauga--Streetsville/Mississauga--Streetsville"," 135","Mississauga",28,7,0,48,133,0,216,475
"Mississauga--Streetsville/Mississauga--Streetsville"," 136","Mississauga",26,10,1,83,117,2,239,459
"Mississauga--Streetsville/Mississauga--Streetsville"," 137","Mississauga",20,6,2,104,136,2,270,532
"Mississauga--Streetsville/Mississauga--Streetsville"," 138","Mississauga",27,4,2,75,112,0,220,437
"Mississauga--Streetsville/Mississauga--Streetsville"," 139A","Mississauga",25,6,6,70,101,2,210,397
"Mississauga--Streetsville/Mississauga--Streetsville"," 139B","Mississauga",24,5,2,65,95,0,191,378
"Mississauga--Streetsville/Mississauga--Streetsville"," 140","Mississauga",28,5,1,84,104,1,223,378
"Mississauga--Streetsville/Mississauga--Streetsville"," 141A","Mississauga",16,2,2,49,84,1,154,275
"Mississauga--Streetsville/Mississauga--Streetsville"," 141B","Mississauga",22,4,2,66,76,2,172,294
"Mississauga--Streetsville/Mississauga--Streetsville"," 142","Mississauga",47,3,0,35,119,1,205,471
