Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mike Allen,Robert Bérubé Jr.,Alice Finnamore,Andy Savoy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Tobique--Mactaquac/Tobique--Mactaquac"," 93","Woodstock",63,3,15,60,2,143,301
"Tobique--Mactaquac/Tobique--Mactaquac"," 94A","Woodstock",60,0,9,57,4,130,251
"Tobique--Mactaquac/Tobique--Mactaquac"," 94B","Woodstock",47,0,9,68,0,124,236
"Tobique--Mactaquac/Tobique--Mactaquac"," 95","Woodstock",75,2,30,115,1,223,404
"Tobique--Mactaquac/Tobique--Mactaquac"," 96","Woodstock",70,0,29,80,0,179,388
"Tobique--Mactaquac/Tobique--Mactaquac"," 97","Woodstock",43,2,24,47,0,116,281
"Tobique--Mactaquac/Tobique--Mactaquac"," 98","Woodstock",70,3,21,60,2,156,384
"Tobique--Mactaquac/Tobique--Mactaquac"," 99","Woodstock",57,3,18,70,2,150,310
"Tobique--Mactaquac/Tobique--Mactaquac"," 100","Woodstock",73,2,16,94,1,186,415
"Tobique--Mactaquac/Tobique--Mactaquac"," 101","Woodstock",70,2,18,78,2,170,335
"Tobique--Mactaquac/Tobique--Mactaquac"," 102","Richmond",126,4,18,50,2,200,346
"Tobique--Mactaquac/Tobique--Mactaquac"," 103","Richmond",74,5,11,66,2,158,261
"Tobique--Mactaquac/Tobique--Mactaquac"," 104","Debec",137,1,23,83,1,245,395
"Tobique--Mactaquac/Tobique--Mactaquac"," 105","Fosterville",68,3,9,27,0,107,163
"Tobique--Mactaquac/Tobique--Mactaquac"," 106","Bedell",124,2,24,99,2,251,432
"Tobique--Mactaquac/Tobique--Mactaquac"," 107A","Bedell",52,2,9,51,0,114,271
"Tobique--Mactaquac/Tobique--Mactaquac"," 107B","Bedell",46,3,9,84,0,142,339
"Tobique--Mactaquac/Tobique--Mactaquac"," 108","Lower Woodstock",95,8,26,64,0,193,373
"Tobique--Mactaquac/Tobique--Mactaquac"," 109","Meductic",130,2,20,64,1,217,385
"Tobique--Mactaquac/Tobique--Mactaquac"," 110","Canterbury",105,5,16,49,1,176,338
"Tobique--Mactaquac/Tobique--Mactaquac"," 111","Canterbury",112,1,19,71,2,205,330
"Tobique--Mactaquac/Tobique--Mactaquac"," 112A","Grafton",84,1,15,58,1,159,297
"Tobique--Mactaquac/Tobique--Mactaquac"," 112B","Grafton",87,2,15,46,0,150,237
"Tobique--Mactaquac/Tobique--Mactaquac"," 113","Grafton",94,1,19,43,0,157,334
"Tobique--Mactaquac/Tobique--Mactaquac"," 114","Northampton",163,6,29,92,2,292,454
"Tobique--Mactaquac/Tobique--Mactaquac"," 115","Nortondale",135,4,30,76,3,248,384
"Tobique--Mactaquac/Tobique--Mactaquac"," 116","Millville",93,1,19,38,1,152,242
"Tobique--Mactaquac/Tobique--Mactaquac"," 117","Temperance Vale",124,2,11,37,2,176,400
"Tobique--Mactaquac/Tobique--Mactaquac"," 118","Pinder",67,1,13,58,0,139,245
"Tobique--Mactaquac/Tobique--Mactaquac"," 119","Rossville",80,5,20,40,2,147,270
"Tobique--Mactaquac/Tobique--Mactaquac"," 120","Nackawic",65,5,36,86,1,193,331
"Tobique--Mactaquac/Tobique--Mactaquac"," 121","Nackawic",68,3,22,52,3,148,275
"Tobique--Mactaquac/Tobique--Mactaquac"," 122","Nackawic",40,0,12,54,2,108,163
"Tobique--Mactaquac/Tobique--Mactaquac"," 123","Bloomfield Ridge",87,4,25,25,1,142,205
