Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gordon S. Earle,Jim Hnatiuk,Darian Malcom Huskilson,Gerald Gordon Keddy,Katie Morris Boudreau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 37","Gold River",70,5,55,71,1,1,203,396
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 38","Western Shore",90,7,65,103,7,2,274,514
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 39","Western Shore",42,11,36,51,1,0,141,239
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 40","Martins Point--Martins River",41,1,38,50,6,0,136,255
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 41","Fox Point--Simms Settlement",67,7,56,54,4,2,190,333
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 42","Fox Point",119,4,96,84,6,0,309,552
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 43","East River",42,1,44,63,8,0,158,235
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 44","Mill Cove",56,6,41,58,6,0,167,367
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 45","Bayswater",68,4,69,39,7,0,187,264
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 46","Blandford",78,3,67,53,13,2,216,344
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 47","Barss Corner",80,16,50,91,12,0,249,449
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 48","Maplewood",49,20,34,84,3,1,191,306
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 49","Newburne",34,4,44,47,4,1,134,234
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 50","New Cornwall",82,2,63,96,12,1,256,431
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 51","North River",42,2,27,38,4,0,113,244
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 52","New Germany",32,6,20,65,4,0,127,277
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 53","New Germany--Simpsons Corner",64,5,78,95,5,1,248,458
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 54","Stanley Section--Watford",47,6,43,81,2,2,181,311
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 55","Upper Northfield",51,10,49,95,10,1,216,385
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 56","Lower Northfield",43,3,43,81,4,0,174,270
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 57","Branch LaHave--New Canada",53,2,78,79,11,1,224,427
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 58","Hemford--Nineveh",49,7,77,100,7,0,240,462
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 59","Clearland",23,2,32,46,4,0,107,225
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 60","Martins River",69,0,35,109,7,2,222,370
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 61","Indian Point",51,3,62,76,3,0,195,299
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 62","Mahone Bay",66,7,74,54,10,2,213,376
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 63","Mahone Bay",73,6,86,101,10,3,279,528
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 64","Maders Cove",42,7,71,87,5,1,213,350
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 65","Blockhouse",40,1,51,83,3,0,178,298
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 66","Blockhouse",54,9,59,95,11,0,228,366
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 67","Maitland",72,6,58,97,12,0,245,516
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 68","West Northfield",27,6,47,62,4,1,147,242
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 69","Pine Grove",96,0,98,92,9,5,300,532
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 70","Oakhill",59,12,73,107,8,0,259,408
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 71","Martins Brook--Second Peninsula",25,1,32,54,5,0,117,218
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 72","Second Peninsula",33,6,20,59,2,1,121,206
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 73","Garden Lots",84,6,57,73,7,0,227,362
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 74","Blue Rock",79,4,44,43,2,1,173,318
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 75","Centre",92,2,65,85,4,1,249,415
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 76","Lunenburg",77,8,90,124,9,1,309,492
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 77","Lunenburg",77,5,97,95,13,0,287,431
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 78","Lunenburg",36,6,52,45,7,0,146,285
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 79","Lunenburg",59,3,58,86,15,0,221,348
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 80A","Lunenburg",59,0,54,42,2,1,158,275
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 80B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,125
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 81","First South",59,0,54,59,5,0,177,288
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 82","Indian Path--Roseway",62,1,44,56,5,2,170,261
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 83","Rhodes Corner",69,9,73,77,8,1,237,403
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 84","Dayspring",72,3,55,103,11,1,245,397
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 85","Upper LaHave--Crouses Settlement",58,7,49,79,9,0,202,340
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 86","Middle LaHave",49,2,31,33,9,1,125,235
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 87","Riverport",65,2,73,56,1,0,197,324
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 88","Riverport",85,4,63,31,9,0,192,292
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 89","Bridgewater",46,3,39,54,6,2,150,346
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 90","Bridgewater",70,4,27,42,1,2,146,406
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 91","Bridgewater",86,3,73,86,4,0,252,451
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 92A","Bridgewater",64,2,75,63,6,1,211,412
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 92B","Bridgewater",61,7,51,63,8,0,190,395
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 93","Bridgewater",77,6,108,127,7,3,328,595
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 94","Bridgewater",49,8,74,87,8,2,228,418
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 95","Bridgewater",35,2,42,22,5,0,106,223
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 96","Bridgewater",52,2,81,75,5,2,217,375
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 97","Bridgewater",60,7,68,55,9,2,201,419
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 98","Bridgewater",42,4,55,64,4,0,169,311
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 99","Bridgewater",85,5,63,62,14,0,229,484
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 100","Bridgewater",50,3,69,77,5,3,207,403
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 101","Bridgewater",74,9,75,50,8,0,216,398
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 102","Bridgewater",68,1,42,55,4,2,172,397
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 103","Bridgewater",66,3,57,63,3,0,192,368
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 104","Bridgewater",62,4,114,128,11,0,319,484
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 105","Auburndale--Branch LaHave",69,3,63,118,8,2,263,472
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 106","Lower Branch",46,15,57,75,7,2,202,374
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 107","Wileville",51,3,61,54,3,0,172,310
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 108","Bakers Settlement",43,0,50,82,6,0,181,347
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 109","Newcombville",31,7,48,67,7,0,160,262
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 110","Wileville",51,5,67,78,10,0,211,494
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 111","Chelsea",57,5,37,117,4,0,220,382
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 112","Camperdown--Waterloo",23,2,25,40,6,0,96,190
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 113","Conquerall Bank",55,9,76,86,8,1,235,423
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 114","Pleasantville",53,5,61,75,15,0,209,347
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 115","Pleasantville",51,12,61,56,8,2,190,352
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 116","LaHave",69,4,49,46,5,1,174,267
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 117","Hebbville",57,3,90,87,5,2,244,386
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 118","Hebbville",54,1,50,43,6,0,154,312
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 119","Conquerall Mills",57,8,109,82,15,2,273,534
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 120","Lake Centre--New Cumberland",36,4,36,24,4,0,104,244
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 121","West Dublin--LaHave Island",66,2,61,48,11,0,188,332
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 122","Hebbs Cross",53,6,60,63,1,0,183,300
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 123","Italy Cross",43,1,40,50,4,0,138,269
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 124","Petite Rivière--Crousetown",68,3,61,93,8,0,233,394
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 125","Camperdown--Waterloo",32,2,30,55,3,0,122,252
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 126","Middlewood",51,4,49,32,10,0,146,381
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 127","Voglers Cove--Broad Cove--Cherry Hill",66,3,51,72,16,1,209,352
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 128","North Brookfield",39,7,30,77,8,1,162,315
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 129","Kempt",31,1,53,45,3,0,133,223
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 130","Westfield",43,6,41,74,2,2,168,348
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 131","Greenfield",84,6,83,111,12,0,296,491
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 132","Caledonia",65,6,67,102,21,2,263,435
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 133","Charleston",47,0,21,37,4,0,109,161
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 134","Mill Village--Danesville",93,6,54,79,6,3,241,443
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 135","Port Medway",53,3,33,38,2,0,129,207
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 136","West Berlin",44,1,16,42,0,0,103,187
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 137","Milton",48,4,32,63,1,0,148,289
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 138","Milton",49,2,30,61,1,2,145,297
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 139","Sandy Cove",93,3,22,84,0,1,203,386
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 140","Brooklyn",121,2,43,124,5,0,295,458
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 141","Beach Meadows",53,1,36,56,0,1,147,234
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 142","Milton",111,2,60,130,11,2,316,556
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 143","Liverpool",94,4,35,99,6,2,240,481
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 144","Liverpool",111,2,44,80,8,2,247,521
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 145","Mersey Point",81,2,43,84,3,0,213,338
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 146","Liverpool",80,2,29,87,3,1,202,413
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 147","Liverpool",79,5,46,57,5,1,193,349
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 148","Liverpool",80,3,31,79,10,0,203,350
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 149","Liverpool",66,2,22,76,5,0,171,356
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 150","Mersey Point",60,4,29,46,5,0,144,321
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 151","Hunts Point",48,2,25,62,4,0,141,277
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 152","Summerville",33,1,32,52,1,0,119,217
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 153","Port Mouton",48,4,29,72,5,0,158,295
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 154","South West Port Mouton",26,1,23,20,2,0,72,179
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 155","Port Joli",19,1,23,22,0,1,66,132
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 156","Middle Ohio",31,5,114,82,3,0,235,392
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 157","Jordan Falls",75,14,111,97,2,0,299,546
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 158","Shelburne",39,2,72,63,5,0,181,346
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 159","Shelburne",34,4,42,41,0,0,121,217
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 160","Shelburne",28,11,49,42,4,1,135,297
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 161","Shelburne",33,5,78,61,5,0,182,338
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 162","Shelburne",41,2,56,46,5,0,150,340
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 163","Birchtown--Gunning Cove",61,6,82,90,1,1,241,441
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 164A","Sandy Point",33,3,60,57,1,0,154,341
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 164B","Sandy Point",22,2,45,41,1,0,111,266
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 165","Jordan Bay",14,2,38,26,3,0,83,185
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 166","Clyde River--Port Saxon",19,8,40,40,1,1,109,249
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 167","North West Harbour--Ingomar",38,12,31,56,2,0,139,269
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 168","Sable River",44,1,53,44,3,1,146,246
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 169","Little Harbour",42,4,34,27,2,0,109,196
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 170","West Green Harbour",18,2,49,41,3,0,113,203
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 171","East Green Harbour",30,9,45,46,4,2,136,256
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 172","Lockeport",29,18,66,36,2,0,151,273
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 173","Lockeport",49,26,78,58,3,0,214,419
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 174","Thomasville",32,17,40,55,0,1,145,326
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 175","Charlesville--Woods Harbour",20,35,7,34,2,1,99,209
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 176","Lower Woods Harbour",22,47,21,50,0,1,141,298
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 177","Lower Woods Harbour",39,50,25,74,7,0,195,396
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 178","Shag Harbour",6,55,22,25,0,0,108,192
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 179","Shag Harbour",31,27,33,72,4,0,167,448
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 180","Barrington Passage",31,18,31,75,0,2,157,378
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 181","Crowell",36,10,54,69,3,0,172,382
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 182","Barrington West",18,5,26,59,2,0,110,276
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 183","Barrington",42,16,59,67,4,0,188,439
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 184","Port La Tour",34,30,40,39,4,1,148,291
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 185","Baccaro",17,17,21,21,0,0,76,215
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 186A","North East Point",28,26,44,55,2,0,155,393
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 186B","North East Point",24,19,28,48,3,0,122,255
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 187","Stoney Island",18,47,43,88,0,1,197,437
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 188","Newellton",27,28,23,101,0,0,179,450
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 189","Lower Clarks Harbour",46,45,76,88,3,0,258,582
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 190","West Head",12,17,27,42,2,0,100,217
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 191","Clark's Harbour",25,24,33,35,1,0,118,243
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 192","Clark's Harbour",8,2,23,40,0,0,73,217
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 500","Mobile poll/Bureau itinérant",22,2,26,41,1,0,92,208
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 501","Mobile poll/Bureau itinérant",11,4,18,44,2,5,84,97
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 502","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,64
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 503","Mobile poll/Bureau itinérant",11,2,41,19,2,0,75,119
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 600","Hubley Centre--Queensland",82,5,100,133,13,0,333,
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 601","Tantallon--Bayside",79,2,61,81,4,0,227,
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 602","Chester--Mill Road",23,1,25,150,3,0,202,
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 603","Chester--Martin's River",84,6,153,220,18,2,483,
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 604","Hubbards--Blandford",37,3,31,43,3,2,119,
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 605","New Germany",42,5,54,91,2,1,195,
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 606","Mahone Bay",51,0,63,95,7,0,216,
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 607","Upper Kingsburg",73,0,63,105,13,0,254,
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 608","Bridgewater",52,4,112,107,8,0,283,
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 609","Auburndale--Waterloo",10,1,18,27,2,2,60,
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 610","Hebbville--Cherry Hill",28,1,43,42,2,1,117,
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 611","Pleasant River--Middlefield",8,1,14,27,1,0,51,
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 612","Milton--Danesville",31,4,17,50,0,0,102,
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 613","Liverpool--Port Jolie",46,2,39,119,4,2,212,
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 614","Shelburne",27,7,97,58,7,0,196,
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 615","Lockeport",9,4,47,24,2,0,86,
"South Shore--St. Margaret's/South Shore--St. Margaret's"," 616","Barrington",13,14,46,90,3,1,167,
"South Shore--St. Margaret's/South Shore--St. Margaret's",,Group 1/Groupe 1,19,1,46,53,9,0,128,388
"South Shore--St. Margaret's/South Shore--St. Margaret's",,Group 2/Groupe 2,266,20,433,591,33,22,1365,
