Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Johan Boyden,Philip Fernandez,Bill Graham,Michel Prairie,Lewis Reford,Michael Shapcott,Chris Tindal,Liz White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Toronto Centre/Toronto-Centre"," 109B","Toronto",0,0,157,0,80,43,17,0,0,297,393
"Toronto Centre/Toronto-Centre"," 110","Toronto",0,0,194,0,60,89,19,0,0,362,669
"Toronto Centre/Toronto-Centre"," 111A","Toronto",0,0,139,2,41,86,19,1,2,290,469
"Toronto Centre/Toronto-Centre"," 111B","Toronto",0,0,142,0,53,104,25,0,0,324,522
"Toronto Centre/Toronto-Centre"," 112","Toronto",1,1,63,0,11,36,8,0,0,120,182
"Toronto Centre/Toronto-Centre"," 113","Toronto",2,1,130,3,14,53,5,0,3,211,375
"Toronto Centre/Toronto-Centre"," 114","Toronto",1,0,128,0,32,125,12,0,1,299,366
"Toronto Centre/Toronto-Centre"," 115","Toronto",1,0,165,0,37,66,19,0,1,289,416
"Toronto Centre/Toronto-Centre"," 116","Toronto",3,0,204,0,7,40,0,1,0,255,549
"Toronto Centre/Toronto-Centre"," 117","Toronto",1,4,225,2,14,43,2,0,5,296,555
"Toronto Centre/Toronto-Centre"," 118","Toronto",1,2,171,1,5,51,4,0,9,244,406
"Toronto Centre/Toronto-Centre"," 119","Toronto",Merged with No. 118/Fusionné avec le nº 118,,,,,,,,,,77
"Toronto Centre/Toronto-Centre"," 120","Toronto",0,0,118,0,25,73,11,0,0,227,445
"Toronto Centre/Toronto-Centre"," 121","Toronto",0,1,142,2,63,115,28,0,0,351,630
"Toronto Centre/Toronto-Centre"," 122","Toronto",1,1,210,0,15,42,10,0,1,280,506
"Toronto Centre/Toronto-Centre"," 123","Toronto",0,0,168,0,54,130,25,1,0,378,686
"Toronto Centre/Toronto-Centre"," 124","Toronto",0,0,165,1,5,42,2,1,1,217,479
"Toronto Centre/Toronto-Centre"," 125","Toronto",0,3,208,2,10,50,2,0,0,275,454
"Toronto Centre/Toronto-Centre"," 126","Toronto",1,1,143,0,34,45,6,0,0,230,533
"Toronto Centre/Toronto-Centre"," 127A","Toronto",Merged with No. 440/Fusionné avec le nº 440,,,,,,,,,,189
"Toronto Centre/Toronto-Centre"," 127B","Toronto",0,0,113,0,26,84,17,1,1,242,356
"Toronto Centre/Toronto-Centre"," 128A","Toronto",2,0,100,0,25,70,10,0,3,210,355
"Toronto Centre/Toronto-Centre"," 128B","Toronto",0,0,95,0,22,78,12,0,0,207,351
"Toronto Centre/Toronto-Centre"," 129","Toronto",0,0,56,3,11,24,0,0,2,96,221
"Toronto Centre/Toronto-Centre"," 130","Toronto",0,0,86,1,17,65,1,0,4,174,305
"Toronto Centre/Toronto-Centre"," 131","Toronto",0,0,119,1,30,64,13,0,0,227,457
"Toronto Centre/Toronto-Centre"," 132","Toronto",1,0,101,2,23,113,11,0,0,251,429
