Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ben Cowie,Jamilé Ghaddar,Gordon Guyatt,David Januczkowski,Russ Powers,David Sweet,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 25","Flamborough",0,0,17,9,45,98,0,169,250
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 26","Flamborough",0,0,14,7,34,109,0,164,246
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 27","Flamborough",0,1,36,6,53,122,0,218,298
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 28","Flamborough",0,0,32,8,65,108,0,213,308
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 29","Flamborough",1,0,28,8,29,89,1,156,247
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 30","Flamborough",0,0,36,7,26,115,1,185,269
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 31","Flamborough",1,0,37,6,38,83,1,166,315
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 32","Flamborough",10,0,48,7,63,121,1,250,348
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 33","Flamborough",0,0,43,16,55,114,0,228,318
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 34","Flamborough",0,0,30,9,38,115,0,192,300
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 35","Flamborough",2,1,29,6,39,80,0,157,263
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 36","Flamborough",0,5,37,11,58,81,0,192,367
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 37","Flamborough",0,0,51,9,72,78,1,211,344
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 38A","Flamborough",0,0,32,11,45,73,0,161,226
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 38B","Flamborough",0,0,36,8,33,63,0,140,212
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 39","Flamborough",6,0,49,10,80,86,0,231,371
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 40","Flamborough",2,0,71,16,112,113,1,315,419
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 41","Flamborough",0,0,42,15,100,94,0,251,346
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 42","Flamborough",2,0,43,10,86,104,0,245,391
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 43","Flamborough",1,0,25,12,47,106,0,191,290
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 44","Flamborough",1,0,26,12,74,97,2,212,330
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 45","Flamborough",0,1,48,13,61,106,0,229,384
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 46","Flamborough",3,0,47,15,56,96,0,217,373
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 47","Flamborough",1,1,19,10,65,83,0,179,291
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 48","Flamborough",1,0,61,4,94,140,0,300,473
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 49","Flamborough",0,0,18,12,53,72,0,155,263
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 50","Flamborough",1,1,46,14,73,114,1,250,423
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 51","Flamborough",1,1,30,10,74,96,0,212,326
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 52","Flamborough",0,1,44,14,80,123,0,262,375
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 53","Flamborough",4,0,56,9,54,76,1,200,366
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 54","Flamborough",0,1,15,11,53,94,0,174,309
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 55","Flamborough",0,1,28,9,39,69,0,146,235
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 56","Flamborough",1,1,36,12,27,93,1,171,279
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 57","Flamborough",2,0,24,5,43,108,2,184,289
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 58","Flamborough",0,1,27,11,46,45,1,131,309
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 59","Flamborough",0,0,43,23,75,119,3,263,469
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 60","Flamborough",1,0,28,1,85,56,0,171,281
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 61","Flamborough",2,1,40,8,33,46,0,130,270
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 62A","Flamborough",0,0,15,9,84,73,4,185,285
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 62B","Flamborough",1,0,22,8,54,85,0,170,280
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 63","Flamborough",0,0,38,9,72,112,0,231,413
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 64A","Flamborough",3,0,21,7,67,75,0,173,304
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 64B","Flamborough",0,0,20,1,62,87,0,170,295
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 65","Flamborough",0,1,54,13,81,97,2,248,431
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 66","Flamborough",1,2,32,13,72,114,0,234,374
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 67","Flamborough",1,0,48,24,82,133,1,289,482
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 68","Flamborough",0,1,19,5,49,76,0,150,209
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 69","Flamborough",1,0,51,13,96,85,0,246,366
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 70","Flamborough",0,3,21,7,44,71,0,146,250
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 71","Flamborough",1,0,45,9,78,103,1,237,414
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 72","Flamborough",0,0,49,11,92,102,0,254,381
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 73","Flamborough",0,0,25,9,69,73,2,178,282
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 74","Flamborough",1,1,36,7,50,57,0,152,244
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 75A","Flamborough",0,0,16,9,34,61,0,120,256
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 75B","Flamborough",0,1,26,10,53,54,0,144,254
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 76","Dundas",2,0,47,30,85,72,1,237,334
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 77","Dundas",2,0,47,11,77,97,0,234,342
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 78","Hamilton ",Void/Supprimé,,,,,,,,
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 79","Dundas",0,0,55,19,134,88,0,296,461
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 80","Dundas",0,0,60,10,125,68,1,264,433
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 81","Dundas",0,0,94,11,80,74,1,260,408
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 82","Dundas",1,1,80,10,95,64,0,251,421
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 83","Dundas",1,1,99,12,100,59,1,273,414
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 84","Dundas",1,1,65,8,67,46,0,188,335
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 85","Dundas",1,1,52,12,53,45,0,164,306
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 86","Dundas",1,0,65,15,78,67,1,227,388
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 87","Dundas",1,0,69,11,85,51,0,217,361
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 88","Dundas",0,0,47,2,33,48,1,131,258
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 89","Dundas",0,1,57,5,52,37,0,152,298
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 90","Dundas",0,0,47,12,67,61,0,187,311
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 91","Dundas",1,0,101,10,125,93,2,332,449
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 91-1A","Mobile poll/Bureau itinérant",2,1,19,3,25,26,0,76,131
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 91-1B","Mobile poll/Bureau itinérant",Merged with No. 91-1A/Fusionné avec le nº 91-1A,,,,,,,,44
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 92","Dundas",4,0,72,11,109,81,1,278,375
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 93","Dundas",3,0,56,10,88,62,1,220,346
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 94","Dundas",1,0,53,11,112,65,0,242,385
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 95","Dundas",1,0,47,7,85,67,1,208,323
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 96","Dundas",1,1,65,19,113,88,2,289,461
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 97","Dundas",2,0,76,13,107,85,0,283,432
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 98","Hamilton ",1,1,70,16,70,55,1,214,310
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 99","Hamilton ",0,0,91,9,74,46,0,220,306
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 100","Hamilton ",0,0,97,20,113,51,1,282,363
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 101","Hamilton ",1,0,69,14,99,63,0,246,437
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 102","Hamilton ",0,2,105,20,106,44,1,278,367
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 103","Hamilton ",2,3,102,16,137,42,1,303,412
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 104","Hamilton ",1,4,113,16,122,39,0,295,421
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 105","Hamilton ",1,2,98,13,94,40,3,251,377
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 106","Hamilton ",3,0,109,23,83,60,0,278,399
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 107","Hamilton ",0,0,81,16,99,45,1,242,355
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 108","Hamilton ",1,2,103,17,83,51,0,257,347
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 109","Hamilton ",0,0,74,6,68,30,0,178,296
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 110","Hamilton ",2,0,63,15,47,39,1,167,322
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 111","Hamilton ",2,0,72,10,112,53,3,252,475
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 112","Hamilton ",2,0,70,12,100,34,0,218,342
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 113","Hamilton ",4,4,138,15,163,63,0,387,480
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 114","Hamilton ",2,0,85,11,75,36,1,210,281
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 115","Hamilton ",2,0,94,19,131,77,2,325,451
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 116","Hamilton ",1,0,82,16,81,58,0,238,352
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 117","Hamilton ",1,1,106,20,100,68,0,296,429
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 118","Hamilton ",5,0,121,18,95,57,1,297,419
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 119","Hamilton ",0,0,106,17,126,64,1,314,475
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 120","Hamilton ",1,1,68,10,65,26,1,172,325
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 121","Hamilton ",1,2,60,9,58,35,3,168,320
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 122","Hamilton ",2,0,61,2,63,43,0,171,337
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 123","Hamilton ",2,1,53,3,59,41,0,159,257
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 124","Hamilton ",2,0,77,5,61,34,1,180,312
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 125A","Hamilton ",0,0,71,9,96,50,0,226,315
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 125B","Hamilton ",1,0,83,6,84,61,0,235,330
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 126","Hamilton ",Void/Supprimé,,,,,,,,
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 127","Hamilton ",2,0,54,8,65,33,0,162,281
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 128","Hamilton ",1,1,83,10,64,70,1,230,384
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 129","Hamilton ",3,0,70,14,71,56,0,214,348
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 130","Hamilton ",4,0,115,19,96,51,1,286,419
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 131","Hamilton ",3,0,61,12,73,44,1,194,275
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 132A","Dundas",2,0,45,11,67,48,1,174,304
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 132B","Dundas",0,0,48,6,48,61,0,163,303
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 133","Dundas",1,2,62,1,120,118,1,305,485
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 134","Dundas",0,0,59,11,76,62,0,208,368
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 135A","Dundas",1,0,79,20,81,51,0,232,308
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 135B","Dundas",2,1,88,13,84,51,1,240,326
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 136","Dundas",0,0,87,13,97,64,0,261,370
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 137","Dundas",0,1,86,10,66,53,1,217,350
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 138","Dundas",1,0,57,9,84,54,3,208,336
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 139","Dundas",1,1,85,9,101,37,0,234,356
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 140","Dundas",1,0,88,8,84,72,0,253,393
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 141","Dundas",0,0,123,24,93,92,1,333,507
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 142","Dundas",1,0,74,11,84,77,0,247,389
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 143","Dundas",2,0,81,7,80,45,0,215,391
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 144","Dundas",3,0,68,7,83,67,2,230,423
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 145","Dundas",2,0,75,11,97,97,0,282,458
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 146","Dundas",1,0,90,14,125,90,0,320,567
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 147","Dundas",2,0,51,12,122,56,0,243,409
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 148","Dundas",1,0,72,8,123,84,0,288,436
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 149","Dundas",2,0,28,4,78,79,1,192,306
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 150","Dundas",2,0,31,3,68,59,0,163,317
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 151","Dundas",3,0,51,5,50,63,0,172,270
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 152A","Dundas",0,0,44,6,64,47,0,161,259
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 152B","Dundas",2,0,20,5,70,38,1,136,263
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 153","Dundas",0,0,34,11,75,68,3,191,344
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 154","Dundas",1,0,60,16,76,48,0,201,338
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 155","Dundas",0,0,58,11,65,46,0,180,341
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 156A","Ancaster",1,0,25,10,49,55,0,140,255
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 156B","Ancaster",0,0,15,9,64,53,0,141,263
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 157","Ancaster",1,0,49,12,77,103,0,242,384
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 158","Ancaster",1,0,28,9,103,84,0,225,348
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 159","Ancaster",1,0,33,7,89,96,0,226,419
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 160","Ancaster",1,1,41,13,126,103,0,285,468
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 161A","Ancaster",0,1,20,1,65,66,0,153,303
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 161B","Ancaster",0,0,17,5,68,72,0,162,289
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 162","Ancaster",2,1,35,7,118,111,0,274,462
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 163","Ancaster",2,0,34,8,109,107,0,260,467
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 164","Ancaster",0,0,30,9,100,100,2,241,414
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 165","Ancaster",0,0,38,11,87,89,2,227,364
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 166","Ancaster",1,0,34,6,117,104,1,263,460
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 167","Ancaster",1,1,55,10,85,84,1,237,373
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 168","Ancaster",0,0,9,4,22,25,0,60,105
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 169","Ancaster",0,0,40,7,96,85,0,228,412
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 170","Ancaster",1,1,24,9,156,119,2,312,512
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 171","Ancaster",0,0,47,8,78,107,0,240,384
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 172","Ancaster",0,1,32,12,84,92,0,221,357
"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 173","Ancaster",2,0,50,11,92,89,0,244,395
