Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mauril Bélanger,Paul Benoit,Ric Dagenais,Alexandre Legeais,James C. Parsons,Raphaël Thierrin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Ottawa--Vanier/Ottawa--Vanier"," 22","Gloucester",40,20,7,0,0,5,0,72,132
"Ottawa--Vanier/Ottawa--Vanier"," 23","Gloucester",98,72,18,0,0,11,0,199,354
"Ottawa--Vanier/Ottawa--Vanier"," 24","Ottawa",118,91,79,1,0,28,0,317,496
"Ottawa--Vanier/Ottawa--Vanier"," 25","Ottawa",152,76,96,1,2,24,2,353,601
"Ottawa--Vanier/Ottawa--Vanier"," 26","Ottawa",72,37,46,1,2,21,1,180,368
"Ottawa--Vanier/Ottawa--Vanier"," 27","Ottawa",15,24,8,0,0,4,0,51,142
"Ottawa--Vanier/Ottawa--Vanier"," 28","Ottawa",23,41,14,0,2,2,0,82,213
"Ottawa--Vanier/Ottawa--Vanier"," 29","Ottawa",Void/Supprimé,,,,,,,,
"Ottawa--Vanier/Ottawa--Vanier"," 30","Ottawa",106,73,60,1,1,4,4,249,491
"Ottawa--Vanier/Ottawa--Vanier"," 31","Ottawa",98,52,46,0,1,8,0,205,310
"Ottawa--Vanier/Ottawa--Vanier"," 32A","Ottawa",101,70,48,0,3,11,4,237,371
"Ottawa--Vanier/Ottawa--Vanier"," 32B","Mobile poll/Bureau itinérant",Merged with No. 507/Fusionné avec le nº 507,,,,,,,,102
"Ottawa--Vanier/Ottawa--Vanier"," 33","Ottawa",111,87,56,1,2,11,1,269,571
"Ottawa--Vanier/Ottawa--Vanier"," 33-1","Ottawa",134,65,26,0,1,9,0,235,316
"Ottawa--Vanier/Ottawa--Vanier"," 34","Ottawa",72,54,30,0,0,12,0,168,294
"Ottawa--Vanier/Ottawa--Vanier"," 35","Ottawa",Void/Supprimé,,,,,,,,
"Ottawa--Vanier/Ottawa--Vanier"," 36","Ottawa",26,15,13,0,0,2,3,59,131
"Ottawa--Vanier/Ottawa--Vanier"," 37","Ottawa",114,56,56,0,3,25,3,257,437
"Ottawa--Vanier/Ottawa--Vanier"," 38","Ottawa",92,75,54,0,1,14,0,236,377
"Ottawa--Vanier/Ottawa--Vanier"," 39","Ottawa",Void/Supprimé,,,,,,,,
"Ottawa--Vanier/Ottawa--Vanier"," 40","Ottawa",113,50,22,0,1,6,1,193,277
"Ottawa--Vanier/Ottawa--Vanier"," 41A","Ottawa",134,74,51,1,2,14,0,276,441
"Ottawa--Vanier/Ottawa--Vanier"," 41B","Ottawa",152,90,40,2,0,15,1,300,447
"Ottawa--Vanier/Ottawa--Vanier"," 42","Ottawa",54,75,41,1,0,11,2,184,297
"Ottawa--Vanier/Ottawa--Vanier"," 43","Ottawa",85,59,37,0,1,8,0,190,368
"Ottawa--Vanier/Ottawa--Vanier"," 44","Ottawa",70,20,29,0,0,5,2,126,226
"Ottawa--Vanier/Ottawa--Vanier"," 45","Ottawa",81,47,58,2,1,12,0,201,283
"Ottawa--Vanier/Ottawa--Vanier"," 46","Ottawa",54,39,16,0,2,8,2,121,241
"Ottawa--Vanier/Ottawa--Vanier"," 47","Ottawa",172,129,64,2,1,25,4,397,617
"Ottawa--Vanier/Ottawa--Vanier"," 48","Ottawa",82,75,40,0,0,21,1,219,339
"Ottawa--Vanier/Ottawa--Vanier"," 49","Rockcliffe Park",92,138,22,0,0,27,0,279,481
"Ottawa--Vanier/Ottawa--Vanier"," 50","Rockcliffe Park",60,95,19,0,0,15,0,189,357
"Ottawa--Vanier/Ottawa--Vanier"," 51","Ottawa",106,90,63,0,3,24,2,288,413
"Ottawa--Vanier/Ottawa--Vanier"," 52","Ottawa",88,92,48,0,0,31,0,259,384
"Ottawa--Vanier/Ottawa--Vanier"," 53","Ottawa",58,44,42,1,0,15,1,161,324
"Ottawa--Vanier/Ottawa--Vanier"," 54","Rockcliffe Park",49,70,28,0,0,19,1,167,287
"Ottawa--Vanier/Ottawa--Vanier"," 55","Rockcliffe Park",53,92,18,0,0,12,0,175,326
"Ottawa--Vanier/Ottawa--Vanier"," 56","Ottawa",86,76,35,0,0,41,0,238,410
"Ottawa--Vanier/Ottawa--Vanier"," 57","Ottawa",81,70,35,0,0,17,1,204,368
"Ottawa--Vanier/Ottawa--Vanier"," 58","Ottawa",60,56,48,0,0,34,0,198,323
"Ottawa--Vanier/Ottawa--Vanier"," 59A","Ottawa",18,8,5,0,0,8,0,39,53
"Ottawa--Vanier/Ottawa--Vanier"," 59B","Ottawa",85,48,49,0,3,15,1,201,284
"Ottawa--Vanier/Ottawa--Vanier"," 60","Ottawa",78,35,52,0,0,25,0,190,425
"Ottawa--Vanier/Ottawa--Vanier"," 61","Ottawa",50,31,52,1,0,19,1,154,280
"Ottawa--Vanier/Ottawa--Vanier"," 62","Ottawa",64,36,29,0,1,7,2,139,244
"Ottawa--Vanier/Ottawa--Vanier"," 63","Ottawa",81,93,35,0,1,22,0,232,362
"Ottawa--Vanier/Ottawa--Vanier"," 64","Ottawa",69,43,83,1,0,29,2,227,357
"Ottawa--Vanier/Ottawa--Vanier"," 65","Ottawa",80,48,63,1,1,23,0,216,391
"Ottawa--Vanier/Ottawa--Vanier"," 66","Ottawa",126,92,73,1,0,31,2,325,533
"Ottawa--Vanier/Ottawa--Vanier"," 67","Vanier",69,32,21,0,1,10,2,135,294
"Ottawa--Vanier/Ottawa--Vanier"," 68","Vanier",58,53,35,1,1,10,1,159,286
"Ottawa--Vanier/Ottawa--Vanier"," 69","Vanier",52,37,28,0,0,10,0,127,246
"Ottawa--Vanier/Ottawa--Vanier"," 70","Vanier",151,90,64,1,1,15,0,322,448
"Ottawa--Vanier/Ottawa--Vanier"," 71","Ottawa",123,89,43,1,1,8,1,266,392
"Ottawa--Vanier/Ottawa--Vanier"," 72","Ottawa",94,48,50,0,1,7,2,202,364
"Ottawa--Vanier/Ottawa--Vanier"," 73","Vanier",51,25,29,0,0,4,0,109,234
"Ottawa--Vanier/Ottawa--Vanier"," 74","Vanier",92,49,41,0,0,11,1,194,360
"Ottawa--Vanier/Ottawa--Vanier"," 75","Vanier",82,49,49,0,0,17,2,199,404
"Ottawa--Vanier/Ottawa--Vanier"," 76","Vanier",57,35,33,1,0,13,1,140,337
"Ottawa--Vanier/Ottawa--Vanier"," 77","Vanier",75,26,29,1,0,12,1,144,286
"Ottawa--Vanier/Ottawa--Vanier"," 78","Vanier",60,29,36,0,1,11,2,139,281
"Ottawa--Vanier/Ottawa--Vanier"," 79","Vanier",75,55,54,0,1,7,2,194,389
"Ottawa--Vanier/Ottawa--Vanier"," 80","Vanier",90,55,41,2,2,15,2,207,424
"Ottawa--Vanier/Ottawa--Vanier"," 81A","Vanier",41,16,13,0,1,3,0,74,187
"Ottawa--Vanier/Ottawa--Vanier"," 81B","Vanier",97,36,22,0,1,7,0,163,199
"Ottawa--Vanier/Ottawa--Vanier"," 82","Vanier",131,67,67,1,1,7,4,278,371
"Ottawa--Vanier/Ottawa--Vanier"," 83","Vanier",87,55,51,1,1,21,2,218,398
"Ottawa--Vanier/Ottawa--Vanier"," 84","Vanier",45,34,42,0,1,16,1,139,374
"Ottawa--Vanier/Ottawa--Vanier"," 85","Vanier",26,14,14,0,0,2,0,56,136
"Ottawa--Vanier/Ottawa--Vanier"," 86","Vanier",59,42,43,0,1,8,1,154,321
"Ottawa--Vanier/Ottawa--Vanier"," 87","Vanier",49,30,38,0,1,10,1,129,281
"Ottawa--Vanier/Ottawa--Vanier"," 88","Vanier",66,43,33,0,0,8,2,152,325
"Ottawa--Vanier/Ottawa--Vanier"," 89","Vanier",58,46,42,0,0,27,3,176,367
"Ottawa--Vanier/Ottawa--Vanier"," 90","Vanier",88,60,64,1,1,18,0,232,451
"Ottawa--Vanier/Ottawa--Vanier"," 91","Vanier",80,75,65,0,0,24,3,247,443
"Ottawa--Vanier/Ottawa--Vanier"," 92","Vanier",113,51,37,1,1,16,2,221,372
"Ottawa--Vanier/Ottawa--Vanier"," 93","Vanier",110,38,80,2,0,24,1,255,406
"Ottawa--Vanier/Ottawa--Vanier"," 94","Vanier",88,55,41,0,1,12,3,200,438
"Ottawa--Vanier/Ottawa--Vanier"," 95","Vanier",61,18,33,0,1,7,2,122,288
"Ottawa--Vanier/Ottawa--Vanier"," 96","Vanier",71,48,40,1,0,14,0,174,366
"Ottawa--Vanier/Ottawa--Vanier"," 97","Vanier",44,28,32,2,2,12,2,122,288
"Ottawa--Vanier/Ottawa--Vanier"," 98","Vanier",72,40,25,1,4,4,2,148,336
"Ottawa--Vanier/Ottawa--Vanier"," 99","Vanier",58,37,25,0,0,9,0,129,289
"Ottawa--Vanier/Ottawa--Vanier"," 100","Vanier",67,44,46,1,0,3,1,162,363
"Ottawa--Vanier/Ottawa--Vanier"," 101","Vanier",70,48,35,1,1,24,1,180,317
"Ottawa--Vanier/Ottawa--Vanier"," 102A","Vanier",48,24,21,0,0,6,2,101,283
"Ottawa--Vanier/Ottawa--Vanier"," 102B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,139
"Ottawa--Vanier/Ottawa--Vanier"," 103","Ottawa",94,63,41,0,1,8,1,208,434
"Ottawa--Vanier/Ottawa--Vanier"," 104","Ottawa",75,54,38,0,1,9,3,180,341
"Ottawa--Vanier/Ottawa--Vanier"," 105","Ottawa",75,46,28,0,0,10,2,161,298
"Ottawa--Vanier/Ottawa--Vanier"," 106","Ottawa",84,71,32,0,0,9,1,197,351
"Ottawa--Vanier/Ottawa--Vanier"," 107","Ottawa",37,19,18,0,0,1,0,75,167
"Ottawa--Vanier/Ottawa--Vanier"," 108","Ottawa",113,71,52,0,4,7,1,248,418
"Ottawa--Vanier/Ottawa--Vanier"," 109","Ottawa",98,90,67,0,0,11,2,268,519
"Ottawa--Vanier/Ottawa--Vanier"," 110","Ottawa",118,48,25,0,1,3,4,199,251
"Ottawa--Vanier/Ottawa--Vanier"," 111","Ottawa",76,61,44,1,2,13,1,198,346
"Ottawa--Vanier/Ottawa--Vanier"," 112","Ottawa",112,87,44,2,0,20,2,267,469
"Ottawa--Vanier/Ottawa--Vanier"," 113","Ottawa",90,66,41,0,1,5,2,205,340
"Ottawa--Vanier/Ottawa--Vanier"," 114","Ottawa",67,53,24,1,0,9,3,157,263
"Ottawa--Vanier/Ottawa--Vanier"," 115","Ottawa",88,52,41,0,0,8,2,191,395
"Ottawa--Vanier/Ottawa--Vanier"," 116","Gloucester",52,26,27,0,0,11,0,116,228
"Ottawa--Vanier/Ottawa--Vanier"," 116-1","Gloucester",102,86,47,0,2,8,3,248,443
"Ottawa--Vanier/Ottawa--Vanier"," 117","Gloucester",136,123,54,0,1,7,2,323,444
"Ottawa--Vanier/Ottawa--Vanier"," 118","Gloucester",107,72,45,1,1,9,2,237,325
"Ottawa--Vanier/Ottawa--Vanier"," 119","Gloucester",123,124,37,1,0,11,0,296,393
"Ottawa--Vanier/Ottawa--Vanier"," 120","Gloucester",69,46,26,0,0,9,1,151,225
"Ottawa--Vanier/Ottawa--Vanier"," 121","Gloucester",124,62,71,0,2,13,4,276,400
"Ottawa--Vanier/Ottawa--Vanier"," 122","Gloucester",120,77,47,0,1,16,1,262,398
"Ottawa--Vanier/Ottawa--Vanier"," 123","Gloucester",135,66,54,2,1,10,0,268,532
"Ottawa--Vanier/Ottawa--Vanier"," 124","Gloucester",115,48,36,1,0,7,0,207,356
"Ottawa--Vanier/Ottawa--Vanier"," 125A","Gloucester",113,54,47,0,1,12,2,229,387
"Ottawa--Vanier/Ottawa--Vanier"," 125B","Gloucester",93,47,31,0,0,6,0,177,295
"Ottawa--Vanier/Ottawa--Vanier"," 126","Gloucester",119,102,66,1,1,10,0,299,515
"Ottawa--Vanier/Ottawa--Vanier"," 127","Gloucester",74,54,39,0,1,5,0,173,311
"Ottawa--Vanier/Ottawa--Vanier"," 128","Gloucester",70,60,38,0,1,10,0,179,350
"Ottawa--Vanier/Ottawa--Vanier"," 129","Gloucester",102,87,31,1,1,9,4,235,367
"Ottawa--Vanier/Ottawa--Vanier"," 130","Gloucester",95,83,28,0,0,3,1,210,354
"Ottawa--Vanier/Ottawa--Vanier"," 131","Gloucester",71,51,44,0,2,16,0,184,337
"Ottawa--Vanier/Ottawa--Vanier"," 132","Gloucester",87,87,39,0,0,7,0,220,405
"Ottawa--Vanier/Ottawa--Vanier"," 133","Gloucester",112,100,81,0,1,10,2,306,459
"Ottawa--Vanier/Ottawa--Vanier"," 134","Gloucester",52,72,32,1,3,8,2,170,283
"Ottawa--Vanier/Ottawa--Vanier"," 135","Gloucester",113,102,33,0,0,11,2,261,469
"Ottawa--Vanier/Ottawa--Vanier"," 136","Gloucester",112,106,56,0,1,15,1,291,522
"Ottawa--Vanier/Ottawa--Vanier"," 137","Gloucester",74,73,46,0,0,2,4,199,344
"Ottawa--Vanier/Ottawa--Vanier"," 138","Gloucester",64,46,40,0,1,6,2,159,352
"Ottawa--Vanier/Ottawa--Vanier"," 139","Ottawa",97,57,76,0,0,21,1,252,456
"Ottawa--Vanier/Ottawa--Vanier"," 140","Ottawa",79,63,43,0,1,15,0,201,416
"Ottawa--Vanier/Ottawa--Vanier"," 141","Ottawa",87,46,48,1,0,6,2,190,333
"Ottawa--Vanier/Ottawa--Vanier"," 142","Ottawa",58,41,23,0,2,4,0,128,310
"Ottawa--Vanier/Ottawa--Vanier"," 143","Ottawa",66,55,20,0,0,0,0,141,316
"Ottawa--Vanier/Ottawa--Vanier"," 144","Ottawa",74,38,28,0,4,2,0,146,314
"Ottawa--Vanier/Ottawa--Vanier"," 145","Ottawa",78,38,18,0,1,6,1,142,343
"Ottawa--Vanier/Ottawa--Vanier"," 146","Ottawa",73,54,58,1,2,17,2,207,504
"Ottawa--Vanier/Ottawa--Vanier"," 147","Ottawa",79,41,20,1,2,5,0,148,334
"Ottawa--Vanier/Ottawa--Vanier"," 148","Ottawa",99,46,31,0,0,12,4,192,364
"Ottawa--Vanier/Ottawa--Vanier"," 149","Ottawa",83,81,44,1,1,20,0,230,463
"Ottawa--Vanier/Ottawa--Vanier"," 150","Ottawa",80,60,43,0,0,18,0,201,329
"Ottawa--Vanier/Ottawa--Vanier"," 151","Ottawa",64,45,54,0,0,22,0,185,403
"Ottawa--Vanier/Ottawa--Vanier"," 152","Ottawa",73,47,44,0,1,29,0,194,378
"Ottawa--Vanier/Ottawa--Vanier"," 153","Ottawa",94,55,136,0,0,38,1,324,547
"Ottawa--Vanier/Ottawa--Vanier"," 154","Ottawa",27,17,20,0,0,4,0,68,97
"Ottawa--Vanier/Ottawa--Vanier"," 155A","Ottawa",38,26,34,0,0,7,0,105,207
"Ottawa--Vanier/Ottawa--Vanier"," 155B","Ottawa",98,48,30,0,0,9,1,186,241
"Ottawa--Vanier/Ottawa--Vanier"," 156","Ottawa",96,44,87,3,1,33,0,264,451
"Ottawa--Vanier/Ottawa--Vanier"," 157","Ottawa",39,40,38,0,1,10,1,129,241
"Ottawa--Vanier/Ottawa--Vanier"," 158","Ottawa",76,43,103,1,0,26,3,252,356
"Ottawa--Vanier/Ottawa--Vanier"," 159","Ottawa",140,50,162,1,1,46,2,402,590
"Ottawa--Vanier/Ottawa--Vanier"," 160","Ottawa",53,24,53,1,2,19,1,153,256
"Ottawa--Vanier/Ottawa--Vanier"," 161","Ottawa",61,55,75,0,0,15,0,206,289
"Ottawa--Vanier/Ottawa--Vanier"," 162","Ottawa",116,44,103,1,0,35,2,301,495
"Ottawa--Vanier/Ottawa--Vanier"," 163","Ottawa",97,28,71,0,0,31,0,227,357
"Ottawa--Vanier/Ottawa--Vanier"," 164","Ottawa",72,38,69,1,0,21,0,201,374
"Ottawa--Vanier/Ottawa--Vanier"," 165","Ottawa",105,48,92,0,1,28,1,275,399
"Ottawa--Vanier/Ottawa--Vanier"," 166","Ottawa",91,33,75,1,1,12,0,213,265
"Ottawa--Vanier/Ottawa--Vanier"," 167","Ottawa",98,32,59,1,0,17,1,208,272
"Ottawa--Vanier/Ottawa--Vanier"," 168","Ottawa",64,30,50,0,2,26,0,172,368
"Ottawa--Vanier/Ottawa--Vanier"," 169","Ottawa",79,33,59,0,0,16,2,189,335
"Ottawa--Vanier/Ottawa--Vanier"," 170","Ottawa",72,36,90,0,0,18,2,218,292
"Ottawa--Vanier/Ottawa--Vanier"," 171","Ottawa",75,28,90,1,1,18,1,214,344
"Ottawa--Vanier/Ottawa--Vanier"," 172","Ottawa",64,25,82,2,1,24,2,200,326
"Ottawa--Vanier/Ottawa--Vanier"," 173","Ottawa",54,16,37,0,1,8,0,116,198
"Ottawa--Vanier/Ottawa--Vanier"," 174","Ottawa",30,17,32,1,0,6,0,86,189
"Ottawa--Vanier/Ottawa--Vanier"," 175","Ottawa",33,15,29,0,1,20,1,99,365
"Ottawa--Vanier/Ottawa--Vanier"," 176","Ottawa",42,9,53,1,0,12,0,117,261
"Ottawa--Vanier/Ottawa--Vanier"," 177","Ottawa",73,50,105,1,1,21,1,252,407
"Ottawa--Vanier/Ottawa--Vanier"," 178","Ottawa",87,45,92,1,0,33,1,259,392
"Ottawa--Vanier/Ottawa--Vanier"," 179","Ottawa",182,34,81,0,0,27,4,328,530
"Ottawa--Vanier/Ottawa--Vanier"," 180","Ottawa",55,11,34,1,0,6,1,108,210
"Ottawa--Vanier/Ottawa--Vanier"," 181","Ottawa",86,67,59,3,0,13,4,232,459
"Ottawa--Vanier/Ottawa--Vanier"," 182A","Ottawa",56,20,34,0,0,13,0,123,216
"Ottawa--Vanier/Ottawa--Vanier"," 182B","Ottawa",Merged with No. 183/Fusionné avec le nº 183,,,,,,,,37
"Ottawa--Vanier/Ottawa--Vanier"," 183","Ottawa",102,52,53,0,1,14,4,226,264
"Ottawa--Vanier/Ottawa--Vanier"," 184","Ottawa",74,54,57,1,2,17,1,206,314
"Ottawa--Vanier/Ottawa--Vanier"," 185","Ottawa",90,55,70,0,3,33,3,254,445
"Ottawa--Vanier/Ottawa--Vanier"," 186","Ottawa",92,46,102,1,0,40,2,283,445
"Ottawa--Vanier/Ottawa--Vanier"," 187A","Ottawa",58,46,50,0,1,16,1,172,400
"Ottawa--Vanier/Ottawa--Vanier"," 187B","Ottawa",72,33,42,0,0,14,0,161,383
"Ottawa--Vanier/Ottawa--Vanier"," 188A","Ottawa",93,33,66,0,0,14,0,206,336
"Ottawa--Vanier/Ottawa--Vanier"," 188B","Ottawa",50,29,39,0,1,5,2,126,122
"Ottawa--Vanier/Ottawa--Vanier"," 189A","Ottawa",Merged with No. 188B/Fusionné avec le nº 188B,,,,,,,,111
"Ottawa--Vanier/Ottawa--Vanier"," 189B","Ottawa",Merged with No. 188A/Fusionné avec le nº 188A,,,,,,,,60
"Ottawa--Vanier/Ottawa--Vanier"," 190","Ottawa",65,26,44,1,0,14,0,150,295
"Ottawa--Vanier/Ottawa--Vanier"," 191","Ottawa",108,26,46,2,1,5,12,200,286
"Ottawa--Vanier/Ottawa--Vanier"," 192","Ottawa",71,38,55,3,1,15,2,185,390
"Ottawa--Vanier/Ottawa--Vanier"," 193","Ottawa",69,20,60,1,0,6,1,157,378
"Ottawa--Vanier/Ottawa--Vanier"," 194","Ottawa",50,37,77,1,1,12,0,178,330
"Ottawa--Vanier/Ottawa--Vanier"," 195","Ottawa",135,51,126,0,0,35,1,348,696
"Ottawa--Vanier/Ottawa--Vanier"," 196","Ottawa",71,69,87,0,0,39,1,267,437
"Ottawa--Vanier/Ottawa--Vanier"," 197","Ottawa",86,45,76,0,0,21,0,228,395
"Ottawa--Vanier/Ottawa--Vanier"," 198","Ottawa",90,41,92,0,1,24,0,248,391
"Ottawa--Vanier/Ottawa--Vanier"," 199","Ottawa",127,56,95,1,1,31,0,311,539
"Ottawa--Vanier/Ottawa--Vanier"," 200","Ottawa",116,50,110,1,1,29,4,311,572
"Ottawa--Vanier/Ottawa--Vanier"," 201","Ottawa",106,75,81,0,1,22,2,287,575
"Ottawa--Vanier/Ottawa--Vanier"," 400","Ottawa",39,25,17,0,0,7,0,88,167
"Ottawa--Vanier/Ottawa--Vanier"," 401","Ottawa",41,15,33,0,0,3,0,92,132
"Ottawa--Vanier/Ottawa--Vanier"," 402","Ottawa",90,42,25,0,1,3,1,162,219
"Ottawa--Vanier/Ottawa--Vanier"," 403","Ottawa",127,75,53,1,1,16,1,274,347
"Ottawa--Vanier/Ottawa--Vanier"," 404","Ottawa",101,27,20,0,0,1,2,151,225
"Ottawa--Vanier/Ottawa--Vanier"," 405","Vanier",90,38,22,0,1,1,3,155,210
"Ottawa--Vanier/Ottawa--Vanier"," 406","Vanier",88,40,30,0,0,5,0,163,222
"Ottawa--Vanier/Ottawa--Vanier"," 407","Vanier",110,40,22,0,0,6,4,182,235
"Ottawa--Vanier/Ottawa--Vanier"," 408","Ottawa",132,55,33,2,3,4,0,229,291
"Ottawa--Vanier/Ottawa--Vanier"," 409","Ottawa",58,46,27,0,1,9,2,143,195
"Ottawa--Vanier/Ottawa--Vanier"," 410","Gloucester",124,53,42,0,3,8,3,233,357
"Ottawa--Vanier/Ottawa--Vanier"," 411","Gloucester",99,38,37,1,1,4,6,186,263
"Ottawa--Vanier/Ottawa--Vanier"," 412","Ottawa",110,84,41,1,1,8,0,245,306
"Ottawa--Vanier/Ottawa--Vanier"," 413","Ottawa",84,81,43,0,0,7,1,216,309
"Ottawa--Vanier/Ottawa--Vanier"," 414","Ottawa",140,88,46,0,1,13,2,290,410
"Ottawa--Vanier/Ottawa--Vanier"," 415","Ottawa",77,52,26,0,3,9,0,167,218
"Ottawa--Vanier/Ottawa--Vanier"," 416","Ottawa",139,77,16,0,1,5,0,238,328
"Ottawa--Vanier/Ottawa--Vanier"," 417","Ottawa",89,35,21,1,1,2,5,154,192
"Ottawa--Vanier/Ottawa--Vanier"," 500","Mobile poll/Bureau itinérant",97,38,8,0,1,2,3,149,231
"Ottawa--Vanier/Ottawa--Vanier"," 501","Mobile poll/Bureau itinérant",138,43,22,4,0,5,5,217,274
"Ottawa--Vanier/Ottawa--Vanier"," 502","Mobile poll/Bureau itinérant",99,69,20,0,0,4,2,194,257
"Ottawa--Vanier/Ottawa--Vanier"," 503","Mobile poll/Bureau itinérant",76,8,6,0,2,0,5,97,204
"Ottawa--Vanier/Ottawa--Vanier"," 504","Mobile poll/Bureau itinérant",126,46,20,0,5,1,3,201,252
"Ottawa--Vanier/Ottawa--Vanier"," 505","Mobile poll/Bureau itinérant",63,34,11,1,2,2,1,114,138
"Ottawa--Vanier/Ottawa--Vanier"," 506","Mobile poll/Bureau itinérant",179,25,4,1,4,2,3,218,290
"Ottawa--Vanier/Ottawa--Vanier"," 507","Mobile poll/Bureau itinérant",155,49,12,2,1,1,1,221,188
"Ottawa--Vanier/Ottawa--Vanier"," 508","Mobile poll/Bureau itinérant",89,24,8,3,3,1,2,130,246
"Ottawa--Vanier/Ottawa--Vanier"," 600","Ottawa",311,497,114,0,2,41,1,966,
"Ottawa--Vanier/Ottawa--Vanier"," 601","Ottawa",210,236,70,1,2,24,1,544,
"Ottawa--Vanier/Ottawa--Vanier"," 602","Ottawa",265,350,128,0,2,81,1,827,
"Ottawa--Vanier/Ottawa--Vanier"," 603","Ottawa",216,145,72,1,3,28,2,467,
"Ottawa--Vanier/Ottawa--Vanier"," 604","Ottawa",180,124,55,1,2,22,3,387,
"Ottawa--Vanier/Ottawa--Vanier"," 605","Ottawa",83,58,23,0,3,3,1,171,
"Ottawa--Vanier/Ottawa--Vanier"," 606","Ottawa",240,290,81,0,3,25,1,640,
"Ottawa--Vanier/Ottawa--Vanier"," 607","Ottawa",205,192,95,1,2,31,2,528,
"Ottawa--Vanier/Ottawa--Vanier"," 608","Ottawa",319,172,189,0,2,57,4,743,
"Ottawa--Vanier/Ottawa--Vanier"," 609","Ottawa",285,159,133,0,3,46,2,628,
"Ottawa--Vanier/Ottawa--Vanier",,Group 1/Groupe 1,274,192,117,3,4,46,18,654,1164
"Ottawa--Vanier/Ottawa--Vanier",,Group 2/Groupe 2,1191,686,521,3,8,163,32,2604,
