Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Miguel Figueroa,Wendy Forrest,Mark O'Brien,Gord Perks,Theresa Rodrigues,Mario Silva,Sarah Thompson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Davenport/Davenport"," 114A","Toronto",0,0,6,65,15,87,1,1,175,398
"Davenport/Davenport"," 114B","Toronto",0,0,1,15,8,36,1,2,63,83
"Davenport/Davenport"," 115","Toronto",0,0,11,118,25,124,0,0,278,490
"Davenport/Davenport"," 116","Toronto",1,1,9,176,28,139,3,5,362,621
"Davenport/Davenport"," 117","Toronto",0,0,8,137,23,100,0,2,270,525
"Davenport/Davenport"," 118","Toronto",0,0,1,42,11,58,0,1,113,197
"Davenport/Davenport"," 119","Toronto",4,3,11,146,18,124,0,1,307,479
"Davenport/Davenport"," 120","Toronto",2,1,10,121,15,125,0,4,278,468
"Davenport/Davenport"," 121","Toronto",0,0,12,108,19,138,2,0,279,491
"Davenport/Davenport"," 122","Toronto",2,0,8,84,10,43,0,1,148,243
"Davenport/Davenport"," 123","Toronto",1,0,7,100,15,70,1,0,194,318
"Davenport/Davenport"," 124","Toronto",1,0,2,79,8,44,1,0,135,200
"Davenport/Davenport"," 125","Toronto",0,3,22,198,13,141,1,0,378,556
"Davenport/Davenport"," 126","Toronto",0,0,10,198,14,112,2,0,336,507
"Davenport/Davenport"," 127","Toronto",1,0,10,123,16,118,2,2,272,463
"Davenport/Davenport"," 128","Toronto",0,1,12,135,21,102,0,3,274,477
"Davenport/Davenport"," 129","Toronto",0,0,13,144,23,145,0,3,328,543
"Davenport/Davenport"," 130A","Toronto",1,1,12,99,43,104,1,1,262,449
"Davenport/Davenport"," 130B","Toronto",1,1,12,106,35,95,0,0,250,447
"Davenport/Davenport"," 131","Toronto",2,1,17,72,21,210,0,1,324,588
"Davenport/Davenport"," 132","Toronto",0,0,3,44,21,124,1,1,194,388
"Davenport/Davenport"," 133","Toronto",3,0,11,113,30,119,0,1,277,507
"Davenport/Davenport"," 134","Toronto",1,0,11,67,19,117,0,0,215,358
"Davenport/Davenport"," 135","Toronto",0,2,2,69,13,101,0,3,190,322
"Davenport/Davenport"," 136","Toronto",0,0,21,94,25,157,1,2,300,532
"Davenport/Davenport"," 137","Toronto",4,0,9,68,21,98,0,0,200,403
"Davenport/Davenport"," 138","Toronto",3,0,15,70,18,153,0,1,260,498
"Davenport/Davenport"," 139","Toronto",1,4,12,98,30,123,0,0,268,537
"Davenport/Davenport"," 140","Toronto",1,0,8,50,15,131,0,1,206,498
"Davenport/Davenport"," 141","Toronto",1,2,6,37,4,70,2,1,123,249
"Davenport/Davenport"," 142","Toronto",1,0,4,47,10,92,0,2,156,242
"Davenport/Davenport"," 143","Toronto",2,2,14,124,21,132,0,0,295,508
"Davenport/Davenport"," 144","Toronto",1,1,8,73,32,134,1,3,253,527
"Davenport/Davenport"," 145","Toronto",1,0,9,85,24,154,0,1,274,496
"Davenport/Davenport"," 146","Toronto",2,0,6,78,19,112,1,0,218,415
"Davenport/Davenport"," 147","Toronto",0,1,7,103,20,61,1,3,196,352
"Davenport/Davenport"," 148A","Toronto",3,2,8,93,20,68,0,2,196,340
"Davenport/Davenport"," 148B","Toronto",0,2,2,4,16,82,1,0,107,155
"Davenport/Davenport"," 149","Toronto",1,0,19,111,22,139,1,0,293,489
"Davenport/Davenport"," 150","Toronto",0,0,13,89,27,105,0,1,235,405
"Davenport/Davenport"," 151","Toronto",1,0,12,117,24,128,2,1,285,515
"Davenport/Davenport"," 152","Toronto",0,0,5,66,6,51,0,0,128,211
"Davenport/Davenport"," 153A","Toronto",0,0,5,88,8,89,0,1,191,350
"Davenport/Davenport"," 153B","Toronto",0,0,9,96,10,90,0,0,205,352
"Davenport/Davenport"," 600","Toronto",0,0,17,69,52,241,1,4,384,
"Davenport/Davenport"," 601","Toronto",3,2,14,105,52,182,0,0,358,
"Davenport/Davenport"," 602","Toronto",3,2,10,124,61,209,2,6,417,
"Davenport/Davenport"," 603","Toronto",6,3,19,160,76,298,4,4,570,
"Davenport/Davenport"," 604","Toronto",1,2,19,219,48,232,1,5,527,
"Davenport/Davenport"," 605","Toronto",0,2,15,182,42,154,1,2,398,
"Davenport/Davenport"," 606","Toronto",0,0,28,191,57,208,0,1,485,
"Davenport/Davenport",,Group 1/Groupe 1,1,0,6,18,10,37,0,4,76,115
"Davenport/Davenport",,Group 2/Groupe 2,3,3,32,258,56,225,0,6,583,
