Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Janine G. Gibson,Patrick O'Connor,Wes Penner,Vic Toews,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Provencher/Provencher"," 111","Pansy",8,3,6,107,0,124,188
"Provencher/Provencher"," 112","Barkfield",9,9,14,240,0,272,372
"Provencher/Provencher"," 113A","Grunthal",8,10,7,282,0,307,537
"Provencher/Provencher"," 113B","Mobile poll/Bureau itinérant",Merged with No. 502A/Fusionné avec le nº 502A,,,,,,17
"Provencher/Provencher"," 113C","Mobile poll/Bureau itinérant",Merged with No. 502A/Fusionné avec le nº 502A,,,,,,9
"Provencher/Provencher"," 114A","Grunthal",2,13,8,164,1,188,228
"Provencher/Provencher"," 114B","Mobile poll/Bureau itinérant",Merged with No. 502A/Fusionné avec le nº 502A,,,,,,12
"Provencher/Provencher"," 115","Grunthal",6,11,5,203,0,225,358
"Provencher/Provencher"," 116","Hochstadt",14,15,11,220,0,260,435
"Provencher/Provencher"," 117","Kleefeld",11,20,14,323,1,369,553
"Provencher/Provencher"," 118","Randolph",8,8,12,181,0,209,339
"Provencher/Provencher"," 119","Mitchell",12,23,34,349,3,421,653
"Provencher/Provencher"," 120","Mitchell",8,8,14,160,0,190,232
"Provencher/Provencher"," 121","Hanover",4,6,6,202,0,218,376
"Provencher/Provencher"," 122","Bristol",6,11,9,161,0,187,308
"Provencher/Provencher"," 123","Sarto",8,9,12,166,0,195,352
"Provencher/Provencher"," 124","Sarto",17,15,5,107,2,146,252
"Provencher/Provencher"," 125","Friedensfeld",11,9,20,155,0,195,300
"Provencher/Provencher"," 126","Steinbach",11,21,24,287,1,344,777
"Provencher/Provencher"," 127","Blumenort",3,16,10,250,1,280,431
"Provencher/Provencher"," 128","Blumenort",2,12,5,271,1,291,502
"Provencher/Provencher"," 129","Giroux",11,31,50,124,2,218,401
"Provencher/Provencher"," 130","La Broquerie",28,33,89,138,4,292,493
"Provencher/Provencher"," 131","La Broquerie",22,29,92,145,1,289,463
"Provencher/Provencher"," 132","Marchand",8,31,50,93,0,182,372
"Provencher/Provencher"," 133A","Steinbach",10,13,27,279,2,331,586
"Provencher/Provencher"," 133B","Mobile poll/Bureau itinérant",Merged with No. 501B/Fusionné avec le nº 501B,,,,,,95
"Provencher/Provencher"," 134","Steinbach",12,17,29,205,3,266,462
"Provencher/Provencher"," 135A","Steinbach",6,4,9,124,0,143,286
"Provencher/Provencher"," 135B","Mobile poll/Bureau itinérant",Merged with No. 501A/Fusionné avec le nº 501A,,,,,,25
"Provencher/Provencher"," 135C","Mobile poll/Bureau itinérant",Merged with No. 501A/Fusionné avec le nº 501A,,,,,,12
"Provencher/Provencher"," 136A","Steinbach",9,9,18,156,1,193,350
"Provencher/Provencher"," 136B","Mobile poll/Bureau itinérant",Merged with No. 501A/Fusionné avec le nº 501A,,,,,,41
"Provencher/Provencher"," 137A","Steinbach",9,16,12,235,0,272,535
"Provencher/Provencher"," 137B","Steinbach",10,13,24,178,0,225,452
"Provencher/Provencher"," 138","Steinbach",11,13,14,154,1,193,306
"Provencher/Provencher"," 139","Steinbach",4,11,16,98,0,129,238
"Provencher/Provencher"," 140","Steinbach",5,8,15,164,0,192,339
"Provencher/Provencher"," 141A","Steinbach",7,5,19,129,2,162,288
"Provencher/Provencher"," 141B","Mobile poll/Bureau itinérant",Merged with No. 501A/Fusionné avec le nº 501A,,,,,,10
"Provencher/Provencher"," 142","Steinbach",7,17,22,195,3,244,417
"Provencher/Provencher"," 143A","Steinbach",5,10,20,142,1,178,323
"Provencher/Provencher"," 143B","Mobile poll/Bureau itinérant",Merged with No. 501B/Fusionné avec le nº 501B,,,,,,34
"Provencher/Provencher"," 143C","Mobile poll/Bureau itinérant",Merged with No. 501B/Fusionné avec le nº 501B,,,,,,159
"Provencher/Provencher"," 144","Steinbach",7,11,19,151,0,188,352
"Provencher/Provencher"," 145","Steinbach",8,10,20,174,0,212,344
"Provencher/Provencher"," 146","Steinbach",7,16,12,209,3,247,550
"Provencher/Provencher"," 147","Steinbach",15,28,27,217,0,287,630
"Provencher/Provencher"," 148","Steinbach",6,31,30,313,1,381,627
"Provencher/Provencher"," 149","Woodridge",10,24,76,81,4,195,327
"Provencher/Provencher"," 150","Sundown",5,15,17,75,1,113,186
"Provencher/Provencher"," 151","Piney",11,14,19,94,0,138,233
"Provencher/Provencher"," 152","Vassar",5,27,34,62,0,128,252
"Provencher/Provencher"," 153","Sprague",5,18,31,97,0,151,294
"Provencher/Provencher"," 154","Middleboro",7,11,16,45,0,79,185
"Provencher/Provencher"," 500A","Mobile poll/Bureau itinérant",1,2,17,45,0,65,48
"Provencher/Provencher"," 500B","Mobile poll/Bureau itinérant",Merged with No. 502A/Fusionné avec le nº 502A,,,,,,21
"Provencher/Provencher"," 501A","Mobile poll/Bureau itinérant",2,3,14,38,1,58,90
"Provencher/Provencher"," 501B","Mobile poll/Bureau itinérant",2,4,21,204,4,235,34
"Provencher/Provencher"," 502A","Mobile poll/Bureau itinérant",2,3,21,48,3,77,45
"Provencher/Provencher"," 502B","Mobile poll/Bureau itinérant",0,17,18,13,0,48,51
"Provencher/Provencher"," 503","Mobile poll/Bureau itinérant",1,15,7,19,0,42,38
"Provencher/Provencher"," 504","Mobile poll/Bureau itinérant",0,17,9,23,0,49,88
"Provencher/Provencher"," 600","Pine Falls--Powerview",2,17,16,97,0,132,
"Provencher/Provencher"," 601","Pinawa--Lac du Bonnet",16,61,67,221,0,365,
"Provencher/Provencher"," 602","Whitemouth--Reynolds",3,9,7,23,0,42,
"Provencher/Provencher"," 603","Oakbank--Springfield",19,63,43,193,0,318,
"Provencher/Provencher"," 604","Niverville--Ritchot",8,12,27,125,1,173,
"Provencher/Provencher"," 605","Lorette--Taché",13,41,59,137,1,251,
"Provencher/Provencher"," 606","Ste. Anne",6,23,33,103,0,165,
"Provencher/Provencher"," 607","Morris",7,8,17,107,0,139,
"Provencher/Provencher"," 608","De Salaberry--Franklin",7,11,26,71,0,115,
"Provencher/Provencher"," 609","Hanover--La Broquerie",13,13,30,242,0,298,
"Provencher/Provencher"," 610","Steinbach",13,13,42,411,2,481,
"Provencher/Provencher"," 611","Piney",2,4,12,25,0,43,
"Provencher/Provencher",,Group 1/Groupe 1,3,10,16,26,1,56,117
"Provencher/Provencher",,Group 2/Groupe 2,24,69,132,539,9,773,
