Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anna-Celestrya Carr,Gary Gervais,Pat Martin,Helen Sterzer,Ray St. Germain,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Winnipeg Centre/Winnipeg-Centre"," 59","Winnipeg",2,8,126,34,27,0,197,351
"Winnipeg Centre/Winnipeg-Centre"," 60","Winnipeg",4,16,153,52,60,3,288,635
"Winnipeg Centre/Winnipeg-Centre"," 61","Winnipeg",0,7,93,27,33,0,160,406
"Winnipeg Centre/Winnipeg-Centre"," 62","Winnipeg",2,7,83,19,41,4,156,409
"Winnipeg Centre/Winnipeg-Centre"," 63","Winnipeg",0,8,58,16,30,1,113,323
"Winnipeg Centre/Winnipeg-Centre"," 64","Winnipeg",1,6,60,27,36,1,131,408
"Winnipeg Centre/Winnipeg-Centre"," 65","Winnipeg",1,7,90,38,42,4,182,471
"Winnipeg Centre/Winnipeg-Centre"," 66","Winnipeg",1,3,96,33,38,1,172,404
"Winnipeg Centre/Winnipeg-Centre"," 67","Winnipeg",3,15,85,32,30,1,166,487
"Winnipeg Centre/Winnipeg-Centre"," 68","Winnipeg",1,2,44,22,20,1,90,250
"Winnipeg Centre/Winnipeg-Centre"," 69","Winnipeg",0,8,82,35,34,0,159,372
"Winnipeg Centre/Winnipeg-Centre"," 70","Winnipeg",0,4,49,13,31,2,99,312
"Winnipeg Centre/Winnipeg-Centre"," 71","Winnipeg",2,8,110,33,68,7,228,700
"Winnipeg Centre/Winnipeg-Centre"," 72","Winnipeg",1,4,97,23,61,1,187,587
"Winnipeg Centre/Winnipeg-Centre"," 73","Winnipeg",0,4,55,19,59,1,138,428
"Winnipeg Centre/Winnipeg-Centre"," 74","Winnipeg",3,2,50,33,48,2,138,363
"Winnipeg Centre/Winnipeg-Centre"," 75","Winnipeg",3,2,58,20,50,2,135,571
"Winnipeg Centre/Winnipeg-Centre"," 76","Winnipeg",1,8,96,27,38,0,170,497
"Winnipeg Centre/Winnipeg-Centre"," 77","Winnipeg",2,8,47,7,94,7,165,539
"Winnipeg Centre/Winnipeg-Centre"," 78","Winnipeg",3,1,25,7,15,1,52,216
"Winnipeg Centre/Winnipeg-Centre"," 79","Winnipeg",1,11,42,38,36,1,129,308
"Winnipeg Centre/Winnipeg-Centre"," 80","Winnipeg",3,4,82,23,43,3,158,546
"Winnipeg Centre/Winnipeg-Centre"," 81","Winnipeg",1,7,53,21,30,7,119,369
"Winnipeg Centre/Winnipeg-Centre"," 82","Winnipeg",2,5,104,26,87,5,229,622
"Winnipeg Centre/Winnipeg-Centre"," 83","Winnipeg",4,8,113,41,75,6,247,608
"Winnipeg Centre/Winnipeg-Centre"," 84","Winnipeg",Void/Supprimé,,,,,,,
"Winnipeg Centre/Winnipeg-Centre"," 85","Winnipeg",5,5,96,34,62,0,202,544
"Winnipeg Centre/Winnipeg-Centre"," 86A","Winnipeg",3,24,137,42,99,1,306,745
"Winnipeg Centre/Winnipeg-Centre"," 86B","Mobile poll/Bureau itinérant",Merged with No. 502A/Fusionné avec le nº 502A,,,,,,,54
"Winnipeg Centre/Winnipeg-Centre"," 87","Winnipeg",0,7,86,51,56,0,200,479
"Winnipeg Centre/Winnipeg-Centre"," 88","Winnipeg",3,5,46,22,41,0,117,414
"Winnipeg Centre/Winnipeg-Centre"," 89","Winnipeg",1,11,29,21,27,2,91,297
"Winnipeg Centre/Winnipeg-Centre"," 90","Winnipeg",1,7,58,25,39,0,130,428
"Winnipeg Centre/Winnipeg-Centre"," 91","Winnipeg",2,9,45,24,52,1,133,493
"Winnipeg Centre/Winnipeg-Centre"," 92","Winnipeg",1,6,59,29,50,1,146,563
"Winnipeg Centre/Winnipeg-Centre"," 93","Winnipeg",2,4,64,12,51,0,133,463
"Winnipeg Centre/Winnipeg-Centre"," 94","Winnipeg",2,6,38,8,22,1,77,274
"Winnipeg Centre/Winnipeg-Centre"," 95","Winnipeg",2,19,59,26,40,1,147,476
"Winnipeg Centre/Winnipeg-Centre"," 96","Winnipeg",0,17,59,25,40,0,141,375
"Winnipeg Centre/Winnipeg-Centre"," 97","Winnipeg",0,10,75,46,42,0,173,451
"Winnipeg Centre/Winnipeg-Centre"," 98","Winnipeg",3,11,59,42,36,2,153,515
"Winnipeg Centre/Winnipeg-Centre"," 99","Winnipeg",1,6,39,9,13,0,68,223
"Winnipeg Centre/Winnipeg-Centre"," 100","Winnipeg",0,12,66,42,57,1,178,546
"Winnipeg Centre/Winnipeg-Centre"," 101","Winnipeg",5,10,106,55,57,0,233,429
"Winnipeg Centre/Winnipeg-Centre"," 102","Winnipeg",0,15,125,42,34,0,216,418
"Winnipeg Centre/Winnipeg-Centre"," 103","Winnipeg",0,16,110,40,54,3,223,424
"Winnipeg Centre/Winnipeg-Centre"," 104","Winnipeg",0,9,99,26,50,0,184,371
"Winnipeg Centre/Winnipeg-Centre"," 105","Winnipeg",3,15,109,25,54,1,207,480
"Winnipeg Centre/Winnipeg-Centre"," 106","Winnipeg",2,6,66,14,47,1,136,429
"Winnipeg Centre/Winnipeg-Centre"," 107","Winnipeg",3,57,120,21,35,1,237,474
"Winnipeg Centre/Winnipeg-Centre"," 108","Winnipeg",0,24,93,19,10,1,147,275
"Winnipeg Centre/Winnipeg-Centre"," 109","Winnipeg",0,23,82,19,13,1,138,231
"Winnipeg Centre/Winnipeg-Centre"," 110","Winnipeg",3,46,104,14,31,1,199,342
"Winnipeg Centre/Winnipeg-Centre"," 111","Winnipeg",1,14,55,14,13,0,97,212
"Winnipeg Centre/Winnipeg-Centre"," 112","Winnipeg",1,20,113,27,37,1,199,404
"Winnipeg Centre/Winnipeg-Centre"," 113","Winnipeg",1,36,195,30,32,1,295,463
"Winnipeg Centre/Winnipeg-Centre"," 114","Winnipeg",3,30,165,53,58,1,310,431
"Winnipeg Centre/Winnipeg-Centre"," 115","Winnipeg",0,25,129,27,31,1,213,338
"Winnipeg Centre/Winnipeg-Centre"," 116","Winnipeg",2,29,147,29,20,1,228,307
"Winnipeg Centre/Winnipeg-Centre"," 117","Winnipeg",0,38,125,22,22,1,208,321
"Winnipeg Centre/Winnipeg-Centre"," 118","Winnipeg",0,43,170,31,36,2,282,386
"Winnipeg Centre/Winnipeg-Centre"," 119","Winnipeg",1,54,136,32,44,1,268,412
"Winnipeg Centre/Winnipeg-Centre"," 120","Winnipeg",2,44,167,26,48,1,288,519
"Winnipeg Centre/Winnipeg-Centre"," 121","Winnipeg",2,21,100,17,47,2,189,515
"Winnipeg Centre/Winnipeg-Centre"," 122","Winnipeg",6,28,126,29,43,3,235,498
"Winnipeg Centre/Winnipeg-Centre"," 123","Winnipeg",0,21,112,19,26,2,180,370
"Winnipeg Centre/Winnipeg-Centre"," 124","Winnipeg",5,22,95,18,36,2,178,411
"Winnipeg Centre/Winnipeg-Centre"," 125","Winnipeg",0,13,65,37,43,0,158,311
"Winnipeg Centre/Winnipeg-Centre"," 126","Winnipeg",3,30,94,35,33,2,197,430
"Winnipeg Centre/Winnipeg-Centre"," 127","Winnipeg",1,14,54,34,49,0,152,394
"Winnipeg Centre/Winnipeg-Centre"," 128","Winnipeg",0,19,93,32,38,0,182,357
"Winnipeg Centre/Winnipeg-Centre"," 129","Winnipeg",1,13,73,12,45,0,144,271
"Winnipeg Centre/Winnipeg-Centre"," 130","Winnipeg",2,20,104,30,76,1,233,540
"Winnipeg Centre/Winnipeg-Centre"," 131","Winnipeg",0,17,116,34,61,0,228,445
"Winnipeg Centre/Winnipeg-Centre"," 132","Winnipeg",3,9,59,27,36,1,135,325
"Winnipeg Centre/Winnipeg-Centre"," 133","Winnipeg",0,3,26,15,17,2,63,262
"Winnipeg Centre/Winnipeg-Centre"," 134","Winnipeg",0,5,48,26,29,0,108,337
"Winnipeg Centre/Winnipeg-Centre"," 135","Winnipeg",2,36,119,66,90,3,316,611
"Winnipeg Centre/Winnipeg-Centre"," 136","Winnipeg",Void/Supprimé,,,,,,,
"Winnipeg Centre/Winnipeg-Centre"," 137","Winnipeg",4,21,78,61,66,3,233,390
"Winnipeg Centre/Winnipeg-Centre"," 138","Winnipeg",Merged with No. 139A/Fusionné avec le nº 139A,,,,,,,38
"Winnipeg Centre/Winnipeg-Centre"," 139A","Winnipeg",2,10,74,99,118,3,306,343
"Winnipeg Centre/Winnipeg-Centre"," 139B","Winnipeg",0,17,47,43,50,0,157,276
"Winnipeg Centre/Winnipeg-Centre"," 400","Winnipeg",1,5,37,45,57,1,146,266
"Winnipeg Centre/Winnipeg-Centre"," 401","Winnipeg",3,5,69,48,64,3,192,304
"Winnipeg Centre/Winnipeg-Centre"," 402","Winnipeg",0,3,52,37,35,4,131,323
"Winnipeg Centre/Winnipeg-Centre"," 403","Winnipeg",4,4,17,10,25,3,63,295
"Winnipeg Centre/Winnipeg-Centre"," 404","Winnipeg",0,4,57,18,46,1,126,162
"Winnipeg Centre/Winnipeg-Centre"," 405","Winnipeg",0,5,43,29,42,0,119,153
"Winnipeg Centre/Winnipeg-Centre"," 500","Mobile poll/Bureau itinérant",3,1,55,22,24,3,108,170
"Winnipeg Centre/Winnipeg-Centre"," 501","Mobile poll/Bureau itinérant",1,3,40,24,20,1,89,177
"Winnipeg Centre/Winnipeg-Centre"," 502A","Mobile poll/Bureau itinérant",0,3,53,26,46,0,128,103
"Winnipeg Centre/Winnipeg-Centre"," 502B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,2
"Winnipeg Centre/Winnipeg-Centre"," 503","Mobile poll/Bureau itinérant",2,4,61,32,22,3,124,292
"Winnipeg Centre/Winnipeg-Centre"," 504","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,19
"Winnipeg Centre/Winnipeg-Centre"," 600","Winnipeg",0,5,51,20,10,0,86,
"Winnipeg Centre/Winnipeg-Centre"," 601","Winnipeg",1,14,61,77,39,0,192,
"Winnipeg Centre/Winnipeg-Centre"," 602","Winnipeg",1,10,99,54,43,2,209,
"Winnipeg Centre/Winnipeg-Centre"," 603","Winnipeg",0,6,131,57,57,0,251,
"Winnipeg Centre/Winnipeg-Centre"," 604","Winnipeg",0,6,38,14,22,0,80,
"Winnipeg Centre/Winnipeg-Centre"," 605","Winnipeg",5,21,155,80,114,2,377,
"Winnipeg Centre/Winnipeg-Centre"," 606","Winnipeg",2,31,163,52,30,1,279,
"Winnipeg Centre/Winnipeg-Centre"," 607","Winnipeg",0,16,103,72,82,3,276,
"Winnipeg Centre/Winnipeg-Centre",,Group 1/Groupe 1,3,1,54,35,146,11,250,376
"Winnipeg Centre/Winnipeg-Centre",,Group 2/Groupe 2,2,37,300,116,129,15,599,
