Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bob Bowers,Dean Del Mastro,Diane Lloyd,Linda Slavin,Aiden Wiechula,Brent Wood,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Peterborough/Peterborough"," 65","Peterborough",0,83,79,56,0,15,0,233,357
"Peterborough/Peterborough"," 66","Peterborough",0,69,96,46,0,18,0,229,315
"Peterborough/Peterborough"," 67","Peterborough",1,47,57,48,0,12,1,166,267
"Peterborough/Peterborough"," 68","Peterborough",1,100,90,91,2,17,0,301,502
"Peterborough/Peterborough"," 69","Peterborough",2,122,98,101,0,11,2,336,619
"Peterborough/Peterborough"," 70","Peterborough",0,101,137,64,2,7,0,311,466
"Peterborough/Peterborough"," 71","Peterborough",0,79,85,71,1,17,1,254,378
"Peterborough/Peterborough"," 72","Peterborough",1,38,53,70,1,15,0,178,317
"Peterborough/Peterborough"," 73","Peterborough",1,51,58,32,0,5,1,148,269
"Peterborough/Peterborough"," 74","Peterborough",1,46,62,49,1,7,0,166,337
"Peterborough/Peterborough"," 75","Peterborough",1,45,54,64,3,13,0,180,350
"Peterborough/Peterborough"," 76","Peterborough",2,21,46,46,1,16,1,133,236
"Peterborough/Peterborough"," 77","Peterborough",1,37,63,66,0,8,0,175,277
"Peterborough/Peterborough"," 78","Peterborough",1,66,104,82,1,10,0,264,463
"Peterborough/Peterborough"," 79","Peterborough",1,82,78,62,3,10,0,236,348
"Peterborough/Peterborough"," 80","Peterborough",1,54,113,116,2,21,1,308,445
"Peterborough/Peterborough"," 81","Peterborough",1,40,62,151,3,29,1,287,473
"Peterborough/Peterborough"," 82","Peterborough",1,45,53,42,2,13,0,156,236
"Peterborough/Peterborough"," 83","Peterborough",1,44,55,59,1,5,0,165,318
"Peterborough/Peterborough"," 84","Peterborough",0,73,69,65,2,10,0,219,363
"Peterborough/Peterborough"," 85","Peterborough",1,103,102,95,4,11,1,317,511
"Peterborough/Peterborough"," 86","Peterborough",1,52,94,86,2,17,0,252,471
"Peterborough/Peterborough"," 87","Peterborough",0,76,94,97,3,7,1,278,485
"Peterborough/Peterborough"," 88","Peterborough",0,95,142,71,1,18,2,329,550
"Peterborough/Peterborough"," 89","Peterborough",0,45,78,81,1,16,2,223,391
"Peterborough/Peterborough"," 90","Peterborough",0,62,88,110,1,16,0,277,470
"Peterborough/Peterborough"," 91A","Peterborough",1,67,88,51,0,6,1,214,363
"Peterborough/Peterborough"," 91B","Mobile poll/Bureau itinérant",Merged with No. 503B/Fusionné avec le nº 503B,,,,,,,,67
"Peterborough/Peterborough"," 92","Peterborough",0,54,52,76,2,17,1,202,347
"Peterborough/Peterborough"," 93","Peterborough",1,94,142,50,0,23,0,310,440
"Peterborough/Peterborough"," 94","Peterborough",1,70,122,71,1,16,1,282,405
"Peterborough/Peterborough"," 95","Peterborough",0,85,96,45,1,18,1,246,413
"Peterborough/Peterborough"," 96A","Peterborough",1,127,123,36,1,13,1,302,477
"Peterborough/Peterborough"," 96B","Peterborough",1,105,135,37,1,19,0,298,468
"Peterborough/Peterborough"," 96C","Peterborough",1,97,119,55,2,14,1,289,475
"Peterborough/Peterborough"," 97A","Peterborough",1,113,80,42,0,4,0,240,417
"Peterborough/Peterborough"," 97B","Peterborough",1,120,77,44,1,8,4,255,434
"Peterborough/Peterborough"," 97C","Peterborough",0,52,45,15,0,2,0,114,135
"Peterborough/Peterborough"," 98","Peterborough",0,86,67,42,1,11,0,207,354
"Peterborough/Peterborough"," 99","Peterborough",0,71,88,53,0,11,0,223,356
"Peterborough/Peterborough"," 100","Peterborough",0,61,84,13,1,10,1,170,348
"Peterborough/Peterborough"," 101","Peterborough",0,41,56,18,1,4,0,120,226
"Peterborough/Peterborough"," 102","Peterborough",0,32,41,32,0,3,0,108,247
"Peterborough/Peterborough"," 103","Peterborough",0,57,86,94,3,22,1,263,423
"Peterborough/Peterborough"," 104","Peterborough",1,53,115,74,0,32,2,277,440
"Peterborough/Peterborough"," 105","Peterborough",0,71,99,71,0,20,0,261,396
"Peterborough/Peterborough"," 106","Peterborough",0,59,104,134,2,24,0,323,500
"Peterborough/Peterborough"," 107","Peterborough",1,32,78,128,3,17,0,259,425
"Peterborough/Peterborough"," 108","Peterborough",2,32,68,123,2,21,0,248,420
"Peterborough/Peterborough"," 109","Peterborough",1,18,39,113,3,23,0,197,352
"Peterborough/Peterborough"," 110","Peterborough",1,42,63,131,4,21,3,265,352
"Peterborough/Peterborough"," 111","Peterborough",1,23,58,122,2,21,0,227,362
"Peterborough/Peterborough"," 112","Peterborough",1,30,65,152,3,25,0,276,375
"Peterborough/Peterborough"," 113","Peterborough",0,33,80,147,0,26,3,289,425
"Peterborough/Peterborough"," 114","Peterborough",1,18,48,85,2,13,0,167,265
"Peterborough/Peterborough"," 115","Peterborough",4,22,63,126,5,23,4,247,397
"Peterborough/Peterborough"," 116","Peterborough",1,22,48,72,1,18,0,162,323
"Peterborough/Peterborough"," 117","Peterborough",1,44,74,88,1,18,2,228,397
"Peterborough/Peterborough"," 118","Peterborough",3,38,54,112,3,15,0,225,466
"Peterborough/Peterborough"," 119","Peterborough",1,53,80,89,5,14,0,242,375
"Peterborough/Peterborough"," 120A","Peterborough",0,38,45,74,8,11,0,176,362
"Peterborough/Peterborough"," 120B","Mobile poll/Bureau itinérant",Merged with No. 503A/Fusionné avec le nº 503A,,,,,,,,73
"Peterborough/Peterborough"," 121","Peterborough",1,73,68,82,1,13,0,238,335
"Peterborough/Peterborough"," 122","Peterborough",1,69,53,76,3,11,2,215,326
"Peterborough/Peterborough"," 123","Peterborough",0,67,63,64,0,15,1,210,319
"Peterborough/Peterborough"," 124","Peterborough",2,58,49,87,1,12,0,209,376
"Peterborough/Peterborough"," 125","Peterborough",1,37,69,68,7,7,0,189,305
"Peterborough/Peterborough"," 126","Peterborough",0,62,83,64,0,11,0,220,356
"Peterborough/Peterborough"," 127","Peterborough",1,59,71,74,3,10,1,219,325
"Peterborough/Peterborough"," 128","Peterborough",0,74,76,67,3,25,1,246,405
"Peterborough/Peterborough"," 129","Peterborough",0,39,59,50,4,17,0,169,290
"Peterborough/Peterborough"," 130","Peterborough",1,29,56,41,1,14,2,144,262
"Peterborough/Peterborough"," 131","Peterborough",0,99,92,53,2,10,0,256,408
"Peterborough/Peterborough"," 132","Peterborough",0,63,86,39,1,10,2,201,305
"Peterborough/Peterborough"," 133","Peterborough",1,88,118,59,2,14,0,282,444
"Peterborough/Peterborough"," 134","Peterborough",0,96,93,65,2,9,0,265,422
"Peterborough/Peterborough"," 135","Peterborough",1,130,118,77,0,12,0,338,576
"Peterborough/Peterborough"," 136","Peterborough",0,77,117,56,0,15,0,265,411
"Peterborough/Peterborough"," 137","Peterborough",0,108,92,71,0,11,0,282,469
"Peterborough/Peterborough"," 138","Peterborough",4,79,76,65,3,13,1,241,425
"Peterborough/Peterborough"," 139","Peterborough",0,76,68,52,0,8,2,206,358
"Peterborough/Peterborough"," 140","Peterborough",0,93,65,80,3,13,1,255,387
"Peterborough/Peterborough"," 141","Peterborough",0,75,113,52,1,11,0,252,375
"Peterborough/Peterborough"," 142","Peterborough",1,85,123,62,1,8,0,280,415
"Peterborough/Peterborough"," 143A","Peterborough",1,49,51,41,2,12,0,156,296
"Peterborough/Peterborough"," 143B","Peterborough",0,38,62,58,0,9,1,168,234
"Peterborough/Peterborough"," 144","Peterborough",0,56,78,54,0,3,0,191,290
"Peterborough/Peterborough"," 145","Peterborough",1,28,25,58,1,1,1,115,280
"Peterborough/Peterborough"," 146","Peterborough",1,88,63,52,0,9,0,213,432
"Peterborough/Peterborough"," 147","Peterborough",0,82,73,75,1,7,0,238,391
"Peterborough/Peterborough"," 148","Peterborough",1,75,41,49,4,8,0,178,340
"Peterborough/Peterborough"," 149","Peterborough",0,61,69,77,3,12,2,224,371
"Peterborough/Peterborough"," 150","Peterborough",1,67,62,50,2,11,0,193,347
"Peterborough/Peterborough"," 151","Peterborough",0,58,62,46,1,9,0,176,362
"Peterborough/Peterborough"," 152","Peterborough",1,72,49,49,1,7,1,180,285
"Peterborough/Peterborough"," 153","Peterborough",0,72,96,84,2,15,1,270,431
"Peterborough/Peterborough"," 154A","Peterborough",0,101,86,60,1,14,2,264,459
"Peterborough/Peterborough"," 154B","Peterborough",1,21,37,14,2,1,2,78,201
"Peterborough/Peterborough"," 154C","Peterborough",0,90,112,62,1,10,0,275,455
"Peterborough/Peterborough"," 155A","Peterborough",2,106,68,88,2,10,1,277,457
"Peterborough/Peterborough"," 155B","Peterborough",0,82,75,57,1,8,0,223,398
"Peterborough/Peterborough"," 156","Peterborough",1,81,48,31,2,8,0,171,276
"Peterborough/Peterborough"," 157","Peterborough",0,69,78,57,1,17,0,222,408
"Peterborough/Peterborough"," 158","Peterborough",0,74,33,43,1,7,1,159,401
"Peterborough/Peterborough"," 159","Peterborough",1,83,68,48,2,4,1,207,348
"Peterborough/Peterborough"," 160","Peterborough",0,75,70,50,2,13,1,211,356
"Peterborough/Peterborough"," 161","Peterborough",1,60,86,47,7,6,0,207,329
"Peterborough/Peterborough"," 162","Peterborough",1,47,66,121,2,18,2,257,460
"Peterborough/Peterborough"," 163","Peterborough",1,28,37,76,5,13,1,161,382
"Peterborough/Peterborough"," 164","Peterborough",1,56,55,72,4,10,0,198,476
"Peterborough/Peterborough"," 165","Peterborough",2,41,47,66,6,15,0,177,339
"Peterborough/Peterborough"," 166","Peterborough",0,69,65,77,4,21,1,237,421
"Peterborough/Peterborough"," 167","Peterborough",2,50,60,82,4,12,0,210,400
"Peterborough/Peterborough"," 168","Peterborough",1,35,37,52,1,10,2,138,231
"Peterborough/Peterborough"," 169","Peterborough",1,53,67,70,1,5,0,197,339
"Peterborough/Peterborough"," 170","Peterborough",0,43,61,68,2,14,0,188,362
"Peterborough/Peterborough"," 171","Peterborough",1,58,58,60,2,6,0,185,399
"Peterborough/Peterborough"," 172","Peterborough",0,55,76,48,2,11,0,192,391
"Peterborough/Peterborough"," 173","Peterborough",1,60,59,45,1,6,0,172,289
"Peterborough/Peterborough"," 174","Peterborough",3,108,120,78,3,10,0,322,545
"Peterborough/Peterborough"," 175","Peterborough",2,64,93,47,3,13,0,222,360
"Peterborough/Peterborough"," 176","Peterborough",0,70,57,24,0,11,1,163,257
"Peterborough/Peterborough"," 177","Peterborough",0,57,44,26,1,8,1,137,260
"Peterborough/Peterborough"," 178A","Peterborough",0,76,67,70,4,12,0,229,403
"Peterborough/Peterborough"," 178B","Peterborough",0,72,54,54,0,4,3,187,330
"Peterborough/Peterborough"," 179A","Peterborough",2,63,53,31,3,3,0,155,273
"Peterborough/Peterborough"," 179B","Peterborough",1,63,36,32,2,4,2,140,259
"Peterborough/Peterborough"," 180","Peterborough",0,107,79,52,0,13,0,251,398
"Peterborough/Peterborough"," 181","Peterborough",0,92,98,82,0,10,0,282,423
"Peterborough/Peterborough"," 182","Peterborough",0,74,74,48,1,17,0,214,393
"Peterborough/Peterborough"," 183","Peterborough",2,59,97,72,3,17,1,251,442
"Peterborough/Peterborough"," 184","Peterborough",0,98,86,70,1,22,1,278,451
"Peterborough/Peterborough"," 185","Peterborough",2,71,53,65,0,11,0,202,393
"Peterborough/Peterborough"," 186","Peterborough",3,93,89,78,2,16,0,281,472
"Peterborough/Peterborough"," 187","Peterborough",0,77,74,70,3,14,1,239,402
"Peterborough/Peterborough"," 188","Peterborough",1,90,83,62,3,9,1,249,396
"Peterborough/Peterborough"," 189","Peterborough",0,118,80,62,5,13,0,278,464
"Peterborough/Peterborough"," 190","Peterborough",4,89,91,99,1,10,1,295,481
"Peterborough/Peterborough"," 191","Peterborough",1,75,49,39,0,8,1,173,376
"Peterborough/Peterborough"," 192","Cottesloe",0,61,32,44,0,10,0,147,242
"Peterborough/Peterborough"," 193","Centre Dummer",0,93,39,65,3,13,1,214,398
"Peterborough/Peterborough"," 194","Asphodel",0,118,81,70,4,15,0,288,576
"Peterborough/Peterborough"," 195","Norwood",0,88,39,59,4,10,1,201,370
"Peterborough/Peterborough"," 196","Norwood",1,57,41,33,0,6,1,139,296
"Peterborough/Peterborough"," 197","Norwood",0,58,43,53,3,7,0,164,285
"Peterborough/Peterborough"," 198","Norwood",0,40,25,25,2,2,0,94,170
"Peterborough/Peterborough"," 199","Norwood",0,63,36,26,2,4,2,133,201
"Peterborough/Peterborough"," 200","Asphodel",0,77,67,47,1,5,0,197,343
"Peterborough/Peterborough"," 201","Asphodel",0,87,57,46,5,19,0,214,408
"Peterborough/Peterborough"," 202","Asphodel",0,70,48,37,4,7,0,166,312
"Peterborough/Peterborough"," 203A","Otonabee",1,93,70,55,1,13,0,233,364
"Peterborough/Peterborough"," 203B","Otonabee",0,65,72,50,3,7,2,199,352
"Peterborough/Peterborough"," 204","Otonabee",1,84,90,58,1,21,0,255,452
"Peterborough/Peterborough"," 205","Otonabee",1,93,80,33,0,12,0,219,313
"Peterborough/Peterborough"," 206","Otonabee",1,78,63,41,1,7,0,191,279
"Peterborough/Peterborough"," 207","Otonabee",2,189,101,76,2,26,0,396,559
"Peterborough/Peterborough"," 208","Otonabee",0,144,60,47,3,11,0,265,403
"Peterborough/Peterborough"," 209","Otonabee",0,86,56,21,0,8,0,171,253
"Peterborough/Peterborough"," 210","Otonabee",0,137,57,33,4,19,0,250,370
"Peterborough/Peterborough"," 211","Hiawatha First Nation 36",1,74,80,63,2,9,0,229,338
"Peterborough/Peterborough"," 212A","South Monaghan",0,97,64,52,2,10,0,225,378
"Peterborough/Peterborough"," 212B","South Monaghan",0,53,48,25,2,8,1,137,289
"Peterborough/Peterborough"," 213","Otonabee",0,159,101,134,4,13,1,412,565
"Peterborough/Peterborough"," 214","Otonabee",1,109,59,47,0,15,2,233,347
"Peterborough/Peterborough"," 215","South Monaghan",0,127,74,69,0,23,0,293,498
"Peterborough/Peterborough"," 400","Peterborough",0,59,45,35,0,5,0,144,198
"Peterborough/Peterborough"," 401","Peterborough",1,44,42,47,1,6,1,142,183
"Peterborough/Peterborough"," 402A","Peterborough",Merged with No. 75/Fusionné avec le nº 75,,,,,,,,50
"Peterborough/Peterborough"," 402B","Peterborough",1,35,45,21,0,4,1,107,219
"Peterborough/Peterborough"," 403","Peterborough",0,25,22,16,0,2,2,67,161
"Peterborough/Peterborough"," 500","Mobile poll/Bureau itinérant",1,56,44,17,1,0,3,122,249
"Peterborough/Peterborough"," 501","Mobile poll/Bureau itinérant",1,47,31,20,0,2,3,104,226
"Peterborough/Peterborough"," 502A","Mobile poll/Bureau itinérant",Merged with No. 503B/Fusionné avec le nº 503B,,,,,,,,5
"Peterborough/Peterborough"," 502B","Mobile poll/Bureau itinérant",Merged with No. 503A/Fusionné avec le nº 503A,,,,,,,,12
"Peterborough/Peterborough"," 503A","Mobile poll/Bureau itinérant",2,38,52,47,0,1,1,141,113
"Peterborough/Peterborough"," 503B","Mobile poll/Bureau itinérant",1,18,36,11,0,3,1,70,21
"Peterborough/Peterborough"," 503C","Mobile poll/Bureau itinérant",Merged with No. 504/Fusionné avec le nº 504,,,,,,,,13
"Peterborough/Peterborough"," 504","Mobile poll/Bureau itinérant",3,53,70,39,0,1,5,171,256
"Peterborough/Peterborough"," 505","Mobile poll/Bureau itinérant",0,44,42,42,0,4,4,136,206
"Peterborough/Peterborough"," 506","Mobile poll/Bureau itinérant",1,74,64,29,1,5,2,176,228
"Peterborough/Peterborough"," 507","Mobile poll/Bureau itinérant",3,58,66,44,0,2,2,175,242
"Peterborough/Peterborough"," 600","Havelock",2,361,116,77,1,12,1,570,
"Peterborough/Peterborough"," 601","Lakefield",0,495,302,167,3,28,3,998,
"Peterborough/Peterborough"," 602","Ennismore--Bridgenorth",1,479,269,130,1,27,1,908,
"Peterborough/Peterborough"," 603","Peterborough",1,179,183,83,0,16,1,463,
"Peterborough/Peterborough"," 604","Peterborough",0,224,197,110,1,17,1,550,
"Peterborough/Peterborough"," 605","Peterborough",3,563,509,181,6,34,7,1303,
"Peterborough/Peterborough"," 606","Peterborough",0,144,130,130,2,25,1,432,
"Peterborough/Peterborough"," 607","Peterborough",1,422,318,137,1,33,6,918,
"Peterborough/Peterborough"," 608","Peterborough",1,344,271,144,5,14,2,781,
"Peterborough/Peterborough"," 609","Asphodel--Norwood",1,229,115,83,4,18,0,450,
"Peterborough/Peterborough"," 610","Ontonabee--South Monaghan",0,138,80,46,1,6,1,272,
"Peterborough/Peterborough",,Group 1/Groupe 1,5,63,65,28,3,13,4,181,327
"Peterborough/Peterborough",,Group 2/Groupe 2,3,775,654,328,5,85,24,1874,
