Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Norbert Kratchmer,Dominic LaPlante,Jim Pankiw,Gerry Ritz,Harold Stephan,Elgin Wayne Wyatt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 134","Kerrobert",9,20,28,109,1,26,0,193,337
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 135","Kerrobert",3,15,17,78,2,16,0,131,219
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 136","Plenty",5,9,40,179,1,12,0,246,392
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 137","Dodsland",2,2,19,67,0,4,0,94,157
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 138","Coleville",7,13,20,119,2,11,1,173,358
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 139","Smiley",1,2,6,72,1,8,0,90,195
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 140","Marengo",4,7,17,90,2,13,0,133,203
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 141","Alsask",4,7,5,46,5,9,0,76,125
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 142","Flaxcombe",1,1,8,83,4,12,0,109,184
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 143","Kindersley",5,4,18,115,1,24,1,168,316
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 144","Brock",4,8,17,98,6,16,0,149,246
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 145","Kindersley",2,14,7,50,2,30,0,105,218
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 146","Kindersley",0,12,10,116,1,21,0,160,290
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 147","Kindersley",5,10,7,104,2,20,0,148,293
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 148","Kindersley",6,8,10,121,7,25,0,177,308
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 149","Kindersley",3,12,9,81,3,19,0,127,265
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 150","Kindersley",10,22,13,142,13,25,0,225,592
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 151","Kindersley",5,18,9,104,0,35,0,171,309
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 152","Kindersley",2,8,8,79,1,13,0,111,257
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 153","Kindersley",6,28,16,240,8,60,0,358,651
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 500","Mobile poll/Bureau itinérant",0,8,1,11,1,9,3,33,69
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 501","Mobile poll/Bureau itinérant",2,2,4,14,3,5,0,30,65
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 502","Mobile poll/Bureau itinérant",2,5,4,12,0,3,1,27,53
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 503","Mobile poll/Bureau itinérant",1,13,4,26,1,23,2,70,186
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 504","Mobile poll/Bureau itinérant",5,18,10,19,8,24,2,86,243
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 505","Mobile poll/Bureau itinérant",0,9,2,5,1,6,3,26,58
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 506","Mobile poll/Bureau itinérant",2,11,1,40,0,9,3,66,145
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 600","Turtleford",1,18,12,109,0,22,1,163,
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 601","Turtleford",1,12,12,44,2,11,1,83,
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 602","Cochin",0,26,33,65,0,26,0,150,
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 603","North Battleford",4,34,74,117,2,67,0,298,
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 604","North Battleford",4,27,29,93,1,55,1,210,
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 605","Lloydminster",13,22,10,203,7,58,0,313,
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 606","Maidstone",1,9,12,118,0,14,1,155,
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 607","Battleford",3,30,76,153,3,53,0,318,
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 608","Unity",9,9,41,104,0,35,1,199,
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 609","Wilkie",4,10,43,91,0,17,0,165,
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 610","Kerrobert",1,10,18,66,1,27,0,123,
"Battlefords--Lloydminster/Battlefords--Lloydminster"," 611","Kindersley",6,16,37,206,8,35,0,308,
"Battlefords--Lloydminster/Battlefords--Lloydminster",,Group 1/Groupe 1,6,38,2,34,2,15,3,100,158
"Battlefords--Lloydminster/Battlefords--Lloydminster",,Group 2/Groupe 2,15,81,55,422,6,139,14,732,
