Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,France Bonsant,Stéphane Bürgi,Gary Caldwell,Gaétan Perreault,David Price,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Compton--Stanstead/Compton--Stanstead"," 62","Martinville",111,14,94,4,38,3,264,393
"Compton--Stanstead/Compton--Stanstead"," 63","Sainte-Edwidge-de-Clifton",72,11,109,10,27,1,230,342
"Compton--Stanstead/Compton--Stanstead"," 64","Lennoxville",15,24,43,8,57,0,147,319
"Compton--Stanstead/Compton--Stanstead"," 65","Lennoxville",33,20,31,9,73,0,166,358
"Compton--Stanstead/Compton--Stanstead"," 66","Lennoxville",26,15,47,9,86,0,183,447
"Compton--Stanstead/Compton--Stanstead"," 67","Lennoxville",42,31,43,7,70,0,193,484
"Compton--Stanstead/Compton--Stanstead"," 68","Lennoxville",9,17,14,5,38,0,83,256
"Compton--Stanstead/Compton--Stanstead"," 69","Lennoxville",28,16,23,10,75,0,152,314
"Compton--Stanstead/Compton--Stanstead"," 70","Lennoxville",10,21,21,8,59,3,122,302
"Compton--Stanstead/Compton--Stanstead"," 71","Lennoxville",55,38,39,17,112,2,263,525
"Compton--Stanstead/Compton--Stanstead"," 72","Lennoxville",14,40,32,19,82,0,187,362
"Compton--Stanstead/Compton--Stanstead"," 73","Lennoxville",58,18,54,12,63,0,205,459
"Compton--Stanstead/Compton--Stanstead"," 74","Lennoxville",33,4,35,10,42,0,124,276
"Compton--Stanstead/Compton--Stanstead"," 75","Lennoxville",57,12,94,9,104,1,277,429
"Compton--Stanstead/Compton--Stanstead"," 76","Ascot",146,25,58,17,59,5,310,498
"Compton--Stanstead/Compton--Stanstead"," 77","Ascot",95,25,31,10,53,5,219,490
"Compton--Stanstead/Compton--Stanstead"," 78","Ascot",62,14,34,6,25,1,142,271
"Compton--Stanstead/Compton--Stanstead"," 79","Ascot",60,7,25,4,19,5,120,336
"Compton--Stanstead/Compton--Stanstead"," 80","Ascot",60,8,27,10,20,2,127,360
"Compton--Stanstead/Compton--Stanstead"," 81","Ascot",62,14,24,9,27,2,138,379
"Compton--Stanstead/Compton--Stanstead"," 82","Ascot",51,11,18,9,15,1,105,319
"Compton--Stanstead/Compton--Stanstead"," 83","Ascot",78,8,30,5,29,1,151,320
"Compton--Stanstead/Compton--Stanstead"," 84","Ascot",108,20,34,8,29,3,202,327
"Compton--Stanstead/Compton--Stanstead"," 85","Ascot",125,21,27,12,31,4,220,433
"Compton--Stanstead/Compton--Stanstead"," 86","Ascot",95,20,44,14,36,5,214,336
"Compton--Stanstead/Compton--Stanstead"," 87","Ascot",143,13,46,8,29,2,241,454
"Compton--Stanstead/Compton--Stanstead"," 88","Ascot",120,10,58,13,56,2,259,459
"Compton--Stanstead/Compton--Stanstead"," 89A","Saint-Élie-d'Orford",127,18,54,6,20,4,229,373
"Compton--Stanstead/Compton--Stanstead"," 89B","Saint-Élie-d'Orford",114,18,39,7,20,4,202,364
"Compton--Stanstead/Compton--Stanstead"," 90","Rock Forest",172,26,63,7,26,3,297,470
"Compton--Stanstead/Compton--Stanstead"," 91","Rock Forest",85,17,35,13,10,2,162,247
"Compton--Stanstead/Compton--Stanstead"," 92","Rock Forest",88,8,27,9,20,0,152,241
"Compton--Stanstead/Compton--Stanstead"," 93","Rock Forest",68,8,24,7,20,3,130,315
"Compton--Stanstead/Compton--Stanstead"," 94","Rock Forest",151,22,70,8,14,7,272,457
"Compton--Stanstead/Compton--Stanstead"," 95","Rock Forest",116,16,32,6,30,2,202,362
"Compton--Stanstead/Compton--Stanstead"," 96","Rock Forest",118,14,68,10,26,6,242,418
"Compton--Stanstead/Compton--Stanstead"," 97","Rock Forest",129,23,58,18,31,1,260,386
"Compton--Stanstead/Compton--Stanstead"," 98","Rock Forest",148,13,59,10,19,2,251,479
"Compton--Stanstead/Compton--Stanstead"," 99","Rock Forest",152,22,75,6,56,2,313,524
"Compton--Stanstead/Compton--Stanstead"," 100","Rock Forest",103,27,44,11,33,2,220,389
"Compton--Stanstead/Compton--Stanstead"," 101","Rock Forest",148,21,70,13,26,3,281,504
"Compton--Stanstead/Compton--Stanstead"," 102","Rock Forest",94,15,39,6,17,2,173,252
"Compton--Stanstead/Compton--Stanstead"," 103","Rock Forest",102,18,58,5,31,5,219,404
"Compton--Stanstead/Compton--Stanstead"," 104","Rock Forest",67,22,34,14,15,1,153,232
"Compton--Stanstead/Compton--Stanstead"," 105","Rock Forest",95,15,31,7,24,3,175,259
"Compton--Stanstead/Compton--Stanstead"," 106","Rock Forest",175,30,59,9,26,2,301,463
"Compton--Stanstead/Compton--Stanstead"," 107","Rock Forest",184,29,76,21,36,3,349,564
"Compton--Stanstead/Compton--Stanstead"," 108","Saint-Élie-d'Orford",157,24,52,19,28,2,282,474
"Compton--Stanstead/Compton--Stanstead"," 109","Saint-Élie-d'Orford",149,16,52,14,27,4,262,455
"Compton--Stanstead/Compton--Stanstead"," 110","Saint-Élie-d'Orford",113,10,42,7,27,1,200,328
"Compton--Stanstead/Compton--Stanstead"," 111","Saint-Élie-d'Orford",152,21,67,7,25,1,273,501
"Compton--Stanstead/Compton--Stanstead"," 112","Saint-Élie-d'Orford",115,11,65,9,35,3,238,349
"Compton--Stanstead/Compton--Stanstead"," 113","Saint-Élie-d'Orford",136,21,66,14,21,4,262,435
"Compton--Stanstead/Compton--Stanstead"," 114A","Saint-Élie-d'Orford",114,11,50,3,8,2,188,320
"Compton--Stanstead/Compton--Stanstead"," 114B","Saint-Élie-d'Orford",107,21,46,3,9,4,190,323
"Compton--Stanstead/Compton--Stanstead"," 115","Saint-Élie-d'Orford",137,27,60,13,28,4,269,465
"Compton--Stanstead/Compton--Stanstead"," 116","Saint-Élie-d'Orford",154,15,63,7,39,3,281,578
"Compton--Stanstead/Compton--Stanstead"," 117","Saint-Élie-d'Orford",126,17,59,8,45,20,275,429
"Compton--Stanstead/Compton--Stanstead"," 118","Saint-Élie-d'Orford",53,3,28,6,9,2,101,173
"Compton--Stanstead/Compton--Stanstead"," 119","Saint-Élie-d'Orford",183,22,70,15,36,5,331,582
"Compton--Stanstead/Compton--Stanstead"," 120","Saint-Élie-d'Orford",117,16,44,3,14,1,195,366
"Compton--Stanstead/Compton--Stanstead"," 121","Saint-Élie-d'Orford",97,7,40,9,14,0,167,302
"Compton--Stanstead/Compton--Stanstead"," 122","Deauville",110,8,50,10,13,6,197,398
"Compton--Stanstead/Compton--Stanstead"," 123","Deauville",117,16,31,14,19,2,199,309
"Compton--Stanstead/Compton--Stanstead"," 124","Deauville",91,13,42,10,22,4,182,314
"Compton--Stanstead/Compton--Stanstead"," 125","Deauville",87,3,30,5,25,5,155,250
"Compton--Stanstead/Compton--Stanstead"," 126","Deauville",84,9,37,5,11,1,147,256
"Compton--Stanstead/Compton--Stanstead"," 127","Deauville",93,13,28,12,25,1,172,277
"Compton--Stanstead/Compton--Stanstead"," 128","Deauville",55,11,33,8,28,3,138,270
"Compton--Stanstead/Compton--Stanstead"," 129","Deauville",136,20,60,8,36,0,260,436
"Compton--Stanstead/Compton--Stanstead"," 130","Rock Forest",142,20,54,14,33,5,268,454
"Compton--Stanstead/Compton--Stanstead"," 131","Rock Forest",114,13,59,8,15,5,214,398
"Compton--Stanstead/Compton--Stanstead"," 132A","Rock Forest",140,11,49,4,20,2,226,405
"Compton--Stanstead/Compton--Stanstead"," 132B","Rock Forest",111,20,44,10,12,7,204,397
"Compton--Stanstead/Compton--Stanstead"," 133","Rock Forest",172,23,42,6,32,1,276,432
"Compton--Stanstead/Compton--Stanstead"," 134","Rock Forest",60,5,25,2,9,1,102,217
"Compton--Stanstead/Compton--Stanstead"," 135","Rock Forest",52,4,26,4,17,1,104,238
"Compton--Stanstead/Compton--Stanstead"," 136","Rock Forest",67,16,63,8,37,3,194,353
"Compton--Stanstead/Compton--Stanstead"," 137","Rock Forest",105,12,61,9,16,3,206,351
"Compton--Stanstead/Compton--Stanstead"," 138","Rock Forest",107,14,44,6,16,1,188,362
"Compton--Stanstead/Compton--Stanstead"," 139","Rock Forest",202,27,72,13,38,3,355,536
"Compton--Stanstead/Compton--Stanstead"," 140","Rock Forest",174,27,69,17,31,3,321,487
"Compton--Stanstead/Compton--Stanstead"," 141","Rock Forest",157,22,49,6,28,4,266,481
"Compton--Stanstead/Compton--Stanstead"," 142","Rock Forest",100,10,17,5,17,1,150,250
"Compton--Stanstead/Compton--Stanstead"," 143","Rock Forest",62,8,36,11,18,0,135,238
"Compton--Stanstead/Compton--Stanstead"," 144","Rock Forest",111,12,49,7,18,1,198,349
"Compton--Stanstead/Compton--Stanstead"," 145","Rock Forest",114,18,46,11,22,1,212,349
"Compton--Stanstead/Compton--Stanstead"," 146","Rock Forest",135,12,42,14,28,3,234,432
"Compton--Stanstead/Compton--Stanstead"," 147","Rock Forest",160,16,71,18,17,5,287,481
"Compton--Stanstead/Compton--Stanstead"," 148","Rock Forest",119,26,35,16,39,4,239,397
"Compton--Stanstead/Compton--Stanstead"," 149","Hatley",110,20,52,17,47,0,246,456
"Compton--Stanstead/Compton--Stanstead"," 150","Hatley",115,23,27,21,60,0,246,387
"Compton--Stanstead/Compton--Stanstead"," 151","Sainte-Catherine-de-Hatley",45,11,38,14,70,0,178,307
"Compton--Stanstead/Compton--Stanstead"," 152","North Hatley",20,11,17,6,47,1,102,186
"Compton--Stanstead/Compton--Stanstead"," 153","North Hatley",60,21,39,24,98,2,244,514
"Compton--Stanstead/Compton--Stanstead"," 154","Sainte-Catherine-de-Hatley",56,18,23,8,19,1,125,190
"Compton--Stanstead/Compton--Stanstead"," 155","Sainte-Catherine-de-Hatley",193,20,95,22,53,3,386,601
"Compton--Stanstead/Compton--Stanstead"," 156","Sainte-Catherine-de-Hatley",129,9,40,6,29,12,225,354
"Compton--Stanstead/Compton--Stanstead"," 157","Sainte-Catherine-de-Hatley",84,5,44,8,21,5,167,290
"Compton--Stanstead/Compton--Stanstead"," 158","Katevale",64,14,48,23,49,3,201,334
"Compton--Stanstead/Compton--Stanstead"," 159","Katevale",39,6,42,10,131,2,230,382
"Compton--Stanstead/Compton--Stanstead"," 160","Ayer's Cliff",67,18,81,11,133,2,312,336
"Compton--Stanstead/Compton--Stanstead"," 161","Ayer's Cliff",Merged with No. 160/Fusionné avec le nº 160,,,,,,,148
"Compton--Stanstead/Compton--Stanstead"," 162","Hatley",78,16,78,21,121,1,315,558
"Compton--Stanstead/Compton--Stanstead"," 163","Stanstead",43,23,43,17,117,3,246,366
"Compton--Stanstead/Compton--Stanstead"," 164","Stanstead",119,23,70,15,76,2,305,510
"Compton--Stanstead/Compton--Stanstead"," 165","Ogden",25,9,42,4,112,1,193,343
"Compton--Stanstead/Compton--Stanstead"," 166","Ogden",15,4,36,6,66,0,127,264
"Compton--Stanstead/Compton--Stanstead"," 167","Stanstead",27,5,44,5,70,0,151,340
"Compton--Stanstead/Compton--Stanstead"," 168","Stanstead",38,7,40,7,91,2,185,399
"Compton--Stanstead/Compton--Stanstead"," 169","Stanstead",18,7,33,7,88,2,155,387
"Compton--Stanstead/Compton--Stanstead"," 170","Stanstead",13,10,42,5,85,1,156,357
"Compton--Stanstead/Compton--Stanstead"," 171","Stanstead",18,8,72,4,106,1,209,496
"Compton--Stanstead/Compton--Stanstead"," 172","Stanstead",51,11,39,5,96,0,202,419
"Compton--Stanstead/Compton--Stanstead"," 173","Stanstead-Est",33,4,30,5,52,2,126,254
"Compton--Stanstead/Compton--Stanstead"," 174","Stanstead-Est",38,9,36,7,62,0,152,232
"Compton--Stanstead/Compton--Stanstead"," 175","Barnston-Ouest",69,12,81,17,84,0,263,367
"Compton--Stanstead/Compton--Stanstead"," 176","Coaticook",83,9,37,10,37,5,181,385
"Compton--Stanstead/Compton--Stanstead"," 177","Coaticook",74,5,53,13,48,2,195,388
"Compton--Stanstead/Compton--Stanstead"," 178","Coaticook",34,4,28,3,22,2,93,242
"Compton--Stanstead/Compton--Stanstead"," 179","Coaticook",70,9,66,12,35,3,195,350
"Compton--Stanstead/Compton--Stanstead"," 180","Coaticook",70,9,59,5,25,3,171,324
"Compton--Stanstead/Compton--Stanstead"," 181","Coaticook",41,3,25,1,21,0,91,225
"Compton--Stanstead/Compton--Stanstead"," 182","Coaticook",65,3,53,6,25,10,162,361
"Compton--Stanstead/Compton--Stanstead"," 183","Coaticook",68,6,50,5,37,5,171,357
"Compton--Stanstead/Compton--Stanstead"," 184","Coaticook",94,9,73,9,35,5,225,376
"Compton--Stanstead/Compton--Stanstead"," 185","Coaticook",91,8,85,11,49,5,249,386
"Compton--Stanstead/Compton--Stanstead"," 186","Coaticook",48,6,41,3,23,1,122,266
"Compton--Stanstead/Compton--Stanstead"," 187","Coaticook",59,4,35,6,38,2,144,269
"Compton--Stanstead/Compton--Stanstead"," 188","Coaticook",71,6,39,8,34,3,161,326
"Compton--Stanstead/Compton--Stanstead"," 189","Coaticook",120,12,97,15,48,6,298,496
"Compton--Stanstead/Compton--Stanstead"," 190","Coaticook",97,14,110,11,60,4,296,468
"Compton--Stanstead/Compton--Stanstead"," 191","Barnston",45,5,32,3,17,2,104,185
"Compton--Stanstead/Compton--Stanstead"," 192","Barnston",105,10,100,14,56,0,285,442
"Compton--Stanstead/Compton--Stanstead"," 193","Barnston",111,10,82,11,77,3,294,479
"Compton--Stanstead/Compton--Stanstead"," 194","Dixville",60,12,57,8,49,1,187,289
"Compton--Stanstead/Compton--Stanstead"," 195","Dixville",41,5,29,3,21,2,101,162
"Compton--Stanstead/Compton--Stanstead"," 196","Barford",102,10,114,17,65,6,314,552
"Compton--Stanstead/Compton--Stanstead"," 197","Saint-Herménégilde",117,10,105,6,64,2,304,494
"Compton--Stanstead/Compton--Stanstead"," 198","Saint-Malo",86,4,91,7,39,3,230,351
"Compton--Stanstead/Compton--Stanstead"," 199","East Hereford",48,9,56,16,48,5,182,287
"Compton--Stanstead/Compton--Stanstead"," 500","Mobile poll/Bureau itinérant",9,0,2,0,12,3,26,57
"Compton--Stanstead/Compton--Stanstead"," 501","Mobile poll/Bureau itinérant",9,3,6,0,10,2,30,48
"Compton--Stanstead/Compton--Stanstead"," 502","Mobile poll/Bureau itinérant",15,1,17,2,54,4,93,134
"Compton--Stanstead/Compton--Stanstead"," 503","Mobile poll/Bureau itinérant",5,5,31,2,68,1,112,152
"Compton--Stanstead/Compton--Stanstead"," 504","Mobile poll/Bureau itinérant",11,2,11,3,42,8,77,129
"Compton--Stanstead/Compton--Stanstead"," 505","Mobile poll/Bureau itinérant",13,3,27,7,61,5,116,172
"Compton--Stanstead/Compton--Stanstead"," 600","Lingwick--Weedon",91,3,72,0,30,2,198,
"Compton--Stanstead/Compton--Stanstead"," 601","Chartierville--Hampden",44,2,26,4,11,0,87,
"Compton--Stanstead/Compton--Stanstead"," 602","East Angus",255,16,125,21,141,7,565,
"Compton--Stanstead/Compton--Stanstead"," 603","Stoke",86,11,20,3,20,0,140,
"Compton--Stanstead/Compton--Stanstead"," 604","Cookshire",134,10,58,9,100,0,311,
"Compton--Stanstead/Compton--Stanstead"," 605","Waterville",92,10,75,13,91,1,282,
"Compton--Stanstead/Compton--Stanstead"," 606","Sherbrooke",54,22,100,13,258,1,448,
"Compton--Stanstead/Compton--Stanstead"," 607","Sherbrooke",207,23,88,16,118,4,456,
"Compton--Stanstead/Compton--Stanstead"," 608","Sherbrooke",318,32,106,18,103,4,581,
"Compton--Stanstead/Compton--Stanstead"," 609","Sherbrooke",338,33,141,28,112,6,658,
"Compton--Stanstead/Compton--Stanstead"," 610","Sherbrooke",358,32,149,13,105,7,664,
"Compton--Stanstead/Compton--Stanstead"," 611","North Hatley",130,23,70,27,141,1,392,
"Compton--Stanstead/Compton--Stanstead"," 612","Stanstead",73,11,87,5,264,1,441,
"Compton--Stanstead/Compton--Stanstead"," 613","Coaticook",168,23,140,15,246,3,595,
"Compton--Stanstead/Compton--Stanstead"," 614","Saint-Herménégilde",63,2,28,1,21,1,116,
"Compton--Stanstead/Compton--Stanstead",,Group 1/Groupe 1,30,8,44,5,20,3,110,238
"Compton--Stanstead/Compton--Stanstead",,Group 2/Groupe 2,361,49,200,26,1078,21,1735,
