Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,François Bédard,Guy Caron,Roger Picard,Louise Thibault,Michel Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 42","Rimouski",2,8,35,82,36,1,164,278
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 43","Rimouski",5,16,28,67,29,0,145,273
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 44","Rimouski",3,18,18,65,21,1,126,316
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 45","Rimouski",4,11,18,67,22,1,123,258
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 46","Rimouski",1,20,33,93,29,2,178,341
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 47","Rimouski",6,17,29,104,39,1,196,366
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 48","Rimouski",2,18,41,81,53,4,199,371
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 49","Rimouski",4,16,32,96,46,2,196,393
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 50","Rimouski",6,41,48,145,39,0,279,489
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 51","Rimouski",3,31,48,135,41,3,261,474
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 52","Rimouski",1,19,43,90,40,1,194,370
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 53","Rimouski",9,15,27,98,26,1,176,290
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 54","Rimouski",4,19,30,120,23,3,199,332
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 55","Rimouski",2,31,53,143,38,1,268,454
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 56","Rimouski",3,20,38,120,37,6,224,366
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 57","Rimouski",3,24,56,161,39,0,283,425
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 58","Rimouski",6,44,43,157,48,0,298,471
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 59","Rimouski",3,36,55,134,21,2,251,421
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 60","Rimouski",5,19,45,91,30,0,190,308
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 61","Rimouski",4,39,47,113,35,4,242,406
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 62","Rimouski",2,24,52,144,43,1,266,405
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 63","Rimouski",6,36,46,158,42,1,289,446
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 64","Rimouski",6,35,31,123,51,4,250,522
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 65","Rimouski",3,23,38,107,43,1,215,389
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 66","Rimouski",4,28,35,104,63,2,236,415
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 67","Rimouski",12,29,46,121,58,3,269,427
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 68","Rimouski",6,26,24,80,33,0,169,374
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 69","Rimouski",4,10,30,87,18,0,149,269
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 70","Rimouski",4,15,19,77,18,1,134,278
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 71","Rimouski",1,21,18,59,112,2,213,394
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 72","Rimouski",10,41,29,140,78,0,298,521
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 73","Rimouski",4,13,14,79,17,0,127,278
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 74","Rimouski",10,26,10,101,11,4,162,368
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 75","Rimouski",5,14,17,57,19,1,113,243
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 76A","Rimouski",6,17,34,89,30,3,179,339
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 76B","Rimouski",5,17,41,82,42,2,189,341
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 77","Rimouski",4,28,33,94,49,1,209,370
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 78","Rimouski",5,38,39,113,46,5,246,415
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 79","Rimouski",3,23,33,90,26,0,175,375
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 80","Rimouski",3,22,46,93,44,0,208,347
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 81","Rimouski",4,8,34,82,35,1,164,331
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 82","Rimouski",5,18,33,63,28,2,149,374
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 83","Rimouski",2,54,52,115,49,0,272,443
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 84","Rimouski",5,29,45,132,56,4,271,472
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 85","Sainte-Odile-sur-Rimouski",10,39,40,150,22,0,261,459
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 86","Sainte-Odile-sur-Rimouski",8,31,36,106,15,3,199,351
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 87","Sainte-Odile-sur-Rimouski",5,19,36,110,21,2,193,421
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 88","Sainte-Blandine",5,20,52,147,24,4,252,510
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 89","Sainte-Blandine",0,15,37,133,17,0,202,366
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 90","Sainte-Blandine",5,17,71,154,32,2,281,458
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 91","Sainte-Blandine",2,16,46,113,23,3,203,357
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 92","Mont-Lebel",1,15,23,63,13,4,119,229
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 93","Saint-Marcellin",3,17,53,51,34,1,159,285
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 94","Saint-Narcisse-de-Rimouski",3,23,48,129,33,2,238,389
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 95","Saint-Narcisse-de-Rimouski",6,17,46,116,44,4,233,387
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 96","La Trinité-des-Monts",1,7,37,76,32,0,153,243
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 97","Esprit-Saint",2,9,58,100,17,0,186,317
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 98","Le Bic",2,15,42,93,34,0,186,344
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 99","Le Bic",2,22,53,129,44,7,257,435
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 100","Le Bic",4,27,49,147,29,4,260,407
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 101","Le Bic",3,21,18,76,29,2,149,259
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 102","Le Bic",2,18,12,83,20,1,136,244
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 103","Le Bic",4,29,20,109,24,3,189,305
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 104","Le Bic",1,20,29,66,22,3,141,250
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 105","Saint-Valérien",6,10,30,91,31,4,172,274
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 106","Saint-Valérien",4,21,68,73,28,1,195,350
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 107","Saint-Eugène-de-Ladrière",3,7,141,43,31,0,225,333
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 108","Saint-Fabien",3,13,50,80,24,0,170,283
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 109","Saint-Fabien",2,11,52,67,40,3,175,269
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 110","Saint-Fabien",1,22,49,94,51,4,221,306
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 111A","Saint-Fabien",4,14,33,73,42,2,168,263
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 111B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,39
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 112","Saint-Fabien",3,19,56,81,32,4,195,335
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 113","Saint-Simon",0,18,65,78,63,6,230,355
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 114","Saint-Mathieu-de-Rioux",10,31,95,123,73,2,334,506
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 115","Trois-Pistoles",0,10,41,25,35,0,111,204
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 116","Notre-Dame-des-Neiges-des-Trois-Pistoles",3,7,49,59,30,1,149,231
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 117","Trois-Pistoles",9,31,65,100,56,5,266,469
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 118","Trois-Pistoles",8,19,62,65,36,1,191,349
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 119","Trois-Pistoles",2,29,55,71,43,1,201,363
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 120","Trois-Pistoles",12,13,50,50,44,3,172,295
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 121","Trois-Pistoles",4,12,59,71,50,3,199,341
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 122","Trois-Pistoles",3,27,51,51,21,1,154,361
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 123","Trois-Pistoles",9,12,51,54,45,2,173,386
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 124","Notre-Dame-des-Neiges-des-Trois-Pistoles",2,15,45,67,45,3,177,319
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 125","Sainte-Françoise",4,8,75,92,36,2,217,348
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 126","Notre-Dame-des-Neiges",6,28,44,78,38,6,200,333
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 127","Saint-Éloi",6,13,80,61,16,2,178,270
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 128","Saint-Médard",1,8,63,38,26,1,137,219
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 129","Saint-Guy",2,4,13,18,10,0,47,80
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 130","Sainte-Rita",4,6,53,50,29,3,145,272
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 131","Saint-Jean-de-Dieu",1,14,61,66,39,2,183,313
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 132","Saint-Jean-de-Dieu",3,9,70,68,38,5,193,378
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 133","Saint-Jean-de-Dieu",1,5,56,40,11,1,114,233
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 134","Saint-Jean-de-Dieu",5,13,85,74,28,3,208,452
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 135","Saint-Clément",1,21,64,144,27,7,264,384
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 136","Lac-des-Aigles",3,4,30,73,19,0,129,233
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 137","Lac-des-Aigles",1,8,34,89,13,3,148,229
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 138","Biencourt",1,5,39,44,14,0,103,183
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 139","Biencourt",2,6,65,60,44,3,180,287
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 140","Saint-Michel-du-Squatec",2,9,54,76,26,3,170,286
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 141A","Saint-Michel-du-Squatec",4,10,52,98,50,5,219,390
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 141B","Mobile poll/Bureau itinérant",Merged with No. 506/Fusionné avec le nº 506,,,,,,,28
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 142","Saint-Michel-du-Squatec",2,8,44,53,32,0,139,301
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 143","Saint-Godard-de-Lejeune",11,14,32,54,27,3,141,244
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 144","Auclair",9,22,39,110,23,3,206,387
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 145","Saint-Juste-du-Lac",9,19,23,77,16,3,147,227
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 146","Saint-Juste-du-Lac",2,18,28,64,22,1,135,262
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 147","Dégelis",7,18,71,96,38,8,238,437
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 148","Dégelis",3,11,37,39,19,5,114,199
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 149","Dégelis",4,10,39,53,25,2,133,263
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 150","Dégelis",2,10,52,57,29,5,155,307
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 151","Dégelis",1,6,57,44,28,4,140,269
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 152","Dégelis",4,24,41,53,30,2,154,296
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 153","Dégelis",2,12,47,54,25,2,142,281
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 154","Dégelis",6,17,67,76,41,2,209,409
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 155","Packington",2,11,25,38,22,2,100,209
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 156","Saint-Jean-de-la-Lande",4,9,55,23,13,0,104,228
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 157","Packington",4,13,31,49,23,3,123,263
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 158","Cabano",4,30,60,96,20,4,214,414
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 159","Cabano",11,29,47,101,18,5,211,433
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 160","Cabano",2,18,37,41,22,0,120,226
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 161","Cabano",7,9,19,53,24,2,114,234
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 162","Cabano",6,23,36,68,30,4,167,324
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 163","Cabano",3,16,44,64,18,3,148,325
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 164","Cabano",5,19,56,69,20,2,171,311
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 165","Cabano",7,4,45,42,20,2,120,244
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 166","Notre-Dame-du-Lac",7,19,45,59,23,2,155,283
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 167","Notre-Dame-du-Lac",6,17,49,54,29,0,155,276
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 168A","Notre-Dame-du-Lac",7,25,70,50,46,1,199,355
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 168B","Mobile poll/Bureau itinérant",Merged with No. 506/Fusionné avec le nº 506,,,,,,,43
"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 169","Notre-Dame-du-Lac",7,26,50,91,49,3,226,391
