Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marie-Ève Hélie-Lambert,Louis Lacroix,Louis Plamondon,Ghislaine Provencher,Marie-Claude Roberge Cartier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 111","Sorel",28,5,83,30,6,1,153,342
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 112","Sorel",40,6,106,38,3,4,197,409
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 113","Sorel",25,6,94,16,1,3,145,352
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 114","Sorel",34,2,110,21,7,0,174,378
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 115","Sorel",22,8,94,14,6,3,147,355
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 116","Sorel",16,2,88,13,6,2,127,343
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 117","Sorel",71,9,174,22,5,7,288,524
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 118","Sorel",18,1,103,13,4,1,140,300
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 119","Sorel",32,2,94,33,4,4,169,336
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 120A","Sorel",18,5,81,13,4,6,127,377
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 120B","Mobile poll/Bureau itinérant",36,3,70,46,5,1,161,114
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 121","Sorel",10,2,46,23,0,1,82,335
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 122","Sorel",14,4,83,11,5,2,119,326
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 123","Sorel",31,7,78,16,1,1,134,391
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 124","Sorel",11,2,54,10,3,1,81,286
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 125","Sorel",21,1,73,16,5,8,124,328
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 126","Sorel",13,2,68,13,4,7,107,305
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 127","Sorel",14,3,84,15,5,2,123,384
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 128","Sorel",22,3,80,12,3,4,124,314
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 129","Sorel",23,3,100,21,10,4,161,385
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 130","Sorel",48,5,138,17,12,4,224,365
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 131","Sorel",59,3,132,20,14,5,233,500
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 132","Sorel",52,5,129,19,8,6,219,421
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 133","Saint-Joseph-de-Sorel",30,2,100,19,10,3,164,288
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 134","Saint-Joseph-de-Sorel",27,5,100,19,5,5,161,304
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 135","Saint-Joseph-de-Sorel",14,3,99,14,4,7,141,271
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 136","Saint-Joseph-de-Sorel",15,4,86,21,4,5,135,297
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 137","Saint-Joseph-de-Sorel",15,2,72,14,3,2,108,267
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 138","Tracy",20,6,113,10,9,0,158,339
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 139","Tracy",25,3,99,19,7,5,158,350
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 140","Tracy",31,2,80,26,4,2,145,334
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 141","Tracy",29,4,81,12,5,2,133,354
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 142","Tracy",28,2,90,19,2,4,145,303
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 143","Tracy",27,6,90,10,4,2,139,291
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 144","Tracy",21,7,84,15,8,2,137,310
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 145","Tracy",20,2,106,15,4,4,151,262
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 146A","Tracy",37,6,93,24,9,4,173,356
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 146B","Mobile poll/Bureau itinérant",Merged with No. 159B/Fusionné avec le nº 159B,,,,,,,21
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 147","Tracy",34,2,117,10,10,3,176,340
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 148","Tracy",35,5,82,27,0,3,152,276
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 149","Tracy",30,9,94,17,8,3,161,283
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 150","Tracy",37,11,151,17,17,2,235,416
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 151","Tracy",39,3,87,15,10,1,155,272
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 152","Tracy",24,6,107,11,11,3,162,281
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 153","Tracy",45,3,112,11,15,6,192,362
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 154","Tracy",36,4,154,11,8,6,219,399
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 155","Tracy",44,4,149,17,15,0,229,327
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 156","Tracy",27,4,98,24,7,6,166,416
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 157","Tracy",20,5,116,14,9,2,166,357
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 158","Tracy",40,10,110,21,4,8,193,365
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 159A","Tracy",67,7,99,37,8,2,220,469
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 159B","Mobile poll/Bureau itinérant",13,3,41,50,4,3,114,110
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 160","Tracy",35,3,134,24,10,4,210,380
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 161","Tracy",33,8,171,12,12,3,239,466
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 162","Tracy",41,3,106,21,16,2,189,316
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 163A","Tracy",62,9,123,38,6,5,243,443
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 163B","Mobile poll/Bureau itinérant",Merged with No. 159B/Fusionné avec le nº 159B,,,,,,,69
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 164","Tracy",78,18,188,18,17,2,321,570
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 165","Tracy",90,15,223,51,14,5,398,685
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 166","Sorel",37,9,126,21,12,4,209,393
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 167","Sorel",23,4,105,28,10,6,176,326
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 168","Sorel",50,10,129,23,13,0,225,390
