Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marie-Ève Hélie-Lambert,Louis Lacroix,Louis Plamondon,Ghislaine Provencher,Marie-Claude Roberge Cartier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 195","Sainte-Victoire-de-Sorel",67,11,168,33,9,7,295,457
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 196","Sainte-Victoire-de-Sorel",33,9,134,32,4,8,220,394
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 197","Saint-Robert",33,14,140,31,9,2,229,404
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 198","Saint-Aimé",48,14,142,32,9,6,251,390
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 199","Massueville",48,2,79,22,5,4,160,230
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 200","Massueville",20,4,90,11,6,5,136,210
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 201","Saint-Roch-de-Richelieu",52,14,226,22,9,6,329,559
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 202","Saint-Ours",74,13,175,41,10,3,316,454
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 203","Saint-Roch-de-Richelieu",45,8,198,33,16,7,307,545
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 204","Saint-Roch-de-Richelieu",40,4,163,21,7,4,239,396
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 205","Saint-Ours",35,6,96,13,6,4,160,242
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 206","Saint-Ours",19,7,94,19,4,1,144,214
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 207","Saint-Ours",52,6,156,23,22,2,261,406
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 500","Mobile poll/Bureau itinérant",20,3,25,29,2,1,80,82
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 600","Saint-Pierre-les-Becquets",49,2,106,46,18,1,222,
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 601","Bécancour",73,11,185,56,18,1,344,
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 602","Sainte-Eulalie--Sainte-Monique",72,9,195,73,22,3,374,
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 603","Nicolet--Saint-Zéphirin-de-Courval",193,30,412,233,33,14,915,
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 604","Pierreville",93,10,200,58,13,6,380,
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 605","Yamaska",55,2,133,45,11,2,248,
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 606","Sorel-Tracy",139,12,412,113,21,14,711,
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 607","Saint-Joseph-de-Sorel--Tracy",154,21,427,145,24,10,781,
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 608","Sorel-Tracy",126,13,312,88,19,9,567,
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 609","Sainte-Victoire-de-Sorel",32,7,165,34,6,6,250,
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour",,Group 1/Groupe 1,30,1,49,18,1,0,99,224
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour",,Group 2/Groupe 2,351,33,1921,666,64,51,3086,
