Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert A. Campbell,Peter Mancini,Elizabeth Perry,Michael Savage,Charles Spurr,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 63","Halifax",9,52,7,36,0,0,104,236
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 64","Halifax",19,64,5,50,0,0,138,278
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 65","Halifax",66,69,8,102,0,1,246,378
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 66","Halifax",42,86,4,83,0,1,216,350
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 67","Halifax",69,57,3,81,0,1,211,339
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 68","Halifax",51,48,5,90,1,0,195,356
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 69","Halifax",36,56,5,70,0,0,167,348
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 70","Halifax",38,51,7,76,0,0,172,292
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 71","Halifax",44,45,4,67,0,0,160,310
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 72","Halifax",42,55,3,66,1,0,167,317
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 73","Halifax",32,40,3,43,0,0,118,305
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 74","Halifax",20,49,1,48,0,0,118,331
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 75","Halifax",23,40,1,69,0,0,133,270
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 76","Halifax",48,44,3,96,0,0,191,370
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 77","Halifax",32,52,0,69,0,0,153,296
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 78","Halifax",38,42,2,108,0,1,191,330
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 79","Halifax",54,58,6,84,0,0,202,343
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 80","Halifax",38,86,5,78,2,0,209,345
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 81A","Halifax",20,58,4,31,0,0,113,302
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 81B","Halifax",22,51,3,40,1,1,118,325
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 82","Halifax",59,103,3,100,0,0,265,445
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 83","Halifax",44,105,13,123,1,1,287,496
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 84","Halifax",21,34,5,53,0,1,114,209
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 85","Halifax",15,78,4,77,0,1,175,315
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 86","Halifax",38,88,2,80,1,2,211,393
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 87","Halifax",29,100,11,66,0,1,207,421
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 88","Halifax",16,97,6,77,1,1,198,409
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 89A","Halifax",26,74,5,58,0,1,164,277
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 89B","Halifax",22,43,2,51,0,0,118,296
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 90","Halifax",33,93,8,96,1,1,232,384
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 91","Halifax",42,102,6,87,2,0,239,447
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 92","Halifax",39,84,3,85,1,0,212,350
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 93","Halifax",36,62,6,50,0,1,155,283
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 94","Halifax",20,68,5,60,0,1,154,336
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 95","Halifax",39,78,11,88,0,0,216,390
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 96","Halifax",20,76,11,65,0,0,172,345
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 97","Halifax",30,77,9,68,0,0,184,352
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 98","Halifax",28,81,3,68,0,1,181,385
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 99","Halifax",20,69,8,71,0,1,169,328
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 100","Halifax",31,53,5,37,0,5,131,412
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 101","Halifax",13,58,5,40,0,0,116,282
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 102","Halifax",27,73,1,58,0,4,163,338
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 103","Halifax",58,94,4,103,0,0,259,505
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 104","Halifax",23,68,6,44,0,0,141,327
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 105","Halifax",36,57,2,56,0,1,152,278
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 106","Halifax",27,74,6,50,2,0,159,352
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 107","Halifax",19,67,3,30,0,0,119,316
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 108","Halifax",23,57,4,37,0,1,122,298
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 109","Halifax",10,48,0,34,0,0,92,288
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 110","Halifax",40,62,3,63,0,0,168,267
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 111","Halifax",55,65,1,86,0,0,207,360
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 112","Halifax",43,87,6,103,0,0,239,434
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 113","Halifax",31,75,4,64,0,1,175,377
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 114","Halifax",37,79,3,109,0,0,228,379
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 115","Halifax",57,99,5,104,0,1,266,400
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 116","Halifax",41,104,1,79,0,1,226,402
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 117","Halifax",37,89,4,112,1,0,243,387
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 118","Halifax",53,46,9,95,0,1,204,323
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 119","Halifax",51,55,2,71,0,1,180,317
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 120","Halifax",42,75,3,97,0,0,217,355
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 121","Halifax",42,66,5,93,0,0,206,352
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 122","Halifax",61,101,11,137,2,1,313,498
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 123","Halifax",51,58,5,76,0,0,190,334
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 124","Halifax",42,73,3,85,0,0,203,380
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 125","Halifax",68,81,3,67,2,0,221,361
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 126","Halifax",67,62,1,85,0,2,217,311
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 127","Halifax",41,39,1,67,0,2,150,317
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 128","Halifax",56,93,7,131,0,0,287,467
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 129","Halifax",73,58,7,111,0,1,250,377
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 130A","Halifax",99,49,9,128,0,0,285,443
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 130B","Halifax",65,67,3,141,0,0,276,403
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 131","Halifax",90,59,3,163,1,0,316,508
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 132A","Halifax",44,35,1,66,0,1,147,264
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 132B","Halifax",50,30,1,78,0,0,159,285
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 133","Halifax",86,50,3,106,0,0,245,430
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 134A","Halifax",46,30,1,81,0,0,158,323
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 134B","Halifax",59,40,6,84,0,0,189,307
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 135","Halifax",57,86,3,105,0,0,251,474
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 136A","Halifax",36,42,5,115,0,0,198,360
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 136B","Halifax",36,61,4,87,1,0,189,350
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 137","Halifax",62,40,1,43,0,1,147,267
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 138","Halifax",85,105,7,106,0,0,303,513
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 139","Halifax",51,75,6,84,1,2,219,449
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 140A","Halifax",55,75,4,69,0,0,203,347
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 140B","Halifax",35,63,3,68,0,0,169,287
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 141","Halifax",24,41,1,30,0,1,97,207
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 142","Halifax",36,82,3,74,1,1,197,366
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 143A","Halifax",47,95,1,83,0,0,226,385
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 143B","Mobile poll/Bureau itinérant",Merged with No. 143E/Fusionné avec le nº 143E,,,,,,,17
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 143C","Mobile poll/Bureau itinérant",Merged with No. 143E/Fusionné avec le nº 143E,,,,,,,15
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 143D","Mobile poll/Bureau itinérant",Merged with No. 143E/Fusionné avec le nº 143E,,,,,,,15
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 143E","Mobile poll/Bureau itinérant",15,18,0,16,0,1,50,24
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 144","Halifax",43,111,9,92,0,0,255,376
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 145A","Halifax",44,70,2,87,0,0,203,336
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 145B","Halifax",47,80,4,56,0,0,187,315
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 146","Halifax",39,88,4,82,1,1,215,419
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 147A","Halifax",30,38,0,56,0,2,126,274
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 147B","Halifax",39,29,4,54,0,1,127,276
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 148","Halifax",41,61,3,74,0,0,179,380
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 149","Halifax",34,85,3,77,0,5,204,337
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 150","Halifax",41,96,8,83,0,0,228,437
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 151","Halifax",46,94,4,60,0,0,204,321
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 152","Halifax",37,55,2,58,0,0,152,262
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 153","Halifax",69,92,4,130,0,0,295,473
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 154","Halifax",77,62,3,78,0,0,220,410
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 155A","Halifax",44,44,7,66,0,1,162,283
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 155B","Halifax",38,53,3,52,0,0,146,263
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 156","Halifax",74,58,5,127,0,1,265,406
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 157","Halifax",43,45,1,56,0,0,145,266
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 158","Halifax",61,57,8,96,1,1,224,383
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 159","Halifax",51,72,3,98,0,0,224,312
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 160","Halifax",39,47,3,48,0,0,137,278
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 161","Halifax",38,26,2,57,0,0,123,225
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 162","Halifax",46,68,2,101,0,0,217,372
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 163","Halifax",73,61,4,137,0,0,275,452
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 164","Halifax",80,54,8,117,0,0,259,408
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 165","Halifax",48,47,1,114,0,2,212,372
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 166","Halifax",110,53,6,123,0,2,294,478
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 167","Halifax",46,46,2,52,0,0,146,218
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 168","Halifax",74,56,2,78,0,2,212,368
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 169","Halifax",68,73,2,110,0,0,253,414
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 170","Halifax",84,54,3,153,1,1,296,493
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 171","Halifax",83,45,2,153,1,0,284,453
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 172","Halifax",65,59,4,128,0,1,257,398
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 173","Halifax",54,61,4,80,0,0,199,360
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 174A","Halifax",35,60,3,61,1,0,160,267
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 174B","Halifax",37,55,2,58,0,0,152,273
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 175","Halifax",21,64,4,45,0,0,134,281
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 176A","Halifax",53,45,2,85,0,0,185,300
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 176B","Halifax",53,49,0,77,0,1,180,299
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 177","Halifax",47,71,6,129,0,0,253,394
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 178A","Halifax",72,48,4,126,0,1,251,443
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 178B","Halifax",72,62,11,125,0,0,270,486
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 500","Mobile poll/Bureau itinérant",35,96,4,67,0,4,206,284
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 501","Mobile poll/Bureau itinérant",21,18,6,31,1,0,77,156
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 502","Mobile poll/Bureau itinérant",69,57,3,74,0,0,203,278
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 600","Halifax",203,171,20,396,0,1,791,
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 601","Halifax",61,195,11,140,1,0,408,
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 602","Halifax",274,318,20,504,0,1,1117,
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 603","Halifax",228,253,20,488,1,3,993,
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 604","Halifax",160,228,23,262,3,3,679,
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 605","Halifax",245,127,11,386,1,3,773,
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 606","Halifax",150,159,9,241,2,0,561,
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 607","Cole Harbour--Halifax",291,171,10,413,0,2,887,
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour",,Group 1/Groupe 1,169,65,16,161,3,13,427,1427
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour",,Group 2/Groupe 2,305,437,23,612,1,30,1408,
